

Here are the 16 flight plans:

BNA | IAD | AA | Non-stop | 06:00 | 08:35 | 248.00
ANC | BNA | WN | 1 (DEN) | 11:00 | 20:45 | 482.00
ANC | BNA | AS | 1 (SEA) | 12:00 | 21:30 | 550.00
ANC | BNA | F9 | 1 (DEN) | 13:30 | 22:15 | 452.00
ANC | BNA | SY | 1 (MSP) | 14:15 | 22:45 | 488.00
ANC | BNA | B6 | 1 (LAX) | 15:00 | 23:30 | 520.00


Here are the 16 flight plans:

BNA | SJU | AA | 1 (MIA) | 08:00 | 14:30 | 542.00
BNA | SJU | UA | 1 (EWR) | 09:30 | 16:15 | 595.00
BNA | SJU | DL | 0 | 10:45 | 15:20 | 450.00
BNA | SJU | WN | 1 (FLL) | 11:15 | 17:00 | 520.00
BNA | SJU | AS | 1 (CLT) | 12:00 | 18:30 | 580.00
BNA | SJU | B6 | 0 | 13:30 | 18:00 | 480.00
BNA | SJU | NK | 1 (TPA) | 14:45 | 20:15 | 550.00
BNA | SJU | F9 | 1 (ATL) | 16:00 | 21:45 | 530.00
SJU | BNA | AA | 1 (MIA) | 08:00 | 14:30 | 542.00
SJU | BNA | UA | 1 (EWR) | 09:30 | 16:15 | 595.00
SJU | BNA | DL | 0 | 10:45 | 15:20 | 450.00
SJU | BNA | WN | 1 (FLL) | 11:15 | 17:00 | 520.00
SJU | BNA | AS | 1 (CLT) | 12:00 | 18:30 | 580.00
SJU | BNA | B6 | 0 | 13:30 | 18:00 | 480.00
SJU | BNA | NK | 1 (TPA) | 14:45 | 20:15 | 550.00
SJU | BNA | F9 | 1 (ATL) | 16:00 | 21:45 | 530.00
SJU | BNA | SY | 0 | 17:30 | 22:00 | 500.00


Here are the 16 flight plans:

BNA | BHB | AA | 1 (CLT) | 08:00 | 11:15 | 275.00
BNA | BHB | DL | 0 | 10:30 | 13:20 | 298.00
BNA | BHB | UA | 1 (EWR) | 12:45 | 16:05 | 320.00
BNA | BHB | WN | 0 | 14:15 | 16:50 | 268.00
BNA | BHB | AS | 1 (ATL) | 15:00 | 18:30 | 290.00
BNA | BHB | F9 | 0 | 17:00 | 19:35 | 248.00
BNA | BHB | NK | 1 (TPA) | 18:30 | 21:55 | 282.00
BNA | BHB | B6 | 0 | 20:00 | 22:25 | 258.00
BHB | BNA | AA | 1 (PIT) | 07:00 | 10:20 | 265.00
BHB | BNA | DL | 0 | 09:15 | 11:45 | 288.00
BHB | BNA | UA | 1 (ORD) | 11:30 | 14:55 | 315.00
BHB | BNA | WN | 0 | 13:00 | 15:25 | 258.00
BHB | BNA | AS | 1 (BOS) | 14:45 | 17:15 | 295.00
BHB | BNA | F9 | 0 | 16:15 | 18:40 | 238.00
BHB | BNA | NK | 1 (MCO) | 17:45 | 20:20 | 272.00
BHB | BNA | B6 | 0 | 19:30 | 21:50 | 248.00


Here are the 16 flight plans:

BNA | MRY | American Airlines | Non-stop | 06:00 | 08:45 | 278.00
BNA | MRY | Delta Air Lines | 1 stop (LAX) | 08:30 | 12:15 | 320.00
BNA | MRY | United Airlines | Non-stop | 10:15 | 13:00 | 298.00
BNA | MRY | Southwest Airlines | 1 stop (DEN) | 11:45 | 15:30 | 350.00
BNA | MRY | Alaska Airlines | Non-stop | 13:30 | 16:15 | 288.00
BNA | MRY | JetBlue Airways | 1 stop (SFO) | 14:50 | 18:35 | 330.00
BNA | MRY | Spirit Airlines | 1 stop (LAS) | 16:15 | 20:00 | 310.00
BNA | MRY | Frontier Airlines | Non-stop | 18:00 | 20:45 | 268.00
MRY | BNA | American Airlines | Non-stop | 07:00 | 11:45 | 282.00
MRY | BNA | Delta Air Lines | 1 stop (SFO) | 09:30 | 14:15 | 342.00
MRY | BNA | United Airlines | Non-stop | 11:00 | 15:45 | 308.00
MRY | BNA | Southwest Airlines | 1 stop (PHX) | 12:45 | 16:30 | 362.00
MRY | BNA | Alaska Airlines | Non-stop | 14:00 | 18:45 | 292.00
MRY | BNA | JetBlue Airways | 1 stop (LAX) | 15:30 | 19:15 | 322.00
MRY | BNA | Spirit Airlines | 1 stop (ORD) | 17:00 | 20:45 | 332.00
MRY | BNA | Frontier Airlines | Non-stop | 19:00 | 22:45 | 278.00


Here are the 16 flight plans:

BNA | SJC | AA | 1 (DFW) | 08:00 | 11:15 | 425.00
BNA | SJC | UA | 1 (DEN) | 10:30 | 14:45 | 450.00
BNA | SJC | WN | 1 (DAL) | 12:15 | 16:30 | 375.00
BNA | SJC | DL | 1 (ATL) | 14:00 | 18:15 | 480.00
BNA | SJC | AS | 1 (SEA) | 15:45 | 20:00 | 410.00
BNA | SJC | F9 | 1 (DEN) | 17:00 | 21:15 | 395.00
BNA | SJC | NK | 1 (LAS) | 18:30 | 22:45 | 430.00
BNA | SJC | B6 | 1 (JFK) | 20:00 | 00:15 | 460.00
SJC | BNA | AA | 1 (PHX) | 08:00 | 14:15 | 440.00
SJC | BNA | UA | 1 (SFO) | 10:30 | 16:45 | 420.00
SJC | BNA | WN | 1 (LAX) | 12:15 | 18:30 | 390.00
SJC | BNA | DL | 1 (SLC) | 14:00 | 20:15 | 450.00
SJC | BNA | AS | 1 (PDX) | 15:45 | 22:00 | 400.00
SJC | BNA | F9 | 1 (DEN) | 17:00 | 23:15 | 380.00
SJC | BNA | NK | 1 (ORD) | 18:30 | 00:45 | 410.00
SJC | BNA | B6 | 1 (MIA) | 20:00 | 02:15 | 470.00


Here are the 16 flight plans:

BNA | EGE | American Airlines | Non-stop | 08:00 | 10:30 | 450.00
BNA | EGE | Delta Air Lines | 1 stop (DEN) | 09:15 | 12:45 | 520.00
BNA | EGE | United Airlines | Non-stop | 10:45 | 13:15 | 480.00
BNA | EGE | Frontier Airlines | 1 stop (IAH) | 11:30 | 15:00 | 400.00
BNA | EGE | Southwest Airlines | Non-stop | 12:15 | 14:45 | 420.00
BNA | EGE | Alaska Airlines | 1 stop (SEA) | 13:00 | 16:30 | 550.00
BNA | EGE | JetBlue Airways | 1 stop (LAX) | 14:15 | 17:45 | 500.00
BNA | EGE | Spirit Airlines | 1 stop (DFW) | 15:30 | 19:00 | 380.00
EGE | BNA | American Airlines | Non-stop | 08:00 | 12:30 | 420.00
EGE | BNA | Delta Air Lines | 1 stop (SFO) | 09:15 | 14:45 | 480.00
EGE | BNA | United Airlines | Non-stop | 10:45 | 15:15 | 450.00
EGE | BNA | Frontier Airlines | 1 stop (ORD) | 11:30 | 16:00 | 400.00
EGE | BNA | Southwest Airlines | Non-stop | 12:15 | 16:45 | 420.00
EGE | BNA | Alaska Airlines | 1 stop (PDX) | 13:00 | 17:30 | 520.00
EGE | BNA | JetBlue Airways | 1 stop (MCO) | 14:15 | 18:45 | 500.00
EGE | BNA | Spirit Airlines | 1 stop (ATL) | 15:30 | 20:00 | 380.00


Here are the 16 flight plans:

BNA | CHS | AA | 0 | 06:00 | 08:30 | 198.00
BNA | CHS | DL | 1 (ATL) | 08:15 | 12:05 | 235.00
BNA | CHS | WN | 0 | 10:45 | 13:15 | 179.00
BNA | CHS | UA | 1 (EWR) | 12:30 | 16:50 | 259.00
BNA | CHS | F9 | 0 | 14:20 | 16:50 | 189.00
BNA | CHS | AS | 1 (CLT) | 16:00 | 20:30 | 249.00
BNA | CHS | B6 | 0 | 18:15 | 20:45 | 209.00
BNA | CHS | NK | 1 (MCO) | 20:00 | 00:20 | 279.00
CHS | BNA | AA | 0 | 06:30 | 08:00 | 189.00
CHS | BNA | DL | 1 (ATL) | 09:00 | 12:40 | 239.00
CHS | BNA | WN | 0 | 11:30 | 13:55 | 169.00
CHS | BNA | UA | 1 (EWR) | 13:15 | 17:35 | 269.00
CHS | BNA | F9 | 0 | 15:00 | 17:25 | 199.00
CHS | BNA | AS | 1 (CLT) | 16:45 | 21:10 | 259.00
CHS | BNA | B6 | 0 | 18:50 | 21:15 | 229.00
CHS | BNA | NK | 1 (MCO) | 20:30 | 00:50 | 299.00


Here are the 16 flight plans:

BNA | RAP | AA | 0 | 08:00 | 10:35 | 425.00
BNA | RAP | UA | 1 (DEN) | 09:15 | 12:50 | 550.00
BNA | RAP | DL | 0 | 10:45 | 13:20 | 475.00
BNA | RAP | WN | 1 (PHX) | 11:30 | 15:05 | 525.00
BNA | RAP | AS | 0 | 12:15 | 14:50 | 450.00
BNA | RAP | F9 | 1 (MSP) | 13:00 | 16:35 | 500.00
BNA | RAP | NK | 0 | 14:30 | 17:05 | 425.00
BNA | RAP | SY | 1 (ORD) | 15:15 | 18:50 | 575.00
RAP | BNA | AA | 0 | 06:00 | 09:35 | 400.00
RAP | BNA | UA | 1 (IAH) | 07:15 | 11:50 | 525.00
RAP | BNA | DL | 0 | 08:45 | 12:20 | 450.00
RAP | BNA | WN | 1 (LAS) | 09:30 | 13:05 | 500.00
RAP | BNA | AS | 0 | 10:15 | 13:50 | 425.00
RAP | BNA | F9 | 1 (DFW) | 11:00 | 14:35 | 550.00
RAP | BNA | NK | 0 | 12:30 | 16:05 | 400.00
RAP | BNA | SY | 1 (MKE) | 13:15 | 16:50 | 575.00


Here are the 16 flight plans:

BNA | FCA | American Airlines | 0 | 08:00 | 11:30 | 450.00
BNA | FCA | Delta Air Lines | 1 (DEN) | 09:15 | 13:45 | 520.00
BNA | FCA | United Airlines | 0 | 10:30 | 14:00 | 480.00
BNA | FCA | Southwest Airlines | 1 (ORD) | 11:45 | 16:15 | 550.00
BNA | FCA | Alaska Airlines | 0 | 13:00 | 16:30 | 500.00
BNA | FCA | JetBlue Airways | 1 (LAX) | 14:15 | 18:45 | 580.00
BNA | FCA | Spirit Airlines | 0 | 15:30 | 19:00 | 430.00
BNA | FCA | Frontier Airlines | 1 (MSP) | 16:45 | 21:15 | 510.00
FCA | BNA | American Airlines | 0 | 08:00 | 12:30 | 420.00
FCA | BNA | Delta Air Lines | 1 (SFO) | 09:15 | 14:45 | 540.00
FCA | BNA | United Airlines | 0 | 10:30 | 15:00 | 460.00
FCA | BNA | Southwest Airlines | 1 (PHX) | 11:45 | 16:15 | 570.00
FCA | BNA | Alaska Airlines | 0 | 13:00 | 16:30 | 490.00
FCA | BNA | JetBlue Airways | 1 (ATL) | 14:15 | 18:45 | 590.00
FCA | BNA | Spirit Airlines | 0 | 15:30 | 19:00 | 440.00
FCA | BNA | Frontier Airlines | 1 (IAH) | 16:45 | 21:15 | 520.00


Here are the 16 flight plans:

BNA | FLG | AA | 1 (DFW) | 08:00 | 10:45 | 350.00
BNA | FLG | UA | 0 | 09:30 | 11:50 | 280.00
BNA | FLG | WN | 1 (DAL) | 10:15 | 13:00 | 320.00
BNA | FLG | DL | 1 (ATL) | 11:00 | 14:20 | 380.00
BNA | FLG | AS | 1 (SEA) | 12:30 | 16:10 | 420.00
BNA | FLG | F9 | 1 (DEN) | 13:45 | 17:20 | 300.00
BNA | FLG | NK | 1 (IAH) | 15:00 | 18:40 | 340.00
BNA | FLG | B6 | 1 (JFK) | 16:15 | 20:00 | 400.00

FLG | BNA | AA | 1 (PHX) | 08:30 | 11:50 | 330.00
FLG | BNA | UA | 0 | 09:00 | 12:20 | 260.00
FLG | BNA | WN | 1 (ABQ) | 10:45 | 14:10 | 310.00
FLG | BNA | DL | 1 (SLC) | 11:30 | 15:00 | 360.00
FLG | BNA | AS | 1 (PDX) | 12:15 | 16:40 | 440.00
FLG | BNA | F9 | 1 (MSP) | 13:00 | 17:30 | 290.00
FLG | BNA | NK | 1 (ORD) | 14:30 | 19:00 | 350.00
FLG | BNA | B6 | 1 (MIA) | 15:45 | 20:20 | 410.00


Here are the 16 flight plans:

BNA | TYS | American Airlines | 1 (CLT) | 06:00 | 08:35 | 278.00
BNA | TYS | Delta Air Lines | 0 | 08:15 | 09:45 | 298.00
BNA | TYS | United Airlines | 1 (IAH) | 10:30 | 13:05 | 318.00
BNA | TYS | Southwest Airlines | 0 | 12:00 | 13:30 | 248.00
BNA | TYS | Frontier Airlines | 1 (ATL) | 14:45 | 17:20 | 288.00
BNA | TYS | JetBlue Airways | 0 | 16:30 | 18:00 | 268.00
BNA | TYS | Spirit Airlines | 1 (FLL) | 18:15 | 20:50 | 238.00
BNA | TYS | Alaska Airlines | 0 | 20:00 | 21:35 | 308.00
TYS | BNA | American Airlines | 1 (DFW) | 06:30 | 08:55 | 298.00
TYS | BNA | Delta Air Lines | 0 | 09:00 | 10:30 | 318.00
TYS | BNA | United Airlines | 1 (ORD) | 11:15 | 13:40 | 338.00
TYS | BNA | Southwest Airlines | 0 | 13:30 | 15:00 | 268.00
TYS | BNA | Frontier Airlines | 1 (MCO) | 15:45 | 18:20 | 288.00
TYS | BNA | JetBlue Airways | 0 | 17:30 | 19:00 | 258.00
TYS | BNA | Spirit Airlines | 1 (BWI) | 19:15 | 21:50 | 248.00
TYS | BNA | Alaska Airlines | 0 | 21:00 | 22:35 | 308.00


Here are the 16 flight plans:

BNA | AVL | American Airlines | Non-stop | 08:00 | 09:35 | 198.00
BNA | AVL | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:10 | 220.00
BNA | AVL | United Airlines | Non-stop | 10:30 | 12:05 | 180.00
BNA | AVL | Southwest Airlines | Non-stop | 11:00 | 12:35 | 150.00
BNA | AVL | Frontier Airlines | 1 stop (CLT) | 12:45 | 15:40 | 190.00
BNA | AVL | JetBlue Airways | Non-stop | 14:00 | 15:35 | 160.00
BNA | AVL | Spirit Airlines | 1 stop (FLL) | 15:15 | 18:10 | 210.00
BNA | AVL | Alaska Airlines | Non-stop | 16:30 | 18:05 | 200.00
AVL | BNA | American Airlines | Non-stop | 08:00 | 09:35 | 198.00
AVL | BNA | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:10 | 220.00
AVL | BNA | United Airlines | Non-stop | 10:30 | 12:05 | 180.00
AVL | BNA | Southwest Airlines | Non-stop | 11:00 | 12:35 | 150.00
AVL | BNA | Frontier Airlines | 1 stop (CLT) | 12:45 | 15:40 | 190.00
AVL | BNA | JetBlue Airways | Non-stop | 14:00 | 15:35 | 160.00
AVL | BNA | Spirit Airlines | 1 stop (FLL) | 15:15 | 18:10 | 210.00
AVL | BNA | Alaska Airlines | Non-stop | 16:30 | 18:05 | 200.00


Here are the 16 flight plans:

BNA | JAC | AA | 0 | 08:00 | 10:30 | 250.00
BNA | JAC | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
BNA | JAC | DL | 0 | 10:45 | 13:15 | 280.00
BNA | JAC | WN | 1 (STL) | 11:30 | 15:00 | 350.00
BNA | JAC | AS | 0 | 12:15 | 14:45 | 240.00
BNA | JAC | F9 | 1 (MKE) | 13:00 | 16:30 | 300.00
BNA | JAC | NK | 0 | 14:30 | 17:00 | 260.00
BNA | JAC | SY | 1 (MSP) | 15:45 | 19:15 | 330.00
JAC | BNA | AA | 0 | 06:00 | 08:30 | 230.00
JAC | BNA | UA | 1 (IAH) | 07:15 | 10:45 | 290.00
JAC | BNA | DL | 0 | 08:45 | 11:15 | 250.00
JAC | BNA | WN | 1 (PHX) | 09:30 | 13:00 | 310.00
JAC | BNA | AS | 0 | 10:15 | 12:45 | 220.00
JAC | BNA | F9 | 1 (DAL) | 11:00 | 14:30 | 280.00
JAC | BNA | NK | 0 | 12:30 | 15:00 | 240.00
JAC | BNA | SY | 1 (ORD) | 13:45 | 17:15 | 300.00


Here are the 16 flight plans:

BNA | EYW | AA | 1 (MIA) | 08:00 | 11:35 | 248.00
BNA | EYW | DL | 1 (ATL) | 09:15 | 12:50 | 278.00
BNA | EYW | WN | 1 (TPA) | 10:30 | 14:05 | 218.00
BNA | EYW | UA | 1 (IAH) | 11:45 | 15:20 | 298.00
BNA | EYW | F9 | 1 (DEN) | 13:00 | 16:35 | 238.00
BNA | EYW | NK | 1 (FLL) | 14:15 | 17:50 | 258.00
BNA | EYW | B6 | 1 (JFK) | 15:30 | 19:05 | 268.00
BNA | EYW | SY | 1 (MCO) | 16:45 | 20:20 | 228.00
EYW | BNA | AA | 1 (MIA) | 08:00 | 10:35 | 248.00
EYW | BNA | DL | 1 (ATL) | 09:15 | 11:50 | 278.00
EYW | BNA | WN | 1 (TPA) | 10:30 | 13:05 | 218.00
EYW | BNA | UA | 1 (IAH) | 11:45 | 14:20 | 298.00
EYW | BNA | F9 | 1 (DEN) | 13:00 | 15:35 | 238.00
EYW | BNA | NK | 1 (FLL) | 14:15 | 16:50 | 258.00
EYW | BNA | B6 | 1 (JFK) | 15:30 | 18:05 | 268.00
EYW | BNA | SY | 1 (MCO) | 16:45 | 19:20 | 228.00


Here are the 16 flight plans:

BNA | RNO | AA | 1 (DFW) | 08:00 | 11:15 | 425.00
BNA | RNO | UA | 1 (DEN) | 09:30 | 12:45 | 450.00
BNA | RNO | WN | 1 (PHX) | 10:15 | 13:30 | 395.00
BNA | RNO | DL | 1 (ATL) | 11:00 | 14:15 | 480.00
BNA | RNO | AS | 1 (SEA) | 12:30 | 15:45 | 410.00
BNA | RNO | F9 | 1 (DEN) | 13:45 | 17:00 | 370.00
BNA | RNO | NK | 1 (LAS) | 15:00 | 18:15 | 340.00
BNA | RNO | B6 | 1 (LAX) | 16:15 | 19:30 | 400.00
RNO | BNA | AA | 1 (DFW) | 08:00 | 14:15 | 430.00
RNO | BNA | UA | 1 (SFO) | 09:30 | 15:45 | 460.00
RNO | BNA | WN | 1 (PHX) | 10:15 | 16:30 | 385.00
RNO | BNA | DL | 1 (ATL) | 11:00 | 17:15 | 490.00
RNO | BNA | AS | 1 (SEA) | 12:30 | 18:45 | 420.00
RNO | BNA | F9 | 1 (DEN) | 13:45 | 20:00 | 380.00
RNO | BNA | NK | 1 (LAS) | 15:00 | 21:15 | 350.00
RNO | BNA | B6 | 1 (LAX) | 16:15 | 22:30 | 410.00


Here are the 16 flight plans:

BNA | TVL | American Airlines | 1 (DEN) | 08:00 | 11:35 | 425.00
BNA | TVL | Delta Air Lines | 0 | 10:30 | 13:50 | 395.00
BNA | TVL | United Airlines | 1 (IAH) | 12:45 | 16:20 | 450.00
BNA | TVL | Southwest Airlines | 0 | 14:00 | 17:25 | 325.00
BNA | TVL | Alaska Airlines | 1 (SEA) | 16:15 | 20:40 | 475.00
BNA | TVL | JetBlue Airways | 0 | 18:00 | 21:30 | 375.00
BNA | TVL | Spirit Airlines | 1 (LAS) | 20:30 | 00:05 | 400.00
BNA | TVL | Frontier Airlines | 0 | 22:00 | 01:35 | 350.00

TVL | BNA | American Airlines | 1 (PHX) | 06:00 | 12:25 | 420.00
