

Here are the 16 flight plans:

MCO | TPA | American Airlines | Non-stop | 06:00 | 07:15 | 120.00
MCO | MRY | Alaska Airlines | 1 stop (SEA) | 14:30 | 18:45 | 525.00
MCO | MRY | Spirit Airlines | 1 stop (LAS) | 15:45 | 20:00 | 455.00
MCO | MRY | Frontier Airlines | Non-stop | 17:00 | 20:15 | 405.00

MRY | MCO | American Airlines | Non-stop | 08:30 | 15:45 | 435.00
MRY | MCO | Delta Air Lines | 1 stop (SFO) | 09:45 | 16:55 | 495.00
MRY | MCO | United Airlines | Non-stop | 11:00 | 18:15 | 415.00
MRY | MCO | Southwest Airlines | 1 stop (PHX) | 12:15 | 19:30 | 535.00
MRY | MCO | JetBlue Airways | Non-stop | 13:30 | 20:45 | 465.00
MRY | MCO | Alaska Airlines | 1 stop (PDX) | 14:45 | 22:00 | 555.00
MRY | MCO | Spirit Airlines | 1 stop (ORD) | 15:55 | 23:10 | 485.00
MRY | MCO | Frontier Airlines | Non-stop | 17:10 | 00:25 | 445.00


Here are the 16 flight plans:

MCO | SJC | AA | 0 | 08:00 | 11:15 | 425.00
MCO | SJC | UA | 1 (DEN) | 09:30 | 13:45 | 475.00
MCO | SJC | WN | 0 | 10:45 | 14:00 | 395.00
MCO | SJC | DL | 1 (ATL) | 12:00 | 16:20 | 525.00
MCO | SJC | AS | 0 | 13:15 | 16:30 | 455.00
MCO | SJC | F9 | 1 (PHX) | 14:30 | 18:45 | 405.00
MCO | SJC | B6 | 0 | 15:45 | 19:00 | 435.00
MCO | SJC | NK | 1 (LAS) | 17:00 | 21:15 | 445.00
SJC | MCO | AA | 0 | 08:00 | 15:15 | 425.00
SJC | MCO | UA | 1 (SFO) | 09:30 | 17:45 | 495.00
SJC | MCO | WN | 0 | 10:45 | 18:00 | 395.00
SJC | MCO | DL | 1 (LAX) | 12:00 | 20:20 | 545.00
SJC | MCO | AS | 0 | 13:15 | 20:30 | 465.00
SJC | MCO | F9 | 1 (DEN) | 14:30 | 22:45 | 415.00
SJC | MCO | B6 | 0 | 15:45 | 23:00 | 435.00
SJC | MCO | NK | 1 (ORD) | 17:00 | 01:15 | 455.00


Here are the 16 flight plans:

MCO | EGE | American Airlines | Non-stop | 08:00 | 10:35 | 425.00
MCO | EGE | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:50 | 495.00
MCO | EGE | United Airlines | Non-stop | 10:45 | 13:20 | 475.00
MCO | EGE | Frontier Airlines | 1 stop (DEN) | 11:30 | 15:05 | 395.00
MCO | EGE | Southwest Airlines | Non-stop | 12:15 | 14:50 | 450.00
MCO | EGE | JetBlue Airways | 1 stop (JFK) | 13:00 | 16:35 | 525.00
MCO | EGE | Spirit Airlines | 1 stop (LAS) | 14:45 | 18:20 | 355.00
MCO | EGE | Alaska Airlines | Non-stop | 15:30 | 18:05 | 505.00
EGE | MCO | American Airlines | Non-stop | 08:00 | 13:35 | 435.00
EGE | MCO | Delta Air Lines | 1 stop (SFO) | 09:15 | 15:50 | 515.00
EGE | MCO | United Airlines | Non-stop | 10:45 | 16:20 | 485.00
EGE | MCO | Frontier Airlines | 1 stop (PHX) | 11:30 | 17:05 | 415.00
EGE | MCO | Southwest Airlines | Non-stop | 12:15 | 17:50 | 465.00
EGE | MCO | JetBlue Airways | 1 stop (BOS) | 13:00 | 18:35 | 545.00
EGE | MCO | Spirit Airlines | 1 stop (ORD) | 14:45 | 20:20 | 375.00
EGE | MCO | Alaska Airlines | Non-stop | 15:30 | 21:05 | 525.00


Here are the 16 flight plans:

MCO | CHS | AA | 0 | 08:00 | 10:15 | 178.00
MCO | CHS | DL | 1 (ATL) | 09:30 | 12:45 | 220.00
MCO | CHS | UA | 0 | 11:00 | 13:20 | 198.00
MCO | CHS | WN | 1 (TPA) | 12:30 | 15:50 | 240.00
MCO | CHS | AS | 0 | 14:00 | 16:25 | 210.00
MCO | CHS | F9 | 1 (CLT) | 15:30 | 18:55 | 190.00
MCO | CHS | NK | 0 | 17:00 | 19:20 | 180.00
MCO | CHS | B6 | 1 (JFK) | 19:30 | 22:50 | 250.00
CHS | MCO | AA | 0 | 08:30 | 10:45 | 185.00
CHS | MCO | DL | 1 (ATL) | 10:00 | 13:15 | 230.00
CHS | MCO | UA | 0 | 11:30 | 13:55 | 205.00
CHS | MCO | WN | 1 (TPA) | 13:00 | 16:20 | 260.00
CHS | MCO | AS | 0 | 14:30 | 16:55 | 225.00
CHS | MCO | F9 | 1 (CLT) | 16:00 | 19:25 | 200.00
CHS | MCO | NK | 0 | 17:30 | 19:50 | 195.00
CHS | MCO | B6 | 1 (JFK) | 20:00 | 23:25 | 270.00


Here are the 16 flight plans:

MCO | RAP | AA | 1 (DFW) | 08:00 | 12:15 | 450.00
MCO | RAP | UA | 1 (ORD) | 09:30 | 14:45 | 520.00
MCO | RAP | DL | 1 (ATL) | 11:00 | 16:20 | 480.00
MCO | RAP | WN | 1 (DEN) | 12:30 | 18:00 | 420.00
MCO | RAP | AS | 1 (SEA) | 14:00 | 19:30 | 500.00
MCO | RAP | F9 | 1 (DEN) | 15:30 | 21:00 | 380.00
MCO | RAP | NK | 1 (ORD) | 17:00 | 22:30 | 440.00
MCO | RAP | B6 | 1 (JFK) | 19:00 | 00:30 | 460.00
RAP | MCO | AA | 1 (DFW) | 08:00 | 14:15 | 430.00
RAP | MCO | UA | 1 (ORD) | 09:30 | 16:00 | 500.00
RAP | MCO | DL | 1 (ATL) | 11:00 | 17:20 | 450.00
RAP | MCO | WN | 1 (DEN) | 12:30 | 19:00 | 400.00
RAP | MCO | AS | 1 (SEA) | 14:00 | 20:30 | 480.00
RAP | MCO | F9 | 1 (DEN) | 15:30 | 22:00 | 360.00
RAP | MCO | NK | 1 (ORD) | 17:00 | 23:30 | 420.00
RAP | MCO | B6 | 1 (JFK) | 19:00 | 01:30 | 440.00


Here are the 16 flight plans:

MCO | FCA | Delta | Non-stop | 08:00 | 18:30 | 450.00
MCO | FCA | American | 1 stop (DFW) | 09:15 | 20:45 | 520.00
MCO | FCA | United | Non-stop | 10:30 | 21:00 | 480.00
MCO | FCA | Frontier | 1 stop (DEN) | 11:45 | 23:15 | 400.00
MCO | FCA | Spirit | 2 stops (ATL, ORD) | 12:00 | 01:30 | 380.00
MCO | FCA | JetBlue | Non-stop | 13:15 | 23:45 | 500.00
MCO | FCA | Southwest | 1 stop (STL) | 14:30 | 02:00 | 420.00
MCO | FCA | Alaska | Non-stop | 15:45 | 02:15 | 460.00
FCA | MCO | Delta | Non-stop | 06:00 | 14:30 | 430.00
FCA | MCO | American | 1 stop (PHX) | 07:15 | 16:45 | 550.00
FCA | MCO | United | Non-stop | 08:30 | 18:00 | 490.00
FCA | MCO | Frontier | 1 stop (IAH) | 09:45 | 20:15 | 410.00
FCA | MCO | Spirit | 2 stops (LAX, DFW) | 10:00 | 22:30 | 390.00
FCA | MCO | JetBlue | Non-stop | 11:15 | 21:45 | 510.00
FCA | MCO | Southwest | 1 stop (BNA) | 12:30 | 23:00 | 440.00
FCA | MCO | Alaska | Non-stop | 13:45 | 00:15 | 470.00
FCA | MCO | Hawaiian | 2 stops (SFO, ORD) | 14:00 | 02:45 | 380.00


Here are the 16 flight plans:

MCO | FLG | AA | 0 | 08:00 | 10:30 | 250.00
MCO | FLG | DL | 1 (ATL) | 09:15 | 12:45 | 320.00
MCO | FLG | UA | 0 | 10:45 | 13:15 | 280.00
MCO | FLG | WN | 1 (DAL) | 11:30 | 14:55 | 300.00
MCO | FLG | AS | 0 | 12:00 | 14:30 | 240.00
MCO | FLG | F9 | 1 (DEN) | 13:15 | 16:40 | 350.00
MCO | FLG | B6 | 0 | 14:30 | 17:00 | 260.00
MCO | FLG | NK | 1 (LAX) | 15:45 | 19:10 | 380.00

FLG | MCO | AA | 0 | 08:30 | 11:00 | 230.00
FLG | MCO | DL | 1 (SFO) | 09:45 | 13:10 | 310.00
FLG | MCO | UA | 0 | 11:00 | 13:30 | 250.00
FLG | MCO | WN | 1 (PHX) | 11:45 | 15:10 | 290.00
FLG | MCO | AS | 0 | 12:30 | 15:00 | 220.00
FLG | MCO | F9 | 1 (IAH) | 13:45 | 16:15 | 330.00
FLG | MCO | B6 | 0 | 14:45 | 17:15 | 240.00
FLG | MCO | NK | 1 (ORD) | 15:30 | 18:00 | 360.00


Here are the 16 flight plans:

MCO | TYS | AA | 0 | 06:00 | 08:30 | 198.00
MCO | TYS | DL | 1 (ATL) | 07:30 | 11:15 | 220.00
MCO | TYS | WN | 0 | 09:00 | 11:30 | 185.00
MCO | TYS | UA | 1 (IAD) | 10:30 | 14:15 | 240.00
MCO | TYS | F9 | 0 | 12:00 | 14:30 | 160.00
MCO | TYS | NK | 1 (BWI) | 13:30 | 17:15 | 200.00
MCO | TYS | B6 | 0 | 15:00 | 17:30 | 190.00
MCO | TYS | AS | 1 (CLT) | 16:30 | 20:15 | 230.00

TYS | MCO | AA | 0 | 06:00 | 08:30 | 198.00
TYS | MCO | DL | 1 (ATL) | 07:30 | 11:15 | 220.00
TYS | MCO | WN | 0 | 09:00 | 11:30 | 185.00
TYS | MCO | UA | 1 (IAD) | 10:30 | 14:15 | 240.00
TYS | MCO | F9 | 0 | 12:00 | 14:30 | 160.00
TYS | MCO | NK | 1 (BWI) | 13:30 | 17:15 | 200.00
TYS | MCO | B6 | 0 | 15:00 | 17:30 | 190.00
TYS | MCO | AS | 1 (CLT) | 16:30 | 20:15 | 230.00


Here are the 16 flight plans:

MCO | AVL | Delta | 0 | 06:00 | 08:15 | 198.00
MCO | AVL | American | 1 (CLT) | 07:30 | 10:45 | 220.00
MCO | AVL | United | 0 | 09:00 | 11:20 | 235.00
MCO | AVL | Spirit | 1 (FLL) | 10:15 | 13:30 | 180.00
MCO | AVL | Frontier | 0 | 11:45 | 14:05 | 190.00
MCO | AVL | JetBlue | 1 (BOS) | 13:00 | 16:20 | 250.00
MCO | AVL | Southwest | 0 | 14:30 | 16:50 | 210.00
MCO | AVL | Allegiant | 1 (PGD) | 16:00 | 19:20 | 200.00
AVL | MCO | Delta | 0 | 06:30 | 08:45 | 205.00
AVL | MCO | American | 1 (PHL) | 08:00 | 11:15 | 240.00
AVL | MCO | United | 0 | 09:45 | 12:05 | 225.00
AVL | MCO | Spirit | 1 (MYR) | 11:20 | 14:40 | 195.00
AVL | MCO | Frontier | 0 | 12:50 | 15:10 | 215.00
AVL | MCO | JetBlue | 1 (JFK) | 14:20 | 17:40 | 260.00
AVL | MCO | Southwest | 0 | 15:55 | 18:15 | 230.00
AVL | MCO | Allegiant | 1 (SRQ) | 17:30 | 20:50 | 210.00


Here are the 16 flight plans:

MCO | JAC | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
MCO | JAC | Delta Air Lines | 1 stop (ATL) | 09:15 | 13:45 | 520.00
MCO | JAC | United Airlines | Non-stop | 10:30 | 14:00 | 480.00
MCO | JAC | Spirit Airlines | 1 stop (DFW) | 11:45 | 16:15 | 420.00
MCO | JAC | Frontier Airlines | Non-stop | 13:00 | 16:30 | 400.00
MCO | JAC | Alaska Airlines | 1 stop (SEA) | 14:15 | 18:45 | 550.00
MCO | JAC | JetBlue Airways | Non-stop | 15:30 | 19:00 | 460.00
MCO | JAC | Southwest Airlines | 1 stop (DEN) | 16:45 | 21:15 | 500.00
JAC | MCO | American Airlines | Non-stop | 08:00 | 12:30 | 430.00
JAC | MCO | Delta Air Lines | 1 stop (SFO) | 09:15 | 14:45 | 540.00
JAC | MCO | United Airlines | Non-stop | 10:30 | 15:00 | 490.00
JAC | MCO | Spirit Airlines | 1 stop (LAX) | 11:45 | 16:15 | 440.00
JAC | MCO | Frontier Airlines | Non-stop | 13:00 | 16:30 | 410.00
JAC | MCO | Alaska Airlines | 1 stop (PDX) | 14:15 | 18:45 | 560.00
JAC | MCO | JetBlue Airways | Non-stop | 15:30 | 19:00 | 470.00
JAC | MCO | Southwest Airlines | 1 stop (PHX) | 16:45 | 21:15 | 510.00


Here are the 16 flight plans:

MCO | EYW | AA | 0 | 08:00 | 09:15 | 198.00
MCO | EYW | UA | 1 (FLL) | 09:30 | 11:45 | 220.00
MCO | EYW | DL | 0 | 11:00 | 12:20 | 180.00
MCO | EYW | WN | 1 (TPA) | 12:30 | 14:50 | 240.00
MCO | EYW | AS | 0 | 14:00 | 15:25 | 200.00
MCO | EYW | B6 | 1 (JFK) | 15:30 | 18:00 | 280.00
MCO | EYW | NK | 0 | 16:00 | 17:20 | 160.00
MCO | EYW | F9 | 1 (ATL) | 17:30 | 20:00 | 260.00
EYW | MCO | AA | 0 | 08:00 | 09:15 | 198.00
EYW | MCO | UA | 1 (FLL) | 09:30 | 11:45 | 220.00
EYW | MCO | DL | 0 | 11:00 | 12:20 | 180.00
EYW | MCO | WN | 1 (TPA) | 12:30 | 14:50 | 240.00
EYW | MCO | AS | 0 | 14:00 | 15:25 | 200.00
EYW | MCO | B6 | 1 (JFK) | 15:30 | 18:00 | 280.00
EYW | MCO | NK | 0 | 16:00 | 17:20 | 160.00
EYW | MCO | F9 | 1 (ATL) | 17:30 | 20:00 | 260.00


MCO | RNO | AA | 1 (DFW) | 08:00 | 11:30 | 450.00
MCO | RNO | UA | 1 (IAH) | 09:15 | 12:45 | 520.00
MCO | RNO | WN | 1 (DEN) | 10:30 | 14:00 | 380.00
MCO | RNO | DL | 1 (ATL) | 11:45 | 15:15 | 480.00
MCO | RNO | AS | 1 (SEA) | 13:00 | 16:30 | 500.00
MCO | RNO | F9 | 1 (DEN) | 14:15 | 17:45 | 320.00
MCO | RNO | NK | 1 (ORD) | 15:30 | 19:00 | 400.00
MCO | RNO | B6 | 1 (LAX) | 16:45 | 20:15 | 550.00
RNO | MCO | AA | 1 (DFW) | 08:00 | 15:30 | 420.00
RNO | MCO | UA | 1 (SFO) | 09:15 | 16:45 | 500.00
RNO | MCO | WN | 1 (PHX) | 10:30 | 18:00 | 350.00
RNO | MCO | DL | 1 (LAX) | 11:45 | 19:15 | 450.00
RNO | MCO | AS | 1 (PDX) | 13:00 | 20:30 | 480.00
RNO | MCO | F9 | 1 (DEN) | 14:15 | 21:45 | 300.00
RNO | MCO | NK | 1 (ORD) | 15:30 | 23:00 | 380.00
RNO | MCO | B6 | 1 (JFK) | 16:45 | 00:15 | 520.00


Here are the 16 flight plans:

MCO | TVL | AA | 1 (DFW) | 08:00 | 11:15 | 425.00
MCO | TVL | UA | 0 | 09:30 | 12:45 | 450.00
MCO | TVL | DL | 1 (ATL) | 10:15 | 13:30 | 475.00
MCO | TVL | WN | 1 (BNA) | 11:00 | 14:15 | 400.00
MCO | TVL | AS | 1 (SEA) | 12:00 | 15:15 | 500.00
MCO | TVL | B6 | 1 (JFK) | 13:30 | 16:45 | 525.00
MCO | TVL | F9 | 1 (DEN) | 14:45 | 18:00 | 350.00
MCO | TVL | NK | 1 (ORD) | 16:00 | 19:15 | 375.00
TVL | MCO | AA | 1 (PHX) | 08:00 | 14:15 | 450.00
TVL | MCO | UA | 0 | 09:30 | 15:45 | 475.00
TVL | MCO | DL | 1 (SFO) | 10:15 | 16:30 | 500.00
TVL | MCO | WN | 1 (LAX) | 11:00 | 17:15 | 425.00
TVL | MCO | AS | 1 (PDX) | 12:00 | 18:30 | 525.00
TVL | MCO | B6 | 1 (BOS) | 13:30 | 19:45 | 550.00
TVL | MCO | F9 | 1 (IAH) | 14:45 | 20:00 | 400.00
TVL | MCO | NK | 1 (MSP) | 16:00 | 21:15 | 425.00


Here are the 16 flight plans:

MCO | MCD | AA | 0 | 08:00 | 09:30 | 120.00
MCO | MCD | UA | 1 (DFW) | 10:15 | 13:45 | 250.00
MCO | MCD | WN | 0 | 12:00 | 13:30 | 150.00
MCO | MCD | DL | 1 (ATL) | 14:30 | 18:00 | 280.00
MCO | MCD | AS | 0 | 16:00 | 17:30 | 180.00
MCO | MCD | B6 | 1 (FLL) | 18:15 | 21:45 | 220.00
MCO | MCD | F9 | 0 | 20:00 | 21:30 | 130.00
MCO | MCD | NK | 1 (TPA) | 22:15 | 01:45 | 200.00
MCD | MCO | AA | 0 | 08:00 | 09:30 | 120.00
MCD | MCO | UA | 1 (IAH) | 10:15 | 13:45 | 250.00
MCD | MCO | WN | 0 | 12:00 | 13:30 | 150.00
MCD | MCO | DL | 1 (MSP) | 14:30 | 18:00 | 280.00
MCD | MCO | AS | 0 | 16:00 | 17:30 | 180.00
MCD | MCO | B6 | 1 (BOS) | 18:15 | 21:45 | 220.00
MCD | MCO | F9 | 0 | 20:00 | 21:30 | 130.00
MCD | MCO | NK | 1 (CLT) | 22:15 | 01:45 | 200.00


Here are the 16 flight plans:

MCO | PLN | AA | 1 (DTW) | 08:00 | 12:45 | 450.00
MCO | PLN | UA | 0 | 09:30 | 13:15 | 380.00
MCO | PLN | DL | 1 (ATL) | 10:45 | 15:20 | 520.00
MCO | PLN | WN | 1 (STL) | 12:00 | 16:30 | 420.00
MCO | PLN | AS | 0 | 13:15 | 17:00 | 400.00
MCO | PLN | B6 | 1 (BOS) | 14:30 | 18:55 | 480.00
MCO | PLN | F9 | 1 (DEN) | 15:45 | 20:10 | 440.00
MCO | PLN | NK | 1 (ORD) | 17:00 | 21:25 | 460.00
PLN | MCO | AA | 1 (CLT) | 06:00 | 10:20 | 410.00
PLN | MCO | UA | 0 | 07:30 | 11:05 | 350.00
PLN | MCO | DL | 1 (CVG) | 09:00 | 13:25 | 490.00
PLN | MCO | WN | 1 (MDW) | 10:15 | 14:40 | 430.00
PLN | MCO | AS | 0 | 11:45 | 15:20 | 390.00
PLN | MCO | B6 | 1 (JFK) | 13:00 | 16:35 | 470.00
PLN | MCO | F9 | 1 (IAH) | 14:30 | 18:55 | 450.00
PLN | MCO | NK | 1 (EWR) | 16:00 | 20:25 | 480.00


Here are the 16 flight plans:

MCO | OGG | AA | Non-stop | 08:00 | 14:30 | 450.00
MCO | OGG | UA | 1 (LAX) | 09:30 | 17:15 | 520.00
MCO | OGG | DL | Non-stop | 11:00 | 17:30 | 480.00
MCO | OGG | WN | 1 (HNL) | 12:30 | 20:00 | 550.00
MCO | OGG | HA | Non-stop | 14:00 | 20:30 | 500.00
MCO | OGG | AS | 1 (SEA) | 15:30 | 22:15 | 580.00
MCO | OGG | B6 | Non-stop | 17:00 | 23:30 | 530.00
MCO | OGG | F9 | 1 (DEN) | 19:00 | 01:15 | 610.00
OGG | MCO | AA | Non-stop | 08:30 | 19:00 | 480.00
OGG | MCO | UA | 1 (SFO) | 10:00 | 21:45 | 550.00
OGG | MCO | DL | Non-stop | 12:00 | 22:30 | 510.00
OGG | MCO | WN | 1 (PHX) | 13:30 | 00:15 | 580.00
OGG | MCO | HA | Non-stop | 15:00 | 01:30 | 530.00
OGG | MCO | AS | 1 (PDX) | 16:30 | 03:15 | 600.00
OGG | MCO | B6 | Non-stop | 18:00 | 04:30 | 560.00
OGG | MCO | F9 | 1 (ORD) | 20:00 | 06:15 | 630.00


Here are the 16 flight plans:

MCO | RAP | AA | 0 | 08:00 | 11:30 | 450.00
MCO | RAP | UA | 1 (DEN) | 09:30 | 14:15 | 520.00
MCO | RAP | DL | 0 | 11:45 | 15:15 | 480.00
MCO | RAP | WN | 1 (DAL) | 13:00 | 17:30 | 550.00
MCO | RAP | AS | 0 | 14:30 | 18:00 | 500.00
MCO | RAP | F9 | 1 (MDW) | 16:00 | 20:45 | 580.00
MCO | RAP | NK | 0 | 17:30 | 21:00 | 530.00
MCO | RAP | B6 | 1 (JFK) | 19:00 | 23:45 | 610.00
RAP | MCO | AA | 0 | 06:00 | 11:30 | 420.00
RAP | MCO | UA | 1 (IAH) | 08:30 | 14:15 | 490.00
RAP | MCO | DL | 0 | 10:45 | 15:15 | 450.00
RAP | MCO | WN | 1 (PHX) | 12:00 | 17:30 | 510.00
RAP | MCO | AS | 0 | 13:30 | 18:00 | 480.00
RAP | MCO | F9 | 1 (LAS) | 15:00 | 20:45 | 540.00
RAP | MCO | NK | 0 | 16:30 | 21:00 | 500.00
RAP | MCO | B6 | 1 (EWR) | 18:00 | 23:45 | 570.00


Here are the 16 flight plans:

MCO | MYR | AA | 1 (CLT) | 06:00 | 08:15 | 217.50
MCO | MYR | DL | 0 | 08:30 | 10:20 | 192.00
MCO | MYR | WN | 1 (BNA) | 10:45 | 13:05 | 242.00
MCO | MYR | UA | 0 | 12:15 | 14:05 | 205.00
MCO | MYR | F9 | 1 (ATL) | 14:30 | 16:45 | 189.00
MCO | MYR | NK | 0 | 16:00 | 17:50 | 220.00
MCO | MYR | B6 | 1 (JFK) | 17:30 | 20:00 | 255.00
MCO | MYR | SY | 0 | 19:00 | 20:50 | 199.00
MYR | MCO | AA | 0 | 06:00 | 07:45 | 182.00
MYR | MCO | DL | 1 (ATL) | 07:30 | 10:15 | 225.00
MYR | MCO | WN | 0 | 09:00 | 10:45 | 195.00
MYR | MCO | UA | 1 (EWR) | 11:15 | 13:55 | 240.00
MYR | MCO | F9 | 0 | 12:30 | 14:15 | 210.00
MYR | MCO | NK | 1 (PBI) | 14:45 | 17:20 | 230.00
MYR | MCO | B6 | 0 | 16:00 | 17:45 | 200.00
MYR | MCO | SY | 1 (TPA) | 17:30 | 20:05 | 245.00


Here are the 16 flight plans:

MCO | OAK | AA | 1 (DFW) | 08:00 | 11:15 | 425.00
MCO | OAK | UA | 2 (IAH, DEN) | 09:30 | 14:45 | 550.00
MCO | OAK | WN | 0 | 11:45 | 15:00 | 395.00
MCO | OAK | DL | 1 (ATL) | 13:15 | 16:30 | 475.00
MCO | OAK | AS | 2 (MIA, SEA) | 14:50 | 20:05 | 625.00
MCO | OAK | B6 | 1 (FLL) | 16:20 | 19:35 | 450.00
MCO | OAK | NK | 0 | 17:40 | 20:55 | 375.00
MCO | OAK | F9 | 1 (DEN) | 19:10 | 22:25 | 425.00

OAK | MCO | AA | 1 (PHX) | 06:00 | 13:15 | 450.00
OAK | MCO | UA | 2 (SFO, IAH) | 07:30 | 15:45 | 600.00
OAK | MCO | WN | 0 | 09:00 | 16:15 | 395.00
OAK | MCO | DL | 1 (LAX) | 11:20 | 18:35 | 525.00
OAK | MCO | AS | 2 (PDX, DFW) | 12:50 | 20:05 | 675.00
OAK | MCO | B6 | 1 (JFK) | 14:15 | 21:30 | 500.00
OAK | MCO | NK | 0 | 15:40 | 22:55 | 375.00
