

Here are the 16 flight plans:

TPA | ANC | AA | 1 (DFW) | 08:00 | 14:30 | 542.50
Here are the 16 flight plans:

TPA | MRY | American Airlines | 1 (DFW) | 08:00 | 11:35 | 542.00
TPA | MRY | Delta Air Lines | 0 | 10:30 | 14:05 | 482.00
TPA | MRY | United Airlines | 1 (IAH) | 12:45 | 16:20 | 512.00
TPA | MRY | Southwest Airlines | 1 (DAL) | 14:00 | 17:35 | 452.00
TPA | MRY | Alaska Airlines | 0 | 16:15 | 19:50 | 522.00
TPA | MRY | JetBlue Airways | 1 (LAX) | 18:30 | 22:05 | 492.00
TPA | MRY | Spirit Airlines | 1 (LAS) | 20:45 | 00:20 | 432.00
TPA | MRY | Frontier Airlines | 0 | 22:00 | 01:35 | 472.00

MRY | TPA | American Airlines | 1 (PHX) | 08:15 | 15:40 | 562.00
MRY | TPA | Delta Air Lines | 0 | 10:50 | 18:15 | 502.00
MRY | TPA | United Airlines | 1 (SFO) | 12:55 | 20:20 | 532.00
MRY | TPA | Southwest Airlines | 1 (SAN) | 14:20 | 21:45 | 462.00
MRY | TPA | Alaska Airlines | 0 | 16:35 | 22:50 | 542.00
MRY | TPA | JetBlue Airways | 1 (JFK) | 18:50 | 00:15 | 492.00
MRY | TPA | Spirit Airlines | 1 (ORD) | 20:55 | 02:20 | 442.00
MRY | TPA | Frontier Airlines | 0 | 22:10 | 03:35 | 482.00


Here are the 16 flight plans:

TPA | SJC | AA | Non-stop | 06:00 | 09:35 | 425.00
TPA | SJC | UA | 1 stop (DEN) | 07:30 | 11:45 | 495.00
TPA | SJC | WN | Non-stop | 08:15 | 11:50 | 395.00
TPA | SJC | DL | 1 stop (ATL) | 09:00 | 13:20 | 525.00
TPA | SJC | AS | Non-stop | 10:45 | 14:10 | 455.00
TPA | SJC | B6 | 1 stop (JFK) | 11:30 | 15:55 | 575.00
TPA | SJC | F9 | Non-stop | 12:15 | 15:40 | 415.00
TPA | SJC | NK | 1 stop (LAS) | 13:00 | 17:25 | 545.00
SJC | TPA | AA | Non-stop | 06:30 | 14:05 | 450.00
SJC | TPA | UA | 1 stop (ORD) | 07:45 | 15:10 | 520.00
SJC | TPA | WN | Non-stop | 09:00 | 16:35 | 420.00
SJC | TPA | DL | 1 stop (MSP) | 10:15 | 17:40 | 560.00
SJC | TPA | AS | Non-stop | 11:30 | 19:05 | 480.00
SJC | TPA | B6 | 1 stop (BOS) | 12:45 | 20:10 | 600.00
SJC | TPA | F9 | Non-stop | 13:50 | 21:25 | 440.00
SJC | TPA | NK | 1 stop (PHX) | 14:55 | 22:30 | 580.00


Here are the 16 flight plans:

TPA | EGE | American Airlines | 1 (DFW) | 08:00 | 12:45 | 543.00
TPA | EGE | Delta Air Lines | 0 | 09:30 | 13:15 | 482.00
TPA | EGE | United Airlines | 1 (IAH) | 10:15 | 14:50 | 512.00
TPA | EGE | Frontier Airlines | 1 (DEN) | 11:45 | 16:20 | 428.00
TPA | EGE | Southwest Airlines | 1 (DAL) | 12:30 | 17:05 | 495.00
TPA | EGE | JetBlue Airways | 1 (JFK) | 13:15 | 18:00 | 558.00
TPA | EGE | Spirit Airlines | 1 (LAS) | 14:00 | 18:45 | 388.00
TPA | EGE | Alaska Airlines | 1 (SEA) | 15:45 | 20:30 | 598.00
EGE | TPA | American Airlines | 1 (PHX) | 07:00 | 13:35 | 523.00
EGE | TPA | Delta Air Lines | 0 | 08:30 | 14:15 | 492.00
EGE | TPA | United Airlines | 1 (SFO) | 09:15 | 15:00 | 538.00
EGE | TPA | Frontier Airlines | 1 (MCO) | 10:45 | 16:20 | 418.00
EGE | TPA | Southwest Airlines | 1 (HOU) | 11:30 | 16:55 | 488.00
EGE | TPA | JetBlue Airways | 1 (BOS) | 12:15 | 17:50 | 573.00
EGE | TPA | Spirit Airlines | 1 (ORD) | 13:00 | 18:35 | 398.00
EGE | TPA | Alaska Airlines | 1 (PDX) | 14:45 | 20:20 | 628.00


Here are the 16 flight plans:

TPA | CHS | AA | 0 | 08:00 | 09:35 | 198.00
TPA | CHS | DL | 1 (ATL) | 09:30 | 12:05 | 220.00
TPA | CHS | UA | 0 | 11:45 | 13:20 | 180.00
TPA | CHS | WN | 1 (BHM) | 13:15 | 15:50 | 240.00
TPA | CHS | AS | 0 | 14:50 | 16:25 | 200.00
TPA | CHS | F9 | 1 (CLT) | 16:20 | 18:55 | 210.00
TPA | CHS | NK | 0 | 17:40 | 19:15 | 190.00
TPA | CHS | B6 | 1 (JFK) | 19:10 | 21:45 | 230.00
CHS | TPA | AA | 0 | 06:30 | 08:05 | 185.00
CHS | TPA | DL | 1 (ATL) | 08:00 | 10:35 | 225.00
CHS | TPA | UA | 0 | 10:15 | 11:50 | 195.00
CHS | TPA | WN | 1 (BHM) | 11:50 | 14:25 | 245.00
CHS | TPA | AS | 0 | 13:25 | 15:00 | 205.00
CHS | TPA | F9 | 1 (CLT) | 14:55 | 17:30 | 215.00
CHS | TPA | NK | 0 | 16:15 | 17:50 | 205.00
CHS | TPA | B6 | 1 (JFK) | 17:45 | 20:20 | 235.00


Here are the 16 flight plans:

TPA | RAP | AA | 0 | 08:00 | 11:15 | 425.00
TPA | RAP | UA | 1 (DEN) | 09:30 | 14:05 | 550.00
TPA | RAP | DL | 0 | 11:45 | 15:00 | 475.00
TPA | RAP | WN | 1 (MDW) | 13:15 | 17:40 | 520.00
TPA | RAP | AS | 0 | 15:00 | 18:20 | 450.00
TPA | RAP | F9 | 1 (IAH) | 16:30 | 20:55 | 490.00
TPA | RAP | NK | 1 (ORD) | 18:00 | 22:25 | 505.00
TPA | RAP | B6 | 0 | 20:15 | 23:35 | 480.00
RAP | TPA | AA | 0 | 08:30 | 12:45 | 440.00
RAP | TPA | UA | 1 (SFO) | 10:00 | 15:25 | 570.00
RAP | TPA | DL | 0 | 12:15 | 16:30 | 490.00
RAP | TPA | WN | 1 (DAL) | 14:00 | 18:25 | 535.00
RAP | TPA | AS | 0 | 15:45 | 20:00 | 460.00
RAP | TPA | F9 | 1 (LAX) | 17:15 | 21:40 | 510.00
RAP | TPA | NK | 1 (MCO) | 19:00 | 23:25 | 525.00
RAP | TPA | B6 | 0 | 20:45 | 00:10 | 495.00


Here are the 16 flight plans:

TPA | FCA | AA | 1 (ORD) | 08:00 | 18:30 | 450.00
TPA | FCA | UA | 2 (EWR, DEN) | 09:30 | 20:45 | 520.00
TPA | FCA | DL | 0 | 11:15 | 19:50 | 380.00
TPA | FCA | WN | 1 (MDW) | 12:45 | 21:10 | 420.00
TPA | FCA | AS | 2 (SEA, PDX) | 14:00 | 23:20 | 580.00
TPA | FCA | B6 | 1 (JFK) | 15:30 | 22:50 | 500.00
TPA | FCA | F9 | 1 (DEN) | 17:00 | 00:30 | 480.00
TPA | FCA | NK | 2 (FLL, LAS) | 19:15 | 02:40 | 550.00
FCA | TPA | AA | 1 (DFW) | 06:00 | 16:20 | 420.00
FCA | TPA | UA | 2 (SFO, IAH) | 07:30 | 18:50 | 520.00
FCA | TPA | DL | 0 | 09:45 | 19:10 | 380.00
FCA | TPA | WN | 1 (PHX) | 11:15 | 20:40 | 440.00
FCA | TPA | AS | 2 (PDX, SEA) | 12:50 | 22:15 | 580.00
FCA | TPA | B6 | 1 (BOS) | 14:20 | 23:45 | 500.00
FCA | TPA | F9 | 1 (DEN) | 16:00 | 00:25 | 480.00
FCA | TPA | NK | 2 (LAS, FLL) | 18:30 | 02:55 | 550.00


Here are the 16 flight plans:

TPA | FLG | American Airlines | Non-stop | 06:00 | 08:30 | 250.00
TPA | FLG | Delta Air Lines | 1 stop (ATL) | 08:15 | 12:45 | 320.00
TPA | FLG | United Airlines | Non-stop | 10:30 | 13:00 | 280.00
TPA | FLG | Southwest Airlines | 1 stop (DAL) | 12:00 | 16:30 | 350.00
TPA | FLG | Alaska Airlines | Non-stop | 14:45 | 17:15 | 300.00
TPA | FLG | JetBlue Airways | 1 stop (BOS) | 16:30 | 20:45 | 380.00
TPA | FLG | Spirit Airlines | Non-stop | 18:00 | 20:30 | 220.00
TPA | FLG | Frontier Airlines | 1 stop (DEN) | 19:30 | 23:45 | 400.00
FLG | TPA | American Airlines | Non-stop | 06:30 | 09:00 | 270.00
FLG | TPA | Delta Air Lines | 1 stop (SFO) | 08:45 | 13:15 | 340.00
FLG | TPA | United Airlines | Non-stop | 11:15 | 13:45 | 290.00
FLG | TPA | Southwest Airlines | 1 stop (PHX) | 12:45 | 16:15 | 360.00
FLG | TPA | Alaska Airlines | Non-stop | 15:00 | 17:30 | 310.00
FLG | TPA | JetBlue Airways | 1 stop (JFK) | 16:45 | 20:15 | 390.00
FLG | TPA | Spirit Airlines | Non-stop | 18:15 | 20:45 | 230.00
FLG | TPA | Frontier Airlines | 1 stop (ORD) | 19:45 | 23:15 | 410.00


TPA | TYS | American Airlines | 0 | 08:00 | 09:35 | 198.00
TPA | TYS | Delta Air Lines | 1 (ATL) | 09:15 | 12:05 | 258.00
TPA | TYS | United Airlines | 0 | 10:45 | 12:20 | 220.00
TPA | TYS | Southwest Airlines | 1 (BNA) | 11:30 | 14:10 | 288.00
TPA | TYS | JetBlue Airways | 0 | 13:00 | 14:35 | 240.00
TPA | TYS | Spirit Airlines | 1 (FLL) | 14:15 | 16:50 | 198.00
TPA | TYS | Frontier Airlines | 0 | 15:30 | 17:05 | 210.00
TPA | TYS | Alaska Airlines | 1 (ORD) | 16:45 | 19:20 | 268.00
TYS | TPA | American Airlines | 0 | 08:30 | 10:05 | 208.00
TYS | TPA | Delta Air Lines | 1 (ATL) | 09:50 | 12:40 | 278.00
TYS | TPA | United Airlines | 0 | 11:10 | 12:45 | 230.00
TYS | TPA | Southwest Airlines | 1 (BNA) | 12:35 | 15:15 | 298.00
TYS | TPA | JetBlue Airways | 0 | 14:00 | 15:35 | 250.00
TYS | TPA | Spirit Airlines | 1 (FLL) | 15:20 | 17:55 | 218.00
TYS | TPA | Frontier Airlines | 0 | 16:40 | 18:15 | 225.00
TYS | TPA | Alaska Airlines | 1 (ORD) | 18:00 | 20:35 | 285.00


TPA | AVL | AA | 0 | 09:00 | 11:30 | 250.00 
TPA | AVL | AA | 0 | 10:00 | 12:30 | 270.00 
TPA | AVL | UA | 0 | 11:00 | 12:00 | 280.00 
TPA | AVL | UA | 0 | 12:00 | 13:00 | 290.00 
TPA | AVL | DL | 0 | 09:30 | 11:00 | 260.00 
TPA | AVL | DL | 0 | 10:30 | 12:00 | 270.00 
TPA | AVL | WN | 0 | 11:30 | 12:30 | 280.00 
TPA | AVL | WN | 0 | 12:30 | 13:30 | 290.00 
AVL | TPA | AA | 0 | 09:00 | 10:30 | 250.00 
AVL | TPA | AA | 0 | 10:00 | 11:30 | 270.00 
AVL | TPA | UA | 0 | 09:30 | 10:30 | 260.00 
AVL | TPA | UA | 0 | 10:30 | 11:30 | 280.00 
AVL | TPA | DL | 0 | 09:00 | 10:00 | 250.00 
AVL | TPA | DL | 0 | 10:00 | 11:00 | 270.00 
AVL | TPA | WN | 0 | 09:30 | 10:30 | 260.00 
AVL | TPA | WN | 0 | 10:30 | 11:30 | 280.00


Here are the 16 flight plans:

TPA | JAC | AA | 0 | 08:00 | 11:30 | 450.00
TPA | JAC | UA | 1 (DEN) | 09:15 | 14:45 | 520.00
TPA | JAC | DL | 0 | 10:30 | 14:00 | 480.00
TPA | JAC | WN | 1 (DAL) | 11:45 | 16:15 | 550.00
TPA | JAC | AS | 0 | 13:00 | 16:30 | 500.00
TPA | JAC | F9 | 1 (MCO) | 14:15 | 18:45 | 580.00
TPA | JAC | NK | 0 | 15:30 | 19:00 | 530.00
TPA | JAC | B6 | 1 (JFK) | 16:45 | 21:15 | 610.00
JAC | TPA | AA | 0 | 06:00 | 09:30 | 420.00
JAC | TPA | UA | 1 (SFO) | 07:15 | 12:45 | 490.00
JAC | TPA | DL | 0 | 08:30 | 12:00 | 460.00
JAC | TPA | WN | 1 (PHX) | 09:45 | 14:15 | 510.00
JAC | TPA | AS | 0 | 11:00 | 14:30 | 480.00
JAC | TPA | F9 | 1 (ORD) | 12:15 | 16:45 | 540.00
JAC | TPA | NK | 0 | 13:30 | 17:00 | 500.00
JAC | TPA | B6 | 1 (LAX) | 14:45 | 19:15 | 570.00


Here are the 16 flight plans:

TPA | EYW | American Airlines | Non-stop | 08:00 | 09:30 | 198.00
TPA | EYW | Delta Air Lines | 1 stop (MIA) | 09:15 | 12:45 | 258.00
TPA | EYW | United Airlines | Non-stop | 10:30 | 12:00 | 220.00
TPA | EYW | Spirit Airlines | 1 stop (FLL) | 11:45 | 15:15 | 178.00
TPA | EYW | JetBlue Airways | Non-stop | 13:00 | 14:30 | 240.00
TPA | EYW | Frontier Airlines | 1 stop (RSW) | 14:15 | 17:45 | 208.00
TPA | EYW | Southwest Airlines | Non-stop | 15:30 | 17:00 | 230.00
TPA | EYW | Allegiant Air | 1 stop (PGD) | 16:45 | 20:15 | 190.00
EYW | TPA | American Airlines | Non-stop | 08:00 | 09:30 | 205.00
EYW | TPA | Delta Air Lines | 1 stop (MIA) | 09:15 | 12:45 | 265.00
EYW | TPA | United Airlines | Non-stop | 10:30 | 12:00 | 235.00
EYW | TPA | Spirit Airlines | 1 stop (FLL) | 11:45 | 15:15 | 185.00
EYW | TPA | JetBlue Airways | Non-stop | 13:00 | 14:30 | 250.00
EYW | TPA | Frontier Airlines | 1 stop (RSW) | 14:15 | 17:45 | 220.00
EYW | TPA | Southwest Airlines | Non-stop | 15:30 | 17:00 | 240.00
EYW | TPA | Allegiant Air | 1 stop (PGD) | 16:45 | 20:15 | 200.00


Here are the 16 flight plans:

TPA | RNO | AA | 0 | 08:00 | 11:30 | 450.00
TPA | RNO | UA | 1 (DEN) | 09:15 | 13:45 | 520.00
TPA | RNO | WN | 0 | 10:30 | 14:00 | 480.00
TPA | RNO | DL | 1 (ATL) | 11:45 | 16:15 | 550.00
TPA | RNO | AS | 0 | 13:00 | 16:30 | 500.00
TPA | RNO | F9 | 1 (IAH) | 14:15 | 18:45 | 580.00
TPA | RNO | B6 | 0 | 15:30 | 19:00 | 530.00
TPA | RNO | NK | 1 (ORD) | 16:45 | 21:15 | 610.00

RNO | TPA | AA | 0 | 06:00 | 13:30 | 420.00
RNO | TPA | UA | 1 (SFO) | 07:15 | 14:45 | 490.00
RNO | TPA | WN | 0 | 08:30 | 15:00 | 450.00
RNO | TPA | DL | 1 (LAX) | 09:45 | 16:15 | 510.00
RNO | TPA | AS | 0 | 11:00 | 16:30 | 470.00
RNO | TPA | F9 | 1 (PHX) | 12:15 | 18:45 | 540.00
RNO | TPA | B6 | 0 | 13:30 | 19:00 | 500.00
RNO | TPA | NK | 1 (DFW) | 14:45 | 21:15 | 570.00


Here are the 16 flight plans:

TPA | TVL | AA | 1 (DEN) | 08:00 | 11:30 | 425.00
TPA | TVL | UA | 0 | 09:30 | 12:50 | 475.00
TPA | TVL | DL | 1 (ATL) | 10:15 | 14:00 | 395.00
TPA | TVL | WN | 1 (DAL) | 11:45 | 15:20 | 365.00
TPA | TVL | AS | 1 (SEA) | 12:30 | 16:10 | 435.00
TPA | TVL | B6 | 1 (JFK) | 13:15 | 16:50 | 405.00
TPA | TVL | F9 | 1 (DEN) | 14:00 | 17:30 | 355.00
TPA | TVL | NK | 1 (ORD) | 15:30 | 19:00 | 375.00

TVL | TPA | AA | 1 (PHX) | 06:00 | 13:30 | 450.00
TVL | TPA | UA | 0 | 07:30 | 14:50 | 500.00
TVL | TPA | DL | 1 (SFO) | 08:15 | 15:40 | 420.00
TVL | TPA | WN | 1 (LAS) | 09:45 | 16:20 | 385.00
TVL | TPA | AS | 1 (PDX) | 10:30 | 17:10 | 445.00
TVL | TPA | B6 | 1 (LAX) | 11:15 | 17:50 | 415.00
TVL | TPA | F9 | 1 (IAH) | 12:00 | 18:30 | 345.00
TVL | TPA | NK | 1 (MIA) | 13:30 | 20:00 | 365.00


Here are the 16 flight plans:

TPA | PLN | Delta | 1 (DTW) | 08:00 | 12:45 | 542.00
TPA | PLN | American | 0 | 10:30 | 14:15 | 480.00
TPA | PLN | United | 1 (ORD) | 12:15 | 17:00 | 510.00
TPA | PLN | Frontier | 0 | 14:45 | 18:30 | 420.00
TPA | PLN | Spirit | 1 (ATL) | 16:00 | 20:45 | 450.00
TPA | PLN | JetBlue | 0 | 18:30 | 22:15 | 500.00
TPA | PLN | Southwest | 1 (BNA) | 20:15 | 00:50 | 530.00
TPA | PLN | Alaska | 0 | 22:00 | 02:45 | 550.00

PLN | TPA | Delta | 1 (DTW) | 08:30 | 13:15 | 520.00
PLN | TPA | American | 0 | 11:00 | 14:45 | 460.00
PLN | TPA | United | 1 (ORD) | 13:45 | 18:30 | 490.00
PLN | TPA | Frontier | 0 | 16:15 | 20:00 | 440.00
PLN | TPA | Spirit | 1 (ATL) | 18:00 | 22:45 | 470.00
PLN | TPA | JetBlue | 0 | 20:30 | 00:15 | 510.00
PLN | TPA | Southwest | 1 (BNA) | 22:15 | 02:50 | 540.00
PLN | TPA | Alaska | 0 | 23:45 | 04:30 | 560.00


Here are the 16 flight plans:

TPA | OGG | AA | 0 | 08:00 | 17:30 | 549.00
TPA | OGG | UA | 1 (LAX) | 09:30 | 19:45 | 619.00
TPA | OGG | DL | 0 | 11:00 | 20:15 | 599.00
TPA | OGG | WN | 1 (DEN) | 12:30 | 22:00 | 649.00
TPA | OGG | HA | 0 | 14:00 | 23:15 | 629.00
TPA | OGG | AS | 1 (SEA) | 15:30 | 00:45 | 679.00
TPA | OGG | B6 | 0 | 17:00 | 02:15 | 659.00
TPA | OGG | F9 | 1 (PHX) | 18:30 | 04:00 | 699.00

OGG | TPA | AA | 0 | 08:30 | 18:00 | 579.00
OGG | TPA | UA | 1 (SFO) | 09:45 | 20:10 | 649.00
OGG | TPA | DL | 0 | 11:15 | 21:30 | 629.00
OGG | TPA | WN | 1 (LAX) | 12:45 | 23:05 | 699.00
OGG | TPA | HA | 0 | 14:15 | 00:30 | 659.00
OGG | TPA | AS | 1 (PDX) | 15:45 | 02:10 | 719.00
OGG | TPA | B6 | 0 | 17:15 | 03:35 | 689.00
OGG | TPA | F9 | 1 (DFW) | 18:45 | 05:05 | 739.00


Here are the 16 flight plans:

TPA | RAP | American Airlines | Non-stop | 06:00 | 08:30 | 450.00
TPA | RAP | Delta Air Lines | 1 stop (DEN) | 08:30 | 12:45 | 520.00
TPA | RAP | United Airlines | Non-stop | 10:00 | 12:30 | 480.00
TPA | RAP | Southwest Airlines | 1 stop (ORD) | 12:00 | 16:15 | 550.00
TPA | RAP | Alaska Airlines | Non-stop | 14:00 | 16:30 | 500.00
TPA | RAP | JetBlue Airways | 1 stop (LAX) | 16:00 | 20:15 | 580.00
TPA | RAP | Spirit Airlines | Non-stop | 18:00 | 20:30 | 420.00
TPA | RAP | Frontier Airlines | 1 stop (MCO) | 20:00 | 00:15 | 600.00
RAP | TPA | American Airlines | Non-stop | 06:00 | 08:30 | 450.00
RAP | TPA | Delta Air Lines | 1 stop (ATL) | 08:30 | 12:45 | 520.00
RAP | TPA | United Airlines | Non-stop | 10:00 | 12:30 | 480.00
RAP | TPA | Southwest Airlines | 1 stop (DAL) | 12:00 | 16:15 | 550.00
RAP | TPA | Alaska Airlines | Non-stop | 14:00 | 16:30 | 500.00
RAP | TPA | JetBlue Airways | 1 stop (JFK) | 16:00 | 20:15 | 580.00
RAP | TPA | Spirit Airlines | Non-stop | 18:00 | 20:30 | 420.00
RAP | TPA | Frontier Airlines | 1 stop (DEN) | 20:00 | 00:15 | 600.00


Here are the 16 flight plans:

TPA | MYR | AA | 0 | 06:00 | 07:30 | 198.00
TPA | MYR | DL | 1 (ATL) | 08:15 | 11:45 | 258.00
TPA | MYR | UA | 0 | 10:30 | 12:00 | 220.00
TPA | MYR | WN | 1 (BHM) | 12:45 | 16:15 | 288.00
TPA | MYR | F9 | 0 | 14:00 | 15:30 | 180.00
TPA | MYR | NK | 1 (EWR) | 16:15 | 20:45 | 308.00
TPA | MYR | B6 | 0 | 18:30 | 20:00 | 240.00
TPA | MYR | SY | 1 (MCO) | 20:45 | 00:15 | 320.00

MYR | TPA | AA | 0 | 06:30 | 08:00 | 210.00
MYR | TPA | DL | 1 (CLT) | 08:45 | 12:15 | 280.00
MYR | TPA | UA | 0 | 11:00 | 12:30 | 230.00
MYR | TPA | WN | 1 (JAX) | 13:15 | 16:45 | 300.00
MYR | TPA | F9 | 0 | 14:30 | 16:00 | 190.00
MYR | TPA | NK | 1 (PBI) | 16:45 | 21:15 | 330.00
MYR | TPA | B6 | 0 | 18:00 | 19:30 | 250.00
MYR | TPA | SY | 1 (RSW) | 20:00 | 23:30 | 350.00


Here are the 16 flight plans:

TPA | OAK | AA | 1 (DEN) | 08:00 | 11:30 | 450.00
TPA | OAK | UA | 2 (IAH, SFO) | 09:15 | 14:45 | 520.00
TPA | OAK | WN | 0 | 10:30 | 13:45 | 380.00
TPA | OAK | DL | 1 (ATL) | 11:45 | 15:15 | 480.00
TPA | OAK | AS | 1 (SEA) | 13:00 | 16:30 | 500.00
TPA | OAK | F9 | 0 | 14:15 | 17:30 | 320.00
TPA | OAK | B6 | 1 (JFK) | 15:30 | 19:00 | 550.00
TPA | OAK | NK | 0 | 17:00 | 20:15 | 400.00
OAK | TPA | AA | 1 (PHX) | 08:30 | 16:45 | 420.00
OAK | TPA | UA | 2 (SFO, IAH) | 09:45 | 18:15 | 580.00
OAK | TPA | WN | 0 | 11:00 | 18:15 | 360.00
OAK | TPA | DL | 1 (LAX) | 12:15 | 20:30 | 500.00
OAK | TPA | AS | 1 (PDX) | 13:30 | 21:45 | 520.00
OAK | TPA | F9 | 0 | 14:45 | 22:00 | 340.00
OAK | TPA | B6 | 1 (BOS) | 16:00 | 23:15 | 570.00
OAK | TPA | NK | 0 | 17:15 | 23:30 | 440.00


Here are the 16 flight plans:

TPA | SMF | Delta | 1 (DEN) | 08:00 | 11:15 | 425.00
TPA | SMF | American | 0 | 09:30 | 12:45 | 450.00
TPA | SMF | United | 1 (IAH) | 10:45 | 14:00 | 395.00
TPA | SMF | Southwest | 0 | 12:00 | 15:15 | 375.00
TPA | SMF | Alaska | 1 (SEA) | 13:15 | 16:30 | 410.00
TPA | SMF | JetBlue | 0 | 14:30 | 17:45 | 435.00
TPA | SMF | Spirit | 1 (LAS) | 15:45 | 19:00 | 320.00
TPA | SMF | Frontier | 0 | 17:00 | 20:15 | 355.00
SMF | TPA | Delta | 1 (ATL) | 08:00 | 15:15 | 440.00
SMF | TPA | American | 0 | 09:30 | 16:45 | 470.00
SMF | TPA | United | 1 (SFO) | 10:45 | 18:00 | 420.00
SMF | TPA | Southwest | 0 | 12:00 | 19:15 | 390.00
SMF | TPA | Alaska | 1 (PDX) | 13:15 | 20:30 | 455.00
SMF | TPA | JetBlue | 0 | 14:30 | 21:45 | 480.00
SMF | TPA | Spirit | 1 (PHX) | 15:45 | 23:00 | 340.00
SMF | TPA | Frontier | 0 | 17:00 | 00:15 | 365.00


Here are the 16 flight plans:

TPA | SAF | AA | 0 | 08:00 | 10:30 | 250.00
TPA | SAF | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
TPA | SAF | WN | 0 | 10:45 | 13:15 | 220.00
TPA | SAF | DL | 1 (ATL) | 11:30 | 15:00 | 350.00
TPA | SAF | F9 | 0 | 12:00 | 14:30 | 280.00
TPA | SAF | AS | 1 (SEA) | 13:15 | 16:45 | 380.00
TPA | SAF | B6 | 0 | 14:30 | 17:00 | 240.00
TPA | SAF | NK | 1 (MCO) | 15:45 | 19:15 | 300.00
SAF | TPA | AA | 0 | 08:00 | 10:30 | 250.00
SAF | TPA | UA | 1 (IAH) | 09:15 | 12:45 | 320.00
SAF | TPA | WN | 0 | 10:45 | 13:15 | 220.00
SAF | TPA | DL | 1 (LAX) | 11:30 | 15:00 | 350.00
SAF | TPA | F9 | 0 | 12:00 | 14:30 | 280.00
