

Here are the 16 flight plans:

IAH | PHL | United | Non-stop | 06:00 | 10:05 | 258.00
CLT | IAH | Alaska Airlines | 1 stop (SFO) | 15:15 | 18:40 | 339.50


Here are the 16 flight plans:

IAH | BOS | American Airlines | 0 | 08:00 | 13:45 | 250.00
IAH | BOS | United Airlines | 1 (ORD) | 09:30 | 16:15 | 320.00
IAH | BOS | Delta Air Lines | 0 | 11:15 | 16:50 | 300.00
IAH | BOS | JetBlue Airways | 1 (FLL) | 12:45 | 19:20 | 280.00
IAH | BOS | Spirit Airlines | 1 (ATL) | 14:00 | 20:35 | 240.00
IAH | BOS | Frontier Airlines | 0 | 15:30 | 21:05 | 260.00
IAH | BOS | Southwest Airlines | 1 (BWI) | 16:45 | 22:20 | 290.00
IAH | BOS | Alaska Airlines | 1 (SEA) | 18:00 | 23:35 | 310.00

BOS | IAH | American Airlines | 0 | 06:00 | 11:45 | 230.00
BOS | IAH | United Airlines | 1 (DEN) | 07:30 | 13:15 | 330.00
BOS | IAH | Delta Air Lines | 0 | 09:15 | 14:50 | 270.00
BOS | IAH | JetBlue Airways | 1 (MCO) | 10:45 | 16:20 | 290.00
BOS | IAH | Spirit Airlines | 1 (DTW) | 12:00 | 17:35 | 250.00
BOS | IAH | Frontier Airlines | 0 | 13:30 | 18:05 | 220.00
BOS | IAH | Southwest Airlines | 1 (STL) | 14:45 | 19:20 | 280.00
BOS | IAH | Alaska Airlines | 1 (SFO) | 16:00 | 20:35 | 300.00


Here are the 16 flight plans:

IAH | SEA | United | Non-stop | 08:00 | 10:30 | 420.00
IAH | SEA | American | 1 stop (DFW) | 09:15 | 12:45 | 450.00
IAH | SEA | Delta | Non-stop | 10:45 | 13:15 | 480.00
IAH | SEA | Alaska | 1 stop (SFO) | 11:30 | 15:00 | 500.00
IAH | SEA | Spirit | 1 stop (LAS) | 12:00 | 15:30 | 350.00
IAH | SEA | Frontier | 1 stop (DEN) | 13:15 | 16:45 | 380.00
IAH | SEA | JetBlue | Non-stop | 14:30 | 17:00 | 520.00
IAH | SEA | Southwest | 1 stop (PHX) | 15:45 | 19:15 | 440.00
SEA | IAH | United | Non-stop | 08:00 | 13:30 | 420.00
SEA | IAH | American | 1 stop (ORD) | 09:15 | 15:45 | 450.00
SEA | IAH | Delta | Non-stop | 10:45 | 16:15 | 480.00
SEA | IAH | Alaska | 1 stop (PDX) | 11:30 | 17:00 | 500.00
SEA | IAH | Spirit | 1 stop (DAL) | 12:00 | 17:30 | 350.00
SEA | IAH | Frontier | 1 stop (MCO) | 13:15 | 19:45 | 380.00
SEA | IAH | JetBlue | Non-stop | 14:30 | 20:00 | 520.00
SEA | IAH | Southwest | 1 stop (LAX) | 15:45 | 21:15 | 440.00


Here are the 16 flight plans:

IAH | DEN | United | 0 | 08:00 | 09:35 | 215.00
IAH | DEN | American | 1 (DFW) | 09:15 | 12:20 | 240.50
IAH | DEN | Delta | 0 | 10:45 | 12:20 | 200.00
IAH | DEN | Southwest | 1 (STL) | 11:30 | 14:15 | 230.00
IAH | DEN | United | 0 | 12:00 | 13:35 | 190.00
IAH | DEN | Frontier | 1 (OKC) | 13:15 | 16:10 | 210.00
IAH | DEN | American | 0 | 14:30 | 15:55 | 220.00
IAH | DEN | Spirit | 1 (LAS) | 15:45 | 18:40 | 200.50
DEN | IAH | United | 0 | 08:00 | 11:35 | 220.00
DEN | IAH | Delta | 1 (ATL) | 09:15 | 12:50 | 250.00
DEN | IAH | Southwest | 0 | 10:45 | 13:20 | 210.00
DEN | IAH | American | 1 (PHX) | 11:30 | 14:25 | 240.00
DEN | IAH | Frontier | 0 | 12:00 | 14:35 | 190.00
DEN | IAH | Spirit | 1 (ORD) | 13:15 | 16:10 | 230.00
DEN | IAH | United | 0 | 14:30 | 16:05 | 200.00
DEN | IAH | Delta | 1 (MSP) | 15:45 | 18:40 | 260.50


Here are the 16 flight plans:

IAH | BNA | American Airlines | Non-stop | 06:00 | 08:30 | 250.00
IAH | BNA | United Airlines | 1 stop (DEN) | 07:30 | 11:45 | 320.00
IAH | BNA | Delta Air Lines | Non-stop | 09:00 | 11:20 | 280.00
IAH | BNA | Spirit Airlines | 1 stop (FLL) | 10:30 | 14:50 | 220.00
IAH | BNA | Southwest Airlines | Non-stop | 12:00 | 14:20 | 240.00
IAH | BNA | Frontier Airlines | 1 stop (ATL) | 13:30 | 17:40 | 260.00
IAH | BNA | Alaska Airlines | Non-stop | 15:00 | 17:20 | 300.00
IAH | BNA | JetBlue Airways | 1 stop (JFK) | 16:30 | 20:45 | 290.00
BNA | IAH | American Airlines | Non-stop | 06:30 | 08:00 | 230.00
BNA | IAH | United Airlines | 1 stop (ORD) | 08:00 | 12:15 | 330.00
BNA | IAH | Delta Air Lines | Non-stop | 09:30 | 11:50 | 250.00
BNA | IAH | Spirit Airlines | 1 stop (LAS) | 11:00 | 15:20 | 210.00
BNA | IAH | Southwest Airlines | Non-stop | 12:30 | 14:50 | 220.00
BNA | IAH | Frontier Airlines | 1 stop (MCO) | 14:00 | 18:10 | 270.00
BNA | IAH | Alaska Airlines | Non-stop | 15:30 | 17:50 | 310.00
BNA | IAH | JetBlue Airways | 1 stop (BOS) | 17:00 | 21:15 | 280.00


Here are the 16 flight plans:

IAH | IAD | United | Non-stop | 08:00 | 11:30 | 250.00
IAH | IAD | American | 1 stop (DFW) | 09:15 | 13:45 | 220.00
IAH | IAD | Delta | Non-stop | 10:30 | 14:00 | 280.00
IAH | IAD | Southwest | 1 stop (ATL) | 11:45 | 16:15 | 240.00
IAH | IAD | JetBlue | Non-stop | 13:00 | 16:30 | 260.00
IAH | IAD | Spirit | 1 stop (FLL) | 14:15 | 18:45 | 200.00
IAH | IAD | Frontier | Non-stop | 15:30 | 19:00 | 230.00
IAH | IAD | Alaska | 1 stop (SEA) | 16:45 | 21:15 | 270.00
IAD | IAH | United | Non-stop | 08:00 | 10:30 | 250.00
IAD | IAH | American | 1 stop (CLT) | 09:15 | 12:45 | 220.00
IAD | IAH | Delta | Non-stop | 10:30 | 13:00 | 280.00
IAD | IAH | Southwest | 1 stop (BNA) | 11:45 | 15:15 | 240.00
IAD | IAH | JetBlue | Non-stop | 13:00 | 15:30 | 260.00
IAD | IAH | Spirit | 1 stop (MCO) | 14:15 | 17:45 | 200.00
IAD | IAH | Frontier | Non-stop | 15:30 | 18:00 | 230.00
IAD | IAH | Alaska | 1 stop (DEN) | 16:45 | 20:15 | 270.00


Here are the 16 flight plans:

IAH | DCA | United | Non-stop | 06:00 | 10:15 | 235.00
IAH | DCA | American | 1 stop (CLT) | 07:30 | 12:05 | 275.00
IAH | DCA | Delta | Non-stop | 08:15 | 12:30 | 295.00
IAH | DCA | Southwest | 1 stop (BNA) | 09:00 | 14:20 | 255.00
IAH | DCA | JetBlue | Non-stop | 10:45 | 15:00 | 225.00
IAH | DCA | Spirit | 1 stop (FLL) | 12:15 | 17:30 | 195.00
IAH | DCA | Alaska | Non-stop | 13:30 | 17:45 | 265.00
IAH | DCA | Frontier | 1 stop (DEN) | 15:00 | 20:15 | 245.00

DCA | IAH | United | Non-stop | 06:30 | 09:45 | 220.00
DCA | IAH | American | 1 stop (PHL) | 08:00 | 12:20 | 290.00
DCA | IAH | Delta | Non-stop | 09:15 | 12:30 | 310.00
DCA | IAH | Southwest | 1 stop (STL) | 10:30 | 14:50 | 240.00
DCA | IAH | JetBlue | Non-stop | 12:00 | 15:15 | 210.00
DCA | IAH | Spirit | 1 stop (ATL) | 13:45 | 18:00 | 180.00
DCA | IAH | Alaska | Non-stop | 15:15 | 18:30 | 250.00
DCA | IAH | Frontier | 1 stop (MCO) | 16:30 | 21:45 | 230.00


Here are the 16 flight plans:

IAH | MIA | American Airlines | Non-stop | 06:00 | 09:15 | 258.50
IAH | MIA | United Airlines | 1 stop (ORD) | 07:30 | 11:45 | 298.00
IAH | MIA | Delta Air Lines | Non-stop | 08:15 | 11:30 | 278.00
IAH | MIA | Spirit Airlines | 1 stop (ATL) | 09:00 | 13:15 | 238.50
IAH | MIA | Frontier Airlines | Non-stop | 10:30 | 13:45 | 248.00
IAH | MIA | Southwest Airlines | 1 stop (HOU) | 11:45 | 15:00 | 268.00
IAH | MIA | JetBlue Airways | Non-stop | 13:00 | 16:15 | 288.50
IAH | MIA | Alaska Airlines | 1 stop (SFO) | 14:30 | 18:45 | 308.00

MIA | IAH | American Airlines | Non-stop | 06:30 | 08:45 | 278.00
MIA | IAH | United Airlines | 1 stop (DEN) | 07:45 | 11:00 | 318.50
MIA | IAH | Delta Air Lines | Non-stop | 09:15 | 11:30 | 298.00
MIA | IAH | Spirit Airlines | 1 stop (FLL) | 10:45 | 14:00 | 258.50
MIA | IAH | Frontier Airlines | Non-stop | 12:00 | 14:15 | 268.00
MIA | IAH | Southwest Airlines | 1 stop (TPA) | 13:30 | 16:45 | 288.50
MIA | IAH | JetBlue Airways | Non-stop | 15:00 | 17:15 | 308.00
MIA | IAH | Alaska Airlines | 1 stop (LAX) | 16:30 | 20:45 | 328.50


Here are the 16 flight plans:

IAH | LAS | United | 0 | 08:00 | 09:35 | 198.00
IAH | LAS | American | 1 (DFW) | 09:15 | 12:20 | 220.00
IAH | LAS | Delta | 0 | 10:30 | 12:05 | 240.00
IAH | LAS | Southwest | 0 | 11:45 | 13:20 | 180.00
IAH | LAS | Alaska | 1 (SFO) | 12:50 | 15:55 | 280.00
IAH | LAS | JetBlue | 0 | 14:10 | 15:45 | 200.00
IAH | LAS | Spirit | 1 (DEN) | 15:25 | 18:30 | 250.00
IAH | LAS | Frontier | 0 | 16:40 | 18:15 | 210.00
LAS | IAH | United | 0 | 07:00 | 10:35 | 190.00
LAS | IAH | American | 1 (PHX) | 08:15 | 11:20 | 230.00
LAS | IAH | Delta | 0 | 09:30 | 12:05 | 260.00
LAS | IAH | Southwest | 0 | 10:45 | 13:20 | 170.00
LAS | IAH | Alaska | 1 (LAX) | 11:50 | 14:55 | 290.00
LAS | IAH | JetBlue | 0 | 13:10 | 15:45 | 220.00
LAS | IAH | Spirit | 1 (ORD) | 14:25 | 17:30 | 270.00
LAS | IAH | Frontier | 0 | 15:40 | 18:15 | 240.00


Here are the 16 flight plans:

IAH | MSY | United | Non-stop | 06:00 | 07:45 | 198.00
IAH | MSY | American | 1 stop (DFW) | 07:30 | 10:15 | 220.00
IAH | MSY | Delta | Non-stop | 09:00 | 10:45 | 210.00
IAH | MSY | Spirit | 1 stop (ATL) | 10:00 | 13:30 | 180.00
IAH | MSY | Frontier | Non-stop | 11:30 | 13:15 | 190.00
IAH | MSY | Southwest | 1 stop (HOU) | 12:00 | 14:45 | 240.00
IAH | MSY | JetBlue | Non-stop | 13:30 | 15:15 | 230.00
IAH | MSY | Alaska | 1 stop (SAN) | 14:30 | 17:15 | 260.00
MSY | IAH | United | Non-stop | 06:00 | 07:45 | 198.00
MSY | IAH | American | 1 stop (CLT) | 07:30 | 10:15 | 220.00
MSY | IAH | Delta | Non-stop | 09:00 | 10:45 | 210.00
MSY | IAH | Spirit | 1 stop (FLL) | 10:00 | 13:30 | 180.00
MSY | IAH | Frontier | Non-stop | 11:30 | 13:15 | 190.00
MSY | IAH | Southwest | 1 stop (BHM) | 12:00 | 14:45 | 240.00
MSY | IAH | JetBlue | Non-stop | 13:30 | 15:15 | 230.00
MSY | IAH | Alaska | 1 stop (ORD) | 14:30 | 17:15 | 260.00


Here are the 16 flight plans:

IAH | MCO | United | Non-stop | 06:00 | 09:15 | 250.00
IAH | MCO | American | 1 stop (DFW) | 07:30 | 11:45 | 280.00
IAH | MCO | Delta | Non-stop | 09:00 | 12:15 | 220.00
IAH | MCO | Spirit | 1 stop (FLL) | 10:15 | 14:30 | 200.00
IAH | MCO | Southwest | Non-stop | 11:45 | 15:00 | 240.00
IAH | MCO | JetBlue | 1 stop (ATL) | 13:00 | 17:15 | 260.00
IAH | MCO | Frontier | Non-stop | 14:30 | 17:45 | 230.00
IAH | MCO | Alaska | 1 stop (DEN) | 16:00 | 20:15 | 290.00
MCO | IAH | United | Non-stop | 06:30 | 08:45 | 270.00
MCO | IAH | American | 1 stop (CLT) | 08:00 | 12:15 | 300.00
MCO | IAH | Delta | Non-stop | 09:45 | 12:00 | 250.00
MCO | IAH | Spirit | 1 stop (BHM) | 11:15 | 15:30 | 210.00
MCO | IAH | Southwest | Non-stop | 12:30 | 14:45 | 280.00
MCO | IAH | JetBlue | 1 stop (JFK) | 14:00 | 18:15 | 310.00
MCO | IAH | Frontier | Non-stop | 15:45 | 18:00 | 240.00
MCO | IAH | Alaska | 1 stop (SFO) | 17:15 | 21:30 | 330.00


Here are the 16 flight plans:

IAH | TPA | United | 0 | 08:00 | 11:05 | 220.00
IAH | TPA | American | 1 (MIA) | 09:30 | 13:45 | 280.50
IAH | TPA | Delta | 0 | 10:15 | 13:20 | 240.00
IAH | TPA | Spirit | 1 (FLL) | 11:45 | 16:00 | 190.00
IAH | TPA | Southwest | 0 | 12:30 | 15:35 | 210.00
IAH | TPA | Frontier | 1 (ATL) | 13:15 | 17:20 | 230.50
IAH | TPA | JetBlue | 0 | 14:00 | 16:55 | 250.00
IAH | TPA | Alaska | 1 (MSY) | 15:45 | 19:50 | 270.00
TPA | IAH | United | 0 | 08:30 | 09:35 | 200.00
TPA | IAH | American | 1 (CLT) | 09:00 | 12:05 | 260.50
TPA | IAH | Delta | 0 | 10:45 | 11:50 | 220.00
TPA | IAH | Spirit | 1 (LAX) | 11:15 | 14:20 | 240.00
TPA | IAH | Southwest | 0 | 12:00 | 13:05 | 230.00
TPA | IAH | Frontier | 1 (DEN) | 13:30 | 16:35 | 250.50
TPA | IAH | JetBlue | 0 | 14:15 | 15:20 | 210.00
TPA | IAH | Alaska | 1 (SFO) | 15:00 | 18:05 | 280.00


Here are the 16 flight plans:

IAH | ANC | United | 0 | 08:00 | 12:30 | 425.00
IAH | ANC | American | 1 (DFW) | 09:15 | 15:45 | 550.00
IAH | ANC | Delta | 0 | 10:30 | 15:00 | 475.00
IAH | ANC | Alaska | 1 (SEA) | 11:45 | 17:15 | 520.00
IAH | ANC | United | 2 (DEN, SFO) | 13:00 | 20:30 | 650.00
IAH | ANC | Spirit | 1 (LAX) | 14:15 | 21:45 | 450.00
IAH | ANC | Frontier | 1 (DEN) | 15:30 | 22:00 | 480.00
IAH | ANC | Southwest | 1 (PHX) | 16:45 | 23:15 | 500.00

ANC | IAH | Alaska | 0 | 08:00 | 16:30 | 450.00
ANC | IAH | United | 1 (SFO) | 09:15 | 17:45 | 520.00
ANC | IAH | American | 1 (DFW) | 10:30 | 19:00 | 550.00
ANC | IAH | Delta | 0 | 11:45 | 20:15 | 475.00
ANC | IAH | Spirit | 1 (LAX) | 13:00 | 21:30 | 420.00
ANC | IAH | Frontier | 1 (DEN) | 14:15 | 22:45 | 490.00
ANC | IAH | Southwest | 1 (PHX) | 15:30 | 00:00 | 510.00
ANC | IAH | United | 2 (SFO, LAX) | 16:45 | 02:15 | 620.00


Here are the 16 flight plans:

IAH | SJU | American Airlines | Non-stop | 08:00 | 12:30 | 450.00
IAH | SJU | Delta Air Lines | 1 stop (MIA) | 09:15 | 14:45 | 520.00
IAH | SJU | United Airlines | Non-stop | 10:30 | 15:00 | 480.00
IAH | SJU | Spirit Airlines | 1 stop (FLL) | 11:45 | 17:15 | 400.00
IAH | SJU | JetBlue Airways | Non-stop | 13:00 | 17:30 | 510.00
IAH | SJU | American Airlines | 1 stop (CLT) | 14:15 | 19:45 | 550.00
IAH | SJU | Frontier Airlines | 1 stop (ATL) | 15:30 | 21:00 | 430.00
IAH | SJU | Southwest Airlines | Non-stop | 16:45 | 21:15 | 500.00
SJU | IAH | United Airlines | Non-stop | 08:00 | 11:30 | 420.00
SJU | IAH | Delta Air Lines | 1 stop (ATL) | 09:15 | 13:45 | 480.00
SJU | IAH | American Airlines | Non-stop | 10:30 | 14:00 | 440.00
SJU | IAH | JetBlue Airways | 1 stop (FLL) | 11:45 | 16:15 | 460.00
SJU | IAH | Spirit Airlines | 1 stop (MIA) | 13:00 | 17:30 | 400.00
SJU | IAH | Frontier Airlines | Non-stop | 14:15 | 17:45 | 490.00
SJU | IAH | Southwest Airlines | 1 stop (CLT) | 15:30 | 20:00 | 510.00
SJU | IAH | United Airlines | 1 stop (ORD) | 16:45 | 21:15 | 530.00
SJU | IAH | American Airlines | Non-stop | 18:00 | 21:30 | 450.00


Here are the 16 flight plans:

IAH | BHB | United | Non-stop | 08:00 | 11:30 | 250.00
IAH | BHB | American | 1 stop (DFW) | 09:15 | 13:45 | 220.00
IAH | BHB | Delta | Non-stop | 10:30 | 14:00 | 280.00
IAH | BHB | Southwest | 1 stop (HOU) | 11:45 | 15:15 | 200.00
IAH | BHB | Alaska | Non-stop | 13:00 | 16:30 | 300.00
IAH | BHB | JetBlue | 1 stop (MCO) | 14:15 | 18:45 | 260.00
IAH | BHB | Spirit | Non-stop | 15:30 | 19:00 | 230.00
IAH | BHB | Frontier | 1 stop (DEN) | 16:45 | 21:15 | 240.00

BHB | IAH | United | Non-stop | 08:00 | 11:30 | 250.00
BHB | IAH | American | 1 stop (CLT) | 09:15 | 13:45 | 220.00
BHB | IAH | Delta | Non-stop | 10:30 | 14:00 | 280.00
BHB | IAH | Southwest | 1 stop (BNA) | 11:45 | 15:15 | 200.00
BHB | IAH | Alaska | Non-stop | 13:00 | 16:30 | 300.00
BHB | IAH | JetBlue | 1 stop (FLL) | 14:15 | 18:45 | 260.00
BHB | IAH | Spirit | Non-stop | 15:30 | 19:00 | 230.00
BHB | IAH | Frontier | 1 stop (LAS) | 16:45 | 21:15 | 240.00


Here are the 16 flight plans:

IAH | BOS | United | 0 | 08:00 | 13:45 | 420.00
IAH | BOS | American | 1 (CLT) | 09:30 | 16:15 | 450.00
IAH | BOS | Delta | 0 | 10:45 | 16:30 | 480.00
IAH | BOS | Southwest | 1 (BWI) | 11:15 | 17:00 | 380.00
IAH | BOS | JetBlue | 0 | 12:00 | 17:45 | 410.00
IAH | BOS | United | 1 (EWR) | 13:30 | 19:15 | 500.00
IAH | BOS | American | 0 | 14:45 | 20:30 | 440.00
IAH | BOS | Delta | 1 (ATL) | 15:15 | 21:00 | 520.00
BOS | IAH | United | 0 | 08:00 | 11:45 | 400.00
BOS | IAH | American | 1 (PHL) | 09:30 | 13:15 | 430.00
BOS | IAH | Delta | 0 | 10:45 | 14:30 | 460.00
BOS | IAH | Southwest | 1 (MDW) | 11:15 | 15:00 | 390.00
BOS | IAH | JetBlue | 0 | 12:00 | 15:45 | 420.00
BOS | IAH | United | 1 (ORD) | 13:30 | 17:15 | 490.00
BOS | IAH | American | 0 | 14:45 | 18:30 | 450.00
BOS | IAH | Delta | 1 (DFW) | 15:15 | 19:00 | 510.00


Here are the 16 flight plans:

IAH | MRY | UA | 0 | 08:00 | 10:30 | 250.00
IAH | MRY | AA | 1 (DFW) | 09:15 | 12:45 | 320.00
IAH | MRY | WN | 0 | 10:45 | 13:15 | 220.00
IAH | MRY | DL | 1 (LAX) | 11:30 | 15:00 | 380.00
IAH | MRY | UA | 0 | 12:50 | 15:20 | 280.00
IAH | MRY | AS | 1 (SEA) | 14:00 | 17:30 | 420.00
IAH | MRY | F9 | 0 | 15:15 | 17:45 | 200.00
IAH | MRY | NK | 1 (DEN) | 16:30 | 20:00 | 350.00
MRY | IAH | UA | 0 | 06:00 | 11:30 | 270.00
MRY | IAH | AA | 1 (PHX) | 07:15 | 12:45 | 330.00
MRY | IAH | WN | 0 | 08:45 | 13:15 | 230.00
MRY | IAH | DL | 1 (SFO) | 10:30 | 15:00 | 390.00
MRY | IAH | AS | 0 | 11:50 | 15:20 | 240.00
MRY | IAH | F9 | 1 (LAS) | 13:00 | 16:30 | 300.00
MRY | IAH | NK | 0 | 14:15 | 17:45 | 210.00
MRY | IAH | UA | 1 (DEN) | 15:30 | 19:00 | 360.00


Here are the 16 flight plans:

IAH | SJC | United | 0 | 08:00 | 10:30 | 250.00
IAH | SJC | American | 1 (DFW) | 09:15 | 12:45 | 320.00
IAH | SJC | Delta | 0 | 10:30 | 13:00 | 280.00
IAH | SJC | Southwest | 1 (PHX) | 11:45 | 15:15 | 350.00
IAH | SJC | Alaska | 0 | 13:00 | 15:30 | 290.00
IAH | SJC | JetBlue | 1 (LAX) | 14:15 | 17:45 | 380.00
IAH | SJC | Spirit | 1 (LAS) | 15:30 | 19:00 | 420.00
IAH | SJC | Frontier | 0 | 17:00 | 19:30 | 310.00
SJC | IAH | United | 0 | 08:00 | 12:30 | 240.00
SJC | IAH | American | 1 (PHX) | 09:15 | 14:45 | 300.00
SJC | IAH | Delta | 0 | 10:30 | 14:00 | 260.00
SJC | IAH | Southwest | 1 (LAX) | 11:45 | 16:15 | 330.00
SJC | IAH | Alaska | 0 | 13:00 | 16:30 | 270.00
SJC | IAH | JetBlue | 1 (DEN) | 14:15 | 18:45 | 360.00
SJC | IAH | Spirit | 1 (ORD) | 15:30 | 20:00 | 410.00
SJC | IAH | Frontier | 0 | 17:00 | 20:30 | 300.00


Here are the 16 flight plans:

IAH | SFO | United | 0 | 08:00 | 10:30 | 250.00
IAH | SFO | American | 1 (DEN) | 09:15 | 12:45 | 320.00
IAH | SFO | Delta | 0 | 11:30 | 14:00 | 280.00
IAH | SFO | Southwest | 1 (PHX) | 13:45 | 17:15 | 350.00
IAH | SFO | Alaska | 0 | 15:00 | 17:30 | 300.00
IAH | SFO | JetBlue | 1 (LAX) | 16:15 | 20:45 | 380.00
IAH | SFO | Spirit | 0 | 18:30 | 21:00 | 220.00
IAH | SFO | Frontier | 1 (LAS) | 20:45 | 00:15 | 400.00

SFO | IAH | United | 0 | 07:00 | 12:30 | 270.00
SFO | IAH | American | 1 (ORD) | 08:15 | 14:45 | 340.00
SFO | IAH | Delta | 0 | 10:30 | 16:00 | 290.00
SFO | IAH | Southwest | 1 (SAN) | 12:45 | 18:15 | 360.00
SFO | IAH | Alaska | 0 | 14:00 | 18:30 | 310.00
SFO | IAH | JetBlue | 1 (DFW) | 15:15 | 20:45 | 390.00
SFO | IAH | Spirit | 0 | 17:30 | 22:00 | 230.00
SFO | IAH | Frontier | 1 (MCO) | 19:45 | 01:15 | 420.00


Here are the 16 flight plans:

IAH | EGE | United | Non-stop | 08:00 | 10:35 | 450.00
IAH | EGE | American | 1 stop (DEN) | 09:15 | 12:50 | 520.00
IAH | EGE | Delta | Non-stop | 10:45 | 13:20 | 480.00
IAH | EGE | Southwest | 1 stop (PHX) | 11:30 | 15:05 | 550.00
IAH | EGE | Alaska | Non-stop | 12:15 | 14:50 | 500.00
IAH | EGE | JetBlue | 1 stop (LAX) | 13:00 | 16:35 | 580.00
IAH | EGE | Spirit | 1 stop (LAS) | 14:45 | 18:20 | 420.00
IAH | EGE | Frontier | Non-stop | 15:30 | 18:05 | 460.00

EGE | IAH | United | Non-stop | 08:00 | 11:35 | 430.00
EGE | IAH | American | 1 stop (ORD) | 09:15 | 13:50 | 540.00
EGE | IAH | Delta | Non-stop | 10:45 | 14:20 | 490.00
EGE | IAH | Southwest | 1 stop (DAL) | 11:30 | 15:05 | 570.00
EGE | IAH | Alaska | Non-stop | 12:15 | 15:50 | 510.00
EGE | IAH | JetBlue | 1 stop (SFO) | 13:00 | 16:35 | 600.00
EGE | IAH | Spirit | 1 stop (DEN) | 14:45 | 18:20 | 440.00
EGE | IAH | Frontier | Non-stop | 15:30 | 18:05 | 480.00


Here are the 16 flight plans:

IAH | DEN | United | 0 | 08:00 | 09:35 | 250.00
IAH | DEN | American | 1 (DFW) | 09:15 | 12:10 | 280.00
IAH | DEN | Delta | 0 | 11:45 | 13:20 | 220.00
IAH | DEN | Southwest | 1 (ABQ) | 13:00 | 15:55 | 300.00
IAH | DEN | Frontier | 0 | 15:30 | 17:05 | 200.00
IAH | DEN | Spirit | 1 (LAS) | 16:45 | 19:40 | 320.00
