

Here are the 16 flight plans:

BOS | SEA | AA | 1 (ORD) | 06:00 | 11:30 | 450.00
BOS | BNA | DL | 1 (ATL) | 08:30 | 12:45 | 312.00
BOS | BNA | WN | 0 | 10:15 | 13:30 | 198.00
BOS | BNA | UA | 1 (EWR) | 12:00 | 16:20 | 342.50
BOS | BNA | B6 | 0 | 14:30 | 17:45 | 228.00
BOS | BNA | AA | 1 (CLT) | 16:00 | 20:15 | 282.50
BOS | BNA | DL | 0 | 18:15 | 21:30 | 258.00
BOS | BNA | WN | 1 (MDW) | 20:00 | 23:20 | 298.50

BNA | BOS | AA | 0 | 07:00 | 10:15 | 238.00
BNA | BOS | DL | 1 (ATL) | 09:30 | 13:45 | 322.50
BNA | BOS | WN | 0 | 11:15 | 14:30 | 208.00
BNA | BOS | UA | 1 (EWR) | 13:00 | 16:20 | 352.50
BNA | BOS | B6 | 0 | 15:30 | 18:45 | 248.50
BNA | BOS | AA | 1 (CLT) | 17:00 | 20:15 | 292.50
BNA | BOS | DL | 0 | 19:15 | 22:30 | 268.00
BNA | BOS | WN | 1 (MDW) | 21:00 | 23:20 | 308.50


Here are the 16 flight plans:

BOS | IAD | AA | 0 | 06:00 | 07:35 | 178.00
BOS | IAD | UA | 1 (EWR) | 07:15 | 09:50 | 220.00
BOS | IAD | DL | 0 | 08:30 | 10:05 | 198.00
BOS | IAD | WN | 1 (BWI) | 09:45 | 12:20 | 240.00
BOS | IAD | B6 | 0 | 11:00 | 12:35 | 210.00
BOS | IAD | AS | 1 (PVD) | 12:15 | 14:50 | 260.00
BOS | IAD | F9 | 0 | 13:30 | 15:05 | 230.00
BOS | IAD | NK | 1 (PHL) | 14:45 | 17:20 | 280.00
IAD | BOS | AA | 0 | 06:00 | 07:35 | 178.00
IAD | BOS | UA | 1 (EWR) | 07:15 | 09:50 | 220.00
IAD | BOS | DL | 0 | 08:30 | 10:05 | 198.00
IAD | BOS | WN | 1 (BWI) | 09:45 | 12:20 | 240.00
IAD | BOS | B6 | 0 | 11:00 | 12:35 | 210.00
IAD | BOS | AS | 1 (PVD) | 12:15 | 14:50 | 260.00
IAD | BOS | F9 | 0 | 13:30 | 15:05 | 230.00
IAD | BOS | NK | 1 (PHL) | 14:45 | 17:20 | 280.00


Here are the 16 flight plans:

BOS | DCA | American Airlines | Non-stop | 06:00 | 07:45 | 198.00
BOS | DCA | Delta Air Lines | 1 stop (JFK) | 08:15 | 11:20 | 228.50
BOS | DCA | United Airlines | Non-stop | 09:30 | 11:10 | 210.00
BOS | DCA | JetBlue Airways | 1 stop (EWR) | 10:45 | 13:50 | 245.75
BOS | DCA | Spirit Airlines | Non-stop | 12:00 | 13:40 | 185.00
BOS | DCA | Alaska Airlines | 1 stop (PHL) | 13:15 | 16:25 | 259.00
BOS | DCA | Southwest Airlines | Non-stop | 14:30 | 16:05 | 220.50
BOS | DCA | Frontier Airlines | 1 stop (BWI) | 15:45 | 18:55 | 239.25
DCA | BOS | American Airlines | Non-stop | 06:30 | 08:10 | 208.00
DCA | BOS | Delta Air Lines | 1 stop (LGA) | 08:50 | 11:55 | 242.75
DCA | BOS | United Airlines | Non-stop | 10:00 | 11:40 | 225.00
DCA | BOS | JetBlue Airways | 1 stop (PIT) | 11:15 | 14:20 | 264.50
DCA | BOS | Spirit Airlines | Non-stop | 12:30 | 14:05 | 195.00
DCA | BOS | Alaska Airlines | 1 stop (ORD) | 13:45 | 16:55 | 279.25
DCA | BOS | Southwest Airlines | Non-stop | 15:00 | 16:35 | 235.50
DCA | BOS | Frontier Airlines | 1 stop (RDU) | 16:15 | 19:25 | 251.75


Here are the 16 flight plans:

BOS | MIA | AA | 0 | 06:00 | 10:15 | 245.00
BOS | MIA | DL | 1 (ATL) | 08:30 | 13:45 | 320.00
BOS | MIA | UA | 0 | 10:45 | 15:00 | 275.00
BOS | MIA | WN | 1 (TPA) | 12:00 | 17:15 | 290.00
BOS | MIA | B6 | 0 | 14:15 | 18:30 | 260.00
BOS | MIA | F9 | 1 (CLT) | 16:30 | 21:45 | 300.00
BOS | MIA | NK | 0 | 18:45 | 23:00 | 235.00
BOS | MIA | SY | 1 (PBI) | 20:00 | 01:15 | 310.00
MIA | BOS | AA | 0 | 06:30 | 10:45 | 240.00
MIA | BOS | DL | 1 (ATL) | 08:00 | 13:15 | 330.00
MIA | BOS | UA | 0 | 10:00 | 14:15 | 280.00
MIA | BOS | WN | 1 (TPA) | 11:30 | 16:45 | 295.00
MIA | BOS | B6 | 0 | 13:45 | 18:00 | 265.00
MIA | BOS | F9 | 1 (CLT) | 15:00 | 20:15 | 305.00
MIA | BOS | NK | 0 | 16:15 | 21:30 | 230.00
MIA | BOS | SY | 1 (PBI) | 17:30 | 23:45 | 325.00


Here are the 16 flight plans:

BOS | LAS | AA | 0 | 08:00 | 11:30 | 450.00
BOS | LAS | UA | 1 (DEN) | 09:30 | 13:45 | 520.00
BOS | LAS | WN | 0 | 10:15 | 13:45 | 380.00
BOS | LAS | DL | 1 (ATL) | 11:00 | 15:30 | 600.00
BOS | LAS | AS | 0 | 12:30 | 16:00 | 420.00
BOS | LAS | B6 | 1 (JFK) | 13:45 | 17:15 | 550.00
BOS | LAS | F9 | 0 | 15:00 | 18:30 | 400.00
BOS | LAS | NK | 1 (ORD) | 16:15 | 20:45 | 480.00
LAS | BOS | AA | 0 | 08:30 | 16:00 | 470.00
LAS | BOS | UA | 1 (SFO) | 09:45 | 18:15 | 590.00
LAS | BOS | WN | 0 | 11:00 | 18:30 | 410.00
LAS | BOS | DL | 1 (MSP) | 12:15 | 20:45 | 620.00
LAS | BOS | AS | 0 | 13:30 | 21:00 | 440.00
LAS | BOS | B6 | 1 (LAX) | 14:45 | 23:15 | 570.00
LAS | BOS | F9 | 0 | 16:00 | 23:30 | 430.00
LAS | BOS | NK | 1 (PHX) | 17:15 | 01:45 | 500.00


Here are the 16 flight plans:

BOS | MSY | AA | 0 | 06:00 | 10:05 | 235.00
BOS | MSY | DL | 1 (ATL) | 07:30 | 12:10 | 270.00
BOS | MSY | UA | 0 | 08:15 | 12:20 | 250.00
BOS | MSY | WN | 1 (BWI) | 09:00 | 13:45 | 290.00
BOS | MSY | B6 | 0 | 10:30 | 14:35 | 220.00
BOS | MSY | F9 | 1 (MCO) | 11:45 | 15:50 | 310.00
BOS | MSY | NK | 0 | 13:00 | 17:05 | 240.00
BOS | MSY | AS | 1 (CLT) | 14:15 | 18:20 | 280.00
MSY | BOS | AA | 0 | 06:00 | 10:05 | 235.00
MSY | BOS | DL | 1 (ATL) | 07:30 | 12:10 | 270.00
MSY | BOS | UA | 0 | 08:15 | 12:20 | 250.00
MSY | BOS | WN | 1 (BWI) | 09:00 | 13:45 | 290.00
MSY | BOS | B6 | 0 | 10:30 | 14:35 | 220.00
MSY | BOS | F9 | 1 (MCO) | 11:45 | 15:50 | 310.00
MSY | BOS | NK | 0 | 13:00 | 17:05 | 240.00
MSY | BOS | AS | 1 (CLT) | 14:15 | 18:20 | 280.00


BOS | MCO | AA | 0 | 06:00 | 09:30 | 198.00
BOS | MCO | DL | 1 (ATL) | 07:30 | 12:15 | 220.00
BOS | MCO | UA | 0 | 09:00 | 12:30 | 210.00
BOS | MCO | WN | 1 (BWI) | 10:30 | 14:45 | 240.00
BOS | MCO | AS | 0 | 12:00 | 15:30 | 230.00
BOS | MCO | F9 | 1 (PIT) | 13:30 | 17:15 | 200.00
BOS | MCO | NK | 1 (PHL) | 15:00 | 19:30 | 260.00
BOS | MCO | B6 | 0 | 17:00 | 20:30 | 250.00
MCO | BOS | AA | 0 | 06:00 | 09:30 | 208.00
MCO | BOS | DL | 1 (JFK) | 07:30 | 12:15 | 235.00
MCO | BOS | UA | 0 | 09:00 | 12:30 | 225.00
MCO | BOS | WN | 1 (MDW) | 10:30 | 14:45 | 255.00
MCO | BOS | AS | 0 | 12:00 | 15:30 | 245.00
MCO | BOS | F9 | 1 (CLT) | 13:30 | 17:15 | 215.00
MCO | BOS | NK | 1 (EWR) | 15:00 | 19:30 | 280.00
MCO | BOS | B6 | 0 | 17:00 | 20:30 | 270.00


Here are the 16 flight plans:

BOS | TPA | AA | 0 | 06:00 | 09:35 | 178.00
BOS | TPA | DL | 1 (ATL) | 08:15 | 12:40 | 220.00
BOS | TPA | UA | 0 | 10:30 | 14:05 | 198.00
BOS | TPA | WN | 1 (BWI) | 12:45 | 17:10 | 240.00
BOS | TPA | B6 | 0 | 14:50 | 18:25 | 208.00
BOS | TPA | AS | 1 (PHL) | 16:10 | 20:35 | 258.00
BOS | TPA | F9 | 1 (MCO) | 18:30 | 22:55 | 280.00
BOS | TPA | NK | 0 | 20:45 | 00:20 | 238.00

TPA | BOS | AA | 0 | 06:30 | 09:55 | 192.00
TPA | BOS | DL | 1 (ATL) | 08:50 | 13:15 | 242.00
TPA | BOS | UA | 0 | 11:10 | 14:35 | 218.00
TPA | BOS | WN | 1 (BWI) | 13:25 | 17:50 | 262.00
TPA | BOS | B6 | 0 | 15:40 | 19:05 | 228.00
TPA | BOS | AS | 1 (PHL) | 17:00 | 21:25 | 278.00
TPA | BOS | F9 | 1 (MCO) | 19:20 | 23:45 | 298.00
TPA | BOS | NK | 0 | 21:35 | 01:00 | 258.00


Here are the 16 flight plans:

BOS | ANC | AA | 1 (ORD) | 08:00 | 12:45 | 542.00
BOS | ANC | UA | 1 (DEN) | 09:15 | 14:10 | 578.00
BOS | ANC | DL | 1 (MSP) | 10:30 | 15:20 | 512.00
BOS | ANC | WN | 1 (MDW) | 11:45 | 16:35 | 482.00
BOS | ANC | AS | 1 (SEA) | 13:00 | 17:50 | 552.00
BOS | ANC | B6 | 1 (JFK) | 14:15 | 19:00 | 498.00
BOS | ANC | F9 | 1 (DEN) | 15:30 | 20:20 | 458.00
BOS | ANC | NK | 1 (ORD) | 16:45 | 21:35 | 428.00
ANC | BOS | AA | 1 (ORD) | 08:00 | 18:45 | 562.00
ANC | BOS | UA | 1 (DEN) | 09:15 | 20:10 | 598.00
ANC | BOS | DL | 1 (MSP) | 10:30 | 21:20 | 532.00
ANC | BOS | WN | 1 (MDW) | 11:45 | 22:35 | 502.00
ANC | BOS | AS | 1 (SEA) | 13:00 | 23:50 | 572.00
ANC | BOS | B6 | 1 (JFK) | 14:15 | 00:55 | 518.00
ANC | BOS | F9 | 1 (DEN) | 15:30 | 02:20 | 478.00
ANC | BOS | NK | 1 (ORD) | 16:45 | 03:35 | 448.00


Here are the 16 flight plans:

BOS | SJU | AA | Non-stop | 08:00 | 12:15 | 450.00
BOS | SJU | JetBlue | Non-stop | 09:30 | 13:45 | 520.00
BOS | SJU | Delta | 1 (MIA) | 10:15 | 15:30 | 580.00
BOS | SJU | United | 1 (EWR) | 11:00 | 16:15 | 620.00
BOS | SJU | Spirit | 1 (FLL) | 12:30 | 17:45 | 480.00
BOS | SJU | Frontier | 1 (ATL) | 13:45 | 19:00 | 550.00
BOS | SJU | American | Non-stop | 15:00 | 19:15 | 500.00
BOS | SJU | Sun Country | 1 (TPA) | 16:15 | 20:30 | 530.00

SJU | BOS | JetBlue | Non-stop | 08:30 | 12:45 | 540.00
SJU | BOS | Delta | 1 (ATL) | 09:45 | 14:00 | 600.00
SJU | BOS | United | 1 (EWR) | 11:15 | 15:30 | 650.00
SJU | BOS | American | Non-stop | 12:30 | 16:45 | 520.00
SJU | BOS | Spirit | 1 (FLL) | 13:45 | 18:00 | 490.00
SJU | BOS | Frontier | 1 (MIA) | 15:00 | 19:15 | 560.00
SJU | BOS | Sun Country | 1 (TPA) | 16:15 | 20:30 | 510.00
SJU | BOS | AA | Non-stop | 17:30 | 21:45 | 480.00


Here are the 16 flight plans:

BOS | BHB | AA | 0 | 06:00 | 07:30 | 150.00
BOS | BHB | UA | 1 (EWR) | 08:15 | 11:45 | 220.00
BOS | BHB | DL | 0 | 10:00 | 11:30 | 180.00
BOS | BHB | WN | 1 (BWI) | 12:30 | 15:55 | 250.00
BOS | BHB | B6 | 0 | 14:00 | 15:30 | 160.00
BOS | BHB | AS | 1 (PVD) | 16:00 | 19:25 | 280.00
BOS | BHB | F9 | 0 | 18:00 | 19:30 | 140.00
BOS | BHB | NK | 1 (MHT) | 20:00 | 23:25 | 300.00

BHB | BOS | AA | 0 | 06:30 | 08:00 | 160.00
BHB | BOS | UA | 1 (EWR) | 08:45 | 12:15 | 240.00
BHB | BOS | DL | 0 | 11:00 | 12:30 | 190.00
BHB | BOS | WN | 1 (BWI) | 13:30 | 16:55 | 270.00
BHB | BOS | B6 | 0 | 15:00 | 16:30 | 170.00
BHB | BOS | AS | 1 (PVD) | 17:00 | 20:25 | 290.00
BHB | BOS | F9 | 0 | 19:00 | 20:30 | 150.00
BHB | BOS | NK | 1 (MHT) | 21:00 | 00:25 | 310.00


Here are the 16 flight plans:

BOS | BOS | AA | 0 | 06:00 | 07:30 | 120.00
BOS | BOS | UA | 1 (JFK) | 08:00 | 10:45 | 250.00
BOS | BOS | DL | 0 | 09:30 | 11:00 | 150.00
BOS | BOS | WN | 1 (MDW) | 11:00 | 13:30 | 200.00
BOS | BOS | AS | 0 | 12:30 | 14:00 | 180.00
BOS | BOS | B6 | 1 (LGA) | 14:00 | 16:15 | 220.00
BOS | BOS | F9 | 0 | 15:30 | 17:00 | 130.00
BOS | BOS | NK | 1 (EWR) | 17:00 | 19:30 | 280.00
BOS | BOS | AA | 0 | 06:00 | 07:30 | 120.00
BOS | BOS | UA | 1 (JFK) | 08:00 | 10:45 | 250.00
BOS | BOS | DL | 0 | 09:30 | 11:00 | 150.00
BOS | BOS | WN | 1 (MDW) | 11:00 | 13:30 | 200.00
BOS | BOS | AS | 0 | 12:30 | 14:00 | 180.00
BOS | BOS | B6 | 1 (LGA) | 14:00 | 16:15 | 220.00
BOS | BOS | F9 | 0 | 15:30 | 17:00 | 130.00
BOS | BOS | NK | 1 (EWR) | 17:00 | 19:30 | 280.00


Here are the 16 flight plans:

BOS | MRY | AA | 0 | 06:00 | 09:15 | 198.00
BOS | MRY | UA | 1 (SFO) | 07:30 | 12:45 | 278.00
BOS | MRY | DL | 0 | 08:15 | 11:30 | 220.00
BOS | MRY | WN | 1 (LAX) | 09:00 | 14:15 | 248.00
BOS | MRY | AS | 0 | 10:00 | 13:15 | 210.00
BOS | MRY | F9 | 1 (DEN) | 11:30 | 16:45 | 288.00
BOS | MRY | B6 | 0 | 12:30 | 15:45 | 240.00
BOS | MRY | NK | 1 (ORD) | 14:00 | 19:15 | 308.00
MRY | BOS | AA | 0 | 06:30 | 09:45 | 208.00
MRY | BOS | UA | 1 (SFO) | 08:00 | 13:15 | 288.00
MRY | BOS | DL | 0 | 09:30 | 12:45 | 230.00
MRY | BOS | WN | 1 (LAX) | 10:30 | 15:45 | 258.00
MRY | BOS | AS | 0 | 12:00 | 15:15 | 220.00
MRY | BOS | F9 | 1 (DEN) | 13:30 | 18:45 | 298.00
MRY | BOS | B6 | 0 | 15:00 | 18:15 | 250.00
MRY | BOS | NK | 1 (ORD) | 16:30 | 21:45 | 318.00


Here are the 16 flight plans:

BOS | SJC | AA | 0 | 08:00 | 11:30 | 450.00
BOS | SJC | UA | 1 (DEN) | 09:15 | 13:45 | 520.00
BOS | SJC | DL | 0 | 10:30 | 14:00 | 480.00
BOS | SJC | WN | 1 (MDW) | 11:45 | 16:15 | 550.00
BOS | SJC | AS | 0 | 13:00 | 16:30 | 500.00
BOS | SJC | F9 | 1 (LAS) | 14:15 | 18:45 | 580.00
BOS | SJC | B6 | 0 | 15:30 | 19:00 | 530.00
BOS | SJC | NK | 1 (ORD) | 16:45 | 21:15 | 610.00
SJC | BOS | AA | 0 | 08:00 | 16:30 | 420.00
SJC | BOS | UA | 1 (IAH) | 09:15 | 18:45 | 490.00
SJC | BOS | DL | 0 | 10:30 | 19:00 | 450.00
SJC | BOS | WN | 1 (PHX) | 11:45 | 21:15 | 510.00
SJC | BOS | AS | 0 | 13:00 | 20:30 | 480.00
SJC | BOS | F9 | 1 (MCO) | 14:15 | 22:45 | 540.00
SJC | BOS | B6 | 0 | 15:30 | 23:00 | 500.00
SJC | BOS | NK | 1 (DFW) | 16:45 | 01:15 | 570.00


Here are the 16 flight plans:

BOS | SFO | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
BOS | SFO | United Airlines | 1 stop (DEN) | 09:15 | 13:45 | 520.00
BOS | SFO | Delta Air Lines | Non-stop | 10:30 | 14:00 | 480.00
BOS | SFO | JetBlue Airways | 1 stop (LAX) | 11:45 | 16:15 | 500.00
BOS | SFO | Alaska Airlines | Non-stop | 13:00 | 16:30 | 510.00
BOS | SFO | Spirit Airlines | 1 stop (ORD) | 14:15 | 18:45 | 440.00
BOS | SFO | Frontier Airlines | 1 stop (MCO) | 15:30 | 20:00 | 420.00
BOS | SFO | Southwest Airlines | Non-stop | 17:00 | 20:30 | 490.00
SFO | BOS | American Airlines | Non-stop | 08:00 | 16:30 | 470.00
SFO | BOS | United Airlines | 1 stop (IAH) | 09:15 | 18:45 | 540.00
SFO | BOS | Delta Air Lines | Non-stop | 10:30 | 19:00 | 500.00
SFO | BOS | JetBlue Airways | 1 stop (JFK) | 11:45 | 20:15 | 520.00
SFO | BOS | Alaska Airlines | Non-stop | 13:00 | 21:30 | 530.00
SFO | BOS | Spirit Airlines | 1 stop (ATL) | 14:15 | 22:45 | 450.00
SFO | BOS | Frontier Airlines | 1 stop (PHX) | 15:30 | 00:00 | 430.00
SFO | BOS | Southwest Airlines | Non-stop | 17:00 | 02:30 | 510.00


Here are the 16 flight plans:

BOS | EGE | AA | 1 (ORD) | 08:00 | 11:45 | 542.00
BOS | EGE | UA | 0 | 10:30 | 14:15 | 620.00
BOS | EGE | DL | 1 (ATL) | 12:15 | 16:00 | 590.00
BOS | EGE | WN | 1 (DEN) | 14:00 | 18:45 | 520.00
BOS | EGE | AS | 1 (SEA) | 16:30 | 21:15 | 650.00
BOS | EGE | F9 | 0 | 18:00 | 21:45 | 480.00
BOS | EGE | NK | 1 (LAS) | 20:00 | 00:45 | 550.00
BOS | EGE | B6 | 1 (JFK) | 22:00 | 02:45 | 580.00
EGE | BOS | AA | 1 (DFW) | 07:00 | 12:45 | 570.00
EGE | BOS | UA | 0 | 09:30 | 14:15 | 630.00
EGE | BOS | DL | 1 (SLC) | 11:45 | 16:30 | 610.00
EGE | BOS | WN | 1 (PHX) | 13:30 | 18:15 | 500.00
EGE | BOS | AS | 1 (PDX) | 15:15 | 20:00 | 680.00
EGE | BOS | F9 | 0 | 17:00 | 20:45 | 490.00
EGE | BOS | NK | 1 (MIA) | 19:00 | 23:45 | 560.00
EGE | BOS | B6 | 1 (LAX) | 21:00 | 02:45 | 600.00


Here are the 16 flight plans:

BOS | DEN | AA | 0 | 08:00 | 11:15 | 425.00
BOS | DEN | UA | 1 (ORD) | 09:30 | 13:45 | 550.00
BOS | DEN | WN | 0 | 10:15 | 13:30 | 450.00
BOS | DEN | DL | 1 (ATL) | 11:00 | 15:20 | 600.00
BOS | DEN | AS | 0 | 12:00 | 15:15 | 480.00
BOS | DEN | F9 | 1 (MCO) | 13:30 | 17:45 | 520.00
BOS | DEN | NK | 0 | 14:45 | 18:00 | 500.00
BOS | DEN | B6 | 1 (JFK) | 16:00 | 20:15 | 580.00
DEN | BOS | UA | 0 | 08:30 | 13:45 | 520.00
DEN | BOS | AA | 1 (DFW) | 09:45 | 15:00 | 620.00
DEN | BOS | WN | 0 | 11:15 | 15:30 | 500.00
DEN | BOS | DL | 1 (MSP) | 12:30 | 16:45 | 650.00
DEN | BOS | AS | 0 | 13:45 | 17:00 | 530.00
DEN | BOS | F9 | 1 (LAS) | 15:00 | 18:15 | 590.00
DEN | BOS | NK | 0 | 16:15 | 19:30 | 560.00
DEN | BOS | B6 | 1 (EWR) | 17:30 | 21:45 | 630.00


Here are the 16 flight plans:

BOS | CHS | AA | Non-stop | 06:00 | 09:15 | 198.00
BOS | CHS | DL | Non-stop | 07:30 | 10:45 | 220.00
BOS | CHS | UA | 1 (EWR) | 08:15 | 12:20 | 280.00
BOS | CHS | WN | Non-stop | 09:00 | 12:15 | 240.00
BOS | CHS | AS | 1 (BWI) | 10:30 | 14:35 | 300.00
BOS | CHS | B6 | Non-stop | 11:45 | 15:00 | 260.00
BOS | CHS | F9 | 1 (MCO) | 13:00 | 17:05 | 320.00
BOS | CHS | NK | Non-stop | 14:15 | 17:30 | 200.00
CHS | BOS | AA | Non-stop | 06:00 | 08:15 | 220.00
CHS | BOS | DL | 1 (ATL) | 07:30 | 11:35 | 300.00
CHS | BOS | UA | Non-stop | 08:15 | 10:30 | 280.00
CHS | BOS | WN | 1 (BNA) | 09:00 | 13:05 | 320.00
CHS | BOS | AS | Non-stop | 10:30 | 12:45 | 240.00
CHS | BOS | B6 | 1 (JFK) | 11:45 | 15:50 | 360.00
CHS | BOS | F9 | Non-stop | 13:00 | 15:15 | 260.00
CHS | BOS | NK | 1 (PBI) | 14:15 | 18:20 | 380.00


Here are the 16 flight plans:

BOS | RAP | AA | 0 | 06:00 | 09:35 | 450.00
BOS | RAP | UA | 1 (ORD) | 07:30 | 12:10 | 520.00
BOS | RAP | DL | 0 | 08:15 | 11:50 | 480.00
BOS | RAP | WN | 1 (MDW) | 09:00 | 13:40 | 550.00
BOS | RAP | AS | 0 | 10:45 | 14:20 | 500.00
BOS | RAP | F9 | 1 (DEN) | 11:30 | 15:10 | 580.00
BOS | RAP | NK | 0 | 12:15 | 15:50 | 530.00
BOS | RAP | B6 | 1 (JFK) | 13:00 | 16:40 | 610.00
RAP | BOS | AA | 0 | 06:30 | 10:05 | 420.00
RAP | BOS | UA | 1 (IAH) | 07:45 | 12:25 | 490.00
RAP | BOS | DL | 0 | 09:00 | 12:35 | 460.00
RAP | BOS | WN | 1 (DAL) | 10:15 | 14:50 | 540.00
RAP | BOS | AS | 0 | 11:30 | 15:05 | 510.00
RAP | BOS | F9 | 1 (LAS) | 12:45 | 16:20 | 570.00
RAP | BOS | NK | 0 | 13:50 | 17:25 | 500.00
RAP | BOS | B6 | 1 (MCO) | 14:55 | 18:35 | 630.00


Here are the 16 flight plans:

BOS | FCA | AA | 1 (ORD) | 08:00 | 18:30 | 540.00
BOS | FCA | UA | 2 (EWR, DEN) | 10:30 | 22:15 | 630.00
BOS | FCA | DL | 0 | 12:00 | 20:30 | 480.00
BOS | FCA | WN | 1 (MDW) | 14:15 | 22:50 | 510.00
BOS | FCA | AS | 2 (SEA, SFO) | 16:00 | 02:20 | 750.00
BOS | FCA | B6 | 1 (JFK) | 18:30 | 02:50 | 580.00
BOS | FCA | F9 | 1 (DEN) | 20:45 | 04:10 | 420.00
BOS | FCA | NK | 2 (FLL, ORD) | 22:15 | 06:30 | 610.00
FCA | BOS | AA | 1 (ORD) | 08:00 | 18:30 | 560.00
FCA | BOS | UA | 2 (DEN, EWR) | 10:30 | 22:15 | 650.00
FCA | BOS | DL | 0 | 12:00 | 20:30 | 500.00
FCA | BOS | WN | 1 (MDW) | 14:15 | 22:50 | 530.00
FCA | BOS | AS | 2 (SFO, SEA) | 16:00 | 02:20 | 780.00
FCA | BOS | B6 | 1 (JFK) | 18:30 | 02:50 | 590.00
FCA | BOS | F9 | 1 (DEN) | 20:45 | 04:10 | 440.00
FCA | BOS | NK | 2 (ORD, FLL) | 22:15 | 06:30 | 620.00


Here are the 16 flight plans:

BOS | FLG | AA | 0 | 06:00 | 09:15 | 450.00
BOS | FLG | UA | 1 (ORD) | 07:30 | 11:45 | 520.00
BOS | FLG | DL | 0 | 09:00 | 12:20 | 480.00
BOS | FLG | WN | 1 (MDW) | 10:15 | 14:30 | 550.00
BOS | FLG | AS | 0 | 11:45 | 15:00 | 500.00
BOS | FLG | F9 | 1 (DEN) | 12:30 | 16:45 | 580.00
BOS | FLG | NK | 1 (EWR) | 13:15 | 17:30 | 610.00
BOS | FLG | B6 | 0 | 14:00 | 17:20 | 530.00
FLG | BOS | AA | 0 | 06:00 | 09:15 | 420.00
FLG | BOS | UA | 1 (SFO) | 07:30 | 11:45 | 490.00
FLG | BOS | DL | 0 | 09:00 | 12:20 | 450.00
FLG | BOS | WN | 1 (PHX) | 10:15 | 14:30 | 520.00
FLG | BOS | AS | 0 | 11:45 | 15:00 | 470.00
FLG | BOS | F9 | 1 (MIA) | 12:30 | 16:45 | 540.00
FLG | BOS | NK | 1 (LAS) | 13:15 | 17:30 | 570.00
FLG | BOS | B6 | 0 | 14:00 | 17:20 | 500.00


BOS | LAS | AA | 0 | 08:00 | 11:15 | 420.00
BOS | LAS | UA | 1 (ORD) | 09:30 | 13:45 | 450.00
BOS | LAS | WN | 0 | 10:45 | 14:00 | 380.00
BOS | LAS | DL | 1 (ATL) | 12:00 | 16:20 | 520.00
BOS | LAS | B6 | 0 | 13:15 | 16:30 | 400.00
BOS | LAS | AS | 1 (SEA) | 14:30 | 18:50 | 480.00
BOS | LAS | F9 | 0 | 15:45 | 19:00 | 350.00
BOS | LAS | NK | 1 (DFW) | 17:00 | 21:20 | 440.00
LAS | BOS | AA | 0 | 06:00 | 13:15 | 430.00
LAS | BOS | UA | 1 (SFO) | 07:30 | 15:45 | 460.00
