

IAD | MIA | AA | 0 | 06:00 | 09:30 | 250.00
IAD | MCO | United Airlines | 1 stop (ATL) | 09:30 | 13:15 | 280.00
IAD | MCO | Spirit Airlines | Non-stop | 10:45 | 13:30 | 150.00
IAD | MCO | JetBlue Airways | Non-stop | 12:00 | 14:45 | 180.00
IAD | MCO | Frontier Airlines | 1 stop (CLT) | 13:15 | 16:45 | 240.00
IAD | MCO | Southwest Airlines | Non-stop | 14:30 | 17:15 | 200.00
IAD | MCO | Alaska Airlines | 1 stop (RDU) | 15:45 | 19:30 | 300.00
MCO | IAD | American Airlines | Non-stop | 06:00 | 08:45 | 198.00
MCO | IAD | Delta Air Lines | Non-stop | 08:15 | 11:00 | 220.00
MCO | IAD | United Airlines | 1 stop (BWI) | 09:30 | 13:15 | 280.00
MCO | IAD | Spirit Airlines | Non-stop | 10:45 | 13:30 | 150.00
MCO | IAD | JetBlue Airways | Non-stop | 12:00 | 14:45 | 180.00
MCO | IAD | Frontier Airlines | 1 stop (PHL) | 13:15 | 16:45 | 240.00
MCO | IAD | Southwest Airlines | Non-stop | 14:30 | 17:15 | 200.00
MCO | IAD | Alaska Airlines | 1 stop (PIT) | 15:45 | 19:30 | 300.00


Here are the 16 flight plans:

IAD | TPA | AA | 0 | 06:00 | 09:05 | 248.00
IAD | TPA | UA | 1 (CLT) | 07:30 | 11:15 | 278.00
IAD | TPA | DL | 0 | 09:45 | 12:50 | 298.00
IAD | TPA | WN | 1 (BWI) | 11:00 | 14:25 | 258.00
IAD | TPA | AS | 0 | 12:15 | 15:20 | 318.00
IAD | TPA | F9 | 1 (ATL) | 13:45 | 17:00 | 238.00
IAD | TPA | NK | 0 | 15:00 | 18:05 | 288.00
IAD | TPA | B6 | 1 (JFK) | 16:30 | 20:15 | 308.00
TPA | IAD | AA | 0 | 06:30 | 09:35 | 268.00
TPA | IAD | UA | 1 (EWR) | 08:00 | 11:45 | 298.00
TPA | IAD | DL | 0 | 10:15 | 13:20 | 328.00
TPA | IAD | WN | 1 (MDW) | 11:45 | 15:10 | 288.00
TPA | IAD | AS | 0 | 13:00 | 16:05 | 348.00
TPA | IAD | F9 | 1 (DEN) | 14:30 | 18:15 | 258.00
TPA | IAD | NK | 0 | 16:00 | 19:05 | 318.00
TPA | IAD | B6 | 1 (BOS) | 17:30 | 21:15 | 338.00


Here are the 16 flight plans:

IAD | ANC | AA | 1 (ORD) | 08:00 | 14:35 | 542.00
IAD | ANC | UA | 2 (DEN, SFO) | 09:15 | 19:20 | 649.00
IAD | ANC | DL | 0 | 10:30 | 17:45 | 479.00
IAD | ANC | AS | 1 (SEA) | 11:45 | 19:10 | 529.00
IAD | ANC | WN | 2 (BWI, PDX) | 12:50 | 21:40 | 599.00
IAD | ANC | AA | 1 (DFW) | 13:20 | 20:55 | 569.00
IAD | ANC | UA | 1 (SFO) | 14:10 | 21:35 | 549.00
IAD | ANC | DL | 1 (MSP) | 15:00 | 22:25 | 519.00

ANC | IAD | AS | 1 (SEA) | 08:00 | 17:30 | 539.00
ANC | IAD | UA | 2 (SFO, DEN) | 09:15 | 19:45 | 679.00
ANC | IAD | DL | 0 | 10:30 | 18:45 | 499.00
ANC | IAD | AA | 1 (ORD) | 11:45 | 20:10 | 559.00
ANC | IAD | WN | 2 (PDX, BWI) | 12:50 | 22:40 | 619.00
ANC | IAD | UA | 1 (SFO) | 13:20 | 21:55 | 579.00
ANC | IAD | DL | 1 (MSP) | 14:10 | 22:35 | 549.00
ANC | IAD | AS | 2 (SEA, PDX) | 15:00 | 23:40 | 649.00


Here are the 16 flight plans:

IAD | SJU | AA | 1 (MIA) | 08:00 | 12:30 | 425.00
IAD | SJU | UA | 0 | 10:00 | 14:30 | 550.00
IAD | SJU | DL | 1 (ATL) | 12:00 | 16:30 | 480.00
IAD | SJU | WN | 1 (FLL) | 14:00 | 18:30 | 400.00
IAD | SJU | B6 | 0 | 16:00 | 20:30 | 500.00
IAD | SJU | AS | 1 (MCO) | 18:00 | 22:30 | 450.00
IAD | SJU | F9 | 1 (CLT) | 20:00 | 00:30 | 420.00
IAD | SJU | NK | 1 (PBI) | 22:00 | 02:30 | 410.00
SJU | IAD | AA | 1 (MIA) | 08:00 | 12:30 | 440.00
SJU | IAD | UA | 0 | 10:00 | 14:30 | 570.00
SJU | IAD | DL | 1 (ATL) | 12:00 | 16:30 | 490.00
SJU | IAD | WN | 1 (FLL) | 14:00 | 18:30 | 430.00
SJU | IAD | B6 | 0 | 16:00 | 20:30 | 520.00
SJU | IAD | AS | 1 (MCO) | 18:00 | 22:30 | 470.00
SJU | IAD | F9 | 1 (CLT) | 20:00 | 00:30 | 450.00
SJU | IAD | NK | 1 (PBI) | 22:00 | 02:30 | 440.00


Here are the 16 flight plans:

IAD | BHB | UA | Non-stop | 06:00 | 08:05 | 278.00
IAD | BHB | AA | 1 stop (PHL) | 07:30 | 10:50 | 320.00
IAD | BHB | DL | Non-stop | 09:15 | 11:20 | 298.00
IAD | BHB | WN | 1 stop (BWI) | 11:00 | 14:15 | 350.00
IAD | BHB | AS | Non-stop | 12:45 | 15:00 | 288.00
IAD | BHB | F9 | 1 stop (EWR) | 14:20 | 17:35 | 310.00
IAD | BHB | NK | Non-stop | 16:00 | 18:05 | 268.00
IAD | BHB | B6 | 1 stop (JFK) | 18:30 | 21:45 | 330.00
BHB | IAD | UA | Non-stop | 06:00 | 08:05 | 258.00
BHB | IAD | AA | 1 stop (PIT) | 07:30 | 10:50 | 300.00
BHB | IAD | DL | Non-stop | 09:15 | 11:20 | 278.00
BHB | IAD | WN | 1 stop (MDT) | 11:00 | 14:15 | 320.00
BHB | IAD | AS | Non-stop | 12:45 | 15:00 | 248.00
BHB | IAD | F9 | 1 stop (ISP) | 14:20 | 17:35 | 290.00
BHB | IAD | NK | Non-stop | 16:00 | 18:05 | 238.00
BHB | IAD | B6 | 1 stop (BOS) | 18:30 | 21:45 | 280.00


Here are the 16 flight plans:

IAD | MRY | UA | 0 | 08:00 | 11:15 | 425.00
IAD | MRY | AA | 1 (ORD) | 09:30 | 13:45 | 550.00
IAD | MRY | DL | 0 | 11:00 | 14:20 | 475.00
IAD | MRY | WN | 1 (DEN) | 12:15 | 16:30 | 525.00
IAD | MRY | AS | 0 | 14:00 | 17:20 | 500.00
IAD | MRY | B6 | 1 (JFK) | 15:30 | 19:45 | 575.00
IAD | MRY | F9 | 0 | 17:00 | 20:20 | 450.00
IAD | MRY | NK | 1 (LAX) | 18:30 | 22:45 | 600.00
MRY | IAD | UA | 0 | 06:00 | 13:15 | 400.00
MRY | IAD | AA | 1 (PHX) | 07:30 | 14:45 | 525.00
MRY | IAD | DL | 0 | 09:00 | 16:20 | 450.00
MRY | IAD | WN | 1 (DAL) | 10:15 | 17:30 | 500.00
MRY | IAD | AS | 0 | 12:00 | 19:20 | 475.00
MRY | IAD | B6 | 1 (BOS) | 13:30 | 20:45 | 550.00
MRY | IAD | F9 | 0 | 15:00 | 22:20 | 425.00
MRY | IAD | NK | 1 (MIA) | 16:30 | 23:45 | 575.00


Here are the 16 flight plans:

IAD | SJC | UA | 0 | 08:00 | 11:15 | 450.00
IAD | SJC | AA | 1 (DFW) | 09:30 | 13:45 | 520.00
IAD | SJC | WN | 0 | 10:45 | 14:00 | 480.00
IAD | SJC | DL | 1 (ATL) | 12:00 | 16:15 | 550.00
IAD | SJC | AS | 0 | 13:15 | 16:30 | 500.00
IAD | SJC | UA | 1 (ORD) | 14:30 | 18:45 | 580.00
IAD | SJC | B6 | 0 | 15:45 | 19:00 | 530.00
IAD | SJC | F9 | 1 (DEN) | 17:00 | 21:15 | 610.00
SJC | IAD | UA | 0 | 08:00 | 15:15 | 470.00
SJC | IAD | AA | 1 (PHX) | 09:30 | 16:45 | 540.00
SJC | IAD | WN | 0 | 10:45 | 17:00 | 510.00
SJC | IAD | DL | 1 (MSP) | 12:00 | 18:15 | 570.00
SJC | IAD | AS | 0 | 13:15 | 18:30 | 520.00
SJC | IAD | UA | 1 (IAH) | 14:30 | 20:45 | 600.00
SJC | IAD | B6 | 0 | 15:45 | 21:00 | 550.00
SJC | IAD | F9 | 1 (LAS) | 17:00 | 22:15 | 630.00


Here are the 16 flight plans:

IAD | EGE | United | 1 (DEN) | 08:00 | 11:30 | 542.50
IAD | EGE | American | 0 | 09:30 | 12:45 | 625.00
IAD | EGE | Delta | 1 (ATL) | 11:15 | 14:40 | 580.00
IAD | EGE | Frontier | 0 | 12:45 | 16:00 | 450.00
IAD | EGE | Southwest | 1 (STL) | 14:00 | 17:25 | 520.00
IAD | EGE | JetBlue | 0 | 15:30 | 18:55 | 500.00
IAD | EGE | Alaska | 1 (SEA) | 16:45 | 20:10 | 590.00
IAD | EGE | Spirit | 0 | 18:00 | 21:25 | 420.00
EGE | IAD | United | 1 (DEN) | 08:00 | 14:30 | 542.50
EGE | IAD | American | 0 | 09:30 | 16:15 | 625.00
EGE | IAD | Delta | 1 (ATL) | 11:15 | 17:40 | 580.00
EGE | IAD | Frontier | 0 | 12:45 | 19:00 | 450.00
EGE | IAD | Southwest | 1 (STL) | 14:00 | 20:25 | 520.00
EGE | IAD | JetBlue | 0 | 15:30 | 21:55 | 500.00
EGE | IAD | Alaska | 1 (SEA) | 16:45 | 23:10 | 590.00
EGE | IAD | Spirit | 0 | 18:00 | 00:25 | 420.00


Here are the 16 flight plans:

IAD | CHS | UA | 1 (CLT) | 06:00 | 08:35 | 178.00
IAD | CHS | AA | 0 | 08:15 | 10:20 | 198.00
IAD | CHS | DL | 1 (ATL) | 10:45 | 13:10 | 220.00
IAD | CHS | WN | 0 | 12:30 | 14:35 | 158.00
IAD | CHS | UA | 1 (EWR) | 14:15 | 16:40 | 238.00
IAD | CHS | AS | 1 (BWI) | 16:00 | 18:25 | 208.00
IAD | CHS | F9 | 0 | 18:45 | 21:00 | 128.00
IAD | CHS | B6 | 1 (JFK) | 20:30 | 22:55 | 248.00
CHS | IAD | UA | 1 (CLT) | 06:00 | 08:35 | 178.00
CHS | IAD | AA | 0 | 08:15 | 10:20 | 198.00
CHS | IAD | DL | 1 (ATL) | 10:45 | 13:10 | 220.00
CHS | IAD | WN | 0 | 12:30 | 14:35 | 158.00
CHS | IAD | UA | 1 (EWR) | 14:15 | 16:40 | 238.00
CHS | IAD | AS | 1 (BWI) | 16:00 | 18:25 | 208.00
CHS | IAD | F9 | 0 | 18:45 | 21:00 | 128.00
CHS | IAD | B6 | 1 (JFK) | 20:30 | 22:55 | 248.00
CHS | IAD | NK | 1 (MCO) | 22:15 | 00:40 | 198.00


Here are the 16 flight plans:

IAD | RAP | UA | 0 | 06:00 | 08:35 | 350.00
IAD | RAP | AA | 1 (ORD) | 07:15 | 11:20 | 420.00
IAD | RAP | DL | 0 | 09:45 | 12:10 | 280.00
IAD | RAP | WN | 1 (DEN) | 11:00 | 14:55 | 450.00
IAD | RAP | UA | 1 (EWR) | 12:30 | 16:25 | 380.00
IAD | RAP | AA | 0 | 14:15 | 16:40 | 300.00
IAD | RAP | DL | 1 (ATL) | 15:45 | 19:50 | 480.00
IAD | RAP | WN | 0 | 17:00 | 19:35 | 320.00
RAP | IAD | UA | 0 | 06:30 | 09:05 | 330.00
RAP | IAD | AA | 1 (DFW) | 07:45 | 12:00 | 440.00
RAP | IAD | DL | 0 | 09:10 | 11:45 | 290.00
RAP | IAD | WN | 1 (PHX) | 11:20 | 15:15 | 460.00
RAP | IAD | UA | 1 (IAH) | 12:50 | 16:45 | 390.00
RAP | IAD | AA | 0 | 14:30 | 17:05 | 310.00
RAP | IAD | DL | 1 (MSP) | 15:55 | 20:00 | 500.00
RAP | IAD | WN | 0 | 17:20 | 19:55 | 340.00


Here are the 16 flight plans:

IAD | FCA | UA | 0 | 08:00 | 11:30 | 450.00
IAD | FCA | AA | 1 (ORD) | 09:15 | 14:45 | 520.00
IAD | FCA | DL | 0 | 10:30 | 14:00 | 480.00
IAD | FCA | WN | 1 (DEN) | 11:45 | 16:15 | 550.00
IAD | FCA | UA | 0 | 13:00 | 16:30 | 500.00
IAD | FCA | AS | 1 (SEA) | 14:15 | 19:45 | 580.00
IAD | FCA | B6 | 0 | 15:30 | 18:55 | 530.00
IAD | FCA | F9 | 1 (MCO) | 16:45 | 22:15 | 610.00
FCA | IAD | UA | 0 | 08:00 | 14:30 | 420.00
FCA | IAD | AA | 1 (DFW) | 09:15 | 16:45 | 490.00
FCA | IAD | DL | 0 | 10:30 | 16:00 | 450.00
FCA | IAD | WN | 1 (LAS) | 11:45 | 18:15 | 520.00
FCA | IAD | UA | 0 | 13:00 | 17:30 | 470.00
FCA | IAD | AS | 1 (PDX) | 14:15 | 20:45 | 540.00
FCA | IAD | B6 | 0 | 15:30 | 19:55 | 500.00
FCA | IAD | F9 | 1 (TPA) | 16:45 | 22:15 | 570.00


Here are the 16 flight plans:

IAD | FLG | American Airlines | Non-stop | 08:00 | 11:15 | 345.00
IAD | FLG | Delta Air Lines | 1 stop (DEN) | 09:30 | 13:45 | 420.00
IAD | FLG | United Airlines | Non-stop | 10:45 | 14:00 | 395.00
IAD | FLG | Spirit Airlines | 1 stop (ORD) | 12:00 | 16:15 | 280.00
IAD | FLG | Frontier Airlines | Non-stop | 13:15 | 16:30 | 320.00
IAD | FLG | Alaska Airlines | 1 stop (SFO) | 14:30 | 18:45 | 450.00
IAD | FLG | JetBlue Airways | Non-stop | 15:45 | 19:00 | 380.00
IAD | FLG | Southwest Airlines | 1 stop (DAL) | 17:00 | 21:15 | 410.00
FLG | IAD | American Airlines | Non-stop | 06:00 | 09:15 | 360.00
FLG | IAD | Delta Air Lines | 1 stop (ATL) | 07:30 | 11:45 | 440.00
FLG | IAD | United Airlines | Non-stop | 09:00 | 12:15 | 400.00
FLG | IAD | Spirit Airlines | 1 stop (LAX) | 10:30 | 14:45 | 300.00
FLG | IAD | Frontier Airlines | Non-stop | 12:00 | 15:15 | 340.00
FLG | IAD | Alaska Airlines | 1 stop (SEA) | 13:30 | 17:45 | 480.00
FLG | IAD | JetBlue Airways | Non-stop | 15:00 | 18:15 | 420.00
FLG | IAD | Southwest Airlines | 1 stop (HOU) | 16:30 | 20:45 | 390.00


Here are the 16 flight plans:

IAD | TYS | American Airlines | Non-stop | 06:00 | 08:15 | 198.00
IAD | TYS | Delta Air Lines | 1 stop (ATL) | 08:30 | 11:45 | 220.00
IAD | TYS | United Airlines | Non-stop | 10:00 | 12:20 | 180.00
IAD | TYS | Southwest Airlines | 1 stop (BNA) | 12:15 | 15:30 | 240.00
IAD | TYS | Alaska Airlines | Non-stop | 14:30 | 16:50 | 210.00
IAD | TYS | JetBlue Airways | 1 stop (MCO) | 16:45 | 20:00 | 260.00
IAD | TYS | Spirit Airlines | 1 stop (FLL) | 18:00 | 21:20 | 200.00
IAD | TYS | Frontier Airlines | Non-stop | 20:15 | 22:35 | 230.00
TYS | IAD | American Airlines | Non-stop | 06:30 | 08:50 | 190.00
TYS | IAD | Delta Air Lines | 1 stop (CLT) | 09:00 | 12:20 | 250.00
TYS | IAD | United Airlines | Non-stop | 11:15 | 13:35 | 200.00
TYS | IAD | Southwest Airlines | 1 stop (STL) | 13:30 | 16:50 | 270.00
TYS | IAD | Alaska Airlines | Non-stop | 15:45 | 18:05 | 240.00
TYS | IAD | JetBlue Airways | 1 stop (BOS) | 17:00 | 20:25 | 280.00
TYS | IAD | Spirit Airlines | 1 stop (DTW) | 19:15 | 22:35 | 210.00
TYS | IAD | Frontier Airlines | Non-stop | 21:30 | 23:50 | 220.00


Here are the 16 flight plans:

IAD | AVL | AA | 1 (CLT) | 08:00 | 10:35 | 278.00
IAD | AVL | UA | 1 (EWR) | 10:15 | 13:00 | 298.00
IAD | AVL | DL | 0 | 12:30 | 14:25 | 220.00
IAD | AVL | WN | 1 (BWI) | 14:45 | 17:10 | 248.00
IAD | AVL | AA | 1 (PIT) | 16:00 | 18:40 | 288.00
IAD | AVL | UA | 1 (ORD) | 18:30 | 21:05 | 318.00
IAD | AVL | DL | 0 | 20:00 | 22:00 | 240.00
IAD | AVL | WN | 1 (MDW) | 21:15 | 23:45 | 268.00
AVL | IAD | AA | 1 (CLT) | 08:00 | 10:35 | 278.00
AVL | IAD | UA | 1 (EWR) | 10:15 | 13:00 | 298.00
AVL | IAD | DL | 0 | 12:30 | 14:25 | 220.00
AVL | IAD | WN | 1 (BWI) | 14:45 | 17:10 | 248.00
AVL | IAD | AA | 1 (PIT) | 16:00 | 18:40 | 288.00
AVL | IAD | UA | 1 (ORD) | 18:30 | 21:05 | 318.00
AVL | IAD | DL | 0 | 20:00 | 22:00 | 240.00
AVL | IAD | WN | 1 (MDW) | 21:15 | 23:45 | 268.00


Here are the 16 flight plans:

IAD | JAC | UA | 0 | 06:00 | 09:30 | 450.00
IAD | JAC | AA | 1 (DEN) | 07:30 | 11:15 | 520.00
IAD | JAC | DL | 0 | 08:00 | 11:45 | 480.00
IAD | JAC | WN | 1 (MDW) | 09:00 | 13:30 | 550.00
IAD | JAC | AS | 0 | 10:00 | 13:45 | 500.00
IAD | JAC | F9 | 1 (DEN) | 11:00 | 15:15 | 580.00
IAD | JAC | B6 | 0 | 12:00 | 15:45 | 530.00
IAD | JAC | NK | 1 (ORD) | 13:00 | 17:30 | 610.00

JAC | IAD | UA | 0 | 06:30 | 10:00 | 420.00
JAC | IAD | AA | 1 (DFW) | 07:45 | 11:30 | 490.00
JAC | IAD | DL | 0 | 08:45 | 12:15 | 460.00
JAC | IAD | WN | 1 (HOU) | 09:45 | 13:45 | 540.00
JAC | IAD | AS | 0 | 10:45 | 14:15 | 510.00
JAC | IAD | F9 | 1 (DEN) | 11:45 | 15:45 | 570.00
JAC | IAD | B6 | 0 | 12:45 | 16:15 | 520.00
JAC | IAD | NK | 1 (MIA) | 13:45 | 18:15 | 630.00


Here are the 16 flight plans:

IAD | EYW | AA | 1 (MIA) | 06:00 | 09:35 | 245.00
IAD | EYW | UA | 0 | 08:30 | 11:15 | 270.00
IAD | EYW | DL | 1 (ATL) | 10:15 | 13:50 | 220.00
IAD | EYW | WN | 1 (TPA) | 12:00 | 15:25 | 200.00
IAD | EYW | B6 | 0 | 14:45 | 17:20 | 240.00
IAD | EYW | F9 | 1 (CLT) | 16:30 | 19:55 | 230.00
IAD | EYW | NK | 1 (FLL) | 18:15 | 21:40 | 210.00
IAD | EYW | SY | 0 | 20:00 | 22:35 | 260.00
EYW | IAD | AA | 1 (MIA) | 06:00 | 09:35 | 245.00
EYW | IAD | UA | 0 | 08:30 | 11:15 | 270.00
EYW | IAD | DL | 1 (ATL) | 10:15 | 13:50 | 220.00
EYW | IAD | WN | 1 (TPA) | 12:00 | 15:25 | 200.00
EYW | IAD | B6 | 0 | 14:45 | 17:20 | 240.00
EYW | IAD | F9 | 1 (CLT) | 16:30 | 19:55 | 230.00
EYW | IAD | NK | 1 (FLL) | 18:15 | 21:40 | 210.00
EYW | IAD | SY | 0 | 20:00 | 22:35 | 260.00


IAD | RNO | UA | 0 | 06:00 | 09:15 | 450.00
IAD | RNO | AA | 1 (ORD) | 08:30 | 12:05 | 520.00
IAD | RNO | DL | 0 | 10:45 | 14:10 | 480.00
IAD | RNO | WN | 1 (DEN) | 12:15 | 16:40 | 550.00
IAD | RNO | UA | 1 (SFO) | 14:00 | 18:25 | 500.00
IAD | RNO | AS | 0 | 16:30 | 20:00 | 460.00
IAD | RNO | F9 | 1 (PHX) | 18:45 | 23:10 | 580.00
IAD | RNO | B6 | 1 (LAX) | 20:15 | 00:40 | 510.00
RNO | IAD | UA | 0 | 06:30 | 13:55 | 420.00
RNO | IAD | AA | 1 (DFW) | 08:00 | 15:25 | 490.00
RNO | IAD | DL | 0 | 10:15 | 17:40 | 440.00
RNO | IAD | WN | 1 (MDW) | 12:00 | 18:25 | 560.00
RNO | IAD | AS | 1 (SEA) | 14:30 | 20:55 | 530.00
RNO | IAD | F9 | 0 | 16:45 | 22:10 | 470.00
RNO | IAD | B6 | 1 (JFK) | 18:15 | 23:40 | 500.00
RNO | IAD | UA | 1 (SFO) | 20:30 | 01:55 | 550.00


Here are the 16 flight plans:

IAD | TVL | American Airlines | Non-stop | 08:00 | 11:05 | 450.00
IAD | TVL | United Airlines | 1 stop (DEN) | 09:30 | 13:15 | 520.00
IAD | TVL | Delta Air Lines | Non-stop | 10:45 | 13:50 | 480.00
IAD | TVL | Alaska Airlines | 1 stop (SFO) | 11:15 | 15:00 | 550.00
IAD | TVL | JetBlue Airways | Non-stop | 12:00 | 14:55 | 400.00
IAD | TVL | Spirit Airlines | 1 stop (LAS) | 13:30 | 16:45 | 380.00
IAD | TVL | Frontier Airlines | 1 stop (ORD) | 14:45 | 18:00 | 420.00
IAD | TVL | Southwest Airlines | Non-stop | 16:00 | 18:55 | 460.00
TVL | IAD | American Airlines | Non-stop | 08:30 | 15:35 | 430.00
TVL | IAD | United Airlines | 1 stop (SFO) | 09:00 | 16:15 | 500.00
TVL | IAD | Delta Air Lines | Non-stop | 10:15 | 13:20 | 490.00
TVL | IAD | Alaska Airlines | 1 stop (DEN) | 11:45 | 15:50 | 530.00
TVL | IAD | JetBlue Airways | Non-stop | 12:30 | 15:35 | 410.00
TVL | IAD | Spirit Airlines | 1 stop (ORD) | 13:15 | 16:40 | 390.00
TVL | IAD | Frontier Airlines | 1 stop (LAS) | 14:00 | 17:25 | 440.00
TVL | IAD | Southwest Airlines | Non-stop | 15:45 | 18:50 | 470.00


Here are the 16 flight plans:

IAD | MCD | UA | 0 | 08:00 | 10:30 | 250.00
IAD | MCD | AA | 1 (ORD) | 09:15 | 12:45 | 320.00
IAD | MCD | DL | 0 | 10:50 | 13:20 | 280.00
IAD | MCD | WN | 1 (BWI) | 11:30 | 14:50 | 350.00
IAD | MCD | UA | 0 | 12:15 | 14:45 | 220.00
IAD | MCD | AA | 1 (CLT) | 13:00 | 16:20 | 300.00
IAD | MCD | DL | 0 | 14:20 | 16:50 | 240.00
IAD | MCD | WN | 1 (PIT) | 15:00 | 18:10 | 330.00
MCD | IAD | UA | 0 | 08:30 | 11:00 | 230.00
MCD | IAD | AA | 1 (RDU) | 09:45 | 13:05 | 290.00
MCD | IAD | DL | 0 | 11:10 | 13:40 | 210.00
MCD | IAD | WN | 1 (ATL) | 12:00 | 15:20 | 310.00
MCD | IAD | UA | 0 | 13:30 | 16:00 | 200.00
MCD | IAD | AA | 1 (PHL) | 14:45 | 17:15 | 280.00
MCD | IAD | DL | 0 | 15:50 | 18:20 | 260.00
MCD | IAD | WN | 1 (CVG) | 16:30 | 19:50 | 340.00


Here are the 16 flight plans:

IAD | PLN | AA | 1 (DTW) | 08:00 | 11:15 | 425.00
IAD | PLN | UA | 0 | 10:30 | 13:45 | 550.00
IAD | PLN | DL | 1 (ATL) | 12:00 | 15:20 | 475.00
IAD | PLN | WN | 1 (MDW) | 14:00 | 17:15 | 450.00
IAD | PLN | AS | 1 (ORD) | 16:00 | 19:20 | 520.00
IAD | PLN | F9 | 1 (CVG) | 18:00 | 21:15 | 400.00
IAD | PLN | B6 | 1 (JFK) | 20:00 | 23:20 | 500.00
IAD | PLN | NK | 1 (CLE) | 22:00 | 01:20 | 480.00
PLN | IAD | AA | 1 (DTW) | 06:00 | 09:15 | 420.00
PLN | IAD | UA | 0 | 08:30 | 11:45 | 540.00
PLN | IAD | DL | 1 (ATL) | 10:00 | 13:20 | 490.00
PLN | IAD | WN | 1 (MDW) | 12:00 | 15:15 | 460.00
PLN | IAD | AS | 1 (ORD) | 14:00 | 17:20 | 510.00
PLN | IAD | F9 | 1 (CVG) | 16:00 | 19:15 | 390.00
PLN | IAD | B6 | 1 (JFK) | 18:00 | 21:20 | 490.00
PLN | IAD | NK | 1 (CLE) | 20:00 | 23:20 | 470.00


Here are the 16 flight plans:

IAD | OGG | United | 0 | 08:00 | 17:30 | 850.00
IAD | OGG | American | 1 (DFW) | 09:30 | 20:15 | 920.00
IAD | OGG | Delta | 0 | 11:45 | 21:10 | 980.00
IAD | OGG | Hawaiian | 0 | 13:15 | 22:40 | 1050.00
IAD | OGG | United | 1 (SFO) | 14:50 | 23:25 | 1100.00
