

Here are the 16 flight plans:

LAX | ORD | American Airlines | Non-stop | 08:00 | 14:35 | 425.00
PHL | LAX | Spirit Airlines | 1 stop (ORD) | 13:30 | 18:00 | 360.00
PHL | LAX | Frontier Airlines | 1 stop (IAH) | 14:45 | 19:15 | 375.00


Here are the 16 flight plans:

LAX | SFO | American Airlines | Non-stop | 06:00 | 07:20 | 120.00
LAX | SFO | Delta Air Lines | Non-stop | 08:30 | 09:50 | 150.00
LAX | SFO | United Airlines | Non-stop | 10:00 | 11:20 | 130.00
LAX | SFO | Southwest Airlines | 1 stop (LAS) | 11:30 | 14:00 | 180.00
LAX | SFO | Alaska Airlines | Non-stop | 12:30 | 13:50 | 140.00
LAX | SFO | JetBlue Airways | 1 stop (PHX) | 14:00 | 16:30 | 200.00
LAX | SFO | Spirit Airlines | Non-stop | 15:30 | 16:50 | 110.00
LAX | SFO | Frontier Airlines | 1 stop (DEN) | 16:30 | 19:00 | 220.00
SFO | LAX | American Airlines | Non-stop | 07:00 | 08:20 | 120.00
SFO | LAX | Delta Air Lines | Non-stop | 09:30 | 10:50 | 150.00
SFO | LAX | United Airlines | Non-stop | 11:00 | 12:20 | 130.00
SFO | LAX | Southwest Airlines | 1 stop (SAN) | 12:30 | 14:50 | 190.00
SFO | LAX | Alaska Airlines | Non-stop | 13:30 | 14:50 | 140.00
SFO | LAX | JetBlue Airways | 1 stop (OAK) | 14:30 | 16:50 | 210.00
SFO | LAX | Spirit Airlines | Non-stop | 15:30 | 16:50 | 110.00
SFO | LAX | Frontier Airlines | 1 stop (SEA) | 16:30 | 19:00 | 230.00


Here are the 16 flight plans:

LAX | CLT | American Airlines | Non-stop | 08:00 | 16:30 | 450.00
LAX | CLT | Delta Air Lines | 1 stop (ATL) | 09:30 | 18:45 | 520.00
LAX | CLT | United Airlines | Non-stop | 10:15 | 18:40 | 480.00
LAX | CLT | Spirit Airlines | 1 stop (LAS) | 11:45 | 20:10 | 380.00
LAX | CLT | Alaska Airlines | Non-stop | 12:30 | 20:55 | 500.00
LAX | CLT | JetBlue Airways | 1 stop (JFK) | 13:15 | 21:40 | 550.00
LAX | CLT | Southwest Airlines | 1 stop (DAL) | 14:00 | 22:25 | 420.00
LAX | CLT | Frontier Airlines | 1 stop (DEN) | 15:45 | 23:55 | 400.00
CLT | LAX | American Airlines | Non-stop | 06:00 | 08:30 | 420.00
CLT | LAX | Delta Air Lines | 1 stop (SFO) | 07:15 | 10:40 | 500.00
CLT | LAX | United Airlines | Non-stop | 08:30 | 11:00 | 450.00
CLT | LAX | Spirit Airlines | 1 stop (ORD) | 09:45 | 12:55 | 380.00
CLT | LAX | Alaska Airlines | Non-stop | 11:00 | 13:30 | 480.00
CLT | LAX | JetBlue Airways | 1 stop (MCO) | 12:15 | 15:20 | 520.00
CLT | LAX | Southwest Airlines | 1 stop (HOU) | 13:30 | 16:45 | 400.00
CLT | LAX | Frontier Airlines | 1 stop (PHX) | 15:00 | 18:10 | 450.00


Here are the 16 flight plans:

LAX | BOS | American Airlines | Non-stop | 08:00 | 17:30 | 425.00
LAX | BOS | Delta Air Lines | 1 stop (JFK) | 09:15 | 19:45 | 512.00
LAX | BOS | United Airlines | Non-stop | 10:30 | 20:00 | 475.00
LAX | BOS | Southwest Airlines | 1 stop (MDW) | 11:45 | 22:15 | 498.00
LAX | BOS | Alaska Airlines | Non-stop | 13:00 | 22:30 | 450.00
LAX | BOS | JetBlue Airways | 1 stop (FLL) | 14:15 | 23:45 | 520.00
LAX | BOS | Spirit Airlines | 1 stop (LAS) | 15:30 | 00:45 | 380.00
LAX | BOS | Frontier Airlines | 1 stop (DEN) | 16:45 | 02:15 | 408.00
BOS | LAX | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
BOS | LAX | Delta Air Lines | 1 stop (ATL) | 09:15 | 13:45 | 525.00
BOS | LAX | United Airlines | Non-stop | 10:30 | 14:00 | 480.00
BOS | LAX | Southwest Airlines | 1 stop (STL) | 11:45 | 16:15 | 505.00
BOS | LAX | Alaska Airlines | Non-stop | 13:00 | 16:30 | 420.00
BOS | LAX | JetBlue Airways | 1 stop (MCO) | 14:15 | 18:45 | 535.00
BOS | LAX | Spirit Airlines | 1 stop (PIT) | 15:30 | 20:00 | 395.00
BOS | LAX | Frontier Airlines | 1 stop (IAH) | 16:45 | 22:15 | 430.00


Here are the 16 flight plans:

LAX | SEA | American Airlines | Non-stop | 06:00 | 08:30 | 198.00
LAX | SEA | Delta Air Lines | Non-stop | 07:30 | 10:00 | 220.00
LAX | SEA | United Airlines | Non-stop | 09:00 | 11:30 | 240.00
LAX | SEA | Alaska Airlines | Non-stop | 10:30 | 13:00 | 210.00
LAX | SEA | Spirit Airlines | 1 stop (SFO) | 12:00 | 16:30 | 180.00
LAX | SEA | Frontier Airlines | 1 stop (DEN) | 13:30 | 18:00 | 190.00
LAX | SEA | Southwest Airlines | 1 stop (PHX) | 15:00 | 19:30 | 200.00
LAX | SEA | JetBlue Airways | 1 stop (LAS) | 16:30 | 21:00 | 230.00
SEA | LAX | American Airlines | Non-stop | 06:30 | 08:00 | 205.00
SEA | LAX | Delta Air Lines | Non-stop | 08:00 | 09:30 | 235.00
SEA | LAX | United Airlines | Non-stop | 09:30 | 11:00 | 260.00
SEA | LAX | Alaska Airlines | Non-stop | 11:00 | 12:30 | 225.00
SEA | LAX | Spirit Airlines | 1 stop (PDX) | 12:30 | 16:00 | 195.00
SEA | LAX | Frontier Airlines | 1 stop (SFO) | 14:00 | 17:30 | 210.00
SEA | LAX | Southwest Airlines | 1 stop (OAK) | 15:30 | 19:00 | 220.00
SEA | LAX | JetBlue Airways | 1 stop (SAN) | 17:00 | 20:30 | 245.00


Here are the 16 flight plans:

LAX | DEN | American Airlines | Non-stop | 06:00 | 09:15 | 198.00
LAX | DEN | United Airlines | Non-stop | 08:30 | 11:45 | 220.00
LAX | DEN | Delta Air Lines | 1 stop (SLC) | 10:00 | 14:20 | 280.00
LAX | DEN | Southwest Airlines | Non-stop | 12:00 | 15:15 | 240.00
LAX | DEN | Alaska Airlines | 1 stop (SEA) | 14:00 | 18:20 | 300.00
LAX | DEN | Frontier Airlines | Non-stop | 16:00 | 19:15 | 260.00
LAX | DEN | Spirit Airlines | 1 stop (LAS) | 18:00 | 22:20 | 320.00
LAX | DEN | JetBlue Airways | Non-stop | 20:00 | 23:15 | 280.00

DEN | LAX | American Airlines | Non-stop | 06:00 | 07:15 | 210.00
DEN | LAX | United Airlines | Non-stop | 08:30 | 09:45 | 230.00
DEN | LAX | Delta Air Lines | 1 stop (SFO) | 10:00 | 13:20 | 290.00
DEN | LAX | Southwest Airlines | Non-stop | 12:00 | 13:15 | 250.00
DEN | LAX | Alaska Airlines | 1 stop (PDX) | 14:00 | 17:20 | 310.00
DEN | LAX | Frontier Airlines | Non-stop | 16:00 | 17:15 | 270.00
DEN | LAX | Spirit Airlines | 1 stop (PHX) | 18:00 | 21:20 | 330.00
DEN | LAX | JetBlue Airways | Non-stop | 20:00 | 21:15 | 290.00


Here are the 16 flight plans:

LAX | BNA | American Airlines | Non-stop | 08:00 | 15:30 | 425.00
LAX | BNA | Delta Air Lines | 1 stop (ATL) | 09:30 | 18:15 | 512.00
LAX | BNA | United Airlines | Non-stop | 10:15 | 17:45 | 395.00
LAX | BNA | Southwest Airlines | 1 stop (DEN) | 11:00 | 19:30 | 442.00
LAX | BNA | Alaska Airlines | Non-stop | 12:30 | 20:00 | 458.00
LAX | BNA | JetBlue Airways | 1 stop (JFK) | 13:45 | 21:20 | 522.00
LAX | BNA | Spirit Airlines | 1 stop (LAS) | 14:15 | 22:00 | 382.00
LAX | BNA | Frontier Airlines | Non-stop | 15:00 | 22:30 | 418.00
BNA | LAX | American Airlines | Non-stop | 08:30 | 10:30 | 398.00
BNA | LAX | Delta Air Lines | 1 stop (SFO) | 09:15 | 12:45 | 488.00
BNA | LAX | United Airlines | Non-stop | 10:45 | 13:15 | 428.00
BNA | LAX | Southwest Airlines | 1 stop (PHX) | 11:30 | 14:55 | 452.00
BNA | LAX | Alaska Airlines | Non-stop | 12:15 | 14:45 | 478.00
BNA | LAX | JetBlue Airways | 1 stop (MIA) | 13:00 | 16:30 | 502.00
BNA | LAX | Spirit Airlines | 1 stop (ORD) | 14:30 | 17:55 | 412.00
BNA | LAX | Frontier Airlines | Non-stop | 15:15 | 17:45 | 438.00


Here are the 16 flight plans:

LAX | IAD | American Airlines | Non-stop | 08:00 | 16:30 | 450.00
LAX | IAD | United Airlines | 1 stop (ORD) | 09:15 | 18:45 | 520.00
LAX | IAD | Delta Air Lines | Non-stop | 10:30 | 19:00 | 480.00
LAX | IAD | Alaska Airlines | 1 stop (SFO) | 11:45 | 20:15 | 550.00
LAX | IAD | JetBlue Airways | Non-stop | 13:00 | 21:30 | 500.00
LAX | IAD | Spirit Airlines | 1 stop (LAS) | 14:15 | 22:45 | 420.00
LAX | IAD | Frontier Airlines | 1 stop (DEN) | 15:30 | 23:59 | 480.00
LAX | IAD | Southwest Airlines | Non-stop | 17:00 | 01:30 | 520.00
IAD | LAX | American Airlines | Non-stop | 08:30 | 11:00 | 470.00
IAD | LAX | United Airlines | 1 stop (EWR) | 09:45 | 13:15 | 540.00
IAD | LAX | Delta Air Lines | Non-stop | 11:00 | 14:30 | 510.00
IAD | LAX | Alaska Airlines | 1 stop (PDX) | 12:15 | 16:45 | 570.00
IAD | LAX | JetBlue Airways | Non-stop | 13:30 | 17:00 | 530.00
IAD | LAX | Spirit Airlines | 1 stop (BWI) | 14:45 | 19:15 | 440.00
IAD | LAX | Frontier Airlines | 1 stop (MCO) | 16:00 | 21:30 | 500.00
IAD | LAX | Southwest Airlines | Non-stop | 17:30 | 22:00 | 550.00


Here are the 16 flight plans:

LAX | DCA | American Airlines | Non-stop | 06:00 | 14:30 | 450.00
LAX | DCA | Delta Air Lines | 1 stop (ATL) | 08:30 | 17:45 | 520.00
LAX | DCA | United Airlines | Non-stop | 10:00 | 18:30 | 480.00
LAX | DCA | Alaska Airlines | 1 stop (SFO) | 11:15 | 20:00 | 550.00
LAX | DCA | Spirit Airlines | 1 stop (LAS) | 12:45 | 21:30 | 420.00
LAX | DCA | JetBlue Airways | Non-stop | 14:00 | 22:30 | 500.00
LAX | DCA | Frontier Airlines | 1 stop (DEN) | 15:30 | 23:45 | 460.00
LAX | DCA | Southwest Airlines | Non-stop | 17:00 | 01:30 | 510.00
DCA | LAX | American Airlines | Non-stop | 06:00 | 08:30 | 430.00
DCA | LAX | Delta Air Lines | 1 stop (MIA) | 08:30 | 12:45 | 540.00
DCA | LAX | United Airlines | Non-stop | 10:00 | 13:30 | 490.00
DCA | LAX | Alaska Airlines | 1 stop (PDX) | 11:15 | 15:45 | 570.00
DCA | LAX | Spirit Airlines | 1 stop (ORD) | 12:45 | 17:30 | 440.00
DCA | LAX | JetBlue Airways | Non-stop | 14:00 | 17:30 | 510.00
DCA | LAX | Frontier Airlines | 1 stop (PHX) | 15:30 | 20:15 | 480.00
DCA | LAX | Southwest Airlines | Non-stop | 17:00 | 20:30 | 520.00


Here are the 16 flight plans:

LAX | MIA | American Airlines | Non-stop | 08:00 | 17:30 | 450.00
LAX | MIA | Delta Air Lines | 1 stop (ATL) | 09:15 | 19:45 | 520.00
LAX | MIA | United Airlines | Non-stop | 10:30 | 20:00 | 480.00
LAX | MIA | Spirit Airlines | 1 stop (LAS) | 11:45 | 21:15 | 380.00
LAX | MIA | Alaska Airlines | Non-stop | 13:00 | 22:30 | 500.00
LAX | MIA | JetBlue Airways | 1 stop (SFO) | 14:15 | 23:45 | 420.00
LAX | MIA | Southwest Airlines | 1 stop (PHX) | 15:30 | 01:00 | 440.00
LAX | MIA | Frontier Airlines | 1 stop (DEN) | 16:45 | 02:15 | 400.00
MIA | LAX | American Airlines | Non-stop | 08:00 | 11:30 | 430.00
MIA | LAX | Delta Air Lines | 1 stop (ATL) | 09:15 | 13:45 | 550.00
MIA | LAX | United Airlines | Non-stop | 10:30 | 14:00 | 490.00
MIA | LAX | Spirit Airlines | 1 stop (FLL) | 11:45 | 15:15 | 350.00
MIA | LAX | Alaska Airlines | Non-stop | 13:00 | 16:30 | 510.00
MIA | LAX | JetBlue Airways | 1 stop (JFK) | 14:15 | 17:45 | 450.00
MIA | LAX | Southwest Airlines | 1 stop (HOU) | 15:30 | 19:00 | 470.00
MIA | LAX | Frontier Airlines | 1 stop (ORD) | 16:45 | 20:15 | 410.00


Here are the 16 flight plans:

LAX | LAS | American Airlines | Non-stop | 08:00 | 09:15 | 178.00
LAX | LAS | Delta Air Lines | 1 stop (SFO) | 10:30 | 13:05 | 215.00
LAX | LAS | United Airlines | Non-stop | 12:00 | 13:10 | 198.00
LAX | LAS | Southwest Airlines | 1 stop (PHX) | 14:15 | 16:45 | 245.00
LAX | LAS | Alaska Airlines | Non-stop | 16:00 | 17:05 | 220.00
LAX | LAS | Spirit Airlines | 1 stop (OAK) | 18:30 | 21:00 | 185.00
LAX | LAS | Frontier Airlines | Non-stop | 20:00 | 21:05 | 210.00
LAX | LAS | JetBlue Airways | 1 stop (SAN) | 22:15 | 00:45 | 255.00

LAS | LAX | American Airlines | Non-stop | 06:00 | 07:05 | 165.00
LAS | LAX | Delta Air Lines | 1 stop (SLC) | 08:30 | 11:05 | 230.00
LAS | LAX | United Airlines | Non-stop | 10:00 | 11:05 | 190.00
LAS | LAX | Southwest Airlines | 1 stop (TUS) | 12:15 | 14:45 | 240.00
LAS | LAX | Alaska Airlines | Non-stop | 14:00 | 15:05 | 225.00
LAS | LAX | Spirit Airlines | 1 stop (BUR) | 16:30 | 18:55 | 195.00
LAS | LAX | Frontier Airlines | Non-stop | 18:00 | 19:05 | 205.00
LAS | LAX | JetBlue Airways | 1 stop (PDX) | 20:15 | 22:40 | 270.00


Here are the 16 flight plans:

LAX | MSY | American Airlines | Non-stop | 08:00 | 14:30 | 450.00
LAX | MSY | Delta Air Lines | 1 stop (ATL) | 09:30 | 17:15 | 520.00
LAX | MSY | United Airlines | Non-stop | 11:00 | 17:00 | 480.00
LAX | MSY | Southwest Airlines | 1 stop (DEN) | 12:30 | 19:45 | 550.00
LAX | MSY | Alaska Airlines | Non-stop | 14:00 | 20:00 | 500.00
LAX | MSY | Spirit Airlines | 1 stop (LAS) | 15:30 | 22:15 | 420.00
LAX | MSY | JetBlue Airways | Non-stop | 17:00 | 23:00 | 530.00
LAX | MSY | Frontier Airlines | 1 stop (PHX) | 19:30 | 01:45 | 490.00

MSY | LAX | American Airlines | Non-stop | 08:30 | 10:30 | 420.00
MSY | LAX | Delta Air Lines | 1 stop (SFO) | 09:00 | 12:45 | 550.00
MSY | LAX | United Airlines | Non-stop | 11:30 | 13:30 | 450.00
MSY | LAX | Southwest Airlines | 1 stop (HOU) | 12:00 | 15:15 | 520.00
MSY | LAX | Alaska Airlines | Non-stop | 14:30 | 16:30 | 480.00
MSY | LAX | Spirit Airlines | 1 stop (DFW) | 15:00 | 18:45 | 490.00
MSY | LAX | JetBlue Airways | Non-stop | 17:30 | 19:30 | 510.00
MSY | LAX | Frontier Airlines | 1 stop (MCO) | 19:00 | 22:45 | 460.00


Here are the 16 flight plans:

LAX | MCO | American Airlines | Non-stop | 08:00 | 16:30 | 450.00
LAX | MCO | Delta Air Lines | 1 stop (ATL) | 09:30 | 19:15 | 520.00
LAX | MCO | United Airlines | Non-stop | 11:00 | 19:00 | 480.00
LAX | MCO | Spirit Airlines | 1 stop (DFW) | 12:30 | 21:45 | 380.00
LAX | MCO | Alaska Airlines | Non-stop | 14:00 | 22:00 | 500.00
LAX | MCO | JetBlue Airways | 1 stop (JFK) | 15:30 | 00:15 | 420.00
LAX | MCO | Frontier Airlines | 1 stop (DEN) | 17:00 | 02:30 | 350.00
LAX | MCO | Southwest Airlines | Non-stop | 19:00 | 03:00 | 460.00
MCO | LAX | American Airlines | Non-stop | 08:30 | 11:00 | 430.00
MCO | LAX | Delta Air Lines | 1 stop (SFO) | 09:00 | 13:45 | 510.00
MCO | LAX | United Airlines | Non-stop | 10:30 | 14:00 | 490.00
MCO | LAX | Spirit Airlines | 1 stop (ORD) | 12:00 | 17:15 | 390.00
MCO | LAX | Alaska Airlines | Non-stop | 13:30 | 17:00 | 470.00
MCO | LAX | JetBlue Airways | 1 stop (BOS) | 15:00 | 21:30 | 440.00
MCO | LAX | Frontier Airlines | 1 stop (PHX) | 16:30 | 23:45 | 360.00
MCO | LAX | Southwest Airlines | Non-stop | 18:00 | 01:00 | 480.00


Here are the 16 flight plans:

LAX | TPA | American Airlines | Non-stop | 08:00 | 16:30 | 398.00
LAX | TPA | Delta Air Lines | 1 stop (ATL) | 09:15 | 18:45 | 428.00
LAX | TPA | United Airlines | Non-stop | 10:30 | 19:00 | 448.00
LAX | TPA | Southwest Airlines | 1 stop (DAL) | 11:45 | 20:15 | 378.00
LAX | TPA | Alaska Airlines | Non-stop | 13:00 | 21:30 | 418.00
LAX | TPA | JetBlue Airways | 1 stop (JFK) | 14:15 | 22:45 | 398.00
LAX | TPA | Spirit Airlines | 1 stop (LAS) | 15:30 | 23:55 | 348.00
LAX | TPA | Frontier Airlines | Non-stop | 16:45 | 00:15 | 368.00

TPA | LAX | American Airlines | Non-stop | 08:00 | 10:30 | 418.00
TPA | LAX | Delta Air Lines | 1 stop (MIA) | 09:15 | 12:45 | 448.00
TPA | LAX | United Airlines | Non-stop | 10:30 | 13:00 | 478.00
TPA | LAX | Southwest Airlines | 1 stop (HOU) | 11:45 | 15:15 | 398.00
TPA | LAX | Alaska Airlines | Non-stop | 13:00 | 15:30 | 438.00
TPA | LAX | JetBlue Airways | 1 stop (BOS) | 14:15 | 17:45 | 418.00
TPA | LAX | Spirit Airlines | 1 stop (ORD) | 15:30 | 19:00 | 368.00
TPA | LAX | Frontier Airlines | Non-stop | 16:45 | 19:15 | 388.00


Here are the 16 flight plans:

LAX | ANC | Alaska Airlines | Non-stop | 08:00 | 11:30 | 425.00
LAX | ANC | American Airlines | 1 stop (SFO) | 09:15 | 14:45 | 495.00
LAX | ANC | Delta Air Lines | Non-stop | 10:45 | 14:15 | 475.00
LAX | ANC | United Airlines | 1 stop (DEN) | 11:30 | 16:00 | 525.00
LAX | ANC | Southwest Airlines | 1 stop (SEA) | 12:00 | 16:30 | 450.00
LAX | ANC | Alaska Airlines | 1 stop (PDX) | 13:15 | 17:45 | 480.00
LAX | ANC | Spirit Airlines | 1 stop (LAS) | 14:30 | 19:00 | 405.00
LAX | ANC | Frontier Airlines | 1 stop (PHX) | 15:45 | 20:15 | 390.00
ANC | LAX | Alaska Airlines | Non-stop | 07:00 | 10:30 | 420.00
ANC | LAX | American Airlines | 1 stop (SFO) | 08:15 | 13:45 | 490.00
ANC | LAX | Delta Air Lines | Non-stop | 09:45 | 13:15 | 465.00
ANC | LAX | United Airlines | 1 stop (DEN) | 11:30 | 15:00 | 510.00
ANC | LAX | Southwest Airlines | 1 stop (SEA) | 12:00 | 15:30 | 440.00
ANC | LAX | Alaska Airlines | 1 stop (PDX) | 13:15 | 16:45 | 460.00
ANC | LAX | Spirit Airlines | 1 stop (LAS) | 14:30 | 18:00 | 410.00
ANC | LAX | Frontier Airlines | 1 stop (PHX) | 15:45 | 19:15 | 400.00


Here are the 16 flight plans:

LAX | SJU | American Airlines | Non-stop | 08:00 | 17:30 | 450.00
LAX | SJU | Delta Air Lines | 1 stop (MIA) | 09:30 | 19:15 | 520.00
LAX | SJU | United Airlines | Non-stop | 10:45 | 20:00 | 480.00
LAX | SJU | JetBlue Airways | Non-stop | 12:15 | 21:40 | 420.00
LAX | SJU | Spirit Airlines | 1 stop (FLL) | 13:50 | 22:50 | 380.00
LAX | SJU | Alaska Airlines | 1 stop (SFO) | 15:20 | 23:55 | 500.00
LAX | SJU | Frontier Airlines | 1 stop (DEN) | 16:40 | 01:10 | 440.00
LAX | SJU | Southwest Airlines | Non-stop | 18:00 | 02:30 | 460.00
SJU | LAX | American Airlines | Non-stop | 08:30 | 14:00 | 430.00
SJU | LAX | Delta Air Lines | 1 stop (ATL) | 09:50 | 15:40 | 550.00
SJU | LAX | United Airlines | Non-stop | 11:10 | 17:30 | 490.00
SJU | LAX | JetBlue Airways | Non-stop | 12:40 | 19:00 | 410.00
SJU | LAX | Spirit Airlines | 1 stop (EWR) | 14:10 | 20:50 | 390.00
SJU | LAX | Alaska Airlines | 1 stop (ORD) | 15:30 | 22:15 | 510.00
SJU | LAX | Frontier Airlines | 1 stop (IAH) | 16:50 | 23:40 | 470.00
SJU | LAX | Southwest Airlines | Non-stop | 18:20 | 01:50 | 480.00


Here are the 16 flight plans:

LAX | BHB | American Airlines | Non-stop | 08:00 | 11:15 | 450.00
LAX | BHB | Delta Air Lines | 1 stop (SFO) | 09:30 | 13:45 | 520.00
LAX | BHB | United Airlines | Non-stop | 10:45 | 14:00 | 480.00
LAX | BHB | Alaska Airlines | 1 stop (PDX) | 12:00 | 16:20 | 550.00
LAX | BHB | Spirit Airlines | Non-stop | 13:15 | 16:30 | 420.00
LAX | BHB | JetBlue Airways | 1 stop (LAS) | 14:30 | 18:45 | 500.00
LAX | BHB | Frontier Airlines | Non-stop | 15:45 | 19:00 | 440.00
LAX | BHB | Southwest Airlines | 1 stop (PHX) | 17:00 | 21:15 | 530.00
BHB | LAX | American Airlines | Non-stop | 06:00 | 08:15 | 430.00
BHB | LAX | Delta Air Lines | 1 stop (DEN) | 07:30 | 11:45 | 510.00
BHB | LAX | United Airlines | Non-stop | 09:00 | 11:15 | 460.00
BHB | LAX | Alaska Airlines | 1 stop (SEA) | 10:30 | 14:45 | 540.00
BHB | LAX | Spirit Airlines | Non-stop | 12:00 | 14:15 | 400.00
BHB | LAX | JetBlue Airways | 1 stop (SJC) | 13:30 | 17:45 | 490.00
BHB | LAX | Frontier Airlines | Non-stop | 15:00 | 17:15 | 410.00
BHB | LAX | Southwest Airlines | 1 stop (ABQ) | 16:30 | 20:45 | 500.00


Here are the 16 flight plans:

LAX | BOS | American Airlines | Non-stop | 08:00 | 17:30 | 425.00
LAX | BOS | Delta Air Lines | 1 stop (ATL) | 09:15 | 19:45 | 495.00
LAX | BOS | United Airlines | Non-stop | 10:30 | 20:00 | 550.00
LAX | BOS | JetBlue Airways | 1 stop (JFK) | 11:45 | 21:15 | 475.00
