

ORD | IAH | United | 0 | 08:00 | 11:15 | 250.00
ORD | MSY | Spirit Airlines | 1 (ATL) | 12:30 | 15:50 | 180.00
ORD | MSY | Southwest Airlines | 0 | 14:00 | 16:30 | 210.00
ORD | MSY | Frontier Airlines | 1 (DEN) | 15:30 | 18:45 | 200.00
ORD | MSY | Alaska Airlines | 0 | 17:00 | 19:30 | 230.00
ORD | MSY | JetBlue Airways | 1 (BOS) | 18:30 | 21:50 | 250.00
MSY | ORD | American Airlines | 0 | 08:30 | 11:00 | 220.00
MSY | ORD | United Airlines | 1 (EWR) | 10:00 | 13:20 | 240.00
MSY | ORD | Delta Air Lines | 0 | 11:30 | 14:00 | 260.00
MSY | ORD | Spirit Airlines | 1 (FLL) | 12:30 | 15:50 | 200.00
MSY | ORD | Southwest Airlines | 0 | 14:00 | 16:30 | 230.00
MSY | ORD | Frontier Airlines | 1 (MCO) | 15:30 | 18:45 | 210.00
MSY | ORD | Alaska Airlines | 0 | 17:00 | 19:30 | 250.00
MSY | ORD | JetBlue Airways | 1 (JFK) | 18:30 | 21:50 | 280.00


ORD | MCO | AA | 0 | 06:00 | 09:30 | 198.00
ORD | MCO | UA | 1 (IAD) | 07:30 | 11:45 | 220.00
ORD | MCO | DL | 0 | 08:15 | 11:45 | 240.00
ORD | MCO | WN | 1 (BNA) | 09:00 | 13:30 | 260.00
ORD | MCO | AS | 0 | 10:30 | 14:00 | 280.00
ORD | MCO | F9 | 1 (ATL) | 11:45 | 16:15 | 200.00
ORD | MCO | NK | 0 | 12:50 | 16:20 | 230.00
ORD | MCO | B6 | 1 (JFK) | 14:15 | 18:45 | 250.00
MCO | ORD | AA | 0 | 06:30 | 08:00 | 180.00
MCO | ORD | UA | 1 (EWR) | 07:15 | 10:30 | 200.00
MCO | ORD | DL | 0 | 08:00 | 10:30 | 220.00
MCO | ORD | WN | 1 (STL) | 09:30 | 12:45 | 240.00
MCO | ORD | AS | 0 | 11:00 | 13:30 | 260.00
MCO | ORD | F9 | 1 (CLT) | 12:15 | 15:45 | 190.00
MCO | ORD | NK | 0 | 13:30 | 16:00 | 210.00
MCO | ORD | B6 | 1 (BOS) | 14:45 | 18:15 | 230.00


Here are the 16 flight plans:

ORD | TPA | American Airlines | 1 (MIA) | 08:00 | 12:30 | 275.00
ORD | TPA | United Airlines | 0 | 10:30 | 14:45 | 320.00
ORD | TPA | Delta Air Lines | 1 (ATL) | 12:15 | 17:00 | 290.00
ORD | TPA | Spirit Airlines | 0 | 14:00 | 18:20 | 240.00
ORD | TPA | Frontier Airlines | 1 (DEN) | 15:45 | 20:10 | 260.00
ORD | TPA | JetBlue Airways | 0 | 17:30 | 21:50 | 300.00
ORD | TPA | Southwest Airlines | 1 (STL) | 19:00 | 23:25 | 280.00
ORD | TPA | Alaska Airlines | 0 | 20:45 | 01:05 | 330.00
TPA | ORD | American Airlines | 1 (CLT) | 07:00 | 10:20 | 270.00
TPA | ORD | United Airlines | 0 | 09:15 | 12:30 | 310.00
TPA | ORD | Delta Air Lines | 1 (CVG) | 11:30 | 14:50 | 290.00
TPA | ORD | Spirit Airlines | 0 | 13:45 | 17:00 | 230.00
TPA | ORD | Frontier Airlines | 1 (MKE) | 15:00 | 18:25 | 250.00
TPA | ORD | JetBlue Airways | 0 | 16:30 | 20:50 | 290.00
TPA | ORD | Southwest Airlines | 1 (BNA) | 18:00 | 21:20 | 260.00
TPA | ORD | Alaska Airlines | 0 | 19:45 | 23:05 | 320.00


ORD | ANC | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
ORD | ANC | United Airlines | 1 stop (DEN) | 09:30 | 14:15 | 520.00
ORD | ANC | Delta Air Lines | Non-stop | 10:00 | 13:30 | 480.00
ORD | ANC | Alaska Airlines | 1 stop (SEA) | 11:00 | 15:45 | 500.00
ORD | ANC | Spirit Airlines | 2 stops (DFW, PDX) | 12:00 | 19:00 | 380.00
ORD | ANC | Frontier Airlines | 1 stop (MSP) | 13:00 | 17:30 | 420.00
ORD | ANC | Southwest Airlines | 1 stop (PHX) | 14:00 | 18:45 | 440.00
ORD | ANC | JetBlue Airways | Non-stop | 15:00 | 18:30 | 510.00
ANC | ORD | American Airlines | Non-stop | 08:30 | 16:00 | 490.00
ANC | ORD | United Airlines | 1 stop (SFO) | 09:00 | 17:45 | 550.00
ANC | ORD | Delta Air Lines | 1 stop (MSP) | 10:30 | 18:15 | 530.00
ANC | ORD | Alaska Airlines | Non-stop | 11:30 | 19:00 | 500.00
ANC | ORD | Spirit Airlines | 2 stops (LAX, DFW) | 12:30 | 21:30 | 410.00
ANC | ORD | Frontier Airlines | 1 stop (DEN) | 13:30 | 20:15 | 460.00
ANC | ORD | Southwest Airlines | 1 stop (PHX) | 14:30 | 21:45 | 480.00
ANC | ORD | JetBlue Airways | 1 stop (SEA) | 15:30 | 22:30 | 520.00


Here are the 16 flight plans:

ORD | SJU | American Airlines | Non-stop | 08:00 | 13:45 | 542.50
ORD | SJU | United Airlines | 1 stop (MIA) | 09:30 | 15:15 | 480.00
ORD | SJU | Delta Air Lines | Non-stop | 10:15 | 16:00 | 510.00
ORD | SJU | JetBlue Airways | 1 stop (FLL) | 11:00 | 17:30 | 450.00
ORD | SJU | Spirit Airlines | 1 stop (TPA) | 12:00 | 18:45 | 420.00
ORD | SJU | Frontier Airlines | Non-stop | 13:30 | 19:15 | 500.00
ORD | SJU | Southwest Airlines | 1 stop (BWI) | 14:15 | 20:00 | 490.00
ORD | SJU | Alaska Airlines | 1 stop (SFO) | 15:00 | 21:45 | 520.00

SJU | ORD | American Airlines | Non-stop | 08:00 | 12:45 | 550.00
SJU | ORD | United Airlines | 1 stop (EWR) | 09:30 | 14:15 | 510.00
SJU | ORD | Delta Air Lines | Non-stop | 10:15 | 15:00 | 530.00
SJU | ORD | JetBlue Airways | 1 stop (JFK) | 11:00 | 16:30 | 470.00
SJU | ORD | Spirit Airlines | 1 stop (FLL) | 12:00 | 17:45 | 440.00
SJU | ORD | Frontier Airlines | Non-stop | 13:30 | 18:15 | 510.00
SJU | ORD | Southwest Airlines | 1 stop (MDW) | 14:15 | 19:00 | 500.00
SJU | ORD | Alaska Airlines | 1 stop (LAX) | 15:00 | 20:45 | 540.00


Here are the 16 flight plans:

ORD | BHB | American Airlines | Non-stop | 06:00 | 08:30 | 250.00
ORD | BHB | United Airlines | 1 stop (EWR) | 08:15 | 11:45 | 320.00
ORD | BHB | Delta Air Lines | Non-stop | 10:00 | 12:30 | 280.00
ORD | BHB | Southwest Airlines | 1 stop (MDW) | 12:30 | 15:50 | 290.00
ORD | BHB | Alaska Airlines | Non-stop | 14:00 | 16:30 | 260.00
ORD | BHB | JetBlue Airways | 1 stop (JFK) | 16:00 | 19:20 | 300.00
ORD | BHB | Spirit Airlines | 1 stop (DTW) | 18:00 | 21:20 | 240.00
ORD | BHB | Frontier Airlines | Non-stop | 20:00 | 22:30 | 270.00

BHB | ORD | American Airlines | Non-stop | 06:00 | 08:30 | 250.00
BHB | ORD | United Airlines | 1 stop (EWR) | 08:15 | 11:45 | 320.00
BHB | ORD | Delta Air Lines | Non-stop | 10:00 | 12:30 | 280.00
BHB | ORD | Southwest Airlines | 1 stop (MDW) | 12:30 | 15:50 | 290.00
BHB | ORD | Alaska Airlines | Non-stop | 14:00 | 16:30 | 260.00
BHB | ORD | JetBlue Airways | 1 stop (JFK) | 16:00 | 19:20 | 300.00
BHB | ORD | Spirit Airlines | 1 stop (DTW) | 18:00 | 21:20 | 240.00
BHB | ORD | Frontier Airlines | Non-stop | 20:00 | 22:30 | 270.00


Here are the 16 flight plans:

ORD | BOS | American Airlines | Non-stop | 06:00 | 09:15 | 178.00
ORD | BOS | United Airlines | 1 stop (EWR) | 07:30 | 11:45 | 220.00
ORD | BOS | Delta Air Lines | Non-stop | 08:15 | 11:30 | 198.00
ORD | BOS | Spirit Airlines | 1 stop (DTW) | 09:00 | 13:15 | 185.00
ORD | BOS | JetBlue Airways | Non-stop | 10:00 | 13:15 | 210.00
ORD | BOS | Frontier Airlines | 1 stop (MKE) | 11:30 | 15:45 | 195.00
ORD | BOS | Alaska Airlines | Non-stop | 12:45 | 16:00 | 225.00
ORD | BOS | Southwest Airlines | 1 stop (MDW) | 14:00 | 17:15 | 205.00
BOS | ORD | American Airlines | Non-stop | 06:00 | 07:30 | 180.00
BOS | ORD | United Airlines | 1 stop (IAD) | 07:30 | 10:45 | 230.00
BOS | ORD | Delta Air Lines | Non-stop | 08:15 | 09:45 | 200.00
BOS | ORD | Spirit Airlines | 1 stop (PIT) | 09:00 | 12:15 | 190.00
BOS | ORD | JetBlue Airways | Non-stop | 10:00 | 11:30 | 215.00
BOS | ORD | Frontier Airlines | 1 stop (CLE) | 11:30 | 14:45 | 200.00
BOS | ORD | Alaska Airlines | Non-stop | 12:45 | 14:15 | 235.00
BOS | ORD | Southwest Airlines | 1 stop (BWI) | 14:00 | 16:15 | 210.00


Here are the 16 flight plans:

ORD | MRY | American Airlines | Non-stop | 08:00 | 10:35 | 425.00
ORD | MRY | United Airlines | 1 stop (SFO) | 09:15 | 12:50 | 550.00
ORD | MRY | Delta Air Lines | Non-stop | 10:45 | 13:20 | 475.00
ORD | MRY | Alaska Airlines | 1 stop (SEA) | 11:30 | 15:05 | 520.00
ORD | MRY | Spirit Airlines | 1 stop (LAS) | 12:15 | 16:40 | 450.00
ORD | MRY | Frontier Airlines | 1 stop (DEN) | 13:00 | 17:25 | 480.00
ORD | MRY | Southwest Airlines | Non-stop | 14:30 | 17:05 | 500.00
ORD | MRY | JetBlue Airways | 1 stop (LAX) | 15:45 | 19:10 | 525.00

MRY | ORD | American Airlines | Non-stop | 06:30 | 12:05 | 400.00
MRY | ORD | United Airlines | 1 stop (SFO) | 07:15 | 13:40 | 525.00
MRY | ORD | Delta Air Lines | Non-stop | 08:45 | 14:20 | 450.00
MRY | ORD | Alaska Airlines | 1 stop (SEA) | 09:30 | 16:05 | 500.00
MRY | ORD | Spirit Airlines | 1 stop (LAS) | 10:15 | 17:40 | 425.00
MRY | ORD | Frontier Airlines | 1 stop (DEN) | 11:00 | 18:25 | 475.00
MRY | ORD | Southwest Airlines | Non-stop | 12:30 | 18:05 | 525.00
MRY | ORD | JetBlue Airways | 1 stop (LAX) | 13:45 | 20:10 | 550.00


ORD | SJC | AA | 0 | 08:00 | 10:30 | 250.00
ORD | SJC | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
ORD | SJC | WN | 0 | 10:45 | 13:15 | 280.00
ORD | SJC | DL | 1 (MSP) | 12:00 | 15:30 | 350.00
ORD | SJC | AS | 0 | 13:30 | 16:00 | 300.00
ORD | SJC | F9 | 1 (PHX) | 14:45 | 18:15 | 270.00
ORD | SJC | NK | 0 | 16:00 | 18:30 | 240.00
ORD | SJC | B6 | 1 (LAX) | 17:15 | 20:45 | 330.00
SJC | ORD | AA | 0 | 08:00 | 14:30 | 260.00
SJC | ORD | UA | 1 (SFO) | 09:15 | 16:45 | 340.00
SJC | ORD | WN | 0 | 10:45 | 17:15 | 290.00
SJC | ORD | DL | 1 (SLC) | 12:00 | 19:30 | 360.00
SJC | ORD | AS | 0 | 13:30 | 20:00 | 310.00
SJC | ORD | F9 | 1 (DEN) | 14:45 | 22:15 | 280.00
SJC | ORD | NK | 0 | 16:00 | 22:30 | 250.00
SJC | ORD | B6 | 1 (JFK) | 17:15 | 00:45 | 350.00


Here are the 16 flight plans:

ORD | SFO | AA | 0 | 08:00 | 10:30 | 250.00
ORD | SFO | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
ORD | SFO | WN | 0 | 10:45 | 13:15 | 280.00
ORD | SFO | DL | 1 (MSP) | 12:00 | 15:30 | 350.00
ORD | SFO | AS | 0 | 13:30 | 16:00 | 290.00
ORD | SFO | F9 | 1 (PHX) | 14:45 | 18:15 | 300.00
ORD | SFO | B6 | 0 | 16:00 | 18:30 | 310.00
ORD | SFO | NK | 1 (LAS) | 17:15 | 20:45 | 330.00

SFO | ORD | UA | 0 | 08:00 | 14:30 | 270.00
SFO | ORD | AA | 1 (PHX) | 09:15 | 16:45 | 340.00
SFO | ORD | WN | 0 | 10:45 | 17:15 | 290.00
SFO | ORD | DL | 1 (ATL) | 12:00 | 19:30 | 360.00
SFO | ORD | AS | 0 | 13:30 | 20:00 | 300.00
SFO | ORD | F9 | 1 (DEN) | 14:45 | 22:15 | 320.00
SFO | ORD | B6 | 0 | 16:00 | 22:30 | 330.00
SFO | ORD | NK | 1 (MSP) | 17:15 | 00:45 | 350.00


ORD | EGE | American Airlines | Non-stop | 08:00 | 10:30 | 450.00
ORD | EGE | United Airlines | 1 stop (DEN) | 09:15 | 12:45 | 520.00
ORD | EGE | Delta Air Lines | Non-stop | 11:00 | 13:30 | 480.00
ORD | EGE | Southwest Airlines | 1 stop (MCI) | 12:30 | 16:00 | 550.00
