

Here are the 16 flight plans:

JFK | LAX | American Airlines | Non-stop | 08:00 | 11:30 | 425.00
JFK | MDW | JetBlue Airways | Non-stop | 14:00 | 16:05 | 280.00
JFK | MDW | Spirit Airlines | 1 stop (EWR) | 16:00 | 19:20 | 240.00
JFK | MDW | Frontier Airlines | Non-stop | 18:00 | 20:05 | 260.00
JFK | MDW | Alaska Airlines | 1 stop (PIT) | 20:00 | 23:25 | 320.00
JFK | MDW | Southwest Airlines | Non-stop | 22:00 | 00:05 | 290.00

MDW | JFK | American Airlines | Non-stop | 08:00 | 11:05 | 270.00
MDW | JFK | Delta Air Lines | 1 stop (CVG) | 10:30 | 14:25 | 310.00
MDW | JFK | United Airlines | Non-stop | 12:00 | 15:05 | 230.00
MDW | JFK | JetBlue Airways | 1 stop (BOS) | 14:00 | 17:20 | 290.00
MDW | JFK | Spirit Airlines | Non-stop | 16:00 | 19:05 | 250.00
MDW | JFK | Frontier Airlines | 1 stop (RDU) | 18:00 | 21:25 | 330.00
MDW | JFK | Alaska Airlines | Non-stop | 20:00 | 23:05 | 280.00
MDW | JFK | Southwest Airlines | 1 stop (STL) | 22:00 | 01:25 | 300.00


Here are the 16 flight plans:

JFK | IAH | American Airlines | Non-stop | 08:00 | 11:15 | 420.00
JFK | IAH | United Airlines | 1 stop (ORD) | 09:30 | 13:45 | 450.00
JFK | IAH | Delta Air Lines | Non-stop | 11:00 | 14:20 | 480.00
JFK | IAH | Spirit Airlines | 1 stop (FLL) | 12:15 | 16:30 | 380.00
JFK | IAH | JetBlue Airways | Non-stop | 14:00 | 17:25 | 410.00
JFK | IAH | Alaska Airlines | 1 stop (SFO) | 15:30 | 19:45 | 500.00
JFK | IAH | Frontier Airlines | 1 stop (DEN) | 16:45 | 21:00 | 350.00
JFK | IAH | Southwest Airlines | Non-stop | 18:00 | 21:20 | 440.00
IAH | JFK | American Airlines | Non-stop | 08:30 | 12:45 | 430.00
IAH | JFK | United Airlines | 1 stop (IAH) | 09:45 | 14:00 | 460.00
IAH | JFK | Delta Air Lines | Non-stop | 11:15 | 15:30 | 490.00
IAH | JFK | Spirit Airlines | 1 stop (BWI) | 12:30 | 16:45 | 390.00
IAH | JFK | JetBlue Airways | Non-stop | 14:15 | 18:30 | 420.00
IAH | JFK | Alaska Airlines | 1 stop (LAX) | 15:45 | 20:00 | 520.00
IAH | JFK | Frontier Airlines | 1 stop (MCO) | 16:50 | 21:05 | 360.00
IAH | JFK | Southwest Airlines | Non-stop | 18:20 | 22:35 | 450.00


Here are the 16 flight plans:

JFK | PHL | American Airlines | Non-stop | 06:00 | 07:15 | 198.00
JFK | PHL | Delta Air Lines | Non-stop | 08:30 | 09:45 | 220.00
JFK | PHL | United Airlines | 1 stop (EWR) | 10:00 | 12:30 | 280.00
JFK | PHL | JetBlue Airways | Non-stop | 12:15 | 13:30 | 190.00
JFK | PHL | Spirit Airlines | 1 stop (BWI) | 14:00 | 16:15 | 240.00
JFK | PHL | Alaska Airlines | Non-stop | 15:45 | 17:00 | 210.00
JFK | PHL | Frontier Airlines | 1 stop (MIA) | 17:30 | 20:00 | 300.00
JFK | PHL | Southwest Airlines | Non-stop | 19:15 | 20:30 | 230.00
PHL | JFK | American Airlines | Non-stop | 06:30 | 07:45 | 205.00
PHL | JFK | Delta Air Lines | 1 stop (ATL) | 08:00 | 10:30 | 290.00
PHL | JFK | United Airlines | Non-stop | 10:45 | 12:00 | 225.00
PHL | JFK | JetBlue Airways | 1 stop (BOS) | 12:30 | 14:45 | 260.00
PHL | JFK | Spirit Airlines | Non-stop | 14:15 | 15:30 | 200.00
PHL | JFK | Alaska Airlines | 1 stop (ORD) | 15:00 | 17:30 | 310.00
PHL | JFK | Frontier Airlines | Non-stop | 16:45 | 18:00 | 240.00
PHL | JFK | Southwest Airlines | 1 stop (MDW) | 18:30 | 21:00 | 330.00


Here are the 16 flight plans:

JFK | SFO | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
JFK | SFO | Delta Air Lines | 1 stop (LAX) | 09:30 | 13:45 | 520.00
JFK | SFO | United Airlines | Non-stop | 10:00 | 13:15 | 480.00
JFK | SFO | JetBlue Airways | 1 stop (DEN) | 11:15 | 15:30 | 500.00
JFK | SFO | Alaska Airlines | Non-stop | 12:30 | 15:45 | 510.00
JFK | SFO | Spirit Airlines | 1 stop (ORD) | 13:45 | 17:00 | 460.00
JFK | SFO | Frontier Airlines | 1 stop (MIA) | 14:15 | 18:30 | 440.00
JFK | SFO | Southwest Airlines | Non-stop | 15:00 | 18:15 | 490.00
SFO | JFK | American Airlines | Non-stop | 08:30 | 17:00 | 470.00
SFO | JFK | Delta Air Lines | 1 stop (ATL) | 09:45 | 18:15 | 550.00
SFO | JFK | United Airlines | Non-stop | 10:15 | 18:30 | 500.00
SFO | JFK | JetBlue Airways | 1 stop (BOS) | 11:30 | 19:45 | 530.00
SFO | JFK | Alaska Airlines | Non-stop | 12:45 | 20:00 | 520.00
SFO | JFK | Spirit Airlines | 1 stop (DFW) | 13:15 | 21:30 | 480.00
SFO | JFK | Frontier Airlines | 1 stop (LAS) | 14:00 | 22:15 | 450.00
SFO | JFK | Southwest Airlines | Non-stop | 15:30 | 23:45 | 510.00


Here are the 16 flight plans:

JFK | CLT | American Airlines | Non-stop | 06:00 | 08:35 | 198.00
JFK | CLT | Delta Air Lines | 1 stop (ATL) | 07:30 | 11:10 | 220.00
JFK | CLT | JetBlue Airways | Non-stop | 08:15 | 10:45 | 185.00
JFK | CLT | United Airlines | 1 stop (EWR) | 09:00 | 12:30 | 240.00
JFK | CLT | Spirit Airlines | 1 stop (FLL) | 10:45 | 14:20 | 200.00
JFK | CLT | Frontier Airlines | Non-stop | 12:00 | 14:30 | 210.00
JFK | CLT | Alaska Airlines | 1 stop (BWI) | 13:30 | 16:50 | 230.00
JFK | CLT | Southwest Airlines | Non-stop | 15:00 | 17:25 | 195.00

CLT | JFK | American Airlines | Non-stop | 06:30 | 08:55 | 205.00
CLT | JFK | Delta Air Lines | 1 stop (RDU) | 07:00 | 10:40 | 225.00
CLT | JFK | JetBlue Airways | Non-stop | 08:00 | 10:25 | 190.00
CLT | JFK | United Airlines | 1 stop (IAD) | 09:30 | 12:55 | 250.00
CLT | JFK | Spirit Airlines | 1 stop (MCO) | 10:00 | 13:35 | 215.00
CLT | JFK | Frontier Airlines | Non-stop | 11:30 | 13:55 | 220.00
CLT | JFK | Alaska Airlines | 1 stop (PHL) | 12:00 | 15:20 | 235.00
CLT | JFK | Southwest Airlines | Non-stop | 14:00 | 16:25 | 200.00


Here are the 16 flight plans:

JFK | BOS | American Airlines | Non-stop | 06:00 | 07:15 | 129.00
JFK | BOS | Delta Air Lines | Non-stop | 08:30 | 09:45 | 149.00
JFK | BOS | United Airlines | Non-stop | 10:00 | 11:15 | 139.00
JFK | BOS | JetBlue Airways | Non-stop | 12:00 | 13:15 | 119.00
JFK | BOS | Spirit Airlines | 1 stop (EWR) | 14:00 | 16:30 | 179.00
JFK | BOS | Frontier Airlines | 1 stop (PHL) | 15:30 | 18:00 | 199.00
JFK | BOS | Alaska Airlines | Non-stop | 17:00 | 18:15 | 159.00
JFK | BOS | Southwest Airlines | Non-stop | 19:00 | 20:15 | 169.00
BOS | JFK | American Airlines | Non-stop | 06:30 | 07:45 | 139.00
BOS | JFK | Delta Air Lines | Non-stop | 08:00 | 09:15 | 159.00
BOS | JFK | United Airlines | Non-stop | 09:30 | 10:45 | 149.00
BOS | JFK | JetBlue Airways | Non-stop | 11:00 | 12:15 | 129.00
BOS | JFK | Spirit Airlines | 1 stop (LGA) | 13:00 | 15:30 | 189.00
BOS | JFK | Frontier Airlines | 1 stop (PIT) | 14:30 | 17:00 | 209.00
BOS | JFK | Alaska Airlines | Non-stop | 16:00 | 17:15 | 169.00
BOS | JFK | Southwest Airlines | Non-stop | 18:00 | 19:15 | 179.00


Here are the 16 flight plans:

JFK | SEA | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
JFK | SEA | Delta Air Lines | 1 stop (SLC) | 09:30 | 14:15 | 520.00
JFK | SEA | United Airlines | Non-stop | 10:00 | 13:30 | 480.00
JFK | SEA | Alaska Airlines | 1 stop (PDX) | 11:30 | 16:00 | 550.00
JFK | SEA | JetBlue Airways | Non-stop | 12:00 | 15:30 | 500.00
JFK | SEA | Spirit Airlines | 1 stop (DFW) | 13:30 | 18:15 | 420.00
JFK | SEA | Frontier Airlines | 1 stop (DEN) | 14:30 | 19:00 | 400.00
JFK | SEA | Southwest Airlines | 1 stop (CHI) | 15:30 | 20:15 | 480.00
SEA | JFK | American Airlines | Non-stop | 08:00 | 16:30 | 500.00
SEA | JFK | Delta Air Lines | 1 stop (ATL) | 09:30 | 18:15 | 580.00
SEA | JFK | United Airlines | Non-stop | 10:00 | 17:30 | 520.00
SEA | JFK | Alaska Airlines | 1 stop (SFO) | 11:30 | 20:00 | 600.00
SEA | JFK | JetBlue Airways | Non-stop | 12:00 | 19:30 | 550.00
SEA | JFK | Spirit Airlines | 1 stop (ORD) | 13:30 | 21:15 | 450.00
SEA | JFK | Frontier Airlines | 1 stop (MIA) | 14:30 | 22:00 | 430.00
SEA | JFK | Southwest Airlines | 1 stop (DAL) | 15:30 | 23:15 | 500.00


Here are the 16 flight plans:

JFK | DEN | AA | 1 (ORD) | 08:00 | 11:30 | 425.00
JFK | DEN | UA | 0 | 10:30 | 13:45 | 450.00
JFK | DEN | DL | 1 (ATL) | 12:00 | 16:15 | 520.00
JFK | DEN | WN | 1 (MDW) | 14:00 | 18:30 | 480.00
JFK | DEN | AS | 1 (SEA) | 16:00 | 20:15 | 550.00
JFK | DEN | B6 | 1 (FLL) | 18:00 | 22:30 | 500.00
JFK | DEN | NK | 1 (FLL) | 20:00 | 00:30 | 430.00
JFK | DEN | F9 | 1 (MCO) | 22:00 | 02:45 | 410.00

DEN | JFK | UA | 0 | 06:00 | 12:15 | 480.00
DEN | JFK | AA | 1 (DFW) | 08:00 | 14:30 | 500.00
DEN | JFK | DL | 1 (MSP) | 10:00 | 16:45 | 530.00
DEN | JFK | WN | 1 (STL) | 12:00 | 18:30 | 460.00
DEN | JFK | AS | 1 (SFO) | 14:00 | 20:15 | 560.00
DEN | JFK | B6 | 1 (BOS) | 16:00 | 22:30 | 510.00
DEN | JFK | NK | 1 (FLL) | 18:00 | 00:30 | 440.00
DEN | JFK | F9 | 1 (TPA) | 20:00 | 02:45 | 420.00


Here are the 16 flight plans:

JFK | BNA | American Airlines | Non-stop | 06:00 | 08:35 | 278.00
JFK | BNA | Delta Air Lines | 1 stop (ATL) | 08:15 | 12:10 | 348.00
JFK | BNA | United Airlines | Non-stop | 10:30 | 13:05 | 298.00
JFK | BNA | JetBlue Airways | 1 stop (MCO) | 12:45 | 16:20 | 318.00
JFK | BNA | Spirit Airlines | 1 stop (FLL) | 14:00 | 17:35 | 288.00
JFK | BNA | Alaska Airlines | Non-stop | 16:15 | 18:50 | 328.00
JFK | BNA | Frontier Airlines | 1 stop (DEN) | 18:30 | 22:05 | 308.00
JFK | BNA | Southwest Airlines | Non-stop | 20:45 | 23:20 | 298.00
BNA | JFK | American Airlines | Non-stop | 06:30 | 09:05 | 278.00
BNA | JFK | Delta Air Lines | 1 stop (CVG) | 08:45 | 12:40 | 348.00
BNA | JFK | United Airlines | Non-stop | 11:00 | 13:35 | 298.00
BNA | JFK | JetBlue Airways | 1 stop (BOS) | 13:15 | 16:50 | 318.00
BNA | JFK | Spirit Airlines | 1 stop (LGA) | 14:30 | 17:05 | 288.00
BNA | JFK | Alaska Airlines | Non-stop | 16:45 | 19:20 | 328.00
BNA | JFK | Frontier Airlines | 1 stop (ORD) | 18:50 | 22:25 | 308.00
BNA | JFK | Southwest Airlines | Non-stop | 21:00 | 23:35 | 298.00


Here are the 16 flight plans:

JFK | IAD | American Airlines | Non-stop | 06:00 | 07:35 | 178.00
JFK | IAD | Delta Air Lines | 1 stop (BWI) | 08:15 | 11:20 | 220.00
JFK | IAD | United Airlines | Non-stop | 10:00 | 11:25 | 198.00
JFK | IAD | JetBlue Airways | 1 stop (BOS) | 12:30 | 15:45 | 240.00
JFK | IAD | Spirit Airlines | Non-stop | 14:45 | 16:10 | 158.00
JFK | IAD | Alaska Airlines | 1 stop (PHL) | 16:00 | 19:20 | 280.00
JFK | IAD | Frontier Airlines | Non-stop | 18:30 | 20:00 | 138.00
JFK | IAD | Southwest Airlines | 1 stop (PIT) | 20:45 | 23:55 | 258.00
IAD | JFK | American Airlines | Non-stop | 07:00 | 08:30 | 185.00
IAD | JFK | Delta Air Lines | 1 stop (RDU) | 09:30 | 12:40 | 232.00
IAD | JFK | United Airlines | Non-stop | 11:45 | 13:10 | 208.00
IAD | JFK | JetBlue Airways | 1 stop (ORF) | 14:00 | 17:15 | 248.00
IAD | JFK | Spirit Airlines | Non-stop | 16:15 | 17:45 | 168.00
IAD | JFK | Alaska Airlines | 1 stop (CLT) | 18:30 | 21:45 | 292.00
IAD | JFK | Frontier Airlines | Non-stop | 20:00 | 21:30 | 148.00
IAD | JFK | Southwest Airlines | 1 stop (MCI) | 22:15 | 01:25 | 268.00


Here are the 16 flight plans:

JFK | DCA | American Airlines | Non-stop | 06:00 | 07:30 | 198.00
JFK | DCA | Delta Air Lines | 1 stop (BWI) | 08:15 | 10:45 | 220.00
JFK | DCA | United Airlines | Non-stop | 09:30 | 11:00 | 210.00
JFK | DCA | JetBlue Airways | Non-stop | 11:45 | 13:15 | 185.00
JFK | DCA | Spirit Airlines | 1 stop (EWR) | 13:00 | 15:30 | 195.00
JFK | DCA | Alaska Airlines | Non-stop | 14:15 | 15:45 | 225.00
JFK | DCA | Frontier Airlines | 1 stop (PHL) | 15:30 | 18:00 | 205.00
JFK | DCA | Southwest Airlines | Non-stop | 17:00 | 18:30 | 200.00
DCA | JFK | American Airlines | Non-stop | 06:30 | 08:00 | 208.00
DCA | JFK | Delta Air Lines | 1 stop (PIT) | 08:45 | 11:15 | 235.00
DCA | JFK | United Airlines | Non-stop | 10:00 | 11:30 | 220.00
DCA | JFK | JetBlue Airways | Non-stop | 12:15 | 13:45 | 190.00
DCA | JFK | Spirit Airlines | 1 stop (BOS) | 13:30 | 16:00 | 215.00
DCA | JFK | Alaska Airlines | Non-stop | 14:45 | 16:15 | 230.00
DCA | JFK | Frontier Airlines | 1 stop (CLT) | 15:50 | 18:20 | 210.00
DCA | JFK | Southwest Airlines | Non-stop | 17:15 | 18:45 | 205.00


Here are the 16 flight plans:

JFK | MIA | American Airlines | Non-stop | 06:00 | 09:35 | 250.00
JFK | MIA | Delta Air Lines | 1 stop (ATL) | 08:30 | 12:50 | 320.00
JFK | MIA | JetBlue | Non-stop | 10:15 | 13:40 | 220.00
JFK | MIA | United Airlines | 1 stop (EWR) | 11:45 | 16:10 | 350.00
JFK | MIA | Spirit Airlines | 1 stop (FLL) | 13:00 | 17:25 | 280.00
JFK | MIA | Frontier Airlines | Non-stop | 14:30 | 17:55 | 240.00
JFK | MIA | Alaska Airlines | 1 stop (TPA) | 15:45 | 20:10 | 330.00
JFK | MIA | Southwest Airlines | Non-stop | 17:00 | 20:25 | 260.00

MIA | JFK | American Airlines | Non-stop | 06:30 | 09:55 | 270.00
MIA | JFK | Delta Air Lines | 1 stop (BOS) | 08:00 | 12:20 | 340.00
MIA | JFK | JetBlue | Non-stop | 09:45 | 13:10 | 230.00
MIA | JFK | United Airlines | 1 stop (ORD) | 11:15 | 15:35 | 360.00
MIA | JFK | Spirit Airlines | 1 stop (LGA) | 12:30 | 16:50 | 290.00
MIA | JFK | Frontier Airlines | Non-stop | 14:00 | 17:25 | 250.00
MIA | JFK | Alaska Airlines | 1 stop (PBI) | 15:15 | 19:35 | 310.00
MIA | JFK | Southwest Airlines | Non-stop | 16:30 | 20:00 | 280.00


Here are the 16 flight plans:

JFK | LAS | American Airlines | Non-stop | 08:00 | 11:15 | 350.00
JFK | LAS | Delta Air Lines | 1 stop (DEN) | 09:30 | 13:45 | 420.00
JFK | LAS | United Airlines | Non-stop | 11:00 | 14:20 | 380.00
JFK | LAS | Spirit Airlines | 1 stop (ORD) | 12:15 | 16:30 | 320.00
JFK | LAS | JetBlue Airways | Non-stop | 14:00 | 17:20 | 400.00
JFK | LAS | Alaska Airlines | 1 stop (SFO) | 15:30 | 19:45 | 450.00
JFK | LAS | Frontier Airlines | 1 stop (MIA) | 17:00 | 21:15 | 300.00
JFK | LAS | Southwest Airlines | Non-stop | 19:00 | 22:20 | 480.00
LAS | JFK | American Airlines | Non-stop | 06:00 | 13:15 | 370.00
LAS | JFK | Delta Air Lines | 1 stop (ATL) | 07:30 | 15:45 | 440.00
LAS | JFK | United Airlines | Non-stop | 09:00 | 16:20 | 410.00
LAS | JFK | Spirit Airlines | 1 stop (DFW) | 10:15 | 18:30 | 290.00
LAS | JFK | JetBlue Airways | Non-stop | 12:00 | 19:20 | 430.00
LAS | JFK | Alaska Airlines | 1 stop (SEA) | 13:30 | 21:45 | 460.00
LAS | JFK | Frontier Airlines | 1 stop (PHL) | 15:00 | 23:15 | 310.00
LAS | JFK | Southwest Airlines | Non-stop | 17:00 | 00:20 | 490.00


Here are the 16 flight plans:

JFK | MSY | American Airlines | Non-stop | 08:00 | 11:15 | 248.50
JFK | MSY | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 278.00
JFK | MSY | JetBlue Airways | Non-stop | 11:00 | 14:20 | 220.00
JFK | MSY | United Airlines | 1 stop (IAH) | 12:15 | 16:30 | 298.50
JFK | MSY | Spirit Airlines | 1 stop (FLL) | 13:45 | 18:00 | 198.00
JFK | MSY | Alaska Airlines | Non-stop | 15:00 | 18:20 | 258.50
JFK | MSY | Frontier Airlines | 1 stop (DEN) | 16:30 | 20:45 | 238.00
JFK | MSY | Southwest Airlines | Non-stop | 18:00 | 21:20 | 268.50
MSY | JFK | American Airlines | Non-stop | 08:00 | 11:15 | 248.50
MSY | JFK | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 278.00
MSY | JFK | JetBlue Airways | Non-stop | 11:00 | 14:20 | 220.00
MSY | JFK | United Airlines | 1 stop (IAH) | 12:15 | 16:30 | 298.50
MSY | JFK | Spirit Airlines | 1 stop (FLL) | 13:45 | 18:00 | 198.00
MSY | JFK | Alaska Airlines | Non-stop | 15:00 | 18:20 | 258.50
MSY | JFK | Frontier Airlines | 1 stop (DEN) | 16:30 | 20:45 | 238.00
MSY | JFK | Southwest Airlines | Non-stop | 18:00 | 21:20 | 268.50


Here are the 16 flight plans:

JFK | MCO | American Airlines | Non-stop | 08:00 | 11:15 | 250.00
JFK | MCO | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 320.00
JFK | MCO | United Airlines | Non-stop | 11:00 | 14:20 | 280.00
JFK | MCO | JetBlue Airways | Non-stop | 12:30 | 15:50 | 220.00
JFK | MCO | Spirit Airlines | 1 stop (FLL) | 14:00 | 18:20 | 240.00
JFK | MCO | Frontier Airlines | 1 stop (TPA) | 15:30 | 19:50 | 260.00
JFK | MCO | Alaska Airlines | Non-stop | 17:00 | 20:20 | 300.00
JFK | MCO | Southwest Airlines | 1 stop (BWI) | 19:00 | 22:30 | 290.00
MCO | JFK | American Airlines | Non-stop | 08:30 | 11:45 | 270.00
MCO | JFK | Delta Air Lines | 1 stop (CVG) | 10:00 | 14:20 | 330.00
MCO | JFK | United Airlines | Non-stop | 11:30 | 14:55 | 310.00
MCO | JFK | JetBlue Airways | Non-stop | 13:00 | 16:25 | 230.00
MCO | JFK | Spirit Airlines | 1 stop (LGA) | 14:30 | 18:50 | 250.00
MCO | JFK | Frontier Airlines | 1 stop (RDU) | 16:00 | 20:25 | 280.00
MCO | JFK | Alaska Airlines | Non-stop | 17:30 | 20:55 | 320.00
MCO | JFK | Southwest Airlines | 1 stop (PIT) | 19:30 | 22:55 | 300.00


Here are the 16 flight plans:

JFK | TPA | American Airlines | 0 | 08:00 | 11:15 | 220.00
JFK | TPA | Delta Air Lines | 1 (ATL) | 09:30 | 13:45 | 280.00
JFK | TPA | United Airlines | 0 | 10:45 | 14:00 | 250.00
JFK | TPA | JetBlue Airways | 0 | 12:00 | 15:20 | 200.00
JFK | TPA | Spirit Airlines | 1 (FLL) | 13:15 | 17:30 | 180.00
JFK | TPA | Frontier Airlines | 0 | 14:30 | 17:45 | 230.00
JFK | TPA | Alaska Airlines | 1 (MCO) | 15:45 | 20:00 | 290.00
JFK | TPA | Southwest Airlines | 0 | 17:00 | 20:15 | 210.00
TPA | JFK | American Airlines | 0 | 08:30 | 11:45 | 240.00
TPA | JFK | Delta Air Lines | 1 (ATL) | 09:45 | 13:00 | 300.00
TPA | JFK | United Airlines | 0 | 11:00 | 14:15 | 260.00
TPA | JFK | JetBlue Airways | 0 | 12:30 | 15:45 | 220.00
TPA | JFK | Spirit Airlines | 1 (FLL) | 13:45 | 17:00 | 190.00
TPA | JFK | Frontier Airlines | 0 | 15:00 | 18:15 | 250.00
TPA | JFK | Alaska Airlines | 1 (MCO) | 16:15 | 20:30 | 310.00
TPA | JFK | Southwest Airlines | 0 | 17:30 | 20:45 | 230.00


Here are the 16 flight plans:

JFK | ANC | AA | 1 (ORD) | 08:00 | 12:30 | 450.00
JFK | ANC | UA | 1 (SFO) | 09:30 | 14:05 | 520.00
JFK | ANC | DL | 1 (LAX) | 10:15 | 15:00 | 480.00
JFK | ANC | AS | 1 (SEA) | 11:00 | 15:45 | 500.00
JFK | ANC | WN | 1 (DEN) | 12:30 | 17:15 | 460.00
JFK | ANC | B6 | 1 (PDX) | 13:45 | 18:30 | 490.00
JFK | ANC | F9 | 1 (MSP) | 15:00 | 20:00 | 430.00
JFK | ANC | NK | 1 (IAH) | 16:15 | 21:10 | 410.00
ANC | JFK | AA | 1 (ORD) | 08:00 | 17:30 | 470.00
ANC | JFK | UA | 1 (SFO) | 09:30 | 19:05 | 540.00
ANC | JFK | DL | 1 (LAX) | 10:15 | 20:00 | 500.00
ANC | JFK | AS | 1 (SEA) | 11:00 | 20:45 | 520.00
ANC | JFK | WN | 1 (DEN) | 12:30 | 22:15 | 480.00
ANC | JFK | B6 | 1 (PDX) | 13:45 | 23:30 | 510.00
ANC | JFK | F9 | 1 (MSP) | 15:00 | 01:00 | 450.00
ANC | JFK | NK | 1 (IAH) | 16:15 | 02:10 | 440.00


Here are the 16 flight plans:

JFK | SJU | American Airlines | Non-stop | 08:00 | 11:35 | 425.00
JFK | SJU | Delta Air Lines | 1 stop (MIA) | 09:15 | 13:50 | 450.00
JFK | SJU | JetBlue Airways | Non-stop | 10:30 | 14:05 | 395.00
JFK | SJU | United Airlines | 1 stop (EWR) | 11:45 | 16:20 | 480.00
JFK | SJU | Spirit Airlines | 1 stop (FLL) | 13:00 | 17:35 | 375.00
JFK | SJU | Frontier Airlines | 1 stop (ATL) | 14:15 | 19:50 | 405.00
JFK | SJU | Alaska Airlines | Non-stop | 15:30 | 19:05 | 440.00
JFK | SJU | Hawaiian Airlines | 1 stop (MCO) | 16:45 | 21:20 | 420.00
SJU | JFK | American Airlines | Non-stop | 08:00 | 11:35 | 425.00
SJU | JFK | Delta Air Lines | 1 stop (BOS) | 09:15 | 13:50 | 450.00
SJU | JFK | JetBlue Airways | Non-stop | 10:30 | 14:05 | 395.00
SJU | JFK | United Airlines | 1 stop (IAD) | 11:45 | 16:20 | 480.00
SJU | JFK | Spirit Airlines | 1 stop (PBI) | 13:00 | 17:35 | 375.00
SJU | JFK | Frontier Airlines | 1 stop (CLT) | 14:15 | 19:50 | 405.00
SJU | JFK | Alaska Airlines | Non-stop | 15:30 | 19:05 | 440.00
SJU | JFK | Southwest Airlines | 1 stop (FLL) | 16:45 | 21:20 | 410.00


Here are the 16 flight plans:

JFK | BHB | American Airlines | Non-stop | 08:00 | 10:30 | 198.00
JFK | BHB | Delta Air Lines | 1 stop (BOS) | 09:15 | 12:45 | 220.00
JFK | BHB | United Airlines | Non-stop | 10:45 | 13:15 | 185.00
JFK | BHB | JetBlue Airways | 1 stop (PVD) | 11:30 | 14:50 | 240.00
JFK | BHB | Spirit Airlines | 1 stop (EWR) | 12:15 | 15:30 | 200.00
JFK | BHB | Alaska Airlines | Non-stop | 13:00 | 15:30 | 210.00
JFK | BHB | Frontier Airlines | 1 stop (MCO) | 14:45 | 18:00 | 230.00
JFK | BHB | Southwest Airlines | 1 stop (BWI) | 15:30 | 18:45 | 250.00
BHB | JFK | American Airlines | Non-stop | 08:30 | 10:00 | 190.00
BHB | JFK | Delta Air Lines | 1 stop (PHL) | 09:45 | 12:15 | 225.00
BHB | JFK | United Airlines | Non-stop | 11:15 | 12:45 | 195.00
BHB | JFK | JetBlue Airways | 1 stop (BOS) | 12:00 | 14:30 | 235.00
BHB | JFK | Spirit Airlines | 1 stop (EWR) | 13:30 | 15:45 | 205.00
