

Here are the 16 flight plans:

CLT | BOS | American Airlines | Non-stop | 06:00 | 09:05 | 250.00
CLT | DEN | AA | 0 | 08:00 | 10:30 | 250.00
CLT | DEN | UA | 1 (ORD) | 09:15 | 12:45 | 320.00
CLT | DEN | WN | 0 | 10:45 | 13:15 | 220.00
CLT | DEN | DL | 1 (ATL) | 12:00 | 15:30 | 350.00
CLT | DEN | F9 | 0 | 14:30 | 16:55 | 200.00
CLT | DEN | AA | 1 (DFW) | 15:45 | 19:15 | 380.00
CLT | DEN | UA | 0 | 17:00 | 19:30 | 280.00
CLT | DEN | WN | 1 (STL) | 18:15 | 21:45 | 300.00

DEN | CLT | UA | 0 | 07:30 | 12:00 | 260.00
DEN | CLT | AA | 1 (ORD) | 08:45 | 14:15 | 330.00
DEN | CLT | F9 | 0 | 10:15 | 14:45 | 210.00
DEN | CLT | DL | 1 (ATL) | 11:30 | 15:55 | 360.00
DEN | CLT | WN | 0 | 13:00 | 16:30 | 230.00
DEN | CLT | AA | 1 (DFW) | 14:45 | 18:15 | 390.00
DEN | CLT | UA | 0 | 16:00 | 19:30 | 290.00
DEN | CLT | WN | 1 (STL) | 17:15 | 20:45 | 310.00


Here are the 16 flight plans:

CLT | BNA | AA | Non-stop | 06:00 | 07:30 | 178.00
CLT | BNA | DL | 1 stop (ATL) | 08:15 | 11:45 | 220.00
CLT | BNA | WN | Non-stop | 09:30 | 11:00 | 198.00
CLT | BNA | UA | 1 stop (EWR) | 11:00 | 14:30 | 258.00
CLT | BNA | F9 | Non-stop | 12:45 | 14:15 | 148.00
CLT | BNA | AS | 1 stop (ORD) | 14:30 | 17:00 | 288.00
CLT | BNA | NK | Non-stop | 16:00 | 17:30 | 168.00
CLT | BNA | B6 | 1 stop (MCO) | 18:15 | 21:45 | 248.00
BNA | CLT | AA | Non-stop | 06:30 | 08:00 | 188.00
BNA | CLT | DL | 1 stop (CVG) | 08:45 | 12:15 | 230.00
BNA | CLT | WN | Non-stop | 10:15 | 11:45 | 208.00
BNA | CLT | UA | 1 stop (IAH) | 12:00 | 15:30 | 268.00
BNA | CLT | F9 | Non-stop | 13:45 | 15:15 | 158.00
BNA | CLT | AS | 1 stop (DFW) | 15:30 | 18:00 | 298.00
BNA | CLT | NK | Non-stop | 17:00 | 18:30 | 178.00
BNA | CLT | B6 | 1 stop (FLL) | 19:15 | 22:45 | 238.00


Here are the 16 flight plans:

CLT | IAD | AA | 0 | 06:00 | 07:30 | 150.00
CLT | IAD | UA | 1 (EWR) | 08:15 | 11:45 | 220.00
CLT | IAD | DL | 0 | 10:00 | 11:30 | 180.00
CLT | IAD | WN | 1 (BWI) | 12:45 | 15:15 | 200.00
CLT | IAD | AA | 0 | 14:30 | 16:00 | 160.00
CLT | IAD | UA | 1 (PIT) | 16:15 | 19:45 | 240.00
CLT | IAD | DL | 0 | 18:00 | 19:30 | 190.00
CLT | IAD | WN | 1 (PHL) | 20:45 | 23:15 | 210.00
IAD | CLT | AA | 0 | 06:30 | 08:00 | 140.00
IAD | CLT | UA | 1 (EWR) | 08:45 | 12:15 | 230.00
IAD | CLT | DL | 0 | 11:00 | 12:30 | 170.00
IAD | CLT | WN | 1 (BWI) | 13:45 | 16:15 | 190.00
IAD | CLT | AA | 0 | 15:30 | 17:00 | 150.00
IAD | CLT | UA | 1 (PIT) | 17:15 | 20:45 | 250.00
IAD | CLT | DL | 0 | 19:00 | 20:30 | 180.00
IAD | CLT | WN | 1 (PHL) | 21:45 | 00:15 | 220.00


Here are the 16 flight plans:

CLT | DCA | AA | 0 | 06:00 | 07:30 | 150.00
CLT | DCA | UA | 1 (EWR) | 07:15 | 09:45 | 220.00
CLT | DCA | DL | 0 | 08:30 | 10:00 | 180.00
CLT | DCA | WN | 1 (BWI) | 09:45 | 12:15 | 250.00
CLT | DCA | AA | 0 | 11:00 | 12:30 | 160.00
CLT | DCA | UA | 1 (ORD) | 12:15 | 14:45 | 280.00
CLT | DCA | DL | 0 | 13:30 | 15:00 | 190.00
CLT | DCA | WN | 1 (PIT) | 14:45 | 17:15 | 300.00
DCA | CLT | AA | 0 | 06:00 | 07:30 | 150.00
DCA | CLT | UA | 1 (EWR) | 07:15 | 09:45 | 220.00
DCA | CLT | DL | 0 | 08:30 | 10:00 | 180.00
DCA | CLT | WN | 1 (BWI) | 09:45 | 12:15 | 250.00
DCA | CLT | AA | 0 | 11:00 | 12:30 | 160.00
DCA | CLT | UA | 1 (ORD) | 12:15 | 14:45 | 280.00
DCA | CLT | DL | 0 | 13:30 | 15:00 | 190.00
DCA | CLT | WN | 1 (PIT) | 14:45 | 17:15 | 300.00


Here are the 16 flight plans:

CLT | MIA | AA | 0 | 06:00 | 08:30 | 198.00
CLT | MIA | DL | 1 (ATL) | 08:15 | 11:45 | 258.00
CLT | MIA | WN | 0 | 09:30 | 12:00 | 220.00
CLT | MIA | UA | 1 (EWR) | 10:45 | 14:15 | 298.00
CLT | MIA | B6 | 0 | 12:00 | 14:30 | 240.00
CLT | MIA | F9 | 1 (TPA) | 13:15 | 16:45 | 278.00
CLT | MIA | NK | 0 | 14:30 | 17:00 | 260.00
CLT | MIA | SY | 1 (RDU) | 15:45 | 19:15 | 310.00
MIA | CLT | AA | 0 | 06:30 | 09:00 | 208.00
MIA | CLT | DL | 1 (JAX) | 08:00 | 11:30 | 268.00
MIA | CLT | WN | 0 | 09:45 | 12:15 | 230.00
MIA | CLT | UA | 1 (ORD) | 11:15 | 14:45 | 308.00
MIA | CLT | B6 | 0 | 12:45 | 15:15 | 250.00
MIA | CLT | F9 | 1 (BNA) | 14:00 | 17:30 | 288.00
MIA | CLT | NK | 0 | 15:15 | 17:45 | 270.00
MIA | CLT | SY | 1 (PBI) | 16:30 | 20:00 | 320.00


Here are the 16 flight plans:

CLT | LAS | AA | 0 | 08:00 | 10:30 | 250.00
CLT | LAS | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
CLT | LAS | WN | 0 | 10:45 | 13:15 | 280.00
CLT | LAS | DL | 1 (ATL) | 11:30 | 15:00 | 350.00
CLT | LAS | AS | 0 | 12:00 | 14:30 | 240.00
CLT | LAS | F9 | 1 (PHX) | 13:15 | 16:45 | 290.00
CLT | LAS | NK | 0 | 14:30 | 17:00 | 260.00
CLT | LAS | B6 | 1 (JFK) | 15:45 | 19:15 | 330.00
LAS | CLT | AA | 0 | 08:00 | 15:30 | 270.00
LAS | CLT | UA | 1 (SFO) | 09:15 | 17:45 | 340.00
LAS | CLT | WN | 0 | 10:45 | 18:15 | 300.00
LAS | CLT | DL | 1 (MSP) | 11:30 | 20:00 | 360.00
LAS | CLT | AS | 0 | 12:00 | 19:30 | 250.00
LAS | CLT | F9 | 1 (ORD) | 13:15 | 21:45 | 310.00
LAS | CLT | NK | 0 | 14:30 | 22:00 | 280.00
LAS | CLT | B6 | 1 (BOS) | 15:45 | 00:15 | 320.00


Here are the 16 flight plans:

CLT | MSY | American Airlines | Non-stop | 06:00 | 07:45 | 198.00
CLT | MSY | Delta Air Lines | 1 stop (ATL) | 08:30 | 11:15 | 220.00
CLT | MSY | United Airlines | Non-stop | 10:00 | 11:45 | 210.00
CLT | MSY | Spirit Airlines | 1 stop (FLL) | 12:15 | 15:00 | 180.00
CLT | MSY | Frontier Airlines | Non-stop | 14:30 | 16:15 | 190.00
CLT | MSY | Southwest Airlines | 1 stop (BHM) | 16:00 | 18:45 | 230.00
CLT | MSY | JetBlue Airways | Non-stop | 18:30 | 20:15 | 200.00
CLT | MSY | Alaska Airlines | 1 stop (DAL) | 20:45 | 23:30 | 240.00
MSY | CLT | American Airlines | Non-stop | 07:00 | 08:45 | 205.00
MSY | CLT | Delta Air Lines | 1 stop (JFK) | 09:30 | 12:15 | 235.00
MSY | CLT | United Airlines | Non-stop | 11:00 | 12:45 | 225.00
MSY | CLT | Spirit Airlines | 1 stop (TPA) | 13:15 | 15:45 | 195.00
MSY | CLT | Frontier Airlines | Non-stop | 15:30 | 17:15 | 210.00
MSY | CLT | Southwest Airlines | 1 stop (HOU) | 17:00 | 19:45 | 250.00
MSY | CLT | JetBlue Airways | Non-stop | 19:30 | 21:15 | 220.00
MSY | CLT | Alaska Airlines | 1 stop (ORD) | 21:45 | 00:30 | 260.00


Here are the 16 flight plans:

CLT | MCO | AA | 0 | 06:00 | 08:15 | 198.00
CLT | MCO | DL | 1 (ATL) | 07:30 | 10:45 | 220.00
CLT | MCO | WN | 0 | 09:15 | 11:30 | 178.00
CLT | MCO | UA | 1 (EWR) | 10:00 | 13:20 | 240.00
CLT | MCO | F9 | 0 | 11:45 | 14:00 | 158.00
CLT | MCO | NK | 1 (TPA) | 12:30 | 15:50 | 200.00
CLT | MCO | B6 | 0 | 14:15 | 16:30 | 188.00
CLT | MCO | SY | 1 (RDU) | 15:00 | 18:20 | 210.00
MCO | CLT | AA | 0 | 06:30 | 08:45 | 208.00
MCO | CLT | DL | 1 (ATL) | 08:00 | 11:15 | 230.00
MCO | CLT | WN | 0 | 09:45 | 12:00 | 168.00
MCO | CLT | UA | 1 (EWR) | 11:15 | 14:35 | 250.00
MCO | CLT | F9 | 0 | 12:50 | 15:05 | 180.00
MCO | CLT | NK | 1 (TPA) | 13:30 | 16:50 | 220.00
MCO | CLT | B6 | 0 | 15:15 | 17:30 | 198.00
MCO | CLT | SY | 1 (RDU) | 16:00 | 19:20 | 230.00


Here are the 16 flight plans:

CLT | TPA | AA | 0 | 08:00 | 10:30 | 250.00
CLT | TPA | DL | 1 (ATL) | 09:15 | 12:45 | 320.00
CLT | TPA | WN | 0 | 10:45 | 13:15 | 220.00
CLT | TPA | UA | 1 (EWR) | 11:30 | 15:00 | 380.00
CLT | TPA | AA | 0 | 13:00 | 15:30 | 280.00
CLT | TPA | F9 | 1 (MCO) | 14:15 | 17:45 | 240.00
CLT | TPA | DL | 0 | 15:30 | 18:00 | 300.00
CLT | TPA | WN | 1 (JAX) | 16:45 | 20:15 | 260.00
TPA | CLT | AA | 0 | 08:00 | 10:30 | 250.00
TPA | CLT | DL | 1 (ATL) | 09:15 | 12:45 | 320.00
TPA | CLT | WN | 0 | 10:45 | 13:15 | 220.00
TPA | CLT | UA | 1 (EWR) | 11:30 | 15:00 | 380.00
TPA | CLT | AA | 0 | 13:00 | 15:30 | 280.00
TPA | CLT | F9 | 1 (MCO) | 14:15 | 17:45 | 240.00
TPA | CLT | DL | 0 | 15:30 | 18:00 | 300.00
TPA | CLT | WN | 1 (JAX) | 16:45 | 20:15 | 260.00


Here are the 16 flight plans:

CLT | ANC | AA | 1 (DFW) | 08:00 | 12:45 | 542.00
CLT | ANC | UA | 1 (ORD) | 09:15 | 14:10 | 510.00
CLT | ANC | DL | 1 (ATL) | 10:30 | 15:20 | 480.00
CLT | ANC | WN | 1 (DEN) | 11:45 | 16:35 | 450.00
CLT | ANC | AS | 1 (SEA) | 13:00 | 18:00 | 520.00
CLT | ANC | B6 | 1 (JFK) | 14:15 | 19:10 | 500.00
CLT | ANC | F9 | 1 (MDW) | 15:30 | 20:20 | 420.00
CLT | ANC | NK | 1 (LAS) | 16:45 | 21:35 | 440.00
ANC | CLT | AA | 1 (DFW) | 08:00 | 17:45 | 550.00
ANC | CLT | UA | 1 (SFO) | 09:15 | 18:55 | 530.00
ANC | CLT | DL | 1 (MSP) | 10:30 | 20:20 | 510.00
ANC | CLT | WN | 1 (PHX) | 11:45 | 21:35 | 480.00
ANC | CLT | AS | 1 (PDX) | 13:00 | 22:50 | 520.00
ANC | CLT | B6 | 1 (BOS) | 14:15 | 23:55 | 500.00
ANC | CLT | F9 | 1 (IAH) | 15:30 | 00:20 | 440.00
ANC | CLT | NK | 1 (MIA) | 16:45 | 01:35 | 460.00


Here are the 16 flight plans:

CLT | SJU | AA | 0 | 08:00 | 11:30 | 450.00
CLT | SJU | DL | 1 (MIA) | 09:30 | 14:45 | 520.00
CLT | SJU | UA | 0 | 10:15 | 13:45 | 480.00
CLT | SJU | WN | 1 (FLL) | 11:00 | 16:20 | 550.00
CLT | SJU | B6 | 0 | 12:30 | 15:55 | 410.00
CLT | SJU | AS | 1 (PBI) | 13:45 | 18:10 | 580.00
CLT | SJU | F9 | 0 | 15:00 | 18:25 | 390.00
CLT | SJU | NK | 1 (TPA) | 16:15 | 20:40 | 610.00
SJU | CLT | AA | 0 | 08:30 | 11:55 | 420.00
SJU | CLT | DL | 1 (ATL) | 09:50 | 14:15 | 500.00
SJU | CLT | UA | 0 | 11:20 | 14:45 | 460.00
SJU | CLT | WN | 1 (BNA) | 12:40 | 16:55 | 530.00
SJU | CLT | B6 | 0 | 14:10 | 17:35 | 430.00
SJU | CLT | AS | 1 (MCO) | 15:30 | 19:00 | 570.00
SJU | CLT | F9 | 0 | 16:50 | 20:15 | 400.00
SJU | CLT | NK | 1 (RDU) | 18:10 | 21:35 | 650.00


Here are the 16 flight plans:

CLT | BHB | AA | 0 | 08:00 | 10:15 | 250.00
CLT | BHB | DL | 1 (ATL) | 09:30 | 12:45 | 320.00
CLT | BHB | UA | 0 | 11:00 | 13:20 | 280.00
CLT | BHB | WN | 1 (BOS) | 12:15 | 15:30 | 350.00
CLT | BHB | AS | 0 | 13:45 | 16:00 | 220.00
CLT | BHB | F9 | 1 (MCO) | 15:00 | 18:15 | 300.00
CLT | BHB | B6 | 0 | 16:30 | 18:45 | 260.00
CLT | BHB | NK | 1 (PBI) | 18:00 | 21:15 | 330.00
BHB | CLT | AA | 0 | 08:00 | 10:20 | 240.00
BHB | CLT | DL | 1 (JFK) | 09:45 | 13:00 | 340.00
BHB | CLT | UA | 0 | 11:15 | 13:35 | 290.00
BHB | CLT | WN | 1 (EWR) | 12:45 | 15:55 | 360.00
BHB | CLT | AS | 0 | 14:00 | 16:20 | 230.00
BHB | CLT | F9 | 1 (TPA) | 15:30 | 18:45 | 310.00
BHB | CLT | B6 | 0 | 17:00 | 19:25 | 270.00
BHB | CLT | NK | 1 (RDU) | 18:45 | 21:55 | 350.00


Here are the 16 flight plans:

CLT | BOS | AA | 0 | 06:00 | 08:35 | 198.00
CLT | BOS | DL | 1 (JFK) | 07:15 | 10:50 | 235.00
CLT | BOS | UA | 0 | 08:45 | 11:20 | 220.00
CLT | BOS | WN | 1 (BWI) | 09:30 | 12:55 | 255.00
CLT | BOS | B6 | 0 | 11:00 | 13:35 | 210.00
CLT | BOS | AA | 1 (PHL) | 12:15 | 15:40 | 240.00
CLT | BOS | DL | 0 | 14:00 | 16:35 | 230.00
CLT | BOS | UA | 1 (EWR) | 15:30 | 18:55 | 260.00
BOS | CLT | AA | 0 | 06:00 | 08:35 | 198.00
BOS | CLT | DL | 1 (JFK) | 07:15 | 10:50 | 235.00
BOS | CLT | UA | 0 | 08:45 | 11:20 | 220.00
BOS | CLT | WN | 1 (BWI) | 09:30 | 12:55 | 255.00
BOS | CLT | B6 | 0 | 11:00 | 13:35 | 210.00
BOS | CLT | AA | 1 (PHL) | 12:15 | 15:40 | 240.00
BOS | CLT | DL | 0 | 14:00 | 16:35 | 230.00
BOS | CLT | UA | 1 (EWR) | 15:30 | 18:55 | 260.00


Here are the 16 flight plans:

CLT | MRY | AA | 0 | 08:00 | 11:05 | 450.00
CLT | MRY | UA | 1 (SFO) | 09:30 | 13:20 | 520.00
CLT | MRY | DL | 0 | 10:45 | 14:00 | 480.00
CLT | MRY | WN | 1 (PHX) | 12:00 | 16:30 | 550.00
CLT | MRY | AS | 0 | 13:15 | 16:25 | 500.00
CLT | MRY | F9 | 1 (DEN) | 14:30 | 18:45 | 580.00
CLT | MRY | B6 | 0 | 15:45 | 19:00 | 530.00
CLT | MRY | NK | 1 (LAX) | 17:00 | 21:15 | 610.00
MRY | CLT | AA | 0 | 08:30 | 15:35 | 420.00
MRY | CLT | UA | 1 (SFO) | 09:55 | 16:50 | 490.00
MRY | CLT | DL | 0 | 11:10 | 17:20 | 450.00
MRY | CLT | WN | 1 (PHX) | 12:35 | 19:00 | 520.00
MRY | CLT | AS | 0 | 13:50 | 19:05 | 470.00
MRY | CLT | F9 | 1 (DEN) | 15:05 | 21:20 | 560.00
MRY | CLT | B6 | 0 | 16:20 | 22:35 | 500.00
MRY | CLT | NK | 1 (LAX) | 17:45 | 23:55 | 630.00


Here are the 16 flight plans:

CLT | SJC | AA | 1 (DFW) | 08:00 | 11:15 | 450.00
CLT | SJC | UA | 1 (ORD) | 09:30 | 12:45 | 480.00
CLT | SJC | WN | 1 (DAL) | 10:45 | 14:00 | 420.00
CLT | SJC | DL | 1 (ATL) | 12:00 | 15:15 | 500.00
CLT | SJC | AS | 1 (SEA) | 13:30 | 16:45 | 520.00
CLT | SJC | F9 | 1 (DEN) | 14:45 | 18:00 | 440.00
CLT | SJC | NK | 1 (LAS) | 16:00 | 19:15 | 460.00
CLT | SJC | B6 | 1 (JFK) | 17:30 | 20:45 | 540.00
SJC | CLT | AA | 1 (PHX) | 08:00 | 15:15 | 470.00
SJC | CLT | UA | 1 (SFO) | 09:30 | 16:45 | 490.00
SJC | CLT | WN | 1 (BUR) | 10:45 | 18:00 | 430.00
SJC | CLT | DL | 1 (LAX) | 12:00 | 19:15 | 510.00
SJC | CLT | AS | 1 (PDX) | 13:30 | 20:45 | 530.00
SJC | CLT | F9 | 1 (MCO) | 14:45 | 22:00 | 450.00
SJC | CLT | NK | 1 (IAH) | 16:00 | 23:15 | 480.00
SJC | CLT | B6 | 1 (BOS) | 17:30 | 00:45 | 550.00


CLT | SFO | AA | 0 | 08:00 | 11:30 | 450.00
CLT | SFO | UA | 1 (DEN) | 09:15 | 13:45 | 520.00
CLT | SFO | DL | 0 | 10:30 | 14:00 | 480.00
CLT | SFO | WN | 1 (PHX) | 11:45 | 16:15 | 500.00
CLT | SFO | AS | 0 | 13:00 | 16:30 | 510.00
CLT | SFO | F9 | 1 (LAS) | 14:15 | 18:45 | 530.00
CLT | SFO | B6 | 0 | 15:30 | 19:00 | 550.00
CLT | SFO | NK | 1 (ORD) | 16:45 | 21:15 | 570.00
SFO | CLT | AA | 0 | 08:00 | 16:30 | 420.00
SFO | CLT | UA | 1 (IAH) | 09:15 | 17:45 | 490.00
SFO | CLT | DL | 0 | 10:30 | 18:00 | 450.00
SFO | CLT | WN | 1 (DAL) | 11:45 | 19:15 | 470.00
SFO | CLT | AS | 0 | 13:00 | 20:30 | 500.00
SFO | CLT | F9 | 1 (MIA) | 14:15 | 21:45 | 520.00
SFO | CLT | B6 | 0 | 15:30 | 22:00 | 540.00
SFO | CLT | NK | 1 (EWR) | 16:45 | 23:15 | 560.00


Here are the 16 flight plans:

CLT | EGE | AA | 1 (DEN) | 08:00 | 11:45 | 450.00
CLT | EGE | UA | 0 | 10:30 | 13:15 | 520.00
CLT | EGE | WN | 1 (DAL) | 12:45 | 16:30 | 380.00
CLT | EGE | DL | 0 | 14:00 | 16:45 | 480.00
CLT | EGE | F9 | 1 (MDW) | 15:15 | 19:00 | 420.00
CLT | EGE | AS | 1 (SEA) | 16:30 | 20:15 | 500.00
CLT | EGE | B6 | 1 (JFK) | 18:00 | 21:45 | 440.00
CLT | EGE | NK | 1 (IAH) | 20:00 | 23:45 | 400.00
EGE | CLT | AA | 1 (ORD) | 08:00 | 14:30 | 460.00
EGE | CLT | UA | 0 | 10:30 | 16:15 | 540.00
EGE | CLT | WN | 1 (PHX) | 12:45 | 18:30 | 410.00
EGE | CLT | DL | 0 | 14:00 | 18:45 | 500.00
EGE | CLT | F9 | 1 (DEN) | 15:15 | 19:45 | 430.00
EGE | CLT | AS | 1 (SFO) | 16:30 | 21:15 | 510.00
EGE | CLT | B6 | 1 (LAX) | 18:00 | 22:45 | 470.00
EGE | CLT | NK | 1 (DFW) | 20:00 | 00:45 | 450.00


Here are the 16 flight plans:

CLT | DEN | AA | 0 | 08:00 | 10:35 | 248.00
CLT | DEN | UA | 1 (IAH) | 09:15 | 12:50 | 278.00
CLT | DEN | DL | 0 | 10:30 | 13:05 | 298.00
CLT | DEN | WN | 1 (STL) | 11:45 | 15:20 | 238.00
CLT | DEN | F9 | 0 | 13:00 | 15:35 | 218.00
CLT | DEN | AS | 1 (SEA) | 14:15 | 17:50 | 308.00
CLT | DEN | NK | 1 (ORD) | 15:30 | 18:55 | 258.00
CLT | DEN | B6 | 0 | 17:00 | 19:35 | 288.00
DEN | CLT | UA | 0 | 08:00 | 13:35 | 268.00
DEN | CLT | AA | 1 (DFW) | 09:15 | 14:50 | 298.00
DEN | CLT | DL | 0 | 10:30 | 15:05 | 318.00
DEN | CLT | WN | 1 (MDW) | 11:45 | 16:20 | 248.00
DEN | CLT | F9 | 0 | 13:00 | 15:35 | 228.00
DEN | CLT | AS | 1 (SFO) | 14:15 | 17:50 | 328.00
DEN | CLT | NK | 1 (MCO) | 15:30 | 18:55 | 278.00
DEN | CLT | B6 | 0 | 17:00 | 19:35 | 298.00


Here are the 16 flight plans:

CLT | CHS | American Airlines | Non-stop | 06:00 | 07:30 | 178.00
CLT | CHS | Delta Air Lines | 1 stop (ATL) | 08:30 | 11:15 | 220.00
CLT | CHS | United Airlines | Non-stop | 10:00 | 11:30 | 198.00
CLT | CHS | Spirit Airlines | 1 stop (FLL) | 12:00 | 15:45 | 258.00
CLT | CHS | Frontier Airlines | Non-stop | 14:30 | 16:00 | 189.00
CLT | CHS | JetBlue Airways | 1 stop (BOS) | 16:00 | 19:30 | 299.00
CLT | CHS | Southwest Airlines | Non-stop | 18:00 | 19:30 | 229.00
CLT | CHS | Alaska Airlines | 1 stop (RDU) | 20:00 | 23:15 | 279.00
CHS | CLT | American Airlines | Non-stop | 06:30 | 08:00 | 208.00
CHS | CLT | Delta Air Lines | 1 stop (JFK) | 09:00 | 12:45 | 289.00
CHS | CLT | United Airlines | Non-stop | 11:30 | 13:00 | 239.00
CHS | CLT | Spirit Airlines | 1 stop (MCO) | 13:30 | 17:15 | 309.00
CHS | CLT | Frontier Airlines | Non-stop | 15:00 | 16:30 | 219.00
CHS | CLT | JetBlue Airways | 1 stop (PBI) | 17:00 | 20:45 | 329.00
CHS | CLT | Southwest Airlines | Non-stop | 19:30 | 21:00 | 249.00
CHS | CLT | Alaska Airlines | 1 stop (EWR) | 21:30 | 00:45 | 349.00


Here are the 16 flight plans:

CLT | RAP | AA | 0 | 08:00 | 10:30 | 450.00
CLT | RAP | UA | 1 (DEN) | 09:15 | 12:45 | 520.00
CLT | RAP | DL | 0 | 10:30 | 13:00 | 480.00
CLT | RAP | WN | 1 (MDW) | 11:45 | 15:15 | 550.00
CLT | RAP | F9 | 0 | 13:00 | 15:30 | 420.00
CLT | RAP | AS | 1 (SEA) | 14:15 | 17:45 | 600.00
CLT | RAP | B6 | 0 | 15:30 | 18:00 | 500.00
CLT | RAP | NK | 1 (LAS) | 16:45 | 20:15 | 580.00
RAP | CLT | AA | 0 | 08:00 | 12:30 | 420.00
RAP | CLT | UA | 1 (IAH) | 09:15 | 14:45 | 540.00
RAP | CLT | DL | 0 | 10:30 | 14:00 | 460.00
RAP | CLT | WN | 1 (PHX) | 11:45 | 16:15 | 570.00
RAP | CLT | F9 | 0 | 13:00 | 16:30 | 440.00
RAP | CLT | AS | 1 (SFO) | 14:15 | 18:45 | 620.00
RAP | CLT | B6 | 0 | 15:30 | 19:00 | 510.00
RAP | CLT | NK | 1 (MCO) | 16:45 | 21:15 | 590.00


Here are the 16 flight plans:

CLT | FCA | AA | 0 | 08:00 | 19:30 | 542.00
CLT | FCA | UA | 1 (ORD) | 09:30 | 21:15 | 620.00
CLT | FCA | DL | 0 | 11:00 | 22:45 | 598.00
CLT | FCA | WN | 1 (MDW) | 12:30 | 00:15 | 680.00
CLT | FCA | AS | 2 (SEA, DEN) | 13:45 | 02:30 | 750.00
CLT | FCA | B6 | 1 (JFK) | 15:00 | 03:45 | 720.00
CLT | FCA | F9 | 1 (DEN) | 16:15 | 05:00 | 650.00
CLT | FCA | NK | 1 (ORD) | 17:30 | 06:15 | 630.00
FCA | CLT | AA | 0 | 08:30 | 20:00 | 568.00
FCA | CLT | UA | 1 (SFO) | 10:00 | 22:30 | 698.00
FCA | CLT | DL | 0 | 11:45 | 00:20 | 638.00
FCA | CLT | WN | 1 (PHX) | 13:15 | 02:50 | 730.00
FCA | CLT | AS | 2 (PDX, DFW) | 14:30 | 04:15 | 810.00
FCA | CLT | B6 | 1 (LAX) | 15:45 | 05:30 | 780.00
FCA | CLT | F9 | 1 (DEN) | 17:00 | 07:45 | 710.00
FCA | CLT | NK | 1 (ORD) | 18:15 | 09:00 | 690.00


Here are the 16 flight plans:

CLT | FLG | AA | 1 (DFW) | 08:00 | 12:30 | 450.00
CLT | FLG | UA | 0 | 09:30 | 13:15 | 520.00
CLT | FLG | DL | 1 (ATL) | 10:45 | 15:10 | 480.00
CLT | FLG | WN | 0 | 12:00 | 15:45 | 400.00
CLT | FLG | AS | 1 (DEN) | 13:15 | 17:40 | 550.00
CLT | FLG | B6 | 0 | 14:30 | 18:05 | 430.00
CLT | FLG | F9 | 1 (IAH) | 15:45 | 20:10 | 500.00
CLT | FLG | NK | 0 | 17:00 | 20:35 | 460.00
