

Here are the 16 flight plans:

MSY | MCO | AA | 0 | 06:00 | 08:30 | 198.00
SJU | MSY | United Airlines | Non-stop | 10:15 | 12:30 | 450.00
SJU | MSY | JetBlue Airways | 1 stop (JFK) | 11:00 | 14:20 | 520.00
SJU | MSY | Spirit Airlines | 1 stop (FLL) | 12:30 | 15:45 | 380.00
SJU | MSY | Frontier Airlines | Non-stop | 13:45 | 16:00 | 400.00
SJU | MSY | Southwest Airlines | 1 stop (BNA) | 14:15 | 17:30 | 480.00
SJU | MSY | Alaska Airlines | 1 stop (ORD) | 15:00 | 18:15 | 560.00


Here are the 16 flight plans:

MSY | BHB | AA | 0 | 08:00 | 11:15 | 250.00
MSY | BHB | UA | 1 (IAH) | 09:30 | 13:45 | 320.00
MSY | BHB | DL | 0 | 11:00 | 14:20 | 280.00
MSY | BHB | WN | 1 (HOU) | 12:15 | 16:30 | 300.00
MSY | BHB | AS | 0 | 13:45 | 17:00 | 260.00
MSY | BHB | F9 | 1 (ATL) | 15:00 | 19:15 | 290.00
MSY | BHB | NK | 0 | 16:30 | 20:00 | 240.00
MSY | BHB | B6 | 1 (JFK) | 18:00 | 22:20 | 330.00
BHB | MSY | AA | 0 | 08:30 | 11:50 | 270.00
BHB | MSY | UA | 1 (EWR) | 10:00 | 14:25 | 350.00
BHB | MSY | DL | 0 | 11:45 | 15:10 | 290.00
BHB | MSY | WN | 1 (BWI) | 13:15 | 17:35 | 310.00
BHB | MSY | AS | 0 | 14:50 | 18:20 | 280.00
BHB | MSY | F9 | 1 (CLT) | 16:20 | 20:45 | 300.00
BHB | MSY | NK | 0 | 17:50 | 21:20 | 250.00
BHB | MSY | B6 | 1 (MCO) | 19:20 | 23:45 | 340.00


Here are the 16 flight plans:

MSY | MRY | AA | 0 | 08:00 | 11:15 | 425.00
MSY | MRY | UA | 1 (DEN) | 09:30 | 14:50 | 550.00
MSY | MRY | WN | 0 | 10:45 | 14:05 | 395.00
MSY | MRY | DL | 1 (ATL) | 12:00 | 17:20 | 625.00
MSY | MRY | AS | 0 | 13:15 | 16:30 | 475.00
MSY | MRY | B6 | 1 (FLL) | 14:30 | 19:45 | 675.00
MSY | MRY | F9 | 0 | 15:45 | 19:00 | 425.00
MSY | MRY | NK | 1 (IAH) | 17:00 | 22:15 | 650.00
MRY | MSY | AA | 0 | 06:00 | 11:15 | 450.00
MRY | MSY | UA | 1 (SFO) | 07:30 | 13:50 | 575.00
MRY | MSY | WN | 0 | 09:00 | 12:20 | 375.00
MRY | MSY | DL | 1 (LAX) | 10:30 | 16:50 | 700.00
MRY | MSY | AS | 0 | 12:00 | 15:20 | 525.00
MRY | MSY | B6 | 1 (ORD) | 13:30 | 18:45 | 725.00
MRY | MSY | F9 | 0 | 15:00 | 18:20 | 450.00
MRY | MSY | NK | 1 (DFW) | 16:30 | 21:45 | 675.00


Here are the 16 flight plans:

MSY | SJC | AA | 1 (DFW) | 08:00 | 11:30 | 450.00
MSY | SJC | UA | 1 (IAH) | 09:30 | 13:00 | 520.00
MSY | SJC | WN | 1 (DAL) | 10:00 | 13:30 | 380.00
MSY | SJC | DL | 1 (ATL) | 11:00 | 14:30 | 480.00
MSY | SJC | AS | 1 (SEA) | 12:00 | 15:30 | 550.00
MSY | SJC | B6 | 1 (JFK) | 13:00 | 16:30 | 500.00
MSY | SJC | F9 | 1 (DEN) | 14:00 | 17:30 | 420.00
MSY | SJC | NK | 1 (ORD) | 15:00 | 18:30 | 460.00
SJC | MSY | AA | 1 (PHX) | 08:00 | 14:30 | 490.00
SJC | MSY | UA | 1 (SFO) | 09:00 | 15:30 | 530.00
SJC | MSY | WN | 1 (LAX) | 10:00 | 16:30 | 410.00
SJC | MSY | DL | 1 (SLC) | 11:00 | 17:30 | 510.00
SJC | MSY | AS | 1 (PDX) | 12:00 | 18:30 | 580.00
SJC | MSY | B6 | 1 (BOS) | 13:00 | 19:30 | 560.00
SJC | MSY | F9 | 1 (MCO) | 14:00 | 20:30 | 440.00
SJC | MSY | NK | 1 (LAS) | 15:00 | 21:30 | 480.00


Here are the 16 flight plans:

MSY | EGE | AA | Non-stop | 08:00 | 11:15 | 450.00
MSY | EGE | UA | 1 stop (DEN) | 09:30 | 13:45 | 520.00
MSY | EGE | WN | Non-stop | 10:45 | 14:00 | 480.00
MSY | EGE | DL | 1 stop (ATL) | 12:15 | 16:30 | 550.00
MSY | EGE | F9 | Non-stop | 13:50 | 17:05 | 420.00
MSY | EGE | AS | 1 stop (SEA) | 15:20 | 19:35 | 600.00
MSY | EGE | B6 | Non-stop | 16:40 | 20:05 | 500.00
MSY | EGE | NK | 1 stop (ORD) | 18:10 | 22:25 | 580.00
EGE | MSY | AA | Non-stop | 08:30 | 12:45 | 430.00
EGE | MSY | UA | 1 stop (SFO) | 09:50 | 14:05 | 560.00
EGE | MSY | WN | Non-stop | 11:15 | 15:30 | 490.00
EGE | MSY | DL | 1 stop (LAX) | 12:40 | 16:55 | 620.00
EGE | MSY | F9 | Non-stop | 14:05 | 18:20 | 440.00
EGE | MSY | AS | 1 stop (PDX) | 15:30 | 19:45 | 650.00
EGE | MSY | B6 | Non-stop | 16:50 | 21:15 | 510.00
EGE | MSY | NK | 1 stop (DFW) | 18:20 | 22:35 | 590.00


Here are the 16 flight plans:

MSY | CHS | American Airlines | Non-stop | 08:00 | 10:35 | 198.00
MSY | CHS | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:50 | 220.00
MSY | CHS | United Airlines | Non-stop | 10:45 | 13:20 | 235.00
MSY | CHS | Spirit Airlines | 1 stop (FLL) | 12:00 | 15:40 | 180.00
MSY | CHS | JetBlue Airways | Non-stop | 13:30 | 16:05 | 210.00
MSY | CHS | Frontier Airlines | 1 stop (DEN) | 14:45 | 18:25 | 195.00
MSY | CHS | Southwest Airlines | Non-stop | 16:00 | 18:35 | 225.00
MSY | CHS | Alaska Airlines | 1 stop (SFO) | 17:30 | 21:05 | 240.00
CHS | MSY | American Airlines | Non-stop | 08:30 | 10:05 | 205.00
CHS | MSY | Delta Air Lines | 1 stop (ATL) | 09:50 | 12:25 | 230.00
CHS | MSY | United Airlines | Non-stop | 11:15 | 13:40 | 250.00
CHS | MSY | Spirit Airlines | 1 stop (FLL) | 12:30 | 15:10 | 190.00
CHS | MSY | JetBlue Airways | Non-stop | 14:00 | 16:25 | 220.00
CHS | MSY | Frontier Airlines | 1 stop (DEN) | 15:15 | 17:50 | 200.00
CHS | MSY | Southwest Airlines | Non-stop | 16:30 | 18:55 | 235.00
CHS | MSY | Alaska Airlines | 1 stop (SFO) | 18:00 | 21:35 | 260.00


Here are the 16 flight plans:

MSY | RAP | AA | Non-stop | 06:00 | 09:35 | 350.00
MSY | RAP | UA | 1 stop (DEN) | 07:15 | 12:05 | 420.00
MSY | RAP | DL | Non-stop | 08:45 | 12:20 | 380.00
MSY | RAP | WN | 1 stop (PHX) | 09:30 | 14:10 | 450.00
MSY | RAP | AS | 2 stops (SEA, SLC) | 10:50 | 17:25 | 520.00
MSY | RAP | B6 | Non-stop | 12:10 | 15:45 | 400.00
MSY | RAP | F9 | 1 stop (IAH) | 13:40 | 17:15 | 480.00
MSY | RAP | NK | 2 stops (MCO, DFW) | 15:00 | 20:35 | 550.00
RAP | MSY | AA | Non-stop | 06:30 | 10:05 | 320.00
RAP | MSY | UA | 1 stop (ORD) | 07:50 | 12:30 | 390.00
RAP | MSY | DL | Non-stop | 09:15 | 12:50 | 360.00
RAP | MSY | WN | 1 stop (LAS) | 10:20 | 14:00 | 410.00
RAP | MSY | AS | 2 stops (PDX, SFO) | 11:45 | 17:10 | 490.00
RAP | MSY | B6 | Non-stop | 13:00 | 16:35 | 430.00
RAP | MSY | F9 | 1 stop (DEN) | 14:25 | 17:55 | 460.00
RAP | MSY | NK | 2 stops (IAH, MIA) | 15:50 | 21:20 | 580.00


Here are the 16 flight plans:

MSY | FCA | American Airlines | 1 (DFW) | 08:00 | 14:35 | 542.00
MSY | FCA | Delta Air Lines | 0 | 10:30 | 16:50 | 620.00
MSY | FCA | United Airlines | 1 (ORD) | 12:15 | 19:40 | 580.00
MSY | FCA | Southwest Airlines | 0 | 14:00 | 20:20 | 500.00
MSY | FCA | Alaska Airlines | 1 (SEA) | 15:45 | 22:10 | 610.00
MSY | FCA | JetBlue Airways | 0 | 17:00 | 23:25 | 550.00
MSY | FCA | Spirit Airlines | 1 (LAS) | 18:30 | 01:00 | 480.00
MSY | FCA | Frontier Airlines | 0 | 20:00 | 02:30 | 530.00
FCA | MSY | American Airlines | 1 (PHX) | 08:00 | 14:15 | 520.00
FCA | MSY | Delta Air Lines | 0 | 10:30 | 16:45 | 600.00
FCA | MSY | United Airlines | 1 (SFO) | 12:15 | 19:30 | 560.00
FCA | MSY | Southwest Airlines | 0 | 14:00 | 20:10 | 490.00
FCA | MSY | Alaska Airlines | 1 (PDX) | 15:45 | 22:05 | 590.00
FCA | MSY | JetBlue Airways | 0 | 17:00 | 23:20 | 570.00
FCA | MSY | Spirit Airlines | 1 (DEN) | 18:30 | 00:55 | 510.00
FCA | MSY | Frontier Airlines | 0 | 20:00 | 02:25 | 540.00


Here are the 16 flight plans:

MSY | FLG | AA | 1 (DFW) | 08:00 | 11:30 | 450.00
MSY | FLG | UA | 1 (IAH) | 10:30 | 14:05 | 520.00
MSY | FLG | WN | 0 | 12:00 | 15:20 | 380.00
MSY | FLG | DL | 1 (ATL) | 14:30 | 18:00 | 480.00
MSY | FLG | AS | 1 (DAL) | 16:00 | 19:35 | 420.00
MSY | FLG | F9 | 0 | 18:00 | 21:20 | 350.00
MSY | FLG | NK | 1 (HOU) | 20:00 | 23:30 | 400.00
MSY | FLG | B6 | 1 (MCO) | 22:00 | 01:35 | 460.00
FLG | MSY | AA | 1 (PHX) | 06:00 | 09:30 | 430.00
FLG | MSY | UA | 1 (DEN) | 08:30 | 12:05 | 500.00
FLG | MSY | WN | 0 | 10:00 | 13:20 | 390.00
FLG | MSY | DL | 1 (SLC) | 12:30 | 16:00 | 490.00
FLG | MSY | AS | 1 (LAX) | 14:00 | 17:35 | 440.00
FLG | MSY | F9 | 0 | 16:00 | 19:20 | 360.00
FLG | MSY | NK | 1 (LAS) | 18:00 | 21:30 | 410.00
FLG | MSY | B6 | 1 (JFK) | 20:00 | 23:35 | 470.00


Here are the 16 flight plans:

MSY | TYS | American Airlines | Non-stop | 08:00 | 10:35 | 278.50
MSY | TYS | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:50 | 298.00
MSY | TYS | United Airlines | Non-stop | 10:45 | 13:20 | 318.00
MSY | TYS | Spirit Airlines | 1 stop (FLL) | 11:30 | 15:05 | 238.50
MSY | TYS | Southwest Airlines | Non-stop | 12:00 | 14:35 | 288.00
MSY | TYS | Frontier Airlines | 1 stop (DEN) | 13:15 | 16:40 | 258.00
MSY | TYS | Alaska Airlines | Non-stop | 14:30 | 17:05 | 308.50
MSY | TYS | JetBlue Airways | 1 stop (JFK) | 15:45 | 19:10 | 268.00
TYS | MSY | American Airlines | Non-stop | 06:00 | 08:35 | 298.50
TYS | MSY | Delta Air Lines | 1 stop (ATL) | 07:15 | 10:50 | 318.00
TYS | MSY | United Airlines | Non-stop | 08:45 | 11:20 | 338.00
TYS | MSY | Spirit Airlines | 1 stop (FLL) | 09:30 | 12:55 | 258.50
TYS | MSY | Southwest Airlines | Non-stop | 10:00 | 12:35 | 308.00
TYS | MSY | Frontier Airlines | 1 stop (DEN) | 11:15 | 14:40 | 278.00
TYS | MSY | Alaska Airlines | Non-stop | 12:30 | 15:05 | 328.50
TYS | MSY | JetBlue Airways | 1 stop (JFK) | 13:45 | 16:20 | 288.00


Here are the 16 flight plans:

MSY | AVL | AA | Non-stop | 06:00 | 09:15 | 278.50
MSY | AVL | DL | 1 stop (ATL) | 07:30 | 11:45 | 298.00
MSY | AVL | UA | Non-stop | 09:00 | 12:20 | 288.00
MSY | AVL | WN | 1 stop (BHM) | 10:15 | 14:30 | 258.50
MSY | AVL | AA | 1 stop (CLT) | 11:45 | 16:00 | 318.00
MSY | AVL | DL | Non-stop | 13:00 | 16:25 | 308.50
MSY | AVL | UA | 1 stop (IAH) | 14:30 | 18:45 | 328.00
MSY | AVL | WN | Non-stop | 16:00 | 19:25 | 298.50
AVL | MSY | AA | Non-stop | 06:30 | 09:45 | 268.00
AVL | MSY | DL | 1 stop (ATL) | 08:00 | 12:15 | 288.50
AVL | MSY | UA | Non-stop | 10:30 | 13:55 | 298.00
AVL | MSY | WN | 1 stop (BHM) | 12:00 | 16:25 | 238.50
AVL | MSY | AA | 1 stop (CLT) | 13:45 | 17:10 | 318.50
AVL | MSY | DL | Non-stop | 15:15 | 18:40 | 308.00
AVL | MSY | UA | 1 stop (IAH) | 16:45 | 20:10 | 338.00
AVL | MSY | WN | Non-stop | 18:30 | 21:55 | 288.50


Here are the 16 flight plans:

MSY | JAC | AA | 1 (DFW) | 08:00 | 12:45 | 542.00
MSY | JAC | UA | 0 | 09:30 | 13:15 | 620.00
MSY | JAC | WN | 1 (HOU) | 10:15 | 14:50 | 480.00
MSY | JAC | DL | 1 (ATL) | 11:00 | 15:30 | 580.00
MSY | JAC | AS | 1 (SEA) | 12:30 | 18:15 | 680.00
MSY | JAC | B6 | 1 (FLL) | 13:45 | 19:20 | 550.00
MSY | JAC | F9 | 1 (DEN) | 14:50 | 20:25 | 500.00
MSY | JAC | NK | 1 (ORD) | 16:00 | 21:40 | 520.00
JAC | MSY | AA | 1 (DFW) | 08:30 | 13:15 | 560.00
JAC | MSY | UA | 0 | 09:50 | 14:35 | 640.00
JAC | MSY | WN | 1 (HOU) | 11:20 | 16:05 | 510.00
JAC | MSY | DL | 1 (ATL) | 12:40 | 17:20 | 600.00
JAC | MSY | AS | 1 (SEA) | 14:10 | 19:55 | 720.00
JAC | MSY | B6 | 1 (FLL) | 15:25 | 21:10 | 590.00
JAC | MSY | F9 | 1 (DEN) | 16:30 | 22:15 | 530.00
JAC | MSY | NK | 1 (ORD) | 17:40 | 23:25 | 570.00


Here are the 16 flight plans:

MSY | EYW | AA | Non-stop | 06:00 | 09:15 | 258.00
MSY | EYW | DL | 1 stop (ATL) | 07:30 | 11:45 | 298.50
MSY | EYW | UA | Non-stop | 09:45 | 12:55 | 235.00
MSY | EYW | WN | 1 stop (TPA) | 11:15 | 14:30 | 268.00
MSY | EYW | B6 | Non-stop | 12:20 | 15:35 | 245.50
MSY | EYW | F9 | 1 stop (MCO) | 13:45 | 17:00 | 288.00
MSY | EYW | NK | Non-stop | 15:00 | 18:15 | 259.00
MSY | EYW | SY | 1 stop (PBI) | 16:30 | 19:45 | 299.50

EYW | MSY | AA | Non-stop | 06:00 | 08:15 | 248.00
EYW | MSY | DL | 1 stop (MIA) | 07:30 | 10:45 | 288.00
EYW | MSY | UA | Non-stop | 09:45 | 12:00 | 225.50
EYW | MSY | WN | 1 stop (FLL) | 11:15 | 13:30 | 258.00
EYW | MSY | B6 | Non-stop | 12:20 | 14:35 | 235.00
EYW | MSY | F9 | 1 stop (RSW) | 13:45 | 16:00 | 279.50
EYW | MSY | NK | Non-stop | 15:00 | 16:15 | 249.00
EYW | MSY | SY | 1 stop (JAX) | 16:30 | 18:45 | 289.00


Here are the 16 flight plans:

MSY | RNO | AA | 1 (DFW) | 08:00 | 11:35 | 542.00
MSY | RNO | UA | 2 (IAH, SFO) | 09:15 | 14:50 | 623.00
MSY | RNO | WN | 1 (DAL) | 10:30 | 14:05 | 498.00
MSY | RNO | DL | 0 | 11:45 | 15:20 | 578.00
MSY | RNO | AS | 1 (SEA) | 13:00 | 17:35 | 638.00
MSY | RNO | F9 | 1 (DEN) | 14:15 | 18:50 | 448.00
MSY | RNO | NK | 1 (ORD) | 15:30 | 20:05 | 518.00
MSY | RNO | B6 | 1 (LAX) | 16:45 | 21:20 | 598.00
RNO | MSY | AA | 1 (PHX) | 07:00 | 13:35 | 562.00
RNO | MSY | UA | 2 (SFO, IAH) | 08:15 | 15:50 | 653.00
RNO | MSY | WN | 1 (LAS) | 09:30 | 15:05 | 528.00
RNO | MSY | DL | 0 | 10:45 | 16:20 | 608.00
RNO | MSY | AS | 1 (PDX) | 12:00 | 17:35 | 668.00
RNO | MSY | F9 | 1 (MCO) | 13:15 | 18:50 | 478.00
RNO | MSY | NK | 1 (DFW) | 14:30 | 19:05 | 548.00
RNO | MSY | B6 | 1 (JFK) | 15:45 | 20:20 | 628.00


Here are the 16 flight plans:

MSY | TVL | American Airlines | Non-stop | 08:00 | 10:30 | 420.00
MSY | TVL | Delta Air Lines | 1 stop (DEN) | 09:15 | 13:45 | 480.00
MSY | TVL | United Airlines | Non-stop | 10:45 | 13:15 | 450.00
MSY | TVL | Southwest Airlines | 1 stop (PHX) | 11:30 | 15:00 | 510.00
MSY | TVL | Alaska Airlines | 1 stop (SEA) | 12:15 | 16:45 | 490.00
MSY | TVL | JetBlue Airways | Non-stop | 13:00 | 15:30 | 430.00
MSY | TVL | Spirit Airlines | 1 stop (LAS) | 14:45 | 18:15 | 520.00
MSY | TVL | Frontier Airlines | 1 stop (MCO) | 15:30 | 19:00 | 500.00
TVL | MSY | American Airlines | Non-stop | 06:00 | 08:30 | 410.00
TVL | MSY | Delta Air Lines | 1 stop (SFO) | 07:15 | 11:45 | 470.00
TVL | MSY | United Airlines | Non-stop | 08:45 | 11:15 | 440.00
TVL | MSY | Southwest Airlines | 1 stop (LAX) | 09:30 | 13:00 | 530.00
TVL | MSY | Alaska Airlines | 1 stop (PDX) | 10:15 | 14:45 | 490.00
TVL | MSY | JetBlue Airways | Non-stop | 11:00 | 13:30 | 420.00
TVL | MSY | Spirit Airlines | 1 stop (ORD) | 12:45 | 16:15 | 540.00
TVL | MSY | Frontier Airlines | 1 stop (ATL) | 13:30 | 17:00 | 510.00


Here are the 16 flight plans:

MSY | MCD | AA | 0 | 06:00 | 08:30 | 250.00
MSY | MCD | UA | 1 (DEN) | 08:30 | 12:15 | 320.00
MSY | MCD | DL | 0 | 10:00 | 12:30 | 280.00
MSY | MCD | WN | 1 (HOU) | 12:00 | 15:45 | 290.00
MSY | MCD | AS | 0 | 14:00 | 16:30 | 260.00
MSY | MCD | F9 | 1 (DAL) | 16:00 | 19:45 | 310.00
MSY | MCD | B6 | 0 | 18:00 | 20:30 | 270.00
MSY | MCD | NK | 1 (IAH) | 20:00 | 23:45 | 300.00

MCD | MSY | AA | 0 | 06:00 | 08:30 | 250.00
MCD | MSY | UA | 1 (SFO) | 08:30 | 12:15 | 330.00
MCD | MSY | DL | 0 | 10:00 | 12:30 | 280.00
MCD | MSY | WN | 1 (LAX) | 12:00 | 15:45 | 300.00
MCD | MSY | AS | 0 | 14:00 | 16:30 | 260.00
MCD | MSY | F9 | 1 (PHX) | 16:00 | 19:45 | 320.00
MCD | MSY | B6 | 0 | 18:00 | 20:30 | 270.00
MCD | MSY | NK | 1 (SAT) | 20:00 | 23:45 | 310.00


Here are the 16 flight plans:

MSY | PLN | AA | 1 (ORD) | 08:00 | 12:30 | 450.00
MSY | PLN | UA | 2 (IAH, DEN) | 09:30 | 15:45 | 520.00
MSY | PLN | DL | 0 | 11:00 | 14:30 | 380.00
MSY | PLN | WN | 1 (STL) | 12:30 | 16:45 | 420.00
MSY | PLN | AS | 2 (DFW, SEA) | 14:00 | 19:15 | 550.00
MSY | PLN | B6 | 1 (FLL) | 15:30 | 19:45 | 480.00
MSY | PLN | NK | 0 | 17:00 | 20:30 | 400.00
MSY | PLN | F9 | 1 (ATL) | 18:30 | 22:45 | 500.00

PLN | MSY | AA | 1 (ORD) | 06:00 | 10:30 | 430.00
PLN | MSY | UA | 2 (DEN, IAH) | 07:30 | 12:45 | 540.00
PLN | MSY | DL | 0 | 09:00 | 12:30 | 390.00
PLN | MSY | WN | 1 (STL) | 10:30 | 14:45 | 440.00
PLN | MSY | AS | 2 (SEA, DFW) | 12:00 | 16:15 | 560.00
PLN | MSY | B6 | 1 (FLL) | 13:30 | 17:45 | 490.00
PLN | MSY | NK | 0 | 15:00 | 18:30 | 410.00
PLN | MSY | F9 | 1 (ATL) | 16:30 | 20:45 | 510.00


Here are the 16 flight plans:

MSY | OGG | AA | 1 (DFW) | 08:00 | 17:30 | 542.00
MSY | OGG | UA | 2 (IAH, LAX) | 10:30 | 20:15 | 612.00
MSY | OGG | WN | 0 | 12:45 | 21:10 | 482.00
MSY | OGG | DL | 1 (ATL) | 14:00 | 22:35 | 572.00
MSY | OGG | HA | 1 (HNL) | 16:15 | 00:50 | 652.00
MSY | OGG | AS | 2 (DFW, SEA) | 18:30 | 02:20 | 732.00
MSY | OGG | B6 | 1 (FLL) | 20:45 | 04:25 | 692.00
MSY | OGG | NK | 0 | 22:00 | 05:40 | 512.00

OGG | MSY | AA | 1 (PHX) | 08:30 | 18:05 | 592.00
OGG | MSY | UA | 2 (SFO, DEN) | 10:15 | 20:50 | 682.00
OGG | MSY | WN | 0 | 12:00 | 21:35 | 442.00
OGG | MSY | DL | 1 (LAX) | 14:30 | 23:10 | 622.00
OGG | MSY | HA | 1 (HNL) | 16:45 | 01:20 | 702.00
OGG | MSY | AS | 2 (PDX, DFW) | 19:00 | 03:45 | 762.00
OGG | MSY | B6 | 1 (JFK) | 21:15 | 05:50 | 742.00
OGG | MSY | NK | 0 | 22:30 | 06:10 | 472.00


Here are the 16 flight plans:

MSY | RAP | AA | 0 | 08:00 | 11:30 | 450.00
MSY | RAP | UA | 1 (DEN) | 09:15 | 13:45 | 520.00
MSY | RAP | DL | 0 | 10:30 | 14:00 | 480.00
MSY | RAP | WN | 1 (PHX) | 11:45 | 16:15 | 550.00
MSY | RAP | AS | 0 | 13:00 | 16:30 | 500.00
MSY | RAP | F9 | 1 (IAH) | 14:15 | 18:45 | 580.00
MSY | RAP | NK | 0 | 15:30 | 19:00 | 530.00
MSY | RAP | B6 | 1 (LAX) | 16:45 | 21:15 | 610.00
RAP | MSY | AA | 0 | 08:00 | 11:30 | 420.00
RAP | MSY | UA | 1 (SFO) | 09:15 | 13:45 | 490.00
RAP | MSY | DL | 0 | 10:30 | 14:00 | 450.00
RAP | MSY | WN | 1 (LAS) | 11:45 | 16:15 | 510.00
RAP | MSY | AS | 0 | 13:00 | 16:30 | 470.00
RAP | MSY | F9 | 1 (ORD) | 14:15 | 18:45 | 540.00
RAP | MSY | NK | 0 | 15:30 | 19:00 | 500.00
RAP | MSY | B6 | 1 (DFW) | 16:45 | 21:15 | 570.00


Here are the 16 flight plans:

MSY | MYR | American Airlines | Non-stop | 08:00 | 10:30 | 198.00
MSY | MYR | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:45 | 220.00
MSY | MYR | United Airlines | Non-stop | 11:00 | 13:30 | 210.00
MSY | MYR | Spirit Airlines | 1 stop (FLL) | 12:30 | 16:00 | 180.00
MSY | MYR | JetBlue Airways | Non-stop | 14:00 | 16:30 | 230.00
MSY | MYR | Frontier Airlines | 1 stop (DEN) | 15:45 | 19:15 | 200.00
MSY | MYR | Southwest Airlines | Non-stop | 17:00 | 19:30 | 240.00
