

Here are the 16 flight plans:

LAS | MSY | AA | 0 | 08:00 | 13:15 | 275.00
MCO | LAS | F9 | 1 stop (DAL) | 16:45 | 19:15 | 320.00


LAS | TPA | AA | 0 | 08:00 | 14:30 | 258.00
LAS | TPA | DL | 1 (ATL) | 09:15 | 17:45 | 328.50
LAS | TPA | WN | 0 | 10:30 | 17:00 | 198.00
LAS | TPA | UA | 1 (DEN) | 11:45 | 19:15 | 358.00
LAS | TPA | F9 | 0 | 12:50 | 19:20 | 228.00
LAS | TPA | NK | 1 (ORD) | 14:10 | 21:40 | 298.50
LAS | TPA | B6 | 0 | 15:35 | 22:05 | 248.00
LAS | TPA | AS | 1 (SFO) | 16:55 | 23:30 | 318.00
TPA | LAS | AA | 0 | 08:30 | 10:50 | 238.00
TPA | LAS | DL | 1 (MIA) | 09:50 | 13:20 | 308.50
TPA | LAS | WN | 0 | 11:10 | 14:30 | 208.00
TPA | LAS | UA | 1 (IAH) | 12:25 | 16:55 | 338.00
TPA | LAS | F9 | 0 | 13:40 | 17:10 | 258.00
TPA | LAS | NK | 1 (DFW) | 15:00 | 19:30 | 288.50
TPA | LAS | B6 | 0 | 16:20 | 20:45 | 268.00
TPA | LAS | AS | 1 (LAX) | 17:45 | 22:15 | 308.00


Here are the 16 flight plans:

LAS | ANC | AA | 1 (SEA) | 08:00 | 12:45 | 425.00
LAS | ANC | UA | 1 (SFO) | 09:30 | 14:15 | 450.00
LAS | ANC | DL | 1 (PDX) | 10:45 | 15:30 | 480.00
LAS | ANC | WN | 1 (BOI) | 12:00 | 16:45 | 410.00
LAS | ANC | AS | 2 (PDX, SEA) | 13:15 | 18:00 | 520.00
LAS | ANC | F9 | 1 (DEN) | 14:30 | 19:15 | 390.00
LAS | ANC | NK | 1 (SJC) | 15:45 | 20:30 | 460.00
LAS | ANC | B6 | 2 (LAX, PDX) | 17:00 | 22:45 | 550.00

ANC | LAS | AA | 1 (SEA) | 08:30 | 13:15 | 440.00
ANC | LAS | UA | 1 (SFO) | 09:45 | 14:30 | 470.00
ANC | LAS | DL | 1 (PDX) | 11:00 | 15:45 | 500.00
ANC | LAS | WN | 1 (BOI) | 12:15 | 16:50 | 430.00
ANC | LAS | AS | 2 (SEA, SFO) | 13:30 | 18:15 | 540.00
ANC | LAS | F9 | 1 (DEN) | 14:45 | 19:30 | 420.00
ANC | LAS | NK | 1 (SJC) | 16:00 | 20:45 | 490.00
ANC | LAS | B6 | 2 (PDX, LAX) | 17:15 | 22:50 | 570.00


Here are the 16 flight plans:

LAS | SJU | AA | 1 (MIA) | 08:00 | 16:30 | 450.00
LAS | SJU | UA | 0 | 10:30 | 18:45 | 520.00
LAS | SJU | DL | 1 (ATL) | 12:15 | 20:50 | 480.00
LAS | SJU | WN | 1 (DEN) | 14:00 | 22:20 | 420.00
LAS | SJU | B6 | 0 | 06:00 | 14:15 | 500.00
LAS | SJU | AS | 1 (SFO) | 16:45 | 00:10 | 550.00
LAS | SJU | F9 | 1 (ORD) | 18:30 | 02:00 | 380.00
LAS | SJU | NK | 1 (IAH) | 20:15 | 03:40 | 400.00
SJU | LAS | AA | 1 (CLT) | 08:30 | 12:00 | 430.00
SJU | LAS | UA | 0 | 11:00 | 14:30 | 490.00
SJU | LAS | DL | 1 (MCO) | 13:45 | 17:15 | 510.00
SJU | LAS | WN | 1 (BNA) | 15:30 | 19:00 | 440.00
SJU | LAS | B6 | 0 | 07:15 | 11:45 | 470.00
SJU | LAS | AS | 1 (DFW) | 17:00 | 21:30 | 530.00
SJU | LAS | F9 | 1 (PHL) | 19:15 | 23:45 | 410.00
SJU | LAS | NK | 1 (EWR) | 21:00 | 01:35 | 450.00


Here are the 16 flight plans:

LAS | BHB | AA | 0 | 08:00 | 11:15 | 248.50
LAS | BHB | UA | 1 (DEN) | 09:30 | 14:45 | 318.75
LAS | BHB | WN | 0 | 10:45 | 14:00 | 278.00
LAS | BHB | DL | 1 (SLC) | 12:15 | 17:30 | 348.25
LAS | BHB | AS | 0 | 13:30 | 16:45 | 298.50
LAS | BHB | F9 | 1 (PHX) | 14:50 | 19:05 | 288.75
LAS | BHB | NK | 0 | 16:00 | 19:15 | 258.00
LAS | BHB | B6 | 1 (LAX) | 17:20 | 21:35 | 328.50
BHB | LAS | AA | 0 | 06:30 | 09:45 | 238.50
BHB | LAS | UA | 1 (ORD) | 08:00 | 12:15 | 308.75
BHB | LAS | WN | 0 | 09:15 | 12:30 | 268.00
BHB | LAS | DL | 1 (ATL) | 10:40 | 15:55 | 338.25
BHB | LAS | AS | 0 | 12:00 | 15:15 | 288.50
BHB | LAS | F9 | 1 (DFW) | 13:25 | 17:40 | 278.75
BHB | LAS | NK | 0 | 14:50 | 18:05 | 248.00
BHB | LAS | B6 | 1 (JFK) | 16:10 | 20:25 | 318.50


LAS | MRY | AA | 0 | 06:00 | 07:45 | 198.00
LAS | MRY | UA | 1 (SFO) | 08:30 | 11:15 | 220.00
LAS | MRY | WN | 0 | 10:00 | 11:45 | 178.00
LAS | MRY | DL | 1 (LAX) | 12:00 | 14:45 | 240.00
LAS | MRY | AS | 0 | 14:30 | 16:15 | 200.00
LAS | MRY | F9 | 1 (DEN) | 16:00 | 19:45 | 210.00
LAS | MRY | NK | 0 | 18:00 | 19:45 | 190.00
LAS | MRY | B6 | 1 (PHX) | 20:00 | 23:45 | 230.00
MRY | LAS | AA | 0 | 06:00 | 07:45 | 198.00
MRY | LAS | UA | 1 (SFO) | 08:30 | 11:15 | 220.00
MRY | LAS | WN | 0 | 10:00 | 11:45 | 178.00
MRY | LAS | DL | 1 (LAX) | 12:00 | 14:45 | 240.00
MRY | LAS | AS | 0 | 14:30 | 16:15 | 200.00
MRY | LAS | F9 | 1 (DEN) | 16:00 | 19:45 | 210.00
MRY | LAS | NK | 0 | 18:00 | 19:45 | 190.00
MRY | LAS | B6 | 1 (PHX) | 20:00 | 23:45 | 230.00


Here are the 16 flight plans:

LAS | SJC | AA | 0 | 08:00 | 09:15 | 120.00
LAS | SJC | UA | 1 (PHX) | 09:30 | 12:45 | 180.00
LAS | SJC | WN | 0 | 11:00 | 12:15 | 150.00
LAS | SJC | DL | 1 (LAX) | 12:30 | 15:45 | 220.00
LAS | SJC | AS | 0 | 14:00 | 15:15 | 140.00
LAS | SJC | F9 | 1 (DEN) | 15:30 | 18:45 | 200.00
LAS | SJC | NK | 0 | 17:00 | 18:15 | 130.00
LAS | SJC | B6 | 1 (LGB) | 19:30 | 22:45 | 210.00

SJC | LAS | AA | 0 | 08:00 | 09:15 | 120.00
SJC | LAS | UA | 1 (SFO) | 09:30 | 12:45 | 190.00
SJC | LAS | WN | 0 | 11:00 | 12:15 | 160.00
SJC | LAS | DL | 1 (SLC) | 12:30 | 15:45 | 230.00
SJC | LAS | AS | 0 | 14:00 | 15:15 | 150.00
SJC | LAS | F9 | 1 (PHX) | 15:30 | 18:45 | 220.00
SJC | LAS | NK | 0 | 17:00 | 18:15 | 140.00
SJC | LAS | B6 | 1 (LAX) | 19:30 | 22:45 | 240.00


LAS | EGE | AA | 1 (DEN) | 08:00 | 11:15 | 345.50
LAS | EGE | UA | 0 | 10:30 | 13:45 | 275.00
LAS | EGE | WN | 1 (PHX) | 12:00 | 15:20 | 295.00
LAS | EGE | DL | 0 | 14:00 | 17:15 | 305.00
LAS | EGE | AS | 1 (SEA) | 16:00 | 19:20 | 325.00
LAS | EGE | F9 | 0 | 18:00 | 21:15 | 245.00
LAS | EGE | NK | 1 (IAH) | 20:00 | 23:20 | 285.00
LAS | EGE | B6 | 0 | 22:00 | 01:15 | 315.00
EGE | LAS | AA | 0 | 08:00 | 09:15 | 260.00
EGE | LAS | UA | 1 (SFO) | 10:30 | 13:45 | 320.00
EGE | LAS | WN | 0 | 12:00 | 13:15 | 240.00
EGE | LAS | DL | 1 (SLC) | 14:00 | 17:20 | 300.00
EGE | LAS | AS | 0 | 16:00 | 17:15 | 280.00
EGE | LAS | F9 | 1 (DEN) | 18:00 | 21:20 | 290.00
EGE | LAS | NK | 0 | 20:00 | 21:15 | 250.00
EGE | LAS | B6 | 1 (LAX) | 22:00 | 01:20 | 310.00


Here are the 16 flight plans:

LAS | CHS | AA | Non-stop | 08:00 | 15:30 | 450.00
LAS | CHS | UA | 1 stop (DEN) | 09:15 | 17:45 | 520.00
LAS | CHS | WN | Non-stop | 10:30 | 18:00 | 480.00
LAS | CHS | DL | 1 stop (ATL) | 11:45 | 19:15 | 550.00
LAS | CHS | AS | Non-stop | 13:00 | 20:30 | 500.00
LAS | CHS | F9 | 1 stop (MCO) | 14:15 | 21:45 | 420.00
LAS | CHS | NK | Non-stop | 15:30 | 23:00 | 460.00
LAS | CHS | B6 | 1 stop (JFK) | 16:45 | 00:15 | 530.00
CHS | LAS | AA | Non-stop | 08:00 | 09:30 | 430.00
CHS | LAS | UA | 1 stop (IAH) | 09:15 | 11:45 | 490.00
CHS | LAS | WN | Non-stop | 10:30 | 12:00 | 450.00
CHS | LAS | DL | 1 stop (MSP) | 11:45 | 14:15 | 510.00
CHS | LAS | AS | Non-stop | 13:00 | 14:30 | 470.00
CHS | LAS | F9 | 1 stop (ORD) | 14:15 | 16:45 | 400.00
CHS | LAS | NK | Non-stop | 15:30 | 17:00 | 440.00
CHS | LAS | B6 | 1 stop (BOS) | 16:45 | 19:15 | 500.00


Here are the 16 flight plans:

LAS | RAP | AA | 0 | 08:00 | 10:30 | 215.00
LAS | RAP | UA | 1 (DEN) | 09:15 | 12:45 | 280.50
LAS | RAP | WN | 0 | 10:30 | 13:00 | 199.00
LAS | RAP | DL | 1 (SLC) | 11:45 | 15:15 | 310.00
LAS | RAP | AS | 0 | 13:00 | 15:30 | 235.50
LAS | RAP | F9 | 1 (PHX) | 14:15 | 17:45 | 250.00
LAS | RAP | NK | 0 | 15:30 | 18:00 | 220.00
LAS | RAP | B6 | 1 (LAX) | 16:45 | 20:15 | 290.50

RAP | LAS | AA | 0 | 08:00 | 09:30 | 200.00
RAP | LAS | UA | 1 (ORD) | 09:15 | 12:45 | 260.00
RAP | LAS | WN | 0 | 10:30 | 12:00 | 180.50
RAP | LAS | DL | 1 (MSP) | 11:45 | 15:15 | 300.00
RAP | LAS | AS | 0 | 13:00 | 14:30 | 210.00
RAP | LAS | F9 | 1 (DEN) | 14:15 | 17:45 | 240.50
RAP | LAS | NK | 0 | 15:30 | 17:00 | 190.00
RAP | LAS | B6 | 1 (SFO) | 16:45 | 20:15 | 270.00


LAS | FCA | Delta | 0 | 08:00 | 11:30 | 420.00
LAS | FCA | American | 1 (DEN) | 09:15 | 14:45 | 480.00
LAS | FCA | United | 0 | 10:30 | 14:00 | 450.00
LAS | FCA | Southwest | 1 (PHX) | 11:45 | 16:15 | 510.00
LAS | FCA | Alaska | 0 | 13:00 | 16:30 | 400.00
LAS | FCA | JetBlue | 1 (SFO) | 14:15 | 18:45 | 520.00
LAS | FCA | Spirit | 1 (LAX) | 15:30 | 19:55 | 550.00
LAS | FCA | Frontier | 0 | 17:00 | 20:30 | 430.00
FCA | LAS | Delta | 0 | 08:00 | 09:30 | 410.00
FCA | LAS | American | 1 (SLC) | 09:15 | 12:45 | 490.00
FCA | LAS | United | 0 | 10:30 | 12:00 | 440.00
FCA | LAS | Southwest | 1 (BOI) | 11:45 | 14:15 | 500.00
FCA | LAS | Alaska | 0 | 13:00 | 14:30 | 390.00
FCA | LAS | JetBlue | 1 (PDX) | 14:15 | 16:45 | 530.00
FCA | LAS | Spirit | 1 (SEA) | 15:30 | 17:55 | 560.00
FCA | LAS | Frontier | 0 | 17:00 | 18:30 | 450.00


Here are the 16 flight plans:

LAS | FLG | AA | Non-stop | 06:00 | 07:15 | 120.00
LAS | FLG | UA | 1 stop (PHX) | 08:30 | 11:45 | 180.00
LAS | FLG | WN | Non-stop | 10:15 | 11:30 | 150.00
LAS | FLG | DL | 1 stop (SLC) | 12:00 | 15:15 | 220.00
LAS | FLG | AS | Non-stop | 14:30 | 15:45 | 130.00
LAS | FLG | F9 | 1 stop (DEN) | 16:15 | 19:30 | 200.00
LAS | FLG | NK | Non-stop | 18:00 | 19:15 | 140.00
LAS | FLG | B6 | 1 stop (LAX) | 20:30 | 23:45 | 240.00

FLG | LAS | AA | Non-stop | 06:15 | 07:30 | 120.00
FLG | LAS | UA | 1 stop (SFO) | 08:45 | 12:00 | 200.00
FLG | LAS | WN | Non-stop | 11:00 | 12:15 | 150.00
FLG | LAS | DL | 1 stop (PHX) | 13:30 | 16:45 | 220.00
FLG | LAS | AS | Non-stop | 15:45 | 17:00 | 130.00
FLG | LAS | F9 | 1 stop (ABQ) | 17:15 | 20:30 | 210.00
FLG | LAS | NK | Non-stop | 19:00 | 20:15 | 140.00
FLG | LAS | B6 | 1 stop (SAN) | 21:30 | 00:45 | 250.00


LAS | TYS | American Airlines | Non-stop | 08:00 | 13:30 | 450.00
LAS | TYS | Delta Air Lines | 1 stop (DFW) | 09:15 | 16:45 | 520.00
LAS | TYS | United Airlines | Non-stop | 10:30 | 16:00 | 480.00
LAS | TYS | Southwest Airlines | 1 stop (DEN) | 11:45 | 18:15 | 500.00
LAS | TYS | Alaska Airlines | Non-stop | 13:00 | 18:30 | 510.00
LAS | TYS | JetBlue Airways | 1 stop (JFK) | 14:15 | 20:45 | 550.00
LAS | TYS | Spirit Airlines | 1 stop (ORD) | 15:30 | 22:00 | 530.00
LAS | TYS | Frontier Airlines | Non-stop | 17:00 | 22:30 | 490.00
TYS | LAS | American Airlines | Non-stop | 08:30 | 10:00 | 420.00
TYS | LAS | Delta Air Lines | 1 stop (ATL) | 09:45 | 13:15 | 500.00
TYS | LAS | United Airlines | Non-stop | 11:00 | 13:30 | 450.00
TYS | LAS | Southwest Airlines | 1 stop (STL) | 12:15 | 15:45 | 480.00
TYS | LAS | Alaska Airlines | Non-stop | 13:30 | 16:00 | 460.00
TYS | LAS | JetBlue Airways | 1 stop (BOS) | 14:45 | 18:15 | 520.00
TYS | LAS | Spirit Airlines | 1 stop (IAH) | 16:00 | 19:30 | 510.00
TYS | LAS | Frontier Airlines | Non-stop | 17:30 | 20:00 | 490.00


Here are the 16 flight plans:

LAS | AVL | AA | 1 (DFW) | 08:00 | 14:30 | 450.00
LAS | AVL | UA | 2 (SFO, IAH) | 09:30 | 19:15 | 520.00
LAS | AVL | WN | 0 | 11:00 | 17:30 | 380.00
LAS | AVL | DL | 1 (ATL) | 12:30 | 19:00 | 500.00
LAS | AVL | AS | 2 (SEA, ORD) | 14:00 | 22:45 | 580.00
LAS | AVL | F9 | 1 (DEN) | 15:30 | 21:15 | 420.00
LAS | AVL | NK | 2 (IAH, MCO) | 17:00 | 00:30 | 550.00
LAS | AVL | B6 | 1 (JFK) | 19:30 | 02:15 | 480.00
AVL | LAS | AA | 1 (CLT) | 06:00 | 09:30 | 400.00
AVL | LAS | UA | 2 (IAH, SFO) | 08:30 | 14:15 | 520.00
AVL | LAS | WN | 0 | 10:30 | 14:00 | 350.00
AVL | LAS | DL | 1 (ATL) | 12:00 | 16:30 | 480.00
AVL | LAS | AS | 2 (ORD, SEA) | 14:30 | 21:15 | 580.00
AVL | LAS | F9 | 1 (DEN) | 16:00 | 20:45 | 440.00
AVL | LAS | NK | 2 (MCO, IAH) | 18:30 | 01:15 | 560.00
AVL | LAS | B6 | 1 (JFK) | 20:30 | 03:15 | 500.00


Here are the 16 flight plans:

LAS | JAC | American Airlines | Non-stop | 06:00 | 08:30 | 220.00
LAS | JAC | Delta Air Lines | 1 stop (SFO) | 08:00 | 12:15 | 280.00
LAS | JAC | United Airlines | Non-stop | 10:00 | 12:30 | 250.00
LAS | JAC | Southwest Airlines | 1 stop (PHX) | 12:00 | 16:15 | 300.00
LAS | JAC | Alaska Airlines | Non-stop | 14:00 | 16:30 | 230.00
LAS | JAC | Frontier Airlines | 1 stop (DEN) | 16:00 | 20:15 | 320.00
LAS | JAC | Spirit Airlines | Non-stop | 18:00 | 20:30 | 240.00
LAS | JAC | JetBlue Airways | 1 stop (LAX) | 20:00 | 00:15 | 330.00

JAC | LAS | American Airlines | Non-stop | 06:00 | 08:30 | 220.00
JAC | LAS | Delta Air Lines | 1 stop (SLC) | 08:00 | 12:15 | 280.00
JAC | LAS | United Airlines | Non-stop | 10:00 | 12:30 | 250.00
JAC | LAS | Southwest Airlines | 1 stop (BOI) | 12:00 | 16:15 | 300.00
JAC | LAS | Alaska Airlines | Non-stop | 14:00 | 16:30 | 230.00
JAC | LAS | Frontier Airlines | 1 stop (ABQ) | 16:00 | 20:15 | 320.00
JAC | LAS | Spirit Airlines | Non-stop | 18:00 | 20:30 | 240.00
JAC | LAS | JetBlue Airways | 1 stop (OAK) | 20:00 | 00:15 | 330.00


LAS | EYW | AA | 0 | 06:00 | 11:15 | 298.00
LAS | EYW | DL | 1 (MIA) | 07:30 | 14:05 | 378.00
LAS | EYW | UA | 0 | 09:45 | 15:10 | 318.00
LAS | EYW | WN | 1 (PHX) | 11:15 | 17:40 | 398.00
LAS | EYW | F9 | 0 | 12:30 | 18:00 | 288.00
LAS | EYW | NK | 1 (DEN) | 14:00 | 20:25 | 418.00
LAS | EYW | B6 | 0 | 15:45 | 21:10 | 308.00
LAS | EYW | AS | 1 (SEA) | 17:15 | 23:40 | 438.00
EYW | LAS | AA | 0 | 06:00 | 08:15 | 278.00
EYW | LAS | DL | 1 (ATL) | 07:30 | 11:05 | 358.00
EYW | LAS | UA | 0 | 09:45 | 12:10 | 298.00
EYW | LAS | WN | 1 (STL) | 11:15 | 14:40 | 378.00
EYW | LAS | F9 | 0 | 12:30 | 15:00 | 268.00
EYW | LAS | NK | 1 (IAH) | 14:00 | 17:25 | 398.00
EYW | LAS | B6 | 0 | 15:45 | 18:10 | 288.00
EYW | LAS | AS | 1 (ORD) | 17:15 | 20:40 | 418.00


LAS | RNO | AA | Non-stop | 06:00 | 07:30 | 150.00
LAS | RNO | WN | Non-stop | 08:30 | 10:00 | 120.00
LAS | RNO | UA | 1 (SFO) | 10:00 | 13:00 | 220.00
LAS | RNO | DL | Non-stop | 12:00 | 13:30 | 180.00
LAS | RNO | AS | 1 (SEA) | 14:00 | 17:00 | 250.00
LAS | RNO | F9 | Non-stop | 16:00 | 17:30 | 100.00
LAS | RNO | NK | 1 (PHX) | 18:00 | 21:00 | 200.00
LAS | RNO | B6 | Non-stop | 20:00 | 21:30 | 160.00
RNO | LAS | AA | Non-stop | 06:30 | 08:00 | 140.00
RNO | LAS | WN | 1 (SJC) | 09:00 | 12:00 | 210.00
RNO | LAS | UA | Non-stop | 11:00 | 12:30 | 190.00
RNO | LAS | DL | 1 (SLC) | 13:00 | 16:00 | 240.00
RNO | LAS | AS | Non-stop | 15:00 | 16:30 | 170.00
RNO | LAS | F9 | 1 (DEN) | 17:00 | 20:00 | 230.00
RNO | LAS | NK | Non-stop | 19:00 | 20:30 | 130.00
RNO | LAS | B6 | 1 (LAX) | 21:00 | 00:00 | 260.00


Here are the 16 flight plans:

LAS | TVL | American Airlines | Non-stop | 06:00 | 07:30 | 150.00
LAS | TVL | Delta Air Lines | 1 stop (SFO) | 08:15 | 11:45 | 220.00
LAS | TVL | United Airlines | Non-stop | 10:00 | 11:30 | 180.00
LAS | TVL | Southwest Airlines | 1 stop (PHX) | 12:30 | 15:00 | 200.00
LAS | TVL | Alaska Airlines | Non-stop | 14:45 | 16:15 | 160.00
LAS | TVL | JetBlue Airways | 1 stop (LAX) | 16:00 | 19:30 | 240.00
LAS | TVL | Spirit Airlines | Non-stop | 18:15 | 19:45 | 140.00
LAS | TVL | Frontier Airlines | 1 stop (DEN) | 20:00 | 23:30 | 260.00

TVL | LAS | American Airlines | Non-stop | 06:30 | 08:00 | 170.00
TVL | LAS | Delta Air Lines | 1 stop (SJC) | 09:00 | 12:30 | 230.00
TVL | LAS | United Airlines | Non-stop | 11:15 | 12:45 | 190.00
TVL | LAS | Southwest Airlines | 1 stop (OAK) | 13:30 | 16:00 | 210.00
TVL | LAS | Alaska Airlines | Non-stop | 15:45 | 17:15 | 180.00
TVL | LAS | JetBlue Airways | 1 stop (SFO) | 17:00 | 20:30 | 250.00
TVL | LAS | Spirit Airlines | Non-stop | 19:15 | 20:45 | 150.00
TVL | LAS | Frontier Airlines | 1 stop (PHX) | 21:00 | 00:30 | 280.00


Here are the 16 flight plans:

LAS | MCD | AA | 0 | 08:00 | 09:30 | 150.00
LAS | MCD | UA | 1 (PHX) | 10:30 | 13:15 | 220.00
LAS | MCD | WN | 0 | 12:45 | 14:15 | 180.00
LAS | MCD | DL | 1 (SFO) | 15:00 | 17:45 | 280.00
LAS | MCD | AS | 0 | 17:30 | 19:00 | 200.00
LAS | MCD | F9 | 1 (DEN) | 20:00 | 22:45 | 250.00
LAS | MCD | NK | 0 | 21:30 | 23:00 | 230.00
LAS | MCD | B6 | 1 (LAX) | 22:30 | 01:15 | 300.00

MCD | LAS | AA | 0 | 08:00 | 09:30 | 150.00
MCD | LAS | UA | 1 (PHX) | 10:30 | 13:15 | 220.00
MCD | LAS | WN | 0 | 12:45 | 14:15 | 180.00
MCD | LAS | DL | 1 (SFO) | 15:00 | 17:45 | 280.00
MCD | LAS | AS | 0 | 17:30 | 19:00 | 200.00
MCD | LAS | F9 | 1 (DEN) | 20:00 | 22:45 | 250.00
MCD | LAS | NK | 0 | 21:30 | 23:00 | 230.00
MCD | LAS | B6 | 1 (LAX) | 22:30 | 01:15 | 300.00


LAS | PLN | AA | Non-stop | 08:00 | 11:30 | 420.00
LAS | PLN | UA | 1 (DEN) | 09:15 | 13:45 | 450.00
LAS | PLN | WN | Non-stop | 10:45 | 14:15 | 380.00
LAS | PLN | DL | 1 (SFO) | 12:00 | 16:30 | 480.00
LAS | PLN | AS | Non-stop | 13:30 | 17:00 | 410.00
LAS | PLN | F9 | 1 (PHX) | 14:45 | 18:15 | 400.00
LAS | PLN | NK | Non-stop | 16:00 | 19:30 | 390.00
LAS | PLN | B6 | 1 (LAX) | 17:15 | 21:45 | 430.00
PLN | LAS | AA | Non-stop | 06:00 | 07:30 | 400.00
PLN | LAS | UA | 1 (ORD) | 07:15 | 11:45 | 460.00
PLN | LAS | WN | Non-stop | 08:45 | 10:15 | 370.00
PLN | LAS | DL | 1 (MSP) | 10:00 | 14:30 | 490.00
PLN | LAS | AS | Non-stop | 11:30 | 13:00 | 420.00
PLN | LAS | F9 | 1 (DEN) | 12:45 | 16:15 | 410.00
PLN | LAS | NK | Non-stop | 14:00 | 15:30 | 390.00
PLN | LAS | B6 | 1 (SFO) | 15:15 | 19:45 | 440.00


LAS | OGG | HA | 0 | 08:00 | 10:30 | 450.00
LAS | OGG | AA | 1 (SFO) | 09:15 | 12:45 | 520.00
LAS | OGG | UA | 0 | 10:30 | 13:00 | 480.00
LAS | OGG | WN | 1 (LAX) | 11:45 | 15:15 | 550.00
LAS | OGG | DL | 0 | 13:00 | 15:30 | 500.00
LAS | OGG | AS | 1 (PDX) | 14:15 | 17:45 | 580.00
LAS | OGG | F9 | 0 | 15:30 | 18:00 | 460.00
LAS | OGG | NK | 1 (SJC) | 16:45 | 20:15 | 610.00
OGG | LAS | HA | 0 | 08:30 | 11:00 | 420.00
OGG | LAS | AA | 1 (LAX) | 09:45 | 13:15 | 490.00
OGG | LAS | UA | 0 | 11:00 | 13:30 | 450.00
OGG | LAS | WN | 1 (SFO) | 12:15 | 15:45 | 530.00
OGG | LAS | DL | 0 | 13:30 | 16:00 | 480.00
OGG | LAS | AS | 1 (PDX) | 14:45 | 18:15 | 560.00
OGG | LAS | F9 | 0 | 15:00 | 17:30 | 440.00
OGG | LAS | NK | 1 (SJC) | 16:15 | 19:45 | 620.00


Here are the 16 flight plans:

LAS | RAP | AA | 0 | 08:00 | 10:30 | 250.00
LAS | RAP | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
LAS | RAP | WN | 0 | 10:45 | 13:15 | 280.00
LAS | RAP | DL | 1 (SLC) | 12:00 | 15:30 | 350.00
LAS | RAP | AS | 0 | 14:30 | 17:00 | 300.00
LAS | RAP | F9 | 1 (IAH) | 15:45 | 19:15 | 270.00
LAS | RAP | NK | 0 | 17:00 | 19:30 | 240.00
LAS | RAP | B6 | 1 (LAX) | 18:15 | 21:45 | 330.00
RAP | LAS | AA | 0 | 08:30 | 10:00 | 230.00
RAP | LAS | UA | 1 (ORD) | 09:45 | 13:15 | 310.00
RAP | LAS | WN | 0 | 11:15 | 13:45 | 260.00
RAP | LAS | DL | 1 (MSP) | 12:30 | 15:00 | 340.00
RAP | LAS | AS | 0 | 14:00 | 16:30 | 290.00
RAP | LAS | F9 | 1 (DEN) | 15:15 | 18:45 | 280.00
RAP | LAS | NK | 0 | 16:30 | 19:00 | 220.00
RAP | LAS | B6 | 1 (SFO) | 17:45 | 21:15 | 320.00


Here are the 16 flight plans:

LAS | MYR | AA | 1 (DFW) | 08:00 | 16:30 | 450.00
LAS | MYR | UA | 0 | 10:30 | 18:15 | 520.00
LAS | MYR | WN | 1 (DAL) | 12:00 | 20:45 | 480.00
LAS | MYR | DL | 0 | 14:00 | 21:50 | 550.00
LAS | MYR | F9 | 1 (DEN) | 15:30 | 23:15 | 400.00
LAS | MYR | NK | 1 (IAH) | 17:00 | 00:45 | 420.00
LAS | MYR | B6 | 0 | 19:00 | 02:30 | 580.00
LAS | MYR | AS | 1 (SEA) | 20:30 | 03:15 | 500.00
