

Here are the 16 flight plans:

SFO | CLT | AA | 0 | 08:00 | 17:15 | 425.00
SFO | SEA | JetBlue Airways | 1 stop (LAX) | 12:45 | 16:10 | 260.00
SFO | SEA | Spirit Airlines | 1 stop (LAS) | 14:00 | 17:25 | 230.00
SFO | SEA | Frontier Airlines | Non-stop | 15:15 | 17:20 | 210.00

SEA | SFO | Alaska Airlines | Non-stop | 06:30 | 08:35 | 190.00
SEA | SFO | Delta Air Lines | Non-stop | 09:00 | 11:05 | 210.00
SEA | SFO | United Airlines | 1 stop (DEN) | 10:15 | 13:40 | 250.00
SEA | SFO | American Airlines | 1 stop (PHX) | 11:30 | 15:50 | 290.00
SEA | SFO | Southwest Airlines | Non-stop | 12:45 | 14:50 | 200.00
SEA | SFO | JetBlue Airways | 1 stop (LAX) | 14:00 | 17:25 | 270.00
SEA | SFO | Spirit Airlines | 1 stop (LAS) | 15:15 | 18:40 | 240.00
SEA | SFO | Frontier Airlines | Non-stop | 16:30 | 18:35 | 220.00


Here are the 16 flight plans:

SFO | DEN | UA | 0 | 06:00 | 09:35 | 245.00
SFO | DEN | WN | 1 (LAS) | 07:30 | 11:20 | 210.00
SFO | DEN | AA | 0 | 08:50 | 12:25 | 280.00
SFO | DEN | DL | 1 (SLC) | 09:15 | 13:05 | 230.00
SFO | DEN | AS | 0 | 10:30 | 14:05 | 260.00
SFO | DEN | F9 | 1 (PHX) | 11:45 | 15:30 | 190.00
SFO | DEN | NK | 0 | 12:50 | 16:25 | 240.00
SFO | DEN | B6 | 1 (LAX) | 14:00 | 17:40 | 220.00

DEN | SFO | UA | 0 | 06:30 | 08:05 | 270.00
DEN | SFO | WN | 1 (ABQ) | 07:50 | 11:35 | 200.00
DEN | SFO | AA | 0 | 09:10 | 11:45 | 300.00
DEN | SFO | DL | 1 (SEA) | 10:20 | 13:55 | 250.00
DEN | SFO | AS | 0 | 11:40 | 14:15 | 290.00
DEN | SFO | F9 | 1 (ONT) | 12:55 | 16:30 | 180.00
DEN | SFO | NK | 0 | 14:05 | 16:40 | 260.00
DEN | SFO | B6 | 1 (SAN) | 15:20 | 18:55 | 210.00


Here are the 16 flight plans:

SFO | BNA | AA | 0 | 08:00 | 15:30 | 420.00
SFO | BNA | UA | 1 (DEN) | 09:30 | 18:15 | 450.00
SFO | BNA | WN | 0 | 11:00 | 18:45 | 380.00
SFO | BNA | DL | 1 (ATL) | 12:30 | 20:10 | 480.00
SFO | BNA | AS | 0 | 14:00 | 21:30 | 410.00
SFO | BNA | F9 | 1 (LAS) | 15:30 | 22:50 | 390.00
SFO | BNA | NK | 0 | 17:00 | 00:15 | 430.00
SFO | BNA | B6 | 1 (JFK) | 19:00 | 02:20 | 460.00
BNA | SFO | AA | 0 | 06:00 | 09:15 | 400.00
BNA | SFO | UA | 1 (IAH) | 07:30 | 11:50 | 440.00
BNA | SFO | WN | 0 | 09:00 | 12:45 | 360.00
BNA | SFO | DL | 1 (MSP) | 10:30 | 14:20 | 490.00
BNA | SFO | AS | 0 | 12:00 | 15:30 | 420.00
BNA | SFO | F9 | 1 (PHX) | 13:30 | 17:00 | 410.00
BNA | SFO | NK | 0 | 15:00 | 18:15 | 450.00
BNA | SFO | B6 | 1 (BOS) | 16:30 | 20:50 | 480.00


Here are the 16 flight plans:

SFO | IAD | UA | 0 | 08:00 | 16:30 | 450.00
SFO | IAD | AA | 1 (ORD) | 09:30 | 19:15 | 520.00
SFO | IAD | DL | 0 | 11:00 | 19:20 | 480.00
SFO | IAD | WN | 1 (DEN) | 12:30 | 21:45 | 550.00
SFO | IAD | AS | 0 | 14:00 | 22:10 | 510.00
SFO | IAD | F9 | 1 (LAS) | 15:30 | 00:15 | 580.00
SFO | IAD | B6 | 1 (JFK) | 17:00 | 02:30 | 600.00
SFO | IAD | NK | 1 (IAH) | 19:00 | 04:45 | 620.00
IAD | SFO | UA | 0 | 08:30 | 11:30 | 420.00
IAD | SFO | AA | 1 (CLT) | 10:00 | 14:45 | 490.00
IAD | SFO | DL | 0 | 11:30 | 15:20 | 450.00
IAD | SFO | WN | 1 (STL) | 13:00 | 18:15 | 510.00
IAD | SFO | AS | 0 | 14:30 | 18:40 | 480.00
IAD | SFO | F9 | 1 (PHX) | 16:00 | 22:25 | 540.00
IAD | SFO | B6 | 1 (BOS) | 17:30 | 01:15 | 560.00
IAD | SFO | NK | 1 (MIA) | 19:30 | 03:45 | 580.00


Here are the 16 flight plans:

SFO | DCA | UA | 0 | 06:00 | 14:35 | 450.00
SFO | DCA | AA | 1 (ORD) | 08:30 | 18:15 | 520.00
SFO | DCA | WN | 0 | 10:45 | 19:20 | 380.00
SFO | DCA | DL | 1 (ATL) | 12:15 | 20:50 | 550.00
SFO | DCA | AS | 0 | 14:00 | 22:35 | 420.00
SFO | DCA | F9 | 1 (DEN) | 15:30 | 23:55 | 480.00
SFO | DCA | B6 | 0 | 17:00 | 01:35 | 400.00
SFO | DCA | NK | 1 (LAS) | 19:15 | 02:40 | 500.00

DCA | SFO | UA | 0 | 06:30 | 09:05 | 430.00
DCA | SFO | AA | 1 (CLT) | 08:00 | 11:35 | 510.00
DCA | SFO | WN | 0 | 10:00 | 13:35 | 390.00
DCA | SFO | DL | 1 (MSP) | 11:30 | 15:05 | 530.00
DCA | SFO | AS | 0 | 13:00 | 16:35 | 440.00
DCA | SFO | F9 | 1 (PHX) | 14:30 | 18:05 | 490.00
DCA | SFO | B6 | 0 | 16:00 | 19:35 | 410.00
DCA | SFO | NK | 1 (IAH) | 17:30 | 21:05 | 520.00


SFO | MIA | American Airlines | 0 | 08:00 | 17:30 | 425.00
SFO | MIA | Delta Air Lines | 1 (ATL) | 09:30 | 19:45 | 550.00
SFO | MIA | United Airlines | 0 | 11:15 | 20:40 | 495.00
SFO | MIA | JetBlue Airways | 1 (LAX) | 12:50 | 22:10 | 520.00
SFO | MIA | Alaska Airlines | 0 | 14:20 | 23:35 | 480.00
SFO | MIA | Spirit Airlines | 1 (DEN) | 15:45 | 01:05 | 450.00
SFO | MIA | Southwest Airlines | 1 (PHX) | 17:10 | 02:30 | 510.00
SFO | MIA | Frontier Airlines | 0 | 19:00 | 03:25 | 465.00
MIA | SFO | American Airlines | 0 | 08:30 | 11:50 | 435.00
MIA | SFO | Delta Air Lines | 1 (DFW) | 09:55 | 13:20 | 565.00
MIA | SFO | United Airlines | 0 | 11:40 | 15:05 | 505.00
MIA | SFO | JetBlue Airways | 1 (JFK) | 13:15 | 16:35 | 535.00
MIA | SFO | Alaska Airlines | 0 | 14:50 | 18:15 | 490.00
MIA | SFO | Spirit Airlines | 1 (ORD) | 16:20 | 20:40 | 470.00
MIA | SFO | Southwest Airlines | 1 (HOU) | 17:50 | 22:10 | 525.00
MIA | SFO | Frontier Airlines | 0 | 19:30 | 23:50 | 480.00


Here are the 16 flight plans:

SFO | LAS | AA | 0 | 06:00 | 08:05 | 120.00
SFO | LAS | UA | 1 (PHX) | 07:30 | 11:15 | 180.00
SFO | LAS | WN | 0 | 08:45 | 10:50 | 150.00
SFO | LAS | DL | 1 (SLC) | 09:15 | 13:05 | 220.00
SFO | LAS | AS | 0 | 10:30 | 12:35 | 160.00
SFO | LAS | F9 | 1 (DEN) | 11:45 | 15:30 | 200.00
SFO | LAS | NK | 0 | 13:00 | 15:05 | 140.00
SFO | LAS | B6 | 1 (LAX) | 14:15 | 17:10 | 240.00
LAS | SFO | AA | 0 | 06:30 | 08:35 | 130.00
LAS | SFO | UA | 1 (DEN) | 07:00 | 11:45 | 190.00
LAS | SFO | WN | 0 | 08:15 | 10:20 | 160.00
LAS | SFO | DL | 1 (SLC) | 09:45 | 13:40 | 230.00
LAS | SFO | AS | 0 | 11:00 | 13:05 | 170.00
LAS | SFO | F9 | 1 (PHX) | 12:30 | 16:15 | 210.00
LAS | SFO | NK | 0 | 13:45 | 15:50 | 150.00
LAS | SFO | B6 | 1 (LAX) | 15:00 | 18:05 | 260.00


Here are the 16 flight plans:

SFO | MSY | American Airlines | 1 (DFW) | 08:00 | 15:30 | 450.00
SFO | MSY | United Airlines | 0 | 09:30 | 17:15 | 520.00
SFO | MSY | Delta Air Lines | 1 (ATL) | 11:00 | 18:45 | 480.00
SFO | MSY | Southwest Airlines | 1 (DAL) | 12:30 | 20:10 | 420.00
SFO | MSY | Alaska Airlines | 1 (SEA) | 14:00 | 21:30 | 500.00
SFO | MSY | JetBlue Airways | 1 (LAX) | 15:30 | 22:55 | 460.00
SFO | MSY | Spirit Airlines | 1 (LAS) | 17:00 | 00:25 | 380.00
SFO | MSY | Frontier Airlines | 1 (DEN) | 19:00 | 02:10 | 410.00

MSY | SFO | American Airlines | 1 (CLT) | 06:00 | 12:20 | 440.00
MSY | SFO | United Airlines | 0 | 08:00 | 14:40 | 510.00
MSY | SFO | Delta Air Lines | 1 (MSP) | 09:30 | 16:10 | 490.00
MSY | SFO | Southwest Airlines | 1 (HOU) | 11:00 | 17:35 | 430.00
MSY | SFO | Alaska Airlines | 1 (PDX) | 12:30 | 19:00 | 470.00
MSY | SFO | JetBlue Airways | 1 (FLL) | 14:00 | 20:25 | 450.00
MSY | SFO | Spirit Airlines | 1 (ORD) | 15:30 | 21:50 | 390.00
MSY | SFO | Frontier Airlines | 1 (IAH) | 17:00 | 23:20 | 400.00


Here are the 16 flight plans:

SFO | MCO | American Airlines | Non-stop | 08:00 | 16:35 | 425.00
SFO | MCO | Delta Air Lines | 1 stop (ATL) | 09:30 | 18:20 | 450.00
SFO | MCO | United Airlines | Non-stop | 10:15 | 18:50 | 480.00
SFO | MCO | Alaska Airlines | 1 stop (DEN) | 11:00 | 19:40 | 410.00
SFO | MCO | JetBlue Airways | 1 stop (LAX) | 12:30 | 21:10 | 390.00
SFO | MCO | Spirit Airlines | 1 stop (LAS) | 13:45 | 22:25 | 320.00
SFO | MCO | Frontier Airlines | 1 stop (PHX) | 14:50 | 23:35 | 350.00
SFO | MCO | Southwest Airlines | Non-stop | 16:00 | 00:40 | 440.00

MCO | SFO | American Airlines | Non-stop | 07:00 | 09:35 | 420.00
MCO | SFO | Delta Air Lines | 1 stop (ATL) | 08:30 | 12:20 | 460.00
MCO | SFO | United Airlines | Non-stop | 09:45 | 12:20 | 490.00
MCO | SFO | Alaska Airlines | 1 stop (DEN) | 11:10 | 14:40 | 430.00
MCO | SFO | JetBlue Airways | 1 stop (LAX) | 12:40 | 16:10 | 400.00
MCO | SFO | Spirit Airlines | 1 stop (LAS) | 14:00 | 17:40 | 330.00
MCO | SFO | Frontier Airlines | 1 stop (PHX) | 15:20 | 19:00 | 360.00
MCO | SFO | Southwest Airlines | Non-stop | 16:30 | 20:10 | 450.00


SFO | TPA | AA | 0 | 06:00 | 14:30 | 420.00
SFO | TPA | UA | 1 (DEN) | 08:30 | 18:15 | 510.00
SFO | TPA | WN | 0 | 10:45 | 19:00 | 450.00
SFO | TPA | DL | 1 (ATL) | 12:15 | 20:30 | 580.00
SFO | TPA | AS | 0 | 14:00 | 21:30 | 490.00
SFO | TPA | F9 | 1 (PHX) | 15:30 | 23:00 | 520.00
SFO | TPA | NK | 0 | 17:00 | 23:45 | 460.00
SFO | TPA | B6 | 1 (JFK) | 19:15 | 02:00 | 550.00
TPA | SFO | AA | 0 | 06:30 | 09:00 | 400.00
TPA | SFO | UA | 1 (IAH) | 08:00 | 12:30 | 480.00
TPA | SFO | WN | 0 | 09:45 | 13:15 | 430.00
TPA | SFO | DL | 1 (MSP) | 11:15 | 15:45 | 510.00
TPA | SFO | AS | 0 | 12:45 | 16:15 | 450.00
TPA | SFO | F9 | 1 (DAL) | 14:00 | 18:30 | 500.00
TPA | SFO | NK | 0 | 15:30 | 19:00 | 420.00
TPA | SFO | B6 | 1 (BOS) | 17:00 | 21:30 | 530.00


Here are the 16 flight plans:

SFO | ANC | Alaska | 1 (SEA) | 08:00 | 11:45 | 425.00
SFO | ANC | United | 0 | 10:30 | 14:15 | 550.00
SFO | ANC | Delta | 1 (LAX) | 12:45 | 17:20 | 480.00
SFO | ANC | American | 1 (PHX) | 14:00 | 19:35 | 500.00
SFO | ANC | Alaska | 0 | 16:00 | 20:45 | 520.00
SFO | ANC | United | 1 (DEN) | 18:30 | 23:15 | 450.00
SFO | ANC | Delta | 1 (SJC) | 20:15 | 01:00 | 490.00
SFO | ANC | American | 0 | 22:00 | 02:45 | 530.00
ANC | SFO | Alaska | 1 (PDX) | 06:00 | 10:45 | 410.00
ANC | SFO | United | 0 | 08:30 | 13:15 | 540.00
ANC | SFO | Delta | 1 (SLC) | 11:45 | 16:20 | 460.00
ANC | SFO | American | 1 (LAS) | 13:00 | 18:35 | 470.00
ANC | SFO | Alaska | 0 | 15:00 | 19:45 | 510.00
ANC | SFO | United | 1 (IAH) | 17:30 | 22:15 | 440.00
ANC | SFO | Delta | 1 (MSP) | 19:15 | 00:00 | 480.00
ANC | SFO | American | 0 | 21:00 | 02:45 | 500.00


Here are the 16 flight plans:

SFO | SJU | American Airlines | Non-stop | 08:00 | 17:35 | 450.00
SFO | SJU | Delta Air Lines | 1 stop (ATL) | 09:30 | 19:15 | 520.00
SFO | SJU | United Airlines | Non-stop | 10:00 | 18:20 | 480.00
SFO | SJU | JetBlue Airways | 1 stop (JFK) | 11:15 | 20:05 | 500.00
SFO | SJU | Alaska Airlines | 1 stop (LAX) | 12:30 | 21:10 | 550.00
SFO | SJU | Spirit Airlines | 1 stop (FLL) | 13:45 | 22:20 | 420.00
SFO | SJU | Frontier Airlines | 1 stop (DEN) | 15:00 | 23:35 | 400.00
SFO | SJU | Hawaiian Airlines | 1 stop (HNL) | 16:15 | 00:50 | 580.00
SJU | SFO | American Airlines | Non-stop | 08:30 | 14:50 | 430.00
SJU | SFO | Delta Air Lines | 1 stop (MIA) | 09:45 | 16:20 | 490.00
SJU | SFO | United Airlines | Non-stop | 11:00 | 17:20 | 510.00
SJU | SFO | JetBlue Airways | 1 stop (BOS) | 12:15 | 19:00 | 530.00
SJU | SFO | Alaska Airlines | 1 stop (ORD) | 13:30 | 20:45 | 560.00
SJU | SFO | Spirit Airlines | 1 stop (LAS) | 14:45 | 22:15 | 440.00
SJU | SFO | Frontier Airlines | 1 stop (PHX) | 16:00 | 23:30 | 410.00
SJU | SFO | Hawaiian Airlines | 1 stop (LAX) | 17:15 | 00:50 | 590.00


Here are the 16 flight plans:

SFO | BHB | UA | 0 | 08:00 | 12:45 | 542.00
SFO | BHB | AA | 1 (LAX) | 09:30 | 15:10 | 620.00
SFO | BHB | WN | 0 | 11:00 | 15:35 | 480.00
SFO | BHB | DL | 1 (DEN) | 12:15 | 17:00 | 690.00
SFO | BHB | AS | 0 | 13:45 | 18:20 | 520.00
SFO | BHB | F9 | 1 (PHX) | 15:00 | 19:40 | 580.00
SFO | BHB | HA | 0 | 16:30 | 21:05 | 550.00
SFO | BHB | B6 | 1 (JFK) | 18:00 | 22:45 | 650.00
BHB | SFO | UA | 0 | 08:30 | 11:10 | 510.00
BHB | SFO | AA | 1 (MIA) | 09:45 | 13:25 | 640.00
BHB | SFO | WN | 0 | 11:15 | 14:50 | 460.00
BHB | SFO | DL | 1 (ATL) | 12:30 | 16:10 | 680.00
BHB | SFO | AS | 0 | 13:50 | 17:25 | 500.00
BHB | SFO | F9 | 1 (ORD) | 15:10 | 19:45 | 590.00
BHB | SFO | HA | 0 | 16:35 | 20:10 | 530.00
BHB | SFO | B6 | 1 (EWR) | 18:05 | 22:40 | 630.00


Here are the 16 flight plans:

SFO | BOS | AA | 0 | 08:00 | 17:30 | 450.00
SFO | BOS | UA | 1 (EWR) | 09:30 | 20:15 | 520.00
SFO | BOS | DL | 0 | 11:00 | 20:00 | 480.00
SFO | BOS | WN | 1 (MDW) | 12:30 | 22:45 | 550.00
SFO | BOS | AS | 0 | 14:00 | 22:30 | 500.00
SFO | BOS | B6 | 1 (JFK) | 15:30 | 00:15 | 580.00
SFO | BOS | F9 | 1 (DEN) | 17:00 | 01:30 | 600.00
SFO | BOS | NK | 1 (LAS) | 19:00 | 03:15 | 620.00
BOS | SFO | AA | 0 | 06:00 | 09:30 | 420.00
BOS | SFO | UA | 1 (ORD) | 08:30 | 12:45 | 490.00
BOS | SFO | DL | 0 | 10:00 | 13:30 | 450.00
BOS | SFO | WN | 1 (BWI) | 11:30 | 16:15 | 510.00
BOS | SFO | AS | 0 | 13:00 | 16:30 | 470.00
BOS | SFO | B6 | 1 (FLL) | 14:30 | 20:15 | 540.00
BOS | SFO | F9 | 1 (MIA) | 16:00 | 22:30 | 570.00
BOS | SFO | NK | 1 (PHX) | 18:00 | 01:15 | 590.00


Here are the 16 flight plans:

SFO | MRY | AA | 0 | 08:00 | 09:15 | 120.00
SFO | MRY | UA | 1 (LAX) | 10:30 | 12:45 | 180.00
SFO | MRY | WN | 0 | 12:00 | 13:15 | 100.00
SFO | MRY | DL | 1 (PHX) | 14:15 | 16:30 | 220.00
SFO | MRY | AS | 0 | 16:00 | 17:15 | 140.00
SFO | MRY | F9 | 1 (DEN) | 18:30 | 20:45 | 200.00
SFO | MRY | B6 | 0 | 20:00 | 21:15 | 160.00
SFO | MRY | NK | 1 (LAS) | 21:45 | 23:59 | 240.00
MRY | SFO | AA | 0 | 07:00 | 08:15 | 130.00
MRY | SFO | UA | 1 (SJC) | 09:30 | 11:45 | 190.00
MRY | SFO | WN | 0 | 11:00 | 12:15 | 110.00
MRY | SFO | DL | 1 (SLC) | 13:15 | 15:30 | 230.00
MRY | SFO | AS | 0 | 15:00 | 16:15 | 150.00
MRY | SFO | F9 | 1 (IAH) | 17:30 | 19:45 | 210.00
MRY | SFO | B6 | 0 | 19:00 | 20:15 | 170.00
MRY | SFO | NK | 1 (PDX) | 20:45 | 22:59 | 260.00


Here are the 16 flight plans:

SFO | SJC | UA | 0 | 06:00 | 06:45 | 120.00
SFO | SJC | AA | 0 | 07:30 | 08:15 | 150.00
SFO | SJC | WN | 0 | 09:00 | 09:45 | 100.00
SFO | SJC | DL | 1 (LAX) | 10:30 | 12:15 | 220.00
SFO | SJC | AS | 0 | 11:45 | 12:30 | 130.00
SFO | SJC | F9 | 0 | 13:15 | 14:00 | 90.00
SFO | SJC | B6 | 0 | 14:45 | 15:30 | 160.00
SFO | SJC | NK | 1 (LAS) | 16:00 | 17:45 | 250.00
SJC | SFO | UA | 0 | 06:15 | 07:00 | 110.00
SJC | SFO | AA | 0 | 07:45 | 08:30 | 140.00
SJC | SFO | WN | 0 | 09:30 | 10:15 | 90.00
SJC | SFO | DL | 1 (PHX) | 11:00 | 12:45 | 230.00
SJC | SFO | AS | 0 | 12:30 | 13:15 | 120.00
SJC | SFO | F9 | 0 | 14:00 | 14:45 | 100.00
SJC | SFO | B6 | 0 | 15:30 | 16:15 | 150.00
SJC | SFO | NK | 1 (DEN) | 17:15 | 19:00 | 280.00


Here are the 16 flight plans:

SFO | SFO | UA | 0 | 06:00 | 08:00 | 150.00
SFO | SFO | AA | 1 (LAX) | 08:30 | 11:30 | 220.00
SFO | SFO | WN | 0 | 10:00 | 12:00 | 180.00
SFO | SFO | DL | 2 (DEN, SEA) | 12:30 | 17:00 | 350.00
SFO | SFO | AS | 1 (PDX) | 14:00 | 16:30 | 280.00
SFO | SFO | F9 | 0 | 16:00 | 18:00 | 120.00
SFO | SFO | B6 | 1 (LGB) | 18:30 | 21:00 | 240.00
SFO | SFO | NK | 2 (LAS, PHX) | 20:00 | 00:30 | 380.00
SFO | SFO | UA | 0 | 06:00 | 08:00 | 150.00
SFO | SFO | AA | 1 (SNA) | 08:30 | 11:30 | 220.00
SFO | SFO | WN | 0 | 10:00 | 12:00 | 180.00
SFO | SFO | DL | 2 (SJC, OAK) | 12:30 | 17:00 | 350.00
SFO | SFO | AS | 1 (SMF) | 14:00 | 16:30 | 280.00
SFO | SFO | F9 | 0 | 16:00 | 18:00 | 120.00
SFO | SFO | B6 | 1 (BUR) | 18:30 | 21:00 | 240.00
SFO | SFO | NK | 2 (ONT, SAN) | 20:00 | 00:30 | 380.00


SFO | EGE | UA | 1 (DEN) | 08:00 | 12:15 | 450.00
SFO | EGE | AA | 2 (PHX, DFW) | 09:30 | 16:45 | 520.00
SFO | EGE | WN | 0 | 11:15 | 15:30 | 380.00
SFO | EGE | DL | 1 (SLC) | 12:45 | 17:00 | 480.00
SFO | EGE | AS | 2 (SEA, PDX) | 14:00 | 20:15 | 550.00
SFO | EGE | F9 | 1 (LAS) | 15:30 | 20:45 | 420.00
SFO | EGE | B6 | 0 | 17:00 | 21:15 | 400.00
SFO | EGE | NK | 1 (ORD) | 18:45 | 23:00 | 460.00
EGE | SFO | UA | 1 (DEN) | 08:15 | 12:30 | 450.00
EGE | SFO | AA | 2 (DFW, PHX) | 09:45 | 16:00 | 520.00
EGE | SFO | WN | 0 | 11:30 | 15:45 | 380.00
EGE | SFO | DL | 1 (SLC) | 13:00 | 17:15 | 480.00
EGE | SFO | AS | 2 (PDX, SEA) | 14:15 | 20:30 | 550.00
EGE | SFO | F9 | 1 (LAS) | 15:45 | 21:00 | 420.00
EGE | SFO | B6 | 0 | 17:15 | 21:30 | 400.00
EGE | SFO | NK | 1 (ORD) | 18:50 | 23:05 | 460.00


Here are the 16 flight plans:

SFO | DEN | United | 0 | 06:00 | 09:35 | 245.00
SFO | DEN | American | 1 (PHX) | 07:30 | 12:10 | 320.00
SFO | DEN | Delta | 0 | 08:15 | 11:50 | 270.00
SFO | DEN | Southwest | 1 (LAS) | 09:00 | 13:40 | 300.00
SFO | DEN | Alaska | 0 | 10:45 | 14:20 | 290.00
SFO | DEN | JetBlue | 1 (LAX) | 12:00 | 16:30 | 350.00
SFO | DEN | Spirit | 0 | 13:30 | 17:05 | 260.00
SFO | DEN | Frontier | 1 (SAN) | 15:00 | 19:35 | 330.00

DEN | SFO | United | 0 | 06:30 | 08:05 | 230.00
DEN | SFO | American | 1 (DFW) | 07:45 | 11:25 | 310.00
DEN | SFO | Delta | 0 | 09:00 | 11:35 | 250.00
DEN | SFO | Southwest | 1 (ABQ) | 10:15 | 14:45 | 280.00
DEN | SFO | Alaska | 0 | 11:45 | 14:20 | 240.00
DEN | SFO | JetBlue | 1 (ORD) | 13:00 | 17:30 | 340.00
DEN | SFO | Spirit | 0 | 14:30 | 17:05 | 220.00
DEN | SFO | Frontier | 1 (MCI) | 16:00 | 20:35 | 300.00


SFO | CHS | AA | 1 (DFW) | 08:00 | 17:35 | 450.00
SFO | CHS | UA | 1 (ORD) | 09:30 | 19:05 | 520.00
SFO | CHS | DL | 1 (ATL) | 11:15 | 20:40 | 480.00
SFO | CHS | WN | 1 (DAL) | 12:45 | 22:10 | 400.00
SFO | CHS | AS | 2 (SEA, CLT) | 06:00 | 18:25 | 550.00
SFO | CHS | B6 | 1 (JFK) | 13:30 | 23:00 | 500.00
SFO | CHS | F9 | 1 (DEN) | 07:15 | 16:45 | 380.00
SFO | CHS | NK | 1 (IAH) | 10:00 | 19:30 | 420.00
CHS | SFO | AA | 1 (CLT) | 08:30 | 11:55 | 480.00
CHS | SFO | UA | 1 (EWR) | 09:45 | 13:10 | 520.00
CHS | SFO | DL | 1 (ATL) | 11:00 | 14:25 | 500.00
CHS | SFO | WN | 1 (HOU) | 12:15 | 15:40 | 440.00
CHS | SFO | AS | 2 (PDX, PHX) | 06:45 | 12:10 | 580.00
CHS | SFO | B6 | 1 (BOS) | 13:45 | 16:10 | 540.00
CHS | SFO | F9 | 1 (MCO) | 07:30 | 10:55 | 400.00
CHS | SFO | NK | 1 (DFW) | 10:45 | 13:10 | 460.00


Here are the 16 flight plans:

SFO | RAP | UA | 0 | 08:00 | 11:30 | 450.00
SFO | RAP | AA | 1 (DEN) | 09:15 | 14:45 | 520.00
SFO | RAP | WN | 0 | 10:30 | 14:00 | 480.00
SFO | RAP | DL | 1 (SLC) | 11:45 | 16:15 | 550.00
SFO | RAP | AS | 0 | 13:00 | 16:30 | 500.00
SFO | RAP | F9 | 1 (LAS) | 14:15 | 18:45 | 580.00
SFO | RAP | B6 | 0 | 15:30 | 19:00 | 530.00
SFO | RAP | NK | 1 (PHX) | 16:45 | 21:15 | 610.00
RAP | SFO | UA | 0 | 08:00 | 09:30 | 420.00
RAP | SFO | AA | 1 (ORD) | 09:15 | 12:45 | 490.00
RAP | SFO | WN | 0 | 10:30 | 12:00 | 450.00
RAP | SFO | DL | 1 (ATL) | 11:45 | 15:15 | 520.00
RAP | SFO | AS | 0 | 13:00 | 14:30 | 470.00
RAP | SFO | F9 | 1 (DEN) | 14:15 | 17:45 | 540.00
RAP | SFO | B6 | 0 | 15:30 | 17:00 | 500.00
RAP | SFO | NK | 1 (IAH) | 16:45 | 20:15 | 570.00


Here are the 16 flight plans:

SFO | FCA | United | 0 | 08:00 | 14:30 | 450.00
SFO | FCA | American | 1 (DEN) | 09:15 | 16:45 | 520.00
SFO | FCA | Delta | 0 | 10:30 | 17:00 | 480.00
