

Here are the 16 flight plans:

SEA | DEN | Alaska Airlines | Non-stop | 06:00 | 09:35 | 250.00
BNA | SEA | United Airlines | Non-stop | 12:30 | 16:00 | 410.00
BNA | SEA | Southwest Airlines | 1 stop (PHX) | 14:00 | 18:45 | 485.00
BNA | SEA | Frontier Airlines | 1 stop (MCO) | 15:30 | 20:15 | 455.00
BNA | SEA | Spirit Airlines | 1 stop (EWR) | 17:00 | 22:45 | 430.00
BNA | SEA | JetBlue Airways | Non-stop | 19:30 | 01:00 | 405.00


Here are the 16 flight plans:

SEA | IAD | Alaska Airlines | Non-stop | 08:00 | 16:30 | 425.00
SEA | IAD | American Airlines | 1 stop (ORD) | 09:15 | 18:45 | 495.00
SEA | IAD | Delta Air Lines | Non-stop | 10:30 | 19:00 | 520.00
SEA | IAD | United Airlines | 1 stop (SFO) | 11:45 | 20:15 | 450.00
SEA | IAD | JetBlue Airways | 1 stop (BOS) | 13:00 | 21:30 | 480.00
SEA | IAD | Spirit Airlines | 1 stop (LAS) | 14:15 | 22:45 | 420.00
SEA | IAD | Frontier Airlines | 1 stop (DEN) | 15:30 | 23:59 | 400.00
SEA | IAD | Southwest Airlines | Non-stop | 16:45 | 00:15 | 550.00
IAD | SEA | Alaska Airlines | Non-stop | 07:00 | 09:30 | 405.00
IAD | SEA | American Airlines | 1 stop (CLT) | 08:15 | 11:45 | 465.00
IAD | SEA | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:00 | 510.00
IAD | SEA | United Airlines | Non-stop | 10:45 | 13:15 | 440.00
IAD | SEA | JetBlue Airways | 1 stop (JFK) | 12:00 | 15:30 | 490.00
IAD | SEA | Spirit Airlines | 1 stop (DFW) | 13:15 | 16:45 | 430.00
IAD | SEA | Frontier Airlines | 1 stop (MIA) | 14:30 | 18:00 | 410.00
IAD | SEA | Southwest Airlines | 1 stop (STL) | 15:45 | 19:15 | 500.00


Here are the 16 flight plans:

SEA | DCA | Alaska | 0 | 06:00 | 14:30 | 420.00
SEA | DCA | Delta | 1 (ATL) | 08:30 | 18:15 | 550.00
SEA | DCA | American | 1 (ORD) | 10:00 | 19:45 | 480.00
SEA | DCA | United | 0 | 12:00 | 20:30 | 450.00
SEA | DCA | Spirit | 1 (LAS) | 14:30 | 22:15 | 380.00
SEA | DCA | Frontier | 1 (DEN) | 16:00 | 23:45 | 410.00
SEA | DCA | JetBlue | 0 | 18:00 | 01:30 | 500.00
SEA | DCA | Southwest | 1 (PHX) | 20:00 | 02:45 | 440.00
DCA | SEA | Alaska | 0 | 06:00 | 09:30 | 400.00
DCA | SEA | Delta | 1 (MSP) | 08:30 | 12:15 | 520.00
DCA | SEA | American | 1 (CLT) | 10:00 | 14:45 | 460.00
DCA | SEA | United | 0 | 12:00 | 16:30 | 430.00
DCA | SEA | Spirit | 1 (BWI) | 14:30 | 18:15 | 390.00
DCA | SEA | Frontier | 1 (IAH) | 16:00 | 20:45 | 420.00
DCA | SEA | JetBlue | 0 | 18:00 | 22:30 | 490.00
DCA | SEA | Southwest | 1 (STL) | 20:00 | 01:45 | 450.00


Here are the 16 flight plans:

SEA | MIA | Alaska Airlines | 0 | 08:00 | 17:30 | 450.00
SEA | MIA | American Airlines | 1 (DFW) | 09:30 | 19:15 | 520.00
SEA | MIA | Delta Air Lines | 0 | 11:00 | 20:00 | 480.00
SEA | MIA | United Airlines | 1 (SFO) | 12:30 | 21:45 | 550.00
SEA | MIA | JetBlue Airways | 0 | 14:00 | 22:30 | 410.00
SEA | MIA | Spirit Airlines | 1 (LAS) | 15:30 | 23:59 | 380.00
SEA | MIA | Frontier Airlines | 1 (DEN) | 16:30 | 00:15 | 420.00
SEA | MIA | Southwest Airlines | 0 | 18:00 | 01:30 | 460.00
MIA | SEA | Alaska Airlines | 0 | 08:30 | 11:45 | 430.00
MIA | SEA | American Airlines | 1 (CLT) | 09:45 | 13:00 | 500.00
MIA | SEA | Delta Air Lines | 0 | 11:15 | 14:30 | 490.00
MIA | SEA | United Airlines | 1 (IAH) | 12:45 | 15:55 | 530.00
MIA | SEA | JetBlue Airways | 0 | 14:15 | 17:30 | 440.00
MIA | SEA | Spirit Airlines | 1 (ORD) | 15:45 | 18:55 | 390.00
MIA | SEA | Frontier Airlines | 1 (PHX) | 16:45 | 19:55 | 450.00
MIA | SEA | Southwest Airlines | 0 | 18:15 | 21:30 | 470.00


Here are the 16 flight plans:

SEA | LAS | Alaska Airlines | Non-stop | 06:00 | 08:30 | 198.00
SEA | LAS | Delta Air Lines | 1 stop (SFO) | 08:15 | 11:45 | 228.00
SEA | LAS | American Airlines | Non-stop | 10:30 | 13:00 | 220.00
SEA | LAS | United Airlines | 1 stop (DEN) | 12:45 | 16:15 | 245.00
SEA | LAS | Spirit Airlines | 1 stop (OAK) | 14:00 | 17:30 | 185.00
SEA | LAS | Frontier Airlines | Non-stop | 16:00 | 18:30 | 210.00
SEA | LAS | Southwest Airlines | 1 stop (PHX) | 18:30 | 22:00 | 260.00
SEA | LAS | JetBlue Airways | Non-stop | 20:00 | 22:30 | 240.00
LAS | SEA | Alaska Airlines | Non-stop | 06:30 | 09:00 | 205.00
LAS | SEA | Delta Air Lines | 1 stop (SLC) | 08:45 | 12:15 | 235.00
LAS | SEA | American Airlines | Non-stop | 11:15 | 13:45 | 225.00
LAS | SEA | United Airlines | 1 stop (SFO) | 13:30 | 16:00 | 250.00
LAS | SEA | Spirit Airlines | 1 stop (LAX) | 15:00 | 18:30 | 195.00
LAS | SEA | Frontier Airlines | Non-stop | 17:00 | 19:30 | 215.00
LAS | SEA | Southwest Airlines | 1 stop (SAN) | 19:30 | 23:00 | 270.00
LAS | SEA | JetBlue Airways | Non-stop | 21:30 | 00:00 | 230.00


Here are the 16 flight plans:

SEA | MSY | Alaska | 1 (DFW) | 08:00 | 15:30 | 425.00
SEA | MSY | American | 1 (ORD) | 09:30 | 17:15 | 450.00
SEA | MSY | Delta | 1 (ATL) | 11:00 | 18:45 | 480.00
SEA | MSY | United | 1 (DEN) | 12:30 | 20:10 | 410.00
SEA | MSY | Southwest | 1 (PHX) | 14:00 | 21:35 | 395.00
SEA | MSY | JetBlue | 1 (LAX) | 15:30 | 22:55 | 420.00
SEA | MSY | Spirit | 1 (LAS) | 17:00 | 00:25 | 380.00
SEA | MSY | Frontier | 1 (MCO) | 18:30 | 01:50 | 360.00
MSY | SEA | Alaska | 1 (IAH) | 06:00 | 13:20 | 440.00
MSY | SEA | American | 1 (CLT) | 07:30 | 15:05 | 465.00
MSY | SEA | Delta | 1 (MSP) | 09:00 | 16:35 | 490.00
MSY | SEA | United | 1 (EWR) | 10:30 | 18:10 | 430.00
MSY | SEA | Southwest | 1 (DAL) | 12:00 | 19:40 | 405.00
MSY | SEA | JetBlue | 1 (JFK) | 13:30 | 21:05 | 450.00
MSY | SEA | Spirit | 1 (FLL) | 15:00 | 22:30 | 390.00
MSY | SEA | Frontier | 1 (TPA) | 16:30 | 00:55 | 370.00


Here are the 16 flight plans:

SEA | MCO | Alaska Airlines | Non-stop | 08:00 | 16:30 | 420.00
SEA | MCO | Delta Air Lines | 1 stop (ATL) | 09:15 | 18:45 | 450.00
SEA | MCO | American Airlines | 1 stop (DFW) | 10:30 | 20:00 | 480.00
SEA | MCO | United Airlines | Non-stop | 11:45 | 20:15 | 510.00
SEA | MCO | Spirit Airlines | 1 stop (LAS) | 12:50 | 21:20 | 400.00
SEA | MCO | Frontier Airlines | 1 stop (DEN) | 13:55 | 22:25 | 430.00
SEA | MCO | Southwest Airlines | Non-stop | 15:00 | 23:30 | 460.00
SEA | MCO | JetBlue Airways | 1 stop (JFK) | 16:10 | 00:40 | 490.00

MCO | SEA | Alaska Airlines | Non-stop | 08:30 | 11:00 | 390.00
MCO | SEA | Delta Air Lines | 1 stop (SFO) | 09:45 | 13:15 | 420.00
MCO | SEA | American Airlines | 1 stop (PHX) | 11:00 | 14:30 | 440.00
MCO | SEA | United Airlines | Non-stop | 12:15 | 15:45 | 470.00
MCO | SEA | Spirit Airlines | 1 stop (ORD) | 13:30 | 17:00 | 410.00
MCO | SEA | Frontier Airlines | 1 stop (MSP) | 14:45 | 18:15 | 430.00
MCO | SEA | Southwest Airlines | Non-stop | 16:00 | 19:30 | 450.00
MCO | SEA | JetBlue Airways | 1 stop (BOS) | 17:15 | 20:45 | 480.00


Here are the 16 flight plans:

SEA | TPA | Alaska | Non-stop | 08:00 | 16:35 | 420.00
SEA | TPA | Delta | 1 stop (ATL) | 09:15 | 18:50 | 450.00
SEA | TPA | American | 1 stop (DFW) | 10:30 | 19:25 | 480.00
SEA | TPA | United | Non-stop | 11:45 | 19:50 | 500.00
SEA | TPA | Spirit | 1 stop (LAS) | 12:50 | 21:10 | 380.00
SEA | TPA | Frontier | 1 stop (DEN) | 13:15 | 21:40 | 350.00
SEA | TPA | Southwest | Non-stop | 14:30 | 22:05 | 520.00
SEA | TPA | JetBlue | 1 stop (JFK) | 15:45 | 23:20 | 400.00
TPA | SEA | Alaska | Non-stop | 08:00 | 10:35 | 440.00
TPA | SEA | Delta | 1 stop (MSP) | 09:15 | 12:50 | 470.00
TPA | SEA | American | 1 stop (CLT) | 10:30 | 13:55 | 490.00
TPA | SEA | United | Non-stop | 11:45 | 14:20 | 510.00
TPA | SEA | Spirit | 1 stop (ORD) | 12:50 | 16:25 | 410.00
TPA | SEA | Frontier | 1 stop (PHX) | 13:15 | 16:50 | 390.00
TPA | SEA | Southwest | Non-stop | 14:30 | 17:05 | 530.00
TPA | SEA | JetBlue | 1 stop (BOS) | 15:45 | 18:30 | 460.00


Here are the 16 flight plans:

SEA | ANC | Alaska Airlines | Non-stop | 06:00 | 08:30 | 198.00
SEA | ANC | Delta Air Lines | Non-stop | 08:15 | 10:45 | 220.00
SEA | ANC | American Airlines | 1 stop (PHX) | 09:30 | 13:15 | 280.00
SEA | ANC | United Airlines | Non-stop | 11:00 | 13:30 | 240.00
SEA | ANC | Southwest Airlines | 1 stop (OAK) | 12:45 | 16:20 | 260.00
SEA | ANC | JetBlue Airways | Non-stop | 14:30 | 17:00 | 200.00
SEA | ANC | Spirit Airlines | 1 stop (LAS) | 16:00 | 20:30 | 300.00
SEA | ANC | Frontier Airlines | Non-stop | 18:15 | 20:45 | 230.00
ANC | SEA | Alaska Airlines | Non-stop | 06:30 | 09:00 | 210.00
ANC | SEA | Delta Air Lines | Non-stop | 08:45 | 11:15 | 250.00
ANC | SEA | American Airlines | 1 stop (DFW) | 10:00 | 14:30 | 290.00
ANC | SEA | United Airlines | Non-stop | 12:00 | 14:30 | 270.00
ANC | SEA | Southwest Airlines | 1 stop (SFO) | 13:30 | 17:00 | 310.00
ANC | SEA | JetBlue Airways | Non-stop | 15:15 | 17:45 | 240.00
ANC | SEA | Spirit Airlines | 1 stop (DEN) | 16:45 | 21:15 | 330.00
ANC | SEA | Frontier Airlines | Non-stop | 18:30 | 21:00 | 260.00


Here are the 16 flight plans:

SEA | SJU | American Airlines | 1 (MIA) | 08:00 | 18:30 | 542.00
SEA | SJU | Delta Air Lines | 1 (ATL) | 10:30 | 21:00 | 620.00
SEA | SJU | United Airlines | 2 (SFO, IAH) | 09:00 | 22:30 | 720.00
SEA | SJU | JetBlue Airways | 1 (JFK) | 11:30 | 20:00 | 580.00
SEA | SJU | Alaska Airlines | 1 (ORD) | 12:30 | 21:30 | 640.00
SEA | SJU | Spirit Airlines | 2 (LAS, FLL) | 13:00 | 23:00 | 550.00
SEA | SJU | Frontier Airlines | 1 (DEN) | 14:00 | 22:00 | 610.00
SEA | SJU | Southwest Airlines | 2 (PHX, HOU) | 15:00 | 23:30 | 680.00

SJU | SEA | American Airlines | 1 (CLT) | 08:30 | 18:00 | 520.00
SJU | SEA | Delta Air Lines | 1 (MSP) | 09:30 | 19:30 | 650.00
SJU | SEA | United Airlines | 2 (IAH, SFO) | 10:30 | 21:00 | 740.00
SJU | SEA | JetBlue Airways | 1 (BOS) | 11:30 | 20:30 | 590.00
SJU | SEA | Alaska Airlines | 1 (DCA) | 12:30 | 21:00 | 630.00
SJU | SEA | Spirit Airlines | 2 (FLL, LAS) | 13:30 | 22:30 | 560.00
SJU | SEA | Frontier Airlines | 1 (MCO) | 14:30 | 22:30 | 620.00
SJU | SEA | Southwest Airlines | 2 (HOU, PHX) | 15:30 | 23:30 | 690.00


Here are the 16 flight plans:

SEA | BHB | Alaska Airlines | 0 | 06:00 | 13:30 | 450.00
SEA | BHB | Delta Air Lines | 1 (DEN) | 08:30 | 16:45 | 520.00
SEA | BHB | United Airlines | 0 | 10:00 | 17:20 | 480.00
SEA | BHB | American Airlines | 1 (ORD) | 12:00 | 20:15 | 550.00
SEA | BHB | Southwest Airlines | 0 | 14:00 | 21:20 | 410.00
SEA | BHB | JetBlue Airways | 1 (JFK) | 16:00 | 23:30 | 580.00
SEA | BHB | Spirit Airlines | 0 | 18:00 | 01:20 | 390.00
SEA | BHB | Frontier Airlines | 1 (LAS) | 20:00 | 02:45 | 510.00

BHB | SEA | Alaska Airlines | 0 | 06:30 | 14:00 | 420.00
BHB | SEA | Delta Air Lines | 1 (ATL) | 09:00 | 17:15 | 540.00
BHB | SEA | United Airlines | 0 | 11:30 | 18:50 | 490.00
BHB | SEA | American Airlines | 1 (DFW) | 13:30 | 21:45 | 570.00
BHB | SEA | Southwest Airlines | 0 | 15:30 | 23:00 | 430.00
BHB | SEA | JetBlue Airways | 1 (BOS) | 17:30 | 01:15 | 590.00
BHB | SEA | Spirit Airlines | 0 | 19:30 | 02:50 | 400.00
BHB | SEA | Frontier Airlines | 1 (PHX) | 21:30 | 04:15 | 530.00


Here are the 16 flight plans:

SEA | MRY | Alaska Airlines | Non-stop | 08:00 | 10:35 | 178.00
SEA | MRY | Delta Air Lines | 1 stop (SFO) | 09:30 | 12:50 | 220.00
SEA | MRY | American Airlines | Non-stop | 11:15 | 13:40 | 198.00
SEA | MRY | United Airlines | 1 stop (LAX) | 12:45 | 16:10 | 240.00
SEA | MRY | Southwest Airlines | Non-stop | 14:00 | 16:25 | 182.00
SEA | MRY | JetBlue Airways | 1 stop (SAN) | 15:30 | 18:55 | 258.00
SEA | MRY | Spirit Airlines | 1 stop (PHX) | 17:00 | 20:30 | 200.00
SEA | MRY | Frontier Airlines | Non-stop | 19:30 | 22:00 | 188.00

MRY | SEA | Alaska Airlines | Non-stop | 06:00 | 08:35 | 165.00
MRY | SEA | Delta Air Lines | 1 stop (SFO) | 07:30 | 10:50 | 210.00
MRY | SEA | American Airlines | Non-stop | 09:15 | 11:40 | 185.00
MRY | SEA | United Airlines | 1 stop (LAX) | 11:45 | 14:10 | 225.00
MRY | SEA | Southwest Airlines | Non-stop | 13:00 | 15:25 | 170.00
MRY | SEA | JetBlue Airways | 1 stop (SAN) | 14:30 | 17:55 | 245.00
MRY | SEA | Spirit Airlines | 1 stop (PHX) | 16:00 | 19:30 | 205.00
MRY | SEA | Frontier Airlines | Non-stop | 18:30 | 21:00 | 180.00


Here are the 16 flight plans:

SEA | SJC | Alaska Airlines | Non-stop | 06:00 | 07:30 | 150.00
SEA | SJC | Delta Air Lines | 1 stop (LAX) | 08:15 | 11:45 | 220.00
SEA | SJC | American Airlines | Non-stop | 09:45 | 11:15 | 180.00
SEA | SJC | United Airlines | 1 stop (DEN) | 11:00 | 14:30 | 250.00
SEA | SJC | Southwest Airlines | Non-stop | 12:30 | 14:00 | 160.00
SEA | SJC | Alaska Airlines | 1 stop (PDX) | 14:15 | 17:45 | 200.00
SEA | SJC | Delta Air Lines | Non-stop | 16:00 | 17:30 | 190.00
SEA | SJC | American Airlines | 1 stop (PHX) | 18:30 | 22:00 | 280.00
SJC | SEA | Alaska Airlines | Non-stop | 06:30 | 08:00 | 140.00
SJC | SEA | United Airlines | 1 stop (SFO) | 08:45 | 12:15 | 230.00
SJC | SEA | Delta Air Lines | Non-stop | 10:15 | 11:45 | 170.00
SJC | SEA | American Airlines | 1 stop (LAX) | 12:00 | 15:30 | 240.00
SJC | SEA | Southwest Airlines | Non-stop | 13:45 | 15:15 | 150.00
SJC | SEA | United Airlines | Non-stop | 16:15 | 17:45 | 160.00
SJC | SEA | Alaska Airlines | 1 stop (PDX) | 18:00 | 21:30 | 210.00
SJC | SEA | Delta Air Lines | 1 stop (DEN) | 20:15 | 00:45 | 290.00


Here are the 16 flight plans:

SEA | EGE | Alaska | 0 | 08:00 | 11:30 | 245.00
SEA | EGE | Delta | 1 (SFO) | 09:15 | 13:45 | 320.00
SEA | EGE | United | 0 | 10:30 | 14:00 | 280.00
SEA | EGE | American | 1 (LAX) | 11:45 | 16:15 | 350.00
SEA | EGE | Southwest | 0 | 13:00 | 16:30 | 290.00
SEA | EGE | Frontier | 1 (DEN) | 14:15 | 18:45 | 260.00
SEA | EGE | Spirit | 0 | 15:30 | 18:00 | 230.00
SEA | EGE | JetBlue | 1 (LAS) | 16:45 | 20:15 | 300.00
EGE | SEA | Alaska | 0 | 08:00 | 09:30 | 240.00
EGE | SEA | Delta | 1 (SFO) | 09:15 | 12:45 | 330.00
EGE | SEA | United | 0 | 10:30 | 12:00 | 270.00
EGE | SEA | American | 1 (LAX) | 11:45 | 15:15 | 360.00
EGE | SEA | Southwest | 0 | 13:00 | 14:30 | 280.00
EGE | SEA | Frontier | 1 (DEN) | 14:15 | 17:45 | 250.00
EGE | SEA | Spirit | 0 | 15:30 | 17:00 | 220.00
EGE | SEA | JetBlue | 1 (LAS) | 16:45 | 19:15 | 310.00


Here are the 16 flight plans:

SEA | CHS | Alaska | Non-stop | 08:00 | 16:30 | 420.00
SEA | CHS | Delta | 1 stop (ATL) | 09:30 | 18:15 | 450.00
SEA | CHS | American | 1 stop (DFW) | 11:00 | 19:45 | 480.00
SEA | CHS | United | Non-stop | 12:30 | 20:50 | 400.00
SEA | CHS | Spirit | 1 stop (LAS) | 14:00 | 22:20 | 380.00
SEA | CHS | Frontier | 1 stop (DEN) | 15:30 | 23:55 | 410.00
SEA | CHS | JetBlue | Non-stop | 17:00 | 01:20 | 440.00
SEA | CHS | Southwest | 1 stop (MDW) | 19:00 | 02:35 | 460.00
CHS | SEA | Alaska | Non-stop | 06:00 | 10:30 | 390.00
CHS | SEA | Delta | 1 stop (MSP) | 07:30 | 12:15 | 420.00
CHS | SEA | American | 1 stop (CLT) | 09:00 | 14:45 | 450.00
CHS | SEA | United | Non-stop | 11:30 | 16:50 | 410.00
CHS | SEA | Spirit | 1 stop (FLL) | 13:00 | 18:20 | 380.00
CHS | SEA | Frontier | 1 stop (IAH) | 14:30 | 20:55 | 400.00
CHS | SEA | JetBlue | Non-stop | 16:00 | 22:20 | 440.00
CHS | SEA | Southwest | 1 stop (BNA) | 18:00 | 00:35 | 460.00


Here are the 16 flight plans:

SEA | RAP | Alaska Airlines | Non-stop | 08:00 | 11:15 | 245.00
SEA | RAP | Delta Air Lines | 1 stop (DEN) | 09:30 | 13:45 | 320.00
SEA | RAP | American Airlines | 1 stop (PHX) | 10:15 | 14:30 | 290.00
SEA | RAP | United Airlines | Non-stop | 11:00 | 14:15 | 270.00
SEA | RAP | Frontier Airlines | 1 stop (LAS) | 12:30 | 16:45 | 240.00
SEA | RAP | Southwest Airlines | 1 stop (SFO) | 13:45 | 17:00 | 310.00
SEA | RAP | JetBlue Airways | Non-stop | 15:00 | 18:15 | 260.00
SEA | RAP | Spirit Airlines | 1 stop (ORD) | 16:15 | 20:30 | 220.00
RAP | SEA | Alaska Airlines | Non-stop | 08:30 | 10:45 | 230.00
RAP | SEA | Delta Air Lines | 1 stop (SLC) | 09:45 | 13:00 | 300.00
RAP | SEA | American Airlines | 1 stop (DFW) | 11:00 | 14:15 | 280.00
RAP | SEA | United Airlines | Non-stop | 12:15 | 14:30 | 250.00
RAP | SEA | Frontier Airlines | 1 stop (MSP) | 13:30 | 16:45 | 210.00
RAP | SEA | Southwest Airlines | 1 stop (LAX) | 14:45 | 17:00 | 290.00
RAP | SEA | JetBlue Airways | Non-stop | 16:00 | 18:15 | 240.00
RAP | SEA | Spirit Airlines | 1 stop (IAH) | 17:15 | 20:30 | 200.00


Here are the 16 flight plans:

SEA | FCA | Alaska Airlines | Non-stop | 08:00 | 13:45 | 425.00
SEA | FCA | Delta Air Lines | 1 stop (DEN) | 09:30 | 16:15 | 495.00
SEA | FCA | American Airlines | 1 stop (PHX) | 10:45 | 17:20 | 525.00
SEA | FCA | United Airlines | Non-stop | 12:00 | 17:45 | 450.00
SEA | FCA | Southwest Airlines | 1 stop (LAS) | 13:15 | 19:00 | 475.00
SEA | FCA | JetBlue Airways | 1 stop (SFO) | 14:30 | 20:15 | 500.00
SEA | FCA | Spirit Airlines | 1 stop (ORD) | 15:45 | 21:30 | 450.00
SEA | FCA | Frontier Airlines | 1 stop (DEN) | 17:00 | 22:45 | 425.00
FCA | SEA | Alaska Airlines | Non-stop | 08:00 | 09:45 | 400.00
FCA | SEA | Delta Air Lines | 1 stop (SLC) | 09:30 | 12:15 | 475.00
FCA | SEA | American Airlines | 1 stop (DFW) | 10:45 | 13:30 | 500.00
FCA | SEA | United Airlines | Non-stop | 12:00 | 13:45 | 425.00
FCA | SEA | Southwest Airlines | 1 stop (PHX) | 13:15 | 15:00 | 450.00
FCA | SEA | JetBlue Airways | 1 stop (LAX) | 14:30 | 16:15 | 475.00
FCA | SEA | Spirit Airlines | 1 stop (ORD) | 15:45 | 17:30 | 400.00
FCA | SEA | Frontier Airlines | 1 stop (DEN) | 17:00 | 18:45 | 425.00


Here are the 16 flight plans:

SEA | FLG | Alaska Airlines | Non-stop | 06:00 | 10:35 | 425.00
SEA | FLG | Delta Air Lines | 1 stop (DEN) | 07:30 | 12:10 | 512.50
SEA | FLG | American Airlines | 1 stop (PHX) | 08:15 | 13:05 | 550.00
SEA | FLG | United Airlines | Non-stop | 09:00 | 13:40 | 475.00
SEA | FLG | Southwest Airlines | 1 stop (LAX) | 10:45 | 15:25 | 525.00
SEA | FLG | JetBlue Airways | 1 stop (SFO) | 11:30 | 16:10 | 562.50
SEA | FLG | Spirit Airlines | 1 stop (LAS) | 12:15 | 16:55 | 499.00
SEA | FLG | Frontier Airlines | 1 stop (DEN) | 13:00 | 17:40 | 537.50

FLG | SEA | Alaska Airlines | Non-stop | 06:00 | 08:35 | 450.00
FLG | SEA | Delta Air Lines | 1 stop (SFO) | 07:30 | 11:10 | 542.50
FLG | SEA | American Airlines | 1 stop (PHX) | 08:15 | 12:05 | 570.00
FLG | SEA | United Airlines | Non-stop | 09:00 | 11:40 | 495.00
FLG | SEA | Southwest Airlines | 1 stop (LAX) | 10:45 | 14:25 | 552.50
FLG | SEA | JetBlue Airways | 1 stop (SFO) | 11:30 | 15:10 | 587.50
FLG | SEA | Spirit Airlines | 1 stop (LAS) | 12:15 | 15:55 | 514.00
FLG | SEA | Frontier Airlines | 1 stop (DEN) | 13:00 | 16:40 | 562.50


Here are the 16 flight plans:

SEA | TYS | Alaska | 0 | 08:00 | 16:30 | 450.00
SEA | TYS | Delta | 1 (ATL) | 09:30 | 18:15 | 520.00
SEA | TYS | American | 1 (DFW) | 11:00 | 19:45 | 550.00
SEA | TYS | United | 0 | 12:30 | 20:50 | 480.00
SEA | TYS | Southwest | 1 (DEN) | 13:45 | 21:20 | 500.00
SEA | TYS | Frontier | 1 (MKE) | 15:00 | 22:30 | 460.00
SEA | TYS | Spirit | 1 (ORD) | 16:15 | 23:50 | 420.00
SEA | TYS | JetBlue | 0 | 17:30 | 01:00 | 490.00
TYS | SEA | Alaska | 0 | 08:30 | 11:00 | 430.00
TYS | SEA | Delta | 1 (ATL) | 09:45 | 13:20 | 510.00
TYS | SEA | American | 1 (CLT) | 11:15 | 14:40 | 540.00
TYS | SEA | United | 0 | 12:45 | 15:50 | 470.00
TYS | SEA | Southwest | 1 (STL) | 14:00 | 17:25 | 490.00
TYS | SEA | Frontier | 1 (MCI) | 15:20 | 18:40 | 450.00
TYS | SEA | Spirit | 1 (LAS) | 16:30 | 20:00 | 410.00
TYS | SEA | JetBlue | 0 | 17:45 | 21:10 | 480.00


Here are the 16 flight plans:

SEA | AVL | Alaska Airlines | Non-stop | 08:00 | 16:30 | 398.00
SEA | AVL | Delta Air Lines | 1 stop (ATL) | 09:15 | 18:45 | 428.00
SEA | AVL | American Airlines | 1 stop (DFW) | 10:30 | 20:00 | 458.00
SEA | AVL | United Airlines | Non-stop | 11:45 | 20:15 | 488.00
SEA | AVL | Spirit Airlines | 1 stop (LAS) | 13:00 | 22:30 | 318.00
SEA | AVL | Frontier Airlines | 1 stop (DEN) | 14:15 | 23:45 | 348.00
SEA | AVL | Southwest Airlines | Non-stop | 15:30 | 23:00 | 398.00
SEA | AVL | JetBlue Airways | 1 stop (JFK) | 16:45 | 01:15 | 418.00
AVL | SEA | Alaska Airlines | Non-stop | 08:00 | 10:30 | 418.00
AVL | SEA | Delta Air Lines | 1 stop (SFO) | 09:15 | 12:45 | 448.00
AVL | SEA | American Airlines | 1 stop (CLT) | 10:30 | 14:00 | 478.00
AVL | SEA | United Airlines | Non-stop | 11:45 | 14:15 | 508.00
AVL | SEA | Spirit Airlines | 1 stop (ORD) | 13:00 | 16:30 | 338.00
AVL | SEA | Frontier Airlines | 1 stop (MCO) | 14:15 | 18:45 | 368.00
AVL | SEA | Southwest Airlines | Non-stop | 15:30 | 18:00 | 418.00
