

Here are the 16 flight plans:

MIA | LAS | AA | 0 | 08:00 | 10:30 | 280.00
ANC | MIA | UA | 2 (SFO, IAH) | 09:45 | 20:30 | 630.00
ANC | MIA | DL | 1 (MSP) | 11:00 | 19:45 | 600.00
ANC | MIA | WN | 2 (DEN, HOU) | 12:15 | 22:00 | 660.00
ANC | MIA | AS | 1 (PDX) | 13:30 | 21:15 | 620.00
ANC | MIA | B6 | 2 (LAX, JFK) | 14:45 | 23:30 | 690.00
ANC | MIA | F9 | 1 (LAS) | 16:00 | 23:45 | 640.00
ANC | MIA | NK | 2 (SJC, MCO) | 17:15 | 01:00 | 720.00


Here are the 16 flight plans:

MIA | SJU | American Airlines | Non-stop | 08:00 | 10:30 | 250.00
MIA | SJU | Delta Air Lines | 1 stop (ATL) | 09:15 | 13:45 | 320.00
MIA | SJU | JetBlue Airways | Non-stop | 10:45 | 13:15 | 280.00
MIA | SJU | United Airlines | 1 stop (EWR) | 11:30 | 15:00 | 350.00
MIA | SJU | Spirit Airlines | 1 stop (FLL) | 12:00 | 15:30 | 220.00
MIA | SJU | Frontier Airlines | Non-stop | 13:15 | 15:45 | 240.00
MIA | SJU | Southwest Airlines | 1 stop (TPA) | 14:00 | 17:30 | 300.00
MIA | SJU | Alaska Airlines | Non-stop | 15:30 | 18:00 | 260.00
SJU | MIA | American Airlines | Non-stop | 08:00 | 10:30 | 270.00
SJU | MIA | Delta Air Lines | 1 stop (BOS) | 09:15 | 13:45 | 340.00
SJU | MIA | JetBlue Airways | Non-stop | 10:45 | 13:15 | 290.00
SJU | MIA | United Airlines | 1 stop (ORD) | 11:30 | 15:00 | 370.00
SJU | MIA | Spirit Airlines | 1 stop (PBI) | 12:00 | 15:30 | 230.00
SJU | MIA | Frontier Airlines | Non-stop | 13:15 | 15:45 | 250.00
SJU | MIA | Southwest Airlines | 1 stop (RDU) | 14:00 | 17:30 | 310.00
SJU | MIA | Alaska Airlines | Non-stop | 15:30 | 18:00 | 280.00


Here are the 16 flight plans:

MIA | BHB | AA | 0 | 06:00 | 08:30 | 250.00
MIA | BHB | UA | 1 (CLT) | 08:00 | 12:30 | 320.00
MIA | BHB | DL | 0 | 10:00 | 12:30 | 280.00
MIA | BHB | WN | 1 (TPA) | 12:00 | 16:30 | 350.00
MIA | BHB | AS | 0 | 14:00 | 16:30 | 300.00
MIA | BHB | B6 | 1 (JFK) | 16:00 | 20:30 | 380.00
MIA | BHB | F9 | 0 | 18:00 | 20:30 | 260.00
MIA | BHB | NK | 1 (FLL) | 20:00 | 00:30 | 400.00
BHB | MIA | AA | 0 | 06:00 | 08:30 | 270.00
BHB | MIA | UA | 1 (EWR) | 08:00 | 12:30 | 340.00
BHB | MIA | DL | 0 | 10:00 | 12:30 | 290.00
BHB | MIA | WN | 1 (BWI) | 12:00 | 16:30 | 360.00
BHB | MIA | AS | 0 | 14:00 | 16:30 | 310.00
BHB | MIA | B6 | 1 (MCO) | 16:00 | 20:30 | 390.00
BHB | MIA | F9 | 0 | 18:00 | 20:30 | 280.00
BHB | MIA | NK | 1 (PBI) | 20:00 | 00:30 | 420.00


Here are the 16 flight plans:

MIA | MRY | AA | 1 (LAX) | 08:00 | 11:30 | 450.00
MIA | MRY | UA | 0 | 10:30 | 13:45 | 520.00
MIA | MRY | DL | 1 (SFO) | 12:00 | 15:20 | 480.00
MIA | MRY | WN | 1 (PHX) | 14:00 | 17:10 | 420.00
MIA | MRY | AS | 0 | 16:00 | 19:15 | 500.00
MIA | MRY | F9 | 1 (DEN) | 18:00 | 21:20 | 440.00
MIA | MRY | B6 | 1 (JFK) | 20:00 | 23:25 | 460.00
MIA | MRY | NK | 0 | 22:00 | 01:15 | 400.00
MRY | MIA | AA | 1 (LAX) | 06:00 | 13:30 | 470.00
MRY | MIA | UA | 0 | 08:30 | 16:45 | 550.00
MRY | MIA | DL | 1 (SFO) | 10:00 | 17:20 | 510.00
MRY | MIA | WN | 1 (PHX) | 12:00 | 19:10 | 450.00
MRY | MIA | AS | 0 | 14:00 | 21:15 | 530.00
MRY | MIA | F9 | 1 (DEN) | 16:00 | 23:20 | 490.00
MRY | MIA | B6 | 1 (JFK) | 18:00 | 01:25 | 500.00
MRY | MIA | NK | 0 | 20:00 | 03:15 | 430.00


Here are the 16 flight plans:

MIA | SJC | AA | 0 | 08:00 | 11:15 | 450.00
MIA | SJC | UA | 1 (DEN) | 09:30 | 14:45 | 520.00
MIA | SJC | DL | 0 | 10:45 | 14:00 | 480.00
MIA | SJC | WN | 1 (PHX) | 11:15 | 16:30 | 550.00
MIA | SJC | AS | 0 | 12:00 | 15:15 | 500.00
MIA | SJC | F9 | 1 (LAS) | 13:30 | 18:45 | 580.00
MIA | SJC | B6 | 0 | 14:45 | 18:00 | 530.00
MIA | SJC | NK | 1 (ORD) | 15:15 | 20:30 | 610.00

SJC | MIA | AA | 0 | 06:00 | 13:15 | 420.00
SJC | MIA | UA | 1 (SFO) | 07:30 | 15:45 | 490.00
SJC | MIA | DL | 0 | 08:45 | 14:00 | 450.00
SJC | MIA | WN | 1 (DAL) | 09:15 | 16:30 | 510.00
SJC | MIA | AS | 0 | 10:00 | 14:15 | 480.00
SJC | MIA | F9 | 1 (DEN) | 11:30 | 18:45 | 560.00
SJC | MIA | B6 | 0 | 12:45 | 16:00 | 500.00
SJC | MIA | NK | 1 (LAX) | 13:15 | 20:30 | 590.00


Here are the 16 flight plans:

MIA | EGE | AA | 1 (DEN) | 08:00 | 11:45 | 542.50
MIA | EGE | UA | 1 (IAH) | 10:30 | 14:15 | 480.00
MIA | EGE | DL | 0 | 12:00 | 15:30 | 620.00
MIA | EGE | WN | 1 (DAL) | 14:00 | 17:45 | 550.00
MIA | EGE | F9 | 1 (ATL) | 16:00 | 19:45 | 420.00
MIA | EGE | B6 | 1 (JFK) | 18:00 | 21:45 | 580.00
MIA | EGE | AS | 1 (SEA) | 20:00 | 23:45 | 650.00
MIA | EGE | NK | 1 (ORD) | 22:00 | 01:45 | 500.00
EGE | MIA | AA | 1 (DEN) | 08:00 | 14:15 | 540.00
EGE | MIA | UA | 1 (IAH) | 10:30 | 16:45 | 520.00
EGE | MIA | DL | 0 | 12:00 | 18:30 | 640.00
EGE | MIA | WN | 1 (DAL) | 14:00 | 20:45 | 570.00
EGE | MIA | F9 | 1 (ATL) | 16:00 | 22:45 | 440.00
EGE | MIA | B6 | 1 (JFK) | 18:00 | 01:45 | 600.00
EGE | MIA | AS | 1 (SEA) | 20:00 | 04:45 | 680.00
EGE | MIA | NK | 1 (ORD) | 22:00 | 06:45 | 530.00


Here are the 16 flight plans:

MIA | CHS | AA | 0 | 06:00 | 08:35 | 198.00
MIA | CHS | DL | 1 (ATL) | 08:15 | 12:10 | 230.00
MIA | CHS | UA | 0 | 10:30 | 13:05 | 220.00
MIA | CHS | WN | 1 (TPA) | 12:45 | 16:25 | 280.00
MIA | CHS | B6 | 0 | 14:00 | 16:40 | 240.00
MIA | CHS | F9 | 1 (CLT) | 16:15 | 20:05 | 210.00
MIA | CHS | NK | 0 | 18:30 | 21:05 | 200.00
MIA | CHS | SY | 1 (MCO) | 20:45 | 00:20 | 290.00
CHS | MIA | AA | 0 | 06:00 | 08:35 | 198.00
CHS | MIA | DL | 1 (ATL) | 08:15 | 12:10 | 230.00
CHS | MIA | UA | 0 | 10:30 | 13:05 | 220.00
CHS | MIA | WN | 1 (TPA) | 12:45 | 16:25 | 280.00
CHS | MIA | B6 | 0 | 14:00 | 16:40 | 240.00
CHS | MIA | F9 | 1 (CLT) | 16:15 | 20:05 | 210.00
CHS | MIA | NK | 0 | 18:30 | 21:05 | 200.00
CHS | MIA | SY | 1 (MCO) | 20:45 | 00:20 | 290.00


Here are the 16 flight plans:

MIA | RAP | AA | 0 | 08:00 | 11:30 | 450.00
MIA | RAP | UA | 1 (DEN) | 09:15 | 13:45 | 520.00
MIA | RAP | DL | 0 | 10:30 | 14:00 | 480.00
MIA | RAP | WN | 1 (PHX) | 11:45 | 16:15 | 550.00
MIA | RAP | AS | 0 | 13:00 | 16:30 | 500.00
MIA | RAP | F9 | 1 (ORD) | 14:15 | 18:45 | 580.00
MIA | RAP | B6 | 0 | 15:30 | 19:00 | 530.00
MIA | RAP | NK | 1 (DFW) | 16:45 | 21:15 | 610.00
RAP | MIA | AA | 0 | 08:00 | 12:30 | 470.00
RAP | MIA | UA | 1 (IAH) | 09:15 | 14:45 | 540.00
RAP | MIA | DL | 0 | 10:30 | 15:00 | 510.00
RAP | MIA | WN | 1 (MDW) | 11:45 | 17:15 | 570.00
RAP | MIA | AS | 0 | 13:00 | 16:30 | 520.00
RAP | MIA | F9 | 1 (LAS) | 14:15 | 19:45 | 600.00
RAP | MIA | B6 | 0 | 15:30 | 20:00 | 550.00
RAP | MIA | NK | 1 (ATL) | 16:45 | 22:15 | 630.00


Here are the 16 flight plans:

MIA | FCA | American Airlines | Non-stop | 08:00 | 17:30 | 850.00
MIA | FCA | Delta Air Lines | 1 stop (ATL) | 10:30 | 20:15 | 720.00
MIA | FCA | United Airlines | 2 stops (ORD, IAD) | 12:00 | 23:45 | 980.00
MIA | FCA | Lufthansa | Non-stop | 14:00 | 23:00 | 1,050.00
MIA | FCA | British Airways | 1 stop (LHR) | 16:00 | 01:30 | 900.00
MIA | FCA | Air France | 2 stops (CDG, AMS) | 18:00 | 03:15 | 1,200.00
MIA | FCA | KLM | Non-stop | 20:00 | 03:00 | 1,100.00
MIA | FCA | Swiss International | 1 stop (ZRH) | 22:00 | 05:30 | 1,050.00

FCA | MIA | American Airlines | Non-stop | 09:00 | 18:30 | 900.00
FCA | MIA | Delta Air Lines | 1 stop (ATL) | 11:30 | 21:15 | 780.00
FCA | MIA | United Airlines | 2 stops (IAD, ORD) | 13:00 | 00:45 | 1,050.00
FCA | MIA | Lufthansa | Non-stop | 15:00 | 22:00 | 1,100.00
FCA | MIA | British Airways | 1 stop (LHR) | 17:00 | 02:30 | 950.00
FCA | MIA | Air France | 2 stops (AMS, CDG) | 19:00 | 04:15 | 1,300.00
FCA | MIA | KLM | Non-stop | 21:00 | 04:00 | 1,150.00
FCA | MIA | Swiss International | 1 stop (ZRH) | 23:00 | 06:30 | 1,100.00


Here are the 16 flight plans:

MIA | FLG | AA | 0 | 08:00 | 10:30 | 250.00
MIA | FLG | UA | 1 (TPA) | 09:15 | 12:45 | 280.00
MIA | FLG | DL | 0 | 11:00 | 13:30 | 220.00
MIA | FLG | WN | 1 (JAX) | 12:45 | 16:15 | 300.00
MIA | FLG | B6 | 0 | 14:30 | 17:00 | 240.00
MIA | FLG | AS | 1 (ATL) | 15:45 | 19:15 | 320.00
MIA | FLG | F9 | 0 | 17:00 | 19:30 | 260.00
MIA | FLG | NK | 1 (PBI) | 18:15 | 21:45 | 290.00
FLG | MIA | AA | 0 | 08:00 | 10:30 | 250.00
FLG | MIA | UA | 1 (PHX) | 09:15 | 12:45 | 280.00
FLG | MIA | DL | 0 | 11:00 | 13:30 | 220.00
FLG | MIA | WN | 1 (ABQ) | 12:45 | 16:15 | 300.00
FLG | MIA | B6 | 0 | 14:30 | 17:00 | 240.00
FLG | MIA | AS | 1 (DEN) | 15:45 | 19:15 | 320.00
FLG | MIA | F9 | 0 | 17:00 | 19:30 | 260.00
FLG | MIA | NK | 1 (MSY) | 18:15 | 21:45 | 290.00


Here are the 16 flight plans:

MIA | TYS | AA | Non-stop | 08:00 | 10:30 | 250.00
MIA | TYS | DL | 1 (ATL) | 09:15 | 12:45 | 320.00
MIA | TYS | WN | Non-stop | 10:45 | 13:15 | 280.00
MIA | TYS | UA | 1 (ORD) | 11:30 | 15:00 | 350.00
MIA | TYS | F9 | Non-stop | 12:15 | 14:45 | 220.00
MIA | TYS | AS | 1 (CLT) | 13:00 | 16:30 | 300.00
MIA | TYS | B6 | Non-stop | 14:30 | 17:00 | 240.00
MIA | TYS | NK | 1 (TPA) | 15:45 | 19:15 | 330.00
TYS | MIA | AA | Non-stop | 08:30 | 10:50 | 260.00
TYS | MIA | DL | 1 (CVG) | 09:45 | 13:15 | 340.00
TYS | MIA | WN | Non-stop | 11:15 | 13:45 | 290.00
TYS | MIA | UA | 1 (IAH) | 12:00 | 15:30 | 360.00
TYS | MIA | F9 | Non-stop | 13:30 | 16:00 | 230.00
TYS | MIA | AS | 1 (BNA) | 14:45 | 18:15 | 310.00
TYS | MIA | B6 | Non-stop | 15:15 | 17:45 | 250.00
TYS | MIA | NK | 1 (JAX) | 16:30 | 20:00 | 350.00


Here are the 16 flight plans:

MIA | AVL | AA | 0 | 06:00 | 08:30 | 198.00
MIA | AVL | DL | 1 (ATL) | 07:30 | 11:15 | 220.50
MIA | AVL | UA | 0 | 09:15 | 11:45 | 208.00
MIA | AVL | WN | 1 (TPA) | 10:00 | 13:30 | 235.00
MIA | AVL | F9 | 0 | 11:45 | 14:15 | 192.00
MIA | AVL | NK | 1 (FLL) | 12:30 | 15:45 | 242.50
MIA | AVL | B6 | 0 | 13:15 | 15:45 | 215.00
MIA | AVL | SY | 1 (PBI) | 14:30 | 17:15 | 260.00

AVL | MIA | AA | 0 | 06:30 | 08:45 | 203.00
AVL | MIA | DL | 1 (CLT) | 07:45 | 11:00 | 225.00
AVL | MIA | UA | 0 | 09:30 | 11:55 | 210.50
AVL | MIA | WN | 1 (BHM) | 10:45 | 14:15 | 240.00
AVL | MIA | F9 | 0 | 12:00 | 14:25 | 195.00
AVL | MIA | NK | 1 (JAX) | 13:15 | 16:30 | 248.50
AVL | MIA | B6 | 0 | 14:00 | 16:25 | 220.00
AVL | MIA | SY | 1 (TPA) | 15:30 | 18:15 | 265.00


Here are the 16 flight plans:

MIA | JAC | AA | 0 | 08:00 | 11:15 | 425.00
MIA | JAC | DL | 1 (ATL) | 09:30 | 13:45 | 550.00
MIA | JAC | UA | 0 | 10:45 | 14:00 | 475.00
MIA | JAC | WN | 1 (DEN) | 12:00 | 16:30 | 600.00
MIA | JAC | AS | 0 | 13:15 | 16:30 | 450.00
MIA | JAC | F9 | 1 (DFW) | 14:30 | 18:45 | 525.00
MIA | JAC | B6 | 0 | 15:45 | 19:00 | 400.00
MIA | JAC | NK | 1 (IAH) | 17:00 | 21:15 | 575.00

JAC | MIA | AA | 0 | 06:00 | 09:15 | 400.00
JAC | MIA | DL | 1 (SLC) | 07:30 | 11:45 | 525.00
JAC | MIA | UA | 0 | 09:00 | 12:15 | 425.00
JAC | MIA | WN | 1 (PHX) | 10:30 | 14:45 | 600.00
JAC | MIA | AS | 0 | 12:00 | 15:15 | 450.00
JAC | MIA | F9 | 1 (ORD) | 13:30 | 17:45 | 550.00
JAC | MIA | B6 | 0 | 15:00 | 18:15 | 400.00
JAC | MIA | NK | 1 (LAX) | 16:30 | 20:45 | 575.00


MIA | EYW | American Airlines | Non-Stop | 06:00 | 07:15 | 150.00
MIA | EYW | Delta Air Lines | 1 Stop (TPA) | 08:30 | 11:45 | 220.00
MIA | EYW | United Airlines | Non-Stop | 10:00 | 11:15 | 180.00
MIA | EYW | JetBlue Airways | 1 Stop (FLL) | 12:00 | 15:20 | 200.00
MIA | EYW | Spirit Airlines | Non-Stop | 14:00 | 15:15 | 120.00
MIA | EYW | Frontier Airlines | 1 Stop (RSW) | 16:00 | 19:25 | 240.00
MIA | EYW | Southwest Airlines | Non-Stop | 18:00 | 19:15 | 160.00
MIA | EYW | Silver Airways | 1 Stop (FLL) | 20:00 | 23:20 | 280.00
EYW | MIA | American Airlines | Non-Stop | 06:30 | 07:45 | 130.00
EYW | MIA | Delta Air Lines | 1 Stop (TPA) | 09:00 | 12:15 | 250.00
EYW | MIA | United Airlines | Non-Stop | 11:30 | 12:45 | 190.00
EYW | MIA | JetBlue Airways | 1 Stop (FLL) | 13:30 | 16:45 | 230.00
EYW | MIA | Spirit Airlines | Non-Stop | 15:30 | 16:45 | 140.00
EYW | MIA | Frontier Airlines | 1 Stop (RSW) | 17:30 | 20:50 | 260.00
EYW | MIA | Southwest Airlines | Non-Stop | 19:30 | 20:45 | 170.00
EYW | MIA | Silver Airways | 1 Stop (FLL) | 21:30 | 00:50 | 290.00


Here are the 16 flight plans:

MIA | RNO | AA | 1 (DFW) | 08:00 | 11:15 | 542.50
MIA | RNO | UA | 2 (IAH, SFO) | 09:30 | 14:50 | 625.00
MIA | RNO | DL | 0 | 10:45 | 14:10 | 475.00
MIA | RNO | WN | 1 (DAL) | 12:15 | 16:30 | 550.00
MIA | RNO | AS | 2 (MCO, SEA) | 13:00 | 18:20 | 680.00
MIA | RNO | F9 | 1 (DEN) | 14:30 | 18:50 | 520.00
MIA | RNO | B6 | 0 | 15:45 | 20:05 | 510.00
MIA | RNO | NK | 1 (LAX) | 17:00 | 21:25 | 580.00
RNO | MIA | AA | 1 (PHX) | 06:30 | 14:50 | 570.00
RNO | MIA | UA | 2 (SFO, IAH) | 08:00 | 17:20 | 720.00
RNO | MIA | DL | 0 | 09:15 | 16:30 | 530.00
RNO | MIA | WN | 1 (LAS) | 10:45 | 18:10 | 600.00
RNO | MIA | AS | 2 (PDX, DFW) | 12:00 | 20:25 | 750.00
RNO | MIA | F9 | 1 (DEN) | 13:30 | 20:55 | 590.00
RNO | MIA | B6 | 0 | 15:00 | 22:20 | 560.00
RNO | MIA | NK | 1 (LAX) | 16:15 | 23:40 | 620.00


Here are the 16 flight plans:

MIA | TVL | AA | 0 | 08:00 | 11:30 | 450.00
MIA | TVL | UA | 1 (SFO) | 09:15 | 14:05 | 520.00
MIA | TVL | DL | 0 | 10:45 | 14:15 | 480.00
MIA | TVL | WN | 1 (DEN) | 11:50 | 16:20 | 550.00
MIA | TVL | AS | 0 | 13:10 | 16:40 | 500.00
MIA | TVL | F9 | 1 (LAS) | 14:25 | 18:50 | 580.00
MIA | TVL | B6 | 0 | 15:35 | 19:05 | 530.00
MIA | TVL | NK | 1 (ORD) | 16:40 | 21:10 | 610.00

TVL | MIA | AA | 0 | 08:00 | 14:30 | 470.00
TVL | MIA | UA | 1 (LAX) | 09:20 | 16:50 | 540.00
TVL | MIA | DL | 0 | 10:50 | 15:20 | 510.00
TVL | MIA | WN | 1 (PHX) | 12:05 | 17:35 | 570.00
TVL | MIA | AS | 0 | 13:20 | 16:50 | 520.00
TVL | MIA | F9 | 1 (IAH) | 14:35 | 19:05 | 590.00
TVL | MIA | B6 | 0 | 15:45 | 20:15 | 550.00
TVL | MIA | NK | 1 (DFW) | 16:50 | 21:20 | 630.00


Here are the 16 flight plans:

MIA | MCD | AA | 0 | 06:00 | 07:30 | 120.00
MIA | MCD | DL | 1 (ATL) | 08:15 | 11:45 | 180.00
MIA | MCD | UA | 0 | 10:00 | 11:30 | 150.00
MIA | MCD | WN | 1 (TPA) | 12:30 | 15:00 | 220.00
MIA | MCD | AA | 0 | 14:00 | 15:30 | 130.00
MIA | MCD | DL | 1 (JAX) | 16:15 | 19:45 | 200.00
MIA | MCD | UA | 0 | 18:00 | 19:30 | 160.00
MIA | MCD | WN | 1 (FLL) | 20:30 | 23:00 | 240.00
MCD | MIA | AA | 0 | 06:00 | 07:30 | 120.00
MCD | MIA | DL | 1 (ATL) | 08:15 | 11:45 | 180.00
MCD | MIA | UA | 0 | 10:00 | 11:30 | 150.00
MCD | MIA | WN | 1 (TPA) | 12:30 | 15:00 | 220.00
MCD | MIA | AA | 0 | 14:00 | 15:30 | 130.00
MCD | MIA | DL | 1 (JAX) | 16:15 | 19:45 | 200.00
MCD | MIA | UA | 0 | 18:00 | 19:30 | 160.00
MCD | MIA | WN | 1 (FLL) | 20:30 | 23:00 | 240.00


Here are the 16 flight plans:

MIA | PLN | AA | Non-stop | 08:00 | 11:15 | 450.00
MIA | PLN | DL | 1 stop (ATL) | 09:30 | 13:45 | 520.00
MIA | PLN | UA | Non-stop | 10:45 | 14:00 | 480.00
MIA | PLN | WN | 1 stop (TPA) | 12:00 | 16:20 | 550.00
MIA | PLN | B6 | Non-stop | 13:15 | 16:30 | 510.00
MIA | PLN | F9 | 1 stop (CLT) | 14:30 | 18:45 | 580.00
MIA | PLN | NK | Non-stop | 15:45 | 19:00 | 530.00
MIA | PLN | SY | 1 stop (MCO) | 17:00 | 21:15 | 600.00
PLN | MIA | AA | Non-stop | 08:30 | 11:45 | 420.00
PLN | MIA | DL | 1 stop (DTW) | 09:45 | 13:55 | 490.00
PLN | MIA | UA | Non-stop | 11:00 | 14:15 | 450.00
PLN | MIA | WN | 1 stop (STL) | 12:15 | 16:30 | 520.00
PLN | MIA | B6 | Non-stop | 13:30 | 16:45 | 480.00
PLN | MIA | F9 | 1 stop (BNA) | 14:45 | 18:55 | 550.00
PLN | MIA | NK | Non-stop | 16:00 | 19:15 | 500.00
PLN | MIA | SY | 1 stop (CHS) | 17:15 | 21:25 | 570.00


Here are the 16 flight plans:

MIA | OGG | American Airlines | Non-stop | 08:00 | 17:30 | 548.00
MIA | OGG | Delta Air Lines | 1 stop (LAX) | 09:30 | 20:15 | 628.00
MIA | OGG | United Airlines | Non-stop | 11:00 | 20:45 | 598.00
MIA | OGG | Hawaiian Airlines | 1 stop (HNL) | 12:30 | 22:10 | 678.00
MIA | OGG | Alaska Airlines | 1 stop (SEA) | 14:00 | 23:50 | 648.00
MIA | OGG | Spirit Airlines | 1 stop (DFW) | 15:30 | 01:10 | 588.00
MIA | OGG | JetBlue Airways | Non-stop | 17:00 | 02:40 | 568.00
MIA | OGG | Frontier Airlines | 1 stop (DEN) | 19:00 | 04:30 | 608.00
OGG | MIA | American Airlines | Non-stop | 08:00 | 17:30 | 548.00
OGG | MIA | Delta Air Lines | 1 stop (LAX) | 09:30 | 20:15 | 628.00
OGG | MIA | United Airlines | Non-stop | 11:00 | 20:45 | 598.00
OGG | MIA | Hawaiian Airlines | 1 stop (HNL) | 12:30 | 22:10 | 678.00
OGG | MIA | Alaska Airlines | 1 stop (SEA) | 14:00 | 23:50 | 648.00
OGG | MIA | Spirit Airlines | 1 stop (DFW) | 15:30 | 01:10 | 588.00
OGG | MIA | JetBlue Airways | Non-stop | 17:00 | 02:40 | 568.00
OGG | MIA | Frontier Airlines | 1 stop (DEN) | 19:00 | 04:30 | 608.00


Here are the 16 flight plans:

